"","chimp","DOB.x","Dam.x","Sire.x","Sex.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z"
"11","Artemus","12/18/1990","Jenda","Iyk",1,"AH","7/15/01",3862,10.8,"Yerkes","A",5,1,7,6,2,3,3,7,5,5,5,2,2,4,4,6,3,5,5,5,3,5,6,5,5,1,2,4,3,5,1,4,4,5,3,6,2,5,4,1,5,2,4,7,"12/18/1990","Jenda","Iyk","Yerkes",5,1,"DL","10/04/1997","B",6,2,2,5,7,7,3,1,5,2,7,7,3,6,7,7,4,3,1,2,2,6,2,6,7,5,2,6,7,6,4,1,2,1,1,1,4,4,6,7,7,5,2,2,6.5,1.5,2,2.5,7,6,5.5,4.5,2,2,5.5,4.5,6.5,2.5,6,6,4.5,2,4,6,5.5,5.5,1,2,4.5,4.5,5.5,1,3.5,5.5,4.5,2,6,2,5,4,1.5,3.5,2,4.5,7
"12","Arthur","5/21/1991","Jaq","Rogger",1,"MW","7/26/01",3719,10.4,"Yerkes","A",6,2,5,6,2,1,3,6,7,7,4,1,2,2,3,7,4,6,6,5,2,3,7,6,4,1,2,6,5,4,4,2,3,2,3,2,4,7,3,2,5,3,2,5,"5/21/1991","Jaq","Rogger","Yerkes",6,1,"KB","10/04/1997","B",2,1,5,2,2,7,5,6,5,1,2,6,5,7,3,3,3,6,3,5,5,3,4,3,3,3,2,4,4,6,6,2,2,3,5,5,5,6,5,6,6,3,3,3.5,6,4,2,2,4,6.5,4.5,5,3,3.5,4,2.5,7,4.5,4,4.5,5,3.5,4.5,7,4.5,4.5,3,3,4.5,5.5,3.5,3,3.5,3,2.5,3,3,3,5,4.5,2,4,2,3.5,4
"13","Artifact","6/21/1979","Cookie","Hoboh",1,"WH","5/15/97",6538,18.4,"Yerkes","B",NA,6,2,5,6,4,1,3,4,3,2,6,4,2,5,2,3,3,3,2,4,3,4,3,2,4,4,4,5,3,4,2,2,2,3,3,5,5,3,5,5,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Artifee","7/24/1976","Banana","Hoboh",0,"AH","7/15/01",9122,25.6,"Yerkes","A",2,4,5,4,4,4,2,4,3,2,4,5,5,3,4,3,5,1,1,5,5,4,4,3,4,2,3,2,6,5,4,5,5,4,4,4,5,3,3,5,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Atlanta","08/10/1965","Cheri","Jent",0,"SS","1/19/99",12215,34.3,"Yerkes","A",NA,1,2,1,1,7,1,5,2,1,4,1,6,1,6,1,1,1,1,1,6,7,1,1,2,1,1,1,7,7,1,6,1,6,2,1,1,1,7,7,1,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Augusta","08/01/1975","Mary","Homer",0,"MW","7/15/01",9480,26.6,"Yerkes","A",2,5,5,6,2,2,2,6,6,2,3,4,2,2,4,4,5,2,6,4,2,2,5,4,4,5,6,5,5,5,2,4,2,4,3,2,2,3,3,3,2,3,6,3,"08/01/1975","Mary","Homer","Yerkes",2,0,"BN","06/02/2000","A",4,2,3,3,4,4,4,2,3,2,4,4,4,4,3,4,3,3,3,3,3,4,3,4,3,4,2,3,4,4,3,2,2,4,3,3,3,4,4,4,5,4,2,4.5,5.5,2,2.5,2,5,5,3,3.5,3.5,2.5,3,3.5,4,4,3,4.5,3.5,2.5,2.5,4.5,4,4,4,4.5,4.5,4.5,4.5,2,4,2.5,3.5,3.5,2.5,2,3.5,3,2.5,2,2.5,4.5,3.5
"17","Austin","07/10/1974","Vonee","",1,"JK","06/05/2002",10192,28.6,"Yerkes","A",4,4,2,4,5,5,1,4,4,1,7,1,5,6,1,4,6,5,1,6,5,6,5,1,6,3,1,1,4,6,1,6,4,7,3,7,2,1,7,1,1,1,6,5,"07/10/1974","Vonee","","Yerkes",4,1,"MB","06/05/2002","B",3,2,7,1,4,7,5,3,6,2,4,7,2,4,3,7,7,7,7,7,1,2,6,7,2,1,1,7,7,7,7,1,1,7,3,7,6,7,7,4,6,1,1,4.5,5,4,6,1.5,4,4,2,7,1,6,6.5,1,5.5,6.5,4.5,2,6,6,6.5,4.5,1.5,6.5,3,3.5,1,5.5,6.5,1,4,3,7,5,7,1.5,1,7,1,1,1.5,6,6
"18","Azalea","03/07/1997","Peony","Rhett",0,"SS","1/19/99",683,1.9,"Yerkes","A",NA,1,1,2,3,4,1,1,1,1,5,2,4,5,1,4,1,1,1,1,4,4,2,2,4,2,4,1,3,2,1,3,1,2,2,3,2,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Barbara","12/16/1972","Sonia","Hal",0,"SS","1/13/99",9524,26.8,"Yerkes","A",NA,2,3,2,6,6,1,1,2,1,5,1,4,1,5,1,4,2,1,3,6,6,1,1,4,3,2,4,6,4,4,4,1,5,5,3,1,1,6,6,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Barbi","6/14/1976","Cookie","Homer",0,"JM","01/11/1999",8246,23.2,"Yerkes","A",NA,4,2,2,5,4,1,4,2,2,2,5,3,2,5,2,2,2,2,2,3,2,2,2,3,5,5,2,5,3,5,3,2,2,2,2,2,2,5,5,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Barney","05/06/1989","Melissa","Joseph",1,"MW","7/15/01",4453,12.5,"Yerkes","A",2,1,7,7,2,2,5,7,6,7,1,2,1,2,2,7,3,7,7,6,1,1,6,6,5,1,1,7,6,5,2,5,2,5,2,2,2,3,3,2,5,2,2,7,"05/06/1989","Melissa","Joseph","Yerkes",2,1,"BN","06/02/2000","A",5,2,3,3,5,5,5,3,2,2,4,6,4,5,5,5,4,3,3,3,3,5,3,5,4,5,2,5,5,4,3,3,2,3,3,3,4,4,5,5,6,4,3,3,6.5,2.5,2.5,3.5,5.5,5.5,6,2.5,2.5,2,4,2.5,6,3,6,6,5,2,2,5.5,5.5,5,2,2,6,5,5,2.5,4.5,3,4.5,2.5,3.5,2,3.5,3,2,4,2,2,6
"22","Beleka","01/01/1962","","",0,"MW","7/26/01",14451,40.6,"Yerkes","A",6,3,2,6,3,3,4,5,4,4,3,3,4,2,3,3,5,2,4,3,4,4,4,3,4,4,3,3,6,4,5,4,2,2,3,2,4,4,3,4,5,5,2,6,"01/01/1962","","","Yerkes",6,0,"WH","10/27/97","B",1,1,5,3,7,4,1,6,4,5,5,5,6,2,5,6,6,3,6,4,2,2,2,5,2,2,4,3,6,7,5,2,2,5,2,4,5,5,5,5,6,2,2,2,6,4.5,4.5,2.5,5,4.5,2.5,4,2.5,4.5,3.5,3,3.5,4.5,4.5,4.5,4,4,3.5,3,2.5,4.5,3,2.5,2.5,6.5,4.5,3.5,5,2,4,4,2.5,3,3,4,4,3.5,5,3,6
"23","Bertha","03/05/1977","Reba","Hep",0,"WH","7/28/97",7450,20.9,"Yerkes","A",2,4,5,5,4,4,6,5,4,4,4,3,4,3,5,4,4,5,5,5,3,3,5,5,4,5,5,5,4,4,6,4,5,5,4,4,4,5,4,4,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bjorn","7/16/1988","Anja","Walnut",1,"SS","1/19/99",3839,10.8,"Yerkes","A",NA,3,2,2,4,3,1,2,2,2,4,3,4,4,4,3,3,2,3,2,4,4,3,2,4,4,4,2,4,4,2,4,2,4,4,4,1,1,4,2,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Bo","01/01/1969","","",0,"AH","7/26/01",11894,33.4,"Yerkes","A",9,4,4,4,5,6,1,3,3,2,5,4,5,2,5,2,4,2,2,5,6,5,3,3,5,4,4,3,5,4,4,5,3,4,4,3,5,2,4,5,3,6,4,5,"01/01/1969","","","Yerkes",9,0,"WH","10/21/97","B",1,5,3,6,1,1,5,7,1,4,1,1,3,3,1,1,1,2,5,2,7,2,6,2,1,4,7,1,1,6,4,5,6,3,7,3,3,4,1,2,1,1,6,4.5,2.5,6,5.5,3,2,2.5,1.5,4.5,5.5,4,1.5,5.5,1.5,3,1.5,1.5,4,4.5,3.5,3,2.5,3,5.5,5,3.5,5.5,3,4.5,4,2,2.5,3.5,2,5.5,1.5,4,6,4.5,5,2.5,3
"26","Boisfeullet","12/14/1971","Jenda","",1,"WH","10/30/97",9452,26.6,"Yerkes","A",2,3,3,5,5,2,5,4,4,6,1,6,2,1,5,6,3,5,5,2,2,2,6,5,2,3,2,4,5,3,5,2,5,1,2,1,6,6,3,3,6,4,1,5,"12/14/1971","Jenda","","Yerkes",2,1,"DP","7/27/01","B",2,1,5,5,3,3,1,5,3,5,2,2,4,2,2,4,5,6,6,4,5,3,2,4,2,1,6,3,3,5,5,4,1,4,4,6,2,2,2,2,2,1,1,2,3.5,5,4,3,3,3,4,1.5,5.5,3.5,1.5,5,4.5,3.5,4,3.5,2,4,4,4,4,2,3.5,2,2.5,5,3.5,4.5,3,3.5,3,3,2,3.5,3.5,4,4.5,3.5,4.5,2,4.5
"27","Boka","11/11/1959","Alfalfa","Bokar",0,"WH","11/12/1997",13881,39,"Yerkes","A",3,4,5,3,5,6,1,3,3,2,4,5,4,1,4,1,4,3,2,4,5,4,2,2,2,4,4,2,5,5,4,5,2,2,4,1,5,2,4,6,5,5,3,4,"11/11/1959","Alfalfa","Bokar","Yerkes",3,0,"MW","1/25/01","B",1,2,2,5,1,2,5,5,2,5,3,2,4,3,2,6,4,3,6,3,5,3,3,5,2,3,3,2,1,6,4,4,4,2,2,3,3,4,3,3,3,2,4,4.5,3,5,6,1.5,3,3,1.5,4,5,3,1.5,4.5,1.5,3.5,2,2,3.5,4,3.5,2.5,2.5,2.5,3,3.5,2.5,5.5,5,4,4.5,2,3,3,1.5,4.5,2,4,4.5,4.5,5,2.5,5
"28","Borie","01/01/1964","","",0,"JM","01/11/1999",12794,35.9,"Yerkes","A",NA,1,7,5,3,6,1,3,2,1,6,1,5,3,2,4,4,5,1,2,5,5,2,3,6,2,2,1,5,5,1,6,1,7,6,6,2,1,5,3,1,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Brandy","4/26/1985","Lolita","Walnut",0,"WH","11/11/1997",4582,12.9,"Yerkes","A",2,4,5,4,5,4,4,5,5,3,5,6,3,4,3,4,3,5,5,5,3,3,5,5,3,3,4,5,2,3,4,5,3,2,5,5,5,5,3,3,6,4,3,4,"4/26/1985","Lolita","Walnut","Yerkes",2,0,"AH","7/15/01","B",6,2,3,4,4,5,3,3,4,3,5,4,4,5,3,5,4,4,4,3,2,5,3,5,5,5,2,4,5,3,4,3,4,4,2,5,5,4,5,6,6,4,5,3.5,5,4,4,3,5,5.5,4.5,4.5,4,3,4,3.5,4.5,3,4.5,4,5,4,3.5,5,5,4,2.5,3.5,5,2.5,4,3.5,4.5,4,3,4.5,4.5,4.5,4.5,3.5,2.5,5.5,3.5,3.5,4.5
"30","Brent","1/20/1976","Dena","Hep",1,"WH","08/08/1997",7871,22.1,"Yerkes","A",2,2,5,5,1,1,6,6,5,6,5,2,3,4,6,5,3,6,6,4,2,2,6,6,4,3,4,5,3,4,4,3,5,4,5,4,5,5,4,4,5,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
