chimp	DOB	Dam	Sire	Sex	Rater	DOPR	DaysAgeatTest	YearsAgeatTest	location	Version 	Group size	fear	dom	pers	caut	stbl	aut	stngy	jeals	reckl	soc	tim	symp	play	sol	actv	help	buly	aggr	manp	gntl	affc	exct	impl	inqs	subm	depd	irri	pred	decs	depr	sens	defn	intll	prot	invt	clmy	errc	frdy	lazy	dsor	unem	imit	indp
Martha	07/07/1960	Flora	Jent	0	SS	1/14/99	14070	39.5	Yerkes	B		2	3	3	4	4	2	3	2	2	3	2	4	2	4	2	4	2	1	2	4	4	3	1	3	2	3	1	6	4	2	4	1	5	4	1	1	2	4	6	1	4	1	5
Boka	11/11/1959	Alfalfa	Bokar	0	WH	11/12/1997	13881	39	Yerkes	A	3	4	5	3	5	6	1	3	3	2	4	5	4	1	4	1	4	3	2	4	5	4	2	2	2	4	4	2	5	5	4	5	2	2	4	1	5	2	4	6	5	5	3	4
Lolita	08/01/1959			0	WH	7/24/97	13872	39	Yerkes	A	3	4	4	5	5	4	2	5	2	2	5	6	4	4	5	2	4	3	2	5	5	4	5	3	3	4	4	4	5	4	5	5	3	4	4	4	3	3	5	6	2	6	4	5
Alice	01/01/1961			0	WH	09/03/1997	13394	37.6	Yerkes	B		4	5	5	4	4	2	5	4	2	3	4	5	5	6	4	3	3	5	4	4	4	4	4	4	3	4	4	6	4	4	4	3	5	4	5	4	4	3	4	4	3	5	5
Mai	01/01/1964			0	TH	8/16/00	13377	37.6	Yerkes	B		5	2	6	4	2	1	6	6	2	3	6	3	2	4	2	4	5	4	4	3	5	6	1	2	6	6	6	2	5	5	4	4	4	6	2	2	6	3	6	4	1	1	2
Jimoh	01/01/1964			1	LP	06/11/2000	13311	37.4	Yerkes	B		2	4	3	5	6	4	5	3	4	6	2	5	4	5	4	5	5	4	5	6	6	3	2	4	2	4	2	6	5	2	6	2	6	5	2	1	1	6	4	1	6	2	5
Borie	01/01/1964			0	JM	01/11/1999	12794	35.9	Yerkes	A		1	7	5	3	6	1	3	2	1	6	1	5	3	2	4	4	5	1	2	5	5	2	3	6	2	2	1	5	5	1	6	1	7	6	6	2	1	5	3	1	3	1	6
Jenifere	01/01/1963			0	WH	09/10/1997	12671	35.6	Yerkes	B		4	5	7	3	2	5	6	5	3	2	3	1	2	6	3	3	6	5	4	3	2	7	5	2	3	3	7	2	6	4	4	6	5	3	3	4	6	2	4	4	1	3	5
Foxy	12/10/1967	Halpha	Jethrow	0	AH	7/15/01	12271	34.5	Yerkes	A	2	2	6	5	4	5	2	6	3	2	4	3	3	2	4	4	2	1	2	4	5	4	4	3	2	2	2	2	5	4	3	4	3	4	3	3	3	2	4	3	4	4	4	5
Atlanta	08/10/1965	Cheri	Jent	0	SS	1/19/99	12215	34.3	Yerkes	A		1	2	1	1	7	1	5	2	1	4	1	6	1	6	1	1	1	1	1	6	7	1	1	2	1	1	1	7	7	1	6	1	6	2	1	1	1	7	7	1	2	1	7
Phineas	01/01/1966			1	JF	01/12/1999	12064	33.9	Yerkes	B		5	6	4	4	3	2	7	7	2	6	2	4	6	2	5	2	6	5	6	3	5	5	2	5	2	2	2	6	6	1	4	1	6	5	4	1	2	4	1	1	2	1	6
Bo	01/01/1969			0	AH	7/26/01	11894	33.4	Yerkes	A	9	4	4	4	5	6	1	3	3	2	5	4	5	2	5	2	4	2	2	5	6	5	3	3	5	4	4	3	5	4	4	5	3	4	4	3	5	2	4	5	3	6	4	5
Lil'One	01/01/1969			0	AH	7/26/01	11894	33.4	Yerkes	A	9	5	3	5	4	3	2	1	2	3	4	4	5	3	3	3	5	3	3	5	5	5	5	3	4	3	3	3	5	4	3	5	3	5	5	5	5	3	5	3	2	3	4	3
Walnut	01/01/1965			1	WH	7/18/97	11886	33.4	Yerkes	A	10	2	7	4	5	5	5	2	3	2	6	2	5	5	2	3	3	2	3	5	5	5	2	2	5	2	2	2	5	5	4	4	3	5	5	3	2	2	6	4	3	4	4	5
Heppie	05/08/1969	Lolita	Hep	0	AH	7/15/01	11756	33	Yerkes	A	2	4	3	3	6	6	2	4	3	2	4	5	4	2	5	1	4	1	1	4	5	4	3	1	1	4	3	2	6	4	5	4	2	3	4	2	5	2	3	6	3	6	4	4
Tai	01/01/1967			0	JM	01/11/1999	11698	32.9	Yerkes	A		3	2	3	3	4	1	4	2	1	3	3	3	2	5	3	4	2	2	2	5	4	5	3	4	3	4	2	6	2	2	5	2	5	3	4	2	1	3	5	3	3	1	4
Lana	10/07/1970	Banana	Hal	0	MB	06/05/2002	11564	32.5	Yerkes	B	4	1	2	2	7	7	6	1	1	1	4	5	5	2	2	2	6	1	1	6	6	5	1	6	5	6	5	3	6	7	3	7	1	6	6	5	1	2	4	5	1	3	5	7
Leslie	01/01/1970			0	AH	7/26/01	11529	32.4	Yerkes	A	11	2	5	2	3	6	4	2	2	2	5	2	5	3	4	1	4	2	2	4	5	5	3	3	3	3	3	2	5	4	4	4	3	4	5	4	4	3	5	7	3	5	4	5
Peony	01/01/1968			0	SS	1/19/99	11341	31.9	Yerkes	B		1	7	5	1	6	1	6	3	2	5	1	4	2	5	1	4	3	1	2	6	5	1	1	2	1	2	1	6	6	1	4	5	4	4	2	1	1	6	4	1	4	1	6
Gay	01/01/1967			0	WH	8/31/97	11200	31.5	Yerkes	A	7	2	7	7	3	4	2	6	5	6	3	5	3	5	5	4	2	7	6	6	3	2	5	4	4	2	2	4	4	5	4	3	6	4	4	3	5	4	5	3	4	5	4	6
Gwennie	01/01/1969			0	SS	1/16/99	10972	30.8	Yerkes	B		1	1	7	7	6	1	1	7	1	6	1	4	1	5	1	5	1	1	7	1	6	1	1	6	1	4	1	7	6	1	5	2	7	5	7	1	1	2	7	1	2	4	5
Juan	2/23/68	Jenny	Frans	1	WH	7/17/97	10737	30.2	Yerkes	A	3	6	2	2	2	6	5	1	1	1	5	7	5	4	6	2	4	2	2	4	5	5	3	2	2	5	5	2	6	4	2	4	2	2	5	3	5	2	5	5	6	5	3	5
Ellie	8/14/72	Cookie	Homer	0	AH	7/15/01	10562	29.7	Yerkes	B		2	2	2	5	5	1	4	2	2	3	5	2	1	6	1	3	2	1	4	5	2	1	1	1	6	4	1	6	3	5	4	1	4	2	3	2	2	2	7	2	7	4	4
Rogger	01/01/1969			1	WH	11/03/1997	10533	29.6	Yerkes	A	7	1	7	7	1	3	4	7	7	6	3	3	2	2	3	5	3	7	6	5	3	3	5	3	2	1	2	4	5	5	2	4	6	1	5	1	5	2	3	4	5	2	1	6
Jeanie	01/01/1969			0	WH	07/10/1997	10417	29.3	Yerkes	A	2	4	4	5	5	7	1	2	3	2	5	2	5	5	3	3	4	2	2	5	5	5	4	4	5	3	2	2	5	5	1	4	2	6	5	6	2	2	5	2	2	5	4	5
Marilyne	1/13/71	Lola		0	SS	1/14/99	10228	28.7	Yerkes	B		2	7	7	1	5	2	7	6	6	3	1	1	3	6	3	3	5	5	7	3	4	3	5	4	1	1	5	4	7	4	4	7	7	3	5	2	3	3	2	1	2	1	7
Marietta	08/03/1973	Martha	Homer	0	MW	7/15/01	10208	28.7	Yerkes	A	2	6	1	2	6	3	2	3	3	2	3	5	5	3	2	2	4	1	2	2	5	4	4	2	2	6	5	2	5	4	6	6	2	4	2	2	4	1	5	6	4	3	3	2
Austin	07/10/1974	Vonee		1	JK	06/05/2002	10192	28.6	Yerkes	A	4	4	2	4	5	5	1	4	4	1	7	1	5	6	1	4	6	5	1	6	5	6	5	1	6	3	1	1	4	6	1	6	4	7	3	7	2	1	7	1	1	1	6	5
Sheila	3/19/72	Lolita	Hep	0	SS	1/13/99	9796	27.5	Yerkes	B		3	6	5	3	3	1	5	5	5	4	1	3	4	5	5	3	5	5	4	4	2	6	1	4	1	1	3	6	6	4	5	3	6	4	4	1	1	2	3	1	2	4	6
Barbara	12/16/72	Sonia	Hal	0	SS	1/13/99	9524	26.8	Yerkes	A		2	3	2	6	6	1	1	2	1	5	1	4	1	5	1	4	2	1	3	6	6	1	1	4	3	2	4	6	4	4	4	1	5	5	3	1	1	6	6	1	1	4	4
Woodruff	7/22/75	Anna	Frans	1	MW	7/16/01	9491	26.7	Yerkes	A	2	3	2	6	5	6	2	4	4	2	5	2	5	3	2	3	5	1	1	2	6	5	3	3	6	6	2	2	6	6	3	5	2	5	4	5	3	2	6	6	2	3	4	6
Augusta	08/01/1975	Mary	Homer	0	MW	7/15/01	9480	26.6	Yerkes	A	2	5	5	6	2	2	2	6	6	2	3	4	2	2	4	4	5	2	6	4	2	2	5	4	4	5	6	5	5	5	2	4	2	4	3	2	2	3	3	3	2	3	6	3
Boisfeullet	12/14/71	Jenda		1	WH	10/30/97	9452	26.6	Yerkes	A	2	3	3	5	5	2	5	4	4	6	1	6	2	1	5	6	3	5	5	2	2	2	6	5	2	3	2	4	5	3	5	2	5	1	2	1	6	6	3	3	6	4	1	5
Angela	9/17/71	Reba	Hep	0	WH	7/27/97	9445	26.5	Yerkes	A	2	5	6	5	5	5	5	5	4	1	3	6	4	2	6	3	4	2	1	4	5	5	2	2	2	6	5	4	4	3	5	5	2	1	4	1	6	4	5	6	6	5	4	4
Les	09/08/1975	Flora	Hal	1	MW	7/15/01	9442	26.5	Yerkes	A	2	7	1	6	6	2	6	5	6	3	2	6	4	2	3	5	2	1	3	4	2	2	7	5	2	7	2	5	5	4	4	6	1	4	1	2	2	6	3	3	5	2	1	1
Merv	01/06/1976	Halpha	Hep	1	AH	7/15/01	9322	26.2	Yerkes	A	2	2	5	5	2	3	2	5	5	5	4	2	4	5	4	6	4	5	5	4	3	4	5	5	5	2	2	5	5	5	2	4	4	4	4	5	2	3	3	1	3	2	4	7
Suzanna	2/25/76	Jenda	Hep	0	AH	7/15/01	9272	26	Yerkes	A	2	4	4	5	5	3	2	4	5	6	3	2	2	5	4	7	4	4	4	5	3	3	7	7	5	2	2	5	2	5	2	2	5	4	3	4	3	5	2	1	6	2	4	6
Lena	2/29/76	Reba	Hep	0	AH	7/15/01	9268	26	Yerkes	A	2	4	3	4	6	3	2	2	2	2	5	4	5	2	4	3	4	1	1	6	5	5	4	3	5	6	3	1	3	4	3	6	5	5	4	5	4	2	4	4	3	4	4	3
Ericka	10/20/73			0	SS	1/16/99	9219	25.9	Yerkes	B		1	7	7	1	2	1	7	7	7	2	1	2	4	1	4	3	7	6	7	1	4	5	6	5	1	1	7	7	7	1	4	6	2	2	4	1	2	1	4	2	1	1	7
Artifee	7/24/76	Banana	Hoboh	0	AH	7/15/01	9122	25.6	Yerkes	A	2	4	5	4	4	4	2	4	3	2	4	5	5	3	4	3	5	1	1	5	5	4	4	3	4	2	3	2	6	5	4	5	5	4	4	4	5	3	3	5	3	5	4	5
Ossabaw	11/17/76	Tari	Jiggs	1	AH	7/15/01	9006	25.3	Yerkes	A	2	4	5	6	2	3	2	5	5	5	3	3	1	2	4	2	2	4	4	2	3	4	5	5	3	2	3	6	4	3	4	2	2	2	3	2	4	5	3	5	5	4	4	4
Jimmy	1/21/77	Anna	Franklin	1	AH	7/15/01	8941	25.1	Yerkes	A	2	1	6	3	2	3	1	6	5	3	3	4	2	2	5	2	3	5	5	4	2	2	2	2	4	2	1	4	5	5	5	3	3	4	2	3	4	4	2	6	4	5	4	5
Vivienne	7/27/74	Boka		0	SS	01/10/1999	8933	25.1	Yerkes	A		4	1	2	7	4	2	2	2	2	1	4	2	1	7	2	2	2	1	1	4	2	2	2	6	7	4	4	6	4	6	4	1	4	1	2	1	1	2	6	2	6	2	5
Phillip	4/30/77	Lolita	Hep	1	MW	7/26/01	8853	24.9	Yerkes	A	6	3	4	4	3	2	5	5	6	6	3	3	2	1	6	2	2	3	3	5	1	2	5	6	3	2	3	6	4	5	4	2	4	3	3	2	3	5	2	5	4	5	3	6
David	6/27/77	Flora	Hal	1	MW	7/15/01	8784	24.7	Yerkes	A	2	5	3	3	5	5	2	4	3	2	5	2	5	3	2	4	4	2	3	2	4	3	5	3	5	3	3	3	5	5	2	5	2	4	3	4	2	2	5	2	2	3	2	5
Cissie	11/28/76	Boka	Hep	0	LP	06/11/2000	8596	24.1	Yerkes	B		6	4	3	4	3	6	2	3	4	3	4	4	3	5	3	4	4	3	3	4	5	5	6	2	3	3	4	3	4	4	4	4	5	5	2	1	4	4	2	1	2	3	5
Barbi	6/14/76	Cookie	Homer	0	JM	01/11/1999	8246	23.2	Yerkes	A		4	2	2	5	4	1	4	2	2	2	5	3	2	5	2	2	2	2	2	3	2	2	2	3	5	5	2	5	3	5	3	2	2	2	2	2	2	5	5	3	5	2	2
Columbus	10/10/1977	Sonia	Phinneas	1	WH	11/12/1999	8068	22.7	Yerkes	A		6	4	3	6	4	6	6	4	5	3	6	4	3	7	3	3	5	4	6	2	2	6	5	5	3	5	3	3	5	5	2	4	3	5	2	6	5	4	5	5	3	2	5
Brent	1/20/76	Dena	Hep	1	WH	08/08/1997	7871	22.1	Yerkes	A	2	2	5	5	1	1	6	6	5	6	5	2	3	4	6	5	3	6	6	4	2	2	6	6	4	3	4	5	3	4	4	3	5	4	5	4	5	5	4	4	5	2	4	5
Jacqueline	10/16/76	Martha	Homer	0	WH	11/03/1997	7688	21.6	Yerkes	A	7	5	5	3	2	3	1	6	6	6	4	5	3	1	4	4	3	6	5	5	3	2	5	6	1	1	4	6	2	4	3	3	6	2	2	1	2	6	2	4	5	2	2	6
Mortimer	12/20/76	Mary	Homer	1	WH	07/07/1997	7504	21.1	Yerkes	A	2	1	6	6	1	2	6	6	6	6						4	1	7	7	4	1	2	7	7	4	2	2	7	5	6	4	4	6	4	2	4	2	6	2	4	5	1	4	6
Bertha	03/05/1977	Reba	Hep	0	WH	7/28/97	7450	20.9	Yerkes	A	2	4	5	5	4	4	6	5	4	4	4	3	4	3	5	4	4	5	5	5	3	3	5	5	4	5	5	5	4	4	6	4	5	5	4	4	4	5	4	4	4	3	4	5
Sabrina	10/16/78	Mary	Homer	0	SS	1/14/99	7395	20.8	Yerkes	A		4	4	4	3	3	5	3	3	5	3	3	3	2	5	5	3	5	5	4	3	3	5	5	4	4	4	5	4	4	5	4	5	5	3	4	2	5	3	3	2	4	3	5
Georgia	8/27/80	Borie	Jiggs	0	JM	8/16/00	7294	20.5	Yerkes	A	1	1	7	7	2	6	1	7	7	6	6	1	2	4	1	4	3	7	7	7	1	4	4	6	7	1	1	6	1	6	1	2	7	6	2	6	1	6	3	2	2	3	2	7
Lux	8/16/81	Marilyne	Walnut	1	AH	7/26/01	7284	20.5	Yerkes	A	11	2	6	5	3	4	3	2	2	3	3	3	3	3	5	3	4	4	5	4	4	3	5	4	4	1	1	2	3	3	5	3	5	4	4	4	5	4	4	6	5	4	3	5
Anja	01/09/1980	Tari	Jiggs	0	JM	01/11/1999	6942	19.5	Yerkes	A		2	6	6	2	3	1	7	4	5	3	2	3	1	5	1	2	7	5	6	3	2	2	3	3	2	3	4	6	7	2	2	5	5	2	4	2	4	3	5	2	5	2	5
Puddin	12/23/78	Mai	Hep	1	WH	08/05/1997	6800	19.1	Yerkes	A	2	2	5	5	1	3	6	5	4	6	2	2	2	3	6	4	4	6	7	5	3	2	6	5	3	1	2	5	4	4	4	3	6	4	5	5	3	2	2	4	4	5	4	4
Cynthia	06/07/1980	Beleka	Iyk	0	SS	1/13/99	6794	19.1	Yerkes	B		2	2	5	6	6	1	2	7	2	6	2	6	3	2	4	6	4	1	1	6	5	1	2	5	4	2	2	6	5	2	6	1	6	5	4	1	2	6	5	1	2	4	5
Brian	3/31/79	Lolita	Jiggs	1	WH 	10/31/97	6789	19.1	Yerkes	A	2	2	4	5	2	3	1	6	6	5	2	5	3	2	6	3	2	5	5	2	2	2	5	5	3	3	5	5	6	3	4	3	5	2	4	2	5	5	3	4	5	4	2	5
Gelb	4/18/83	Sheila	Walnut	1	MW	7/15/01	6663	18.7	Yerkes	A	2	1	6	6	2	2	3	6	6	5	5	2	1	2	4	2	5	5	6	4	2	3	7	7	3	2	1	6	5	5	2	6	3	4	4	2	2	4	4	2	5	5	4	5
Artifact	6/21/79	Cookie	Hoboh	1	WH	5/15/97	6538	18.4	Yerkes	B		6	2	5	6	4	1	3	4	3	2	6	4	2	5	2	3	3	3	2	4	3	4	3	2	4	4	4	5	3	4	2	2	2	3	3	5	5	3	5	5	4	2	4
Clint	06/06/1980	Cheri	Walnut	1	DL	10/04/1997	6329	17.8	Yerkes	A	3	1	4	6	5	3	1	6	5	2	5	2	2	7	3	6	4	6	5	5	3	3	6	2	7	2	2	5	5	6	1	6	7	7	2	7	2	2	5	1	3	1	4	6
Amos	11/19/81	Sonia	Phineas	1	JF	02/10/1999	6292	17.7	Yerkes	A		1	7	4	3	6	2	5	5	2	6	1	5	4	2	5	4	5	4	6	3	4	2	2	3	1	1	4	6	6	1	4	1	6	4	3	1	2	4	2	1	4	1	7
Mason	9/18/84	Gwennie	Walnut	1	AH	7/26/01	6155	17.3	Yerkes	A	2	1	5	2	2	3	2	2	2	3	5	1	3	4	3	4	3	3	3	4	3	4	4	3	4	4	3	4	4	4	2	4	3	5	3	2	3	3	4	4	3	3	2	6
Waga	3/19/82	Banana	Jorg	0	JM	01/11/1999	6142	17.3	Yerkes	B		2	2	2	5	3	1	3	2	2	3	5	3	3	3	3	3	3	2	2	3	3	3	2	4	5	3	1	5	3	5	4	2	3	2	3	4	3	3	5	4	5	2	4
Joseph	11/25/80	Jenda	Walnut	1	WH	8/15/97	6107	17.2	Yerkes	A	2	3	5	5	2	3	5	5	4	5	5	3	4	5	4	5	4	5	5	4	3	3	5	5	5	3	4	4	4	4	5	4	5	4	4	4	4	5	5	4	4	2	4	4
Mega	11/27/84	Cookie	Jimoh	0	DP	7/27/01	6086	17.1	Yerkes	A	2	1	6	3	5	6	1	6	6	7	6	2	3	3	2	4	3	4	2	4	3	3	6	2	1	3	2	4	7	7	2	5	6	6	4	2	2	2	5	2	1	1	6	6
Buffy	01/02/1984	Beleka	Juan	0	LP	06/11/2000	6005	16.9	Yerkes	B		5	1	1	6	2	6	2	2	1	2	6	3	2	7	1	5	1	2	2	5	2	6	2	1	7	2	2	2	4	6	6	2	5	1	1	1	2	2	5	1	5	2	2
Jesse	8/14/82	Jenda	Iyk	0	SS	1/19/99	6002	16.9	Yerkes	B		2	1	6	5	4	1	1	1	2	2	2	4	3	6	3	3	1	1	2	6	4	1	1	4	5	4	2	4	3	2	4	2	4	2	2	1	2	4	5	1	2	1	6
Panzee	12/31/85	Cookie	Jimoh	0	MB	06/05/2002	6000	16.9	Yerkes	A	4	1	1	5	5	6	1	6	2	4	7	1	6	5	2	2	6	4	7	6	7	6	4	2	7	2	4	4	7	7	1	7	5	7	6	7	1	1	6	3	1	1	6	7
Melissa	6/27/81	Tai	Harv	0	WH	7/23/97	5870	16.5	Yerkes	A	8	1	7	7	2	3	1	7	7	6	4	2	2	6	4	6	3	7	4	7	2	4	5	5	6	2	2	4	4	6	2	3	6	6	5						4	2	4	7
Conan	01/03/1986	Mai	Walnut	1	MW	7/15/01	5672	15.9	Yerkes	A	2	2	6	5	2	5	2	4	4	2	5	2	3	4	1	4	5	2	4	2	4	4	4	2	3	3	2	4	5	5	2	4	2	4	4	3	2	2	5	5	2	4	2	6
Sam	5/19/82	Tari	Homer	1	WH	09/12/1997	5595	15.7	Yerkes	A	12	2	5	5	6	5	1	2	6	3	5	5	5	4	2	5	4	5	5	6	4	4	3	2	1	3	5	3	5	3	2	4	3	2	5	2	4	5	5	2	3	5	2	2
Melinda	10/30/82	Lana	Juan	0	WH	1/15/98	5556	15.6	Yerkes	A	8	6	3	2	5	6	1	2	2	1	5	6	4	4	3	4	4	1	2	5	6	5	3	1	1	5	5	2	5	4	3	5	1	4	6	2	2	2	5	4	4	5	2	3
Justin	08/01/1986	Foxy	Duncan	1	AH	7/15/01	5462	15.3	Yerkes	A	2	4	3	5	3	6	2	3	2	4	6	1	3	3	3	4	4	2	1	4	5	6	5	2	6	4	2	1	6	4	2	4	2	4	4	5	1	1	6	5	2	2	3	5
Carmichael	3/21/83	Ericka	Rogger	1	WH	11/03/1997	5341	15	Yerkes	A	7	3	2	4	5	5	1	3	4	2	6	6	4	4	6	2	4	3	2	5	6	5	3	2	1	6	6	2	5	5	4	5	2	1	4	1	5	3	4	5	6	5	1	3
Lyons	08/03/1984	Lilone	Rogger	1	SS	1/14/99	5277	14.8	Yerkes	B		4	5	5	2	2	5	6	5	7	4	2	3	5	3	5	2	6	6	5	2	3	6	6	5	3	3	5	3	4	3	3	5	4	3	4	2	5	3	3	2	4	3	5
Sellers	12/18/83	Marilyne	Walnut	1	WH	11/14/97	5080	14.3	Yerkes	A	3	1	4	5	3	5	1	5	5	5	5	2	2	6	3	4	3	5	3	5	3	4	3	3	5	2	2	2	6	7	3	4	6	5	5	5	3	2	4	4	2	4	2	6
Donald	10/15/87	Reba	Jimoh	1	WH	7/15/01	5022	14.1	Yerkes	A	4	2	4	4	2	2	4	4	5	6	4	4	2	5	6	4	2	5	4	5	4	3	6	5	5	2	4	4	3	2	5	2	6	4	4	3	4	5	3	2	6	3	4	5
Lee	12/29/83	Halpha	Jiggs	0	WH	07/12/1997	4944	13.9	Yerkes	A	2	3	2	5	4	5	3	5	5	4	4	4	3	5	4	4	5	4	5	5	3	3	5	5	4	5	5	2	5	5	5	3	5	5	5	5	4	2	5	2	3	5	4	5
Kengee	06/01/1988	Martha	Chuck	0	AH	7/26/01	4803	13.5	Yerkes	A	11	2	7	7	2	6	2	7	6	5	4	1	1	5	3	3	3	6	5	5	3	3	4	4	3	2	1	3	5	6	2	3	4	5	2	3	5	2	3	6	2	3	3	6
Dara	6/16/88	Leslie	Homer	0	AH	7/26/01	4788	13.4	Yerkes	A	11	2	6	6	5	3	2	5	5	3	3	4	3	3	4	4	3	5	5	4	3	3	3	3	3	3	4	5	4	5	3	5	5	4	4	4	3	3	3	2	5	3	4	5
Rowena	8/13/88	Ericka	Dobbs	0	AH	7/26/01	4730	13.3	Yerkes	A	11	3	2	6	4	5	2	4	3	6	3	3	2	4	4	4	3	2	2	3	3	2	3	5	4	2	3	5	3	5	4	4	4	4	2	3	4	5	3	5	4	3	4	5
