chimp,DOB,Sex,Dam,Sire,Rater,Numraters,Date,Zoo_Name,Version,Group_size,fear,dom,pers,caut,stbl,aut,stngy,jeals,reckl,soc,tim,symp,play,sol,actv,help,buly,aggr,manp,gntl,affc,exct,impl,inqs,subm,depd,irri,pred,decs,depr,sens,defn,intll,prot,invt,clmy,errc,frdy,lazy,dsor,unem,imit,indp,dominance,surgency,dependability,agreeableness,emotionality,openness
Boka,11/11/1959,0,Alfalfa,Bokar,WH,2,11/12/1997,Yerkes,A,3,4,5,3,5,6,1,3,3,2,4,5,4,1,4,1,4,3,2,4,5,4,2,2,2,4,4,2,5,5,4,5,2,2,4,1,5,2,4,6,5,5,3,4,3.583333333,3,5.444444444,4.4,2.333333333,1.5
Boka,11/11/1959,,Alfalfa,Bokar,MW,2,1/25/2001,Yerkes,B,3,5,1,3,5,6,2,3,3,1,4,5,2,2,5,2,3,1,2,3,3,3,3,3,3,2,3,3,6,5,4,4,2,4,2,2,4,2,4,3,4,5,2,6,3.583333333,3.222222222,5.555555556,2.8,2.666666667,2.5
Borie,01/01/1964,0,Unknown,Unknown,JM,1,01/11/1999,Yerkes,A,unk,1,7,5,3,6,1,3,2,1,6,1,5,3,2,4,4,5,1,2,5,5,2,3,6,2,2,1,5,5,1,6,1,7,6,6,2,1,5,3,1,3,1,6,5.75,4.666666667,6.444444444,5.2,3,6
Brandy,4/26/1985,0,Lolita,Walnut,WH,2,11/11/1997,Yerkes,A,2,4,5,4,5,4,4,5,5,3,5,6,3,4,3,4,3,5,5,5,3,3,5,5,3,3,4,5,2,3,4,5,3,2,5,5,5,5,3,3,6,4,3,4,3.833333333,4,3.222222222,3.8,4.333333333,4
Brandy,4/26/1985,,Lolita,Walnut,AH,2,7/15/2001,Yerkes,B,2,3,5,6,3,4,2,5,6,6,4,2,3,4,4,5,3,4,3,5,5,4,5,5,5,2,3,5,3,5,3,4,5,4,4,4,4,4,4,2,5,3,4,5,5.083333333,4.444444444,3.111111111,3.8,4.666666667,4.5
Brent,1/20/1976,1,Dena,Hep,WH,1,08/08/1997,Yerkes,A,2,2,5,5,1,1,6,6,5,6,5,2,3,4,6,5,3,6,6,4,2,2,6,6,4,3,4,5,3,4,4,3,5,4,5,4,5,5,4,4,5,2,4,5,5.25,3.777777778,2.666666667,3.2,6.333333333,4
Brooks,,1,Lena,Sellers,SS,1,,Yerkes,B,2,4,5,5,3,4,6,4,5,4,4,2,4,7,1,7,5,4,3,4,6,6,5,5,6,1,1,1,7,4,1,4,4,4,5,6,1,5,6,1,1,1,4,4,4.916666667,6.111111111,4.777777778,4.8,5.333333333,6
Buffy,01/02/1984,0,Beleka,Juan,LP,1,06/11/2000,Yerkes,B,,5,1,1,6,2,6,2,2,1,2,6,3,2,7,1,5,1,2,2,5,2,6,2,1,7,2,2,2,4,6,6,2,5,1,1,1,2,2,5,1,5,2,2,2.5,1.888888889,5.777777778,4,5,1
Callie,2/18/1991,0,Waga,Rogger,MW,2,7/15/2001,Yerkes,A,5,5,3,5,5,4,1,2,2,2,4,5,3,3,5,4,4,3,5,5,3,2,4,2,3,6,5,4,5,4,2,5,2,4,6,2,1,2,2,2,2,4,5,2,3.083333333,3.888888889,5.333333333,4.2,4,2.5
Callie,2/18/1991,,Waga,Rogger,DL,2,10/04/1997,Yerkes,B,5,5,1,2,6,5,4,2,5,1,5,6,4,3,4,5,3,2,1,4,6,4,2,2,4,7,7,2,6,5,6,5,2,3,4,4,2,2,5,2,5,5,5,2,2.166666667,4.333333333,5.555555556,4.4,2.666666667,4
Carl,5/21/1986,1,Reba,Phillip,LF,2,12/08/1997,Yerkes,A,3,4,4,5,4,4,5,3,3,3,5,3,6,4,4,3,5,3,3,3,5,5,4,3,5,4,3,2,4,4,3,6,3,4,4,5,4,3,5,4,5,4,4,4,4.083333333,4.333333333,4.777777778,5.2,4,5
Carl,5/21/1986,,Reba,Phillip,AH,2,7/15/2001,Yerkes,B,3,2,4,5,3,5,1,4,3,4,4,1,4,2,2,5,5,3,2,5,4,4,6,2,4,5,3,2,5,5,3,5,5,4,4,3,3,2,5,4,2,3,4,5,4.666666667,4.333333333,5.222222222,4.4,4.666666667,3.5
Carmich,3/21/1983,1,Ericka,Rogger,WH,2,11/03/1997,Yerkes,A,7,3,2,4,5,5,1,3,4,2,6,6,4,4,6,2,4,3,2,5,6,5,3,2,1,6,6,2,5,5,4,5,2,1,4,1,5,3,4,5,6,5,1,3,2.916666667,3.444444444,5.111111111,4.6,3,1
Carmich,3/21/1983,,Ericka,Rogger,MW,2,7/26/2001,Yerkes,B,7,2,6,3,4,3,4,4,4,6,3,3,4,3,3,5,3,5,6,3,4,4,5,5,3,2,3,4,5,3,5,5,2,3,3,3,4,5,3,5,5,3,4,5,4.583333333,3.666666667,3.555555556,3.8,5,3
Cathy,10/05/1989,0,Georgia,Walnut,SS,1,,Yerkes,A,unk,5,2,5,3,6,1,1,1,2,4,1,3,5,1,6,5,1,1,4,6,4,1,1,5,5,5,1,6,6,1,5,4,5,2,3,1,1,7,1,2,5,5,5,3.833333333,5.777777778,6.333333333,4.2,2,4
Cheetah,01/01/1957,0,Unknown,Unknown,WH,1,8/13/1997,Yerkes,B,,2,5,5,2,2,4,6,5,5,4,3,2,2,5,4,3,5,6,5,3,2,5,5,4,3,2,6,3,4,4,4,5,5,3,4,4,5,2,4,4,3,4,6,5.333333333,3.222222222,2.888888889,3,5.333333333,4
Christa,06/01/1995,0,Lilone,Rogger,AH,1,7/26/2001,Yerkes,A,9,6,1,5,6,3,1,4,5,3,3,5,3,4,4,4,4,2,2,5,5,5,3,2,6,6,6,2,4,4,2,6,4,4,3,4,5,3,5,2,3,4,5,3,2.833333333,4.666666667,4.888888889,4.2,4,5
Cissie,11/28/1976,0,Boka,Hep,LP,1,06/11/2000,Yerkes,B,,6,4,3,4,3,6,2,3,4,3,4,4,3,5,3,4,4,3,3,4,5,5,6,2,3,3,4,3,4,4,4,4,5,5,2,1,4,4,2,1,2,3,5,3.916666667,3.777777778,4.222222222,4.2,5.333333333,2
Clint,06/06/1980,1,Cheri,Walnut,DL,1,10/04/1997,Yerkes,A,3,1,4,6,5,3,1,6,5,2,5,2,2,7,3,6,4,6,5,5,3,3,6,2,7,2,2,5,5,6,1,6,7,7,2,7,2,2,5,1,3,1,4,6,5.75,5.444444444,4.222222222,3.4,6,7
Columbus,10/10/1977,1,Sonia,Phinneas,WH,2,,Yerkes,A,,6,4,3,6,4,6,6,4,5,3,6,4,3,7,3,3,5,4,6,2,2,6,5,5,3,5,3,3,5,5,2,4,3,5,2,6,5,4,5,5,3,2,5,3.75,2.666666667,3.555555556,3.2,5,3.5
Columbus,10/10/1977,,Sonia,Phinneas,LP,2,8/17/1997,Yerkes,B,,2,5,4,6,2,4,6,4,2,1,2,4,3,6,2,2,4,2,3,3,1,4,5,2,2,3,6,6,5,6,3,4,4,3,2,2,3,2,6,4,2,4,4,4.75,2.111111111,4.444444444,3,5.333333333,2
Conan,01/03/1986,1,Mai,Walnut,MW,2,,Yerkes,A,2,2,6,5,2,5,2,4,4,2,5,2,3,4,1,4,5,2,4,2,4,4,4,2,3,3,2,4,5,5,2,4,2,4,4,3,2,2,5,5,2,4,2,6,5.083333333,4.444444444,5.222222222,4,3.666666667,3
Conan,01/03/1986,,Mai,Walnut,WH,2,8/13/1997,Yerkes,B,2,5,3,4,4,4,1,4,4,3,4,5,4,4,5,4,4,5,3,4,3,3,5,3,3,5,6,4,4,3,4,4,3,3,4,2,5,5,3,5,5,4,4,4,3.416666667,3.555555556,4.222222222,3.8,4.333333333,2.5
Cynthia,06/07/1980,0,Beleka,Iyk,SS,1,,Yerkes,B,,2,2,5,6,6,1,2,7,2,6,2,6,3,2,4,6,4,1,1,6,5,1,2,5,4,2,2,6,5,2,6,1,6,5,4,1,2,6,5,1,2,4,5,4.416666667,4.777777778,5.777777778,5.8,3,4.5
Daisey,10/01/1989,0,Tai,Phinneas,SS,1,,Yerkes,B,,5,5,4,2,3,2,7,5,5,3,5,1,3,3,4,2,6,5,5,3,3,5,5,2,2,4,6,4,5,4,2,5,3,2,2,4,5,3,5,5,5,5,2,4.5,3.666666667,3,2,4.333333333,2
Dara,6/16/1988,0,Leslie,Homer,AH,2,7/26/2001,Yerkes,A,11,2,6,6,5,3,2,5,5,3,3,4,3,3,4,4,3,5,5,4,3,3,3,3,3,3,4,5,4,5,3,5,5,4,4,4,3,3,3,2,5,3,4,5,4.833333333,3.888888889,3.777777778,3.6,4.333333333,3.5
Dara,6/16/1988,,Leslie,Homer,WH,2,12/30/1998,Yerkes,B,11,5,6,6,5,4,4,7,6,5,5,2,1,4,2,6,2,6,6,5,2,4,5,5,5,1,4,6,4,5,2,3,6,6,5,4,2,2,2,2,1,3,4,6,5.416666667,4.777777778,3.444444444,2.6,4.666666667,4.5
David,6/27/1977,1,Flora,Hal,MW,2,7/15/2001,Yerkes,A,2,5,3,3,5,5,2,4,3,2,5,2,5,3,2,4,4,2,3,2,4,3,5,3,5,3,3,3,5,5,2,5,2,4,3,4,2,2,5,2,2,3,2,5,4,4.444444444,5.444444444,4.2,4.333333333,4.5
David,6/27/1977,,Flora,Hal,SS,2,1/14/1999,Yerkes,B,2,4,2,5,3,2,7,4,5,6,2,5,2,6,6,6,2,4,5,2,2,2,6,7,5,5,4,3,4,3,3,4,4,2,3,2,5,6,4,3,6,2,4,4,3.583333333,4,2.888888889,2.6,6,3.5
Dobbs,01/01/1961,1,Unknown,Unknown,MW,2,7/15/2001,Yerkes,A,2,1,7,5,2,2,2,5,5,5,2,1,2,2,6,3,2,6,7,5,2,1,6,6,2,1,1,6,5,6,5,2,6,5,3,2,2,6,2,2,5,3,2,6,6.166666667,2.555555556,2.555555556,2.2,5.666666667,2
Dobbs,01/01/1961,,Unknown,Unknown,WH,2,8/28/1997,Yerkes,B,2,4,2,6,4,4,5,4,3,2,2,6,2,1,6,1,3,2,1,3,4,2,1,4,2,5,5,3,4,6,6,2,2,3,3,3,5,5,3,6,5,6,2,6,3.75,1.888888889,4.777777778,2.8,2.333333333,2.5
Dona,04/03/1990,0,Peony,Walnut,LP,1,06/11/2000,Yerkes,B,,4,2,2,5,4,2,4,3,2,6,5,5,3,5,3,5,3,3,4,6,6,4,2,3,6,6,2,2,6,2,6,3,6,5,2,1,2,6,4,1,5,4,3,3.333333333,4.555555556,5.333333333,5.4,3.666666667,2.5
Donald,,1,Reba,Jimoh,WH,1,,Yerkes,A,4,2,4,4,2,2,4,4,5,6,4,4,2,5,6,4,2,5,4,5,4,3,6,5,5,2,4,4,3,2,5,2,6,4,4,3,4,5,3,2,6,3,4,5,4.5,3.777777778,2.888888889,2.8,5.666666667,4
Dover,2/25/1994,1,Cissie,Homer,JF,1,02/10/1999,Yerkes,B,,4,1,2,2,4,1,2,5,5,6,2,3,7,1,7,2,1,1,2,4,5,5,5,6,6,6,1,5,4,1,5,1,4,2,4,2,3,6,1,5,3,4,3,3.083333333,6.222222222,4.777777778,3.2,4.666666667,5
Duff,02/08/1990,1,Lena,Clint,MW,2,7/15/2001,Yerkes,A,2,2,5,5,3,2,7,5,6,5,3,3,2,2,3,6,4,4,6,5,3,2,6,6,4,3,3,6,2,3,3,3,5,3,5,2,3,6,3,2,6,3,2,2,4.416666667,3.777777778,2.222222222,3.4,5.666666667,3
Duff,02/08/1990,,Lena,Clint,AH,2,7/30/2001,Yerkes,B,2,2,5,4,2,2,7,3,4,6,4,2,2,3,4,5,4,5,5,4,3,3,4,5,2,3,2,5,3,3,4,3,3,3,3,3,5,5,2,3,6,3,4,5,4.75,3.777777778,3.111111111,3,5,2.5
Edwina,5/28/1991,0,Lolita,Edward,WH,2,11/02/1997,Yerkes,A,6,4,5,6,5,3,1,6,6,5,3,3,2,1,5,4,3,6,5,5,2,2,5,6,5,2,4,6,4,4,5,2,6,5,3,3,4,4,2,4,4,2,2,6,5,2.666666667,2.888888889,2.4,5.333333333,4
Edwina,5/28/1991,,Lolita,Edward,KB,2,10/04/1997,Yerkes,B,6,3,6,6,5,5,2,6,7,4,5,2,2,4,5,5,3,6,5,6,3,3,3,3,4,2,2,4,6,6,4,4,5,5,3,3,4,2,4,2,2,5,4,5,5.5,4.222222222,4.222222222,3,3,3.5
Ellie,8/14/1972,0,Cookie,Homer,AH,1,7/15/2001,Yerkes,B,,2,2,2,5,5,1,4,2,2,3,5,2,1,6,1,3,2,1,4,5,2,1,1,1,6,4,1,6,3,5,4,1,4,2,3,2,2,2,7,2,7,4,4,3.25,2.111111111,6.444444444,3.2,1.666666667,2
Elvira,10/31/1988,0,Barbi,Jimoh,WH,2,11/05/1997,Yerkes,A,7,2,5,6,4,6,1,5,6,3,6,2,5,6,1,6,5,5,3,7,4,5,3,3,6,3,3,2,6,6,1,5,5,7,5,5,2,2,5,1,1,4,4,6,5.5,5.888888889,5,4.8,3,5.5
Elvira,10/31/1988,,Barbi,Jimoh,MW,2,7/26/2001,Yerkes,B,7,6,3,6,2,3,2,4,6,5,4,2,3,4,3,5,5,4,2,4,3,5,6,6,5,6,5,5,5,3,2,5,3,6,4,5,4,4,3,2,4,3,4,3,4,4.666666667,3.777777778,4,5.333333333,5
Elwood,2/19/1990,1,Jaq,Harv,AH,1,7/26/2001,Yerkes,A,9,1,6,2,2,5,1,3,2,2,2,2,2,2,5,3,3,5,4,4,4,3,2,3,2,4,2,2,4,4,5,3,5,3,3,3,3,3,3,6,3,6,3,6,4.833333333,2.666666667,4.888888889,3,2.333333333,2.5
Ericka,10/20/1973,0,Unknown,Unknown,SS,1,1/16/1999,Yerkes,B,,1,7,7,1,2,1,7,7,7,2,1,2,4,1,4,3,7,6,7,1,4,5,6,5,1,1,7,7,7,1,4,6,2,2,4,1,2,1,4,2,1,1,7,6.583333333,3.777777778,3.111111111,2.4,6,4.5
Evelyne,09/04/1991,0,Sabrina,Puddin,MW,2,7/15/2001,Yerkes,A,5,6,2,3,6,4,1,1,2,2,2,6,2,2,5,3,2,1,1,1,4,2,5,2,2,7,6,2,6,2,5,6,1,4,2,2,2,1,4,2,2,5,2,1,1.916666667,3,6.333333333,3.2,4,2
Evelyne,09/04/1991,,Sabrina,Puddin,MW,2,7/29/2001,Yerkes,B,5,4,6,4,5,6,1,7,6,2,6,2,3,2,2,6,3,6,5,6,4,3,4,2,6,3,4,2,6,6,2,2,3,6,6,4,1,1,3,1,1,6,5,5,5.166666667,4.888888889,5.333333333,3.6,2.666666667,5
Faye,6/22/1992,0,Sheila,,AH,2,,Yerkes,A,2,2,4,4,3,5,2,4,2,2,3,3,3,4,4,4,4,2,2,3,5,3,2,2,5,5,3,4,5,5,2,4,3,4,2,4,3,2,3,4,2,5,5,4,4.25,4,5.555555556,3.6,2.666666667,4.5
Faye,6/22/1992,,Sheila,,WH,2,6/16/2002,Yerkes,B,2,4,2,4,5,6,2,4,3,2,5,6,3,3,5,4,3,2,2,3,4,4,4,4,5,5,5,4,5,4,3,5,1,5,4,2,3,6,4,3,4,6,2,5,3.416666667,3.888888889,4.777777778,3.8,2.666666667,3.5
Fiona,12/05/1994,0,Leslie,Lux,AH,1,7/26/2001,Yerkes,A,11,6,2,5,6,3,1,6,6,3,6,5,5,5,2,4,5,2,1,5,4,5,4,3,6,6,5,2,4,3,2,5,5,5,4,5,5,3,5,3,2,3,4,3,3.166666667,5.111111111,4.777777778,4.6,4.666666667,5.5
Foxy,12/10/1967,0,Halpha,Jethrow,AH,2,7/15/2001,Yerkes,A,2,2,6,5,4,5,2,6,3,2,4,3,3,2,4,4,2,1,2,4,5,4,4,3,2,2,2,2,5,4,3,4,3,4,3,3,3,2,4,3,4,4,4,5,4.833333333,4,5.333333333,3.4,3.666666667,2.5
Foxy,12/10/1967,,Halpha,Jethrow,WH,2,9/17/1997,Yerkes,B,2,3,3,6,5,3,6,5,5,2,2,6,2,2,6,1,3,4,4,2,3,2,2,4,2,5,4,5,4,5,5,2,3,1,3,2,6,5,2,7,6,6,2,5,3.833333333,1.888888889,3.777777778,2.6,3,2
Frannie,,0,Borie,Jimoh,SS,1,,Yerkes,B,2,5,1,5,6,3,5,2,2,4,4,5,4,4,4,5,4,4,1,4,5,4,6,5,6,5,5,3,5,4,2,4,2,4,4,5,1,5,6,1,2,3,4,3,3.083333333,4.888888889,5,4.2,5.333333333,5.5
Fritz,7/14/1988,1,Bo,Ossabaw,WH,2,11/21/1997,Yerkes,A,8,3,5,5,2,2,5,4,5,6,3,4,2,4,4,4,3,5,6,3,2,2,5,5,4,2,2,6,2,3,4,2,5,3,6,3,5,6,2,4,5,3,2,6,4.833333333,3.222222222,2.444444444,3,5.333333333,3.5
Fritz,7/14/1988,,Bo,Ossabaw,AH,2,7/26/2001,Yerkes,B,8,2,5,3,4,3,3,5,5,5,3,2,2,3,5,5,4,5,6,4,4,3,5,3,4,2,2,4,5,3,3,4,3,4,3,4,4,5,4,4,5,4,5,5,4.833333333,3.888888889,3.666666667,3.4,4.666666667,4
Garbo,12/10/1953,0,Gamma,Bokar,WH,1,10/22/1997,Yerkes,B,,1,1,5,6,5,3,3,2,1,5,5,5,4,6,1,4,1,1,5,6,4,4,3,5,6,5,2,5,3,4,4,1,5,4,3,5,3,6,5,4,2,4,5,3.333333333,3.666666667,5.777777778,4.6,4.333333333,4
Gay,01/01/1967,0,Unknown,Unknown,WH,1,8/31/1997,Yerkes,A,7,2,7,7,3,4,2,6,5,6,3,5,3,5,5,4,2,7,6,6,3,2,5,4,4,2,2,4,4,5,4,3,6,4,4,3,5,4,5,3,4,5,4,6,5.666666667,3.888888889,3.222222222,3,4,3.5
Gelb,4/18/1983,1,Sheila,Walnut,MW,2,7/15/2001,Yerkes,A,2,1,6,6,2,2,3,6,6,5,5,2,1,2,4,2,5,5,6,4,2,3,7,7,3,2,1,6,5,5,2,6,3,4,4,2,2,4,4,2,5,5,4,5,5.75,4,3,3.6,5.333333333,2.5
Gelb,4/18/1983,,Sheila,Walnut,WH,2,09/02/1997,Yerkes,B,2,3,4,5,3,3,5,5,5,5,3,5,3,2,6,2,4,4,5,4,2,2,4,5,2,5,4,5,5,3,5,2,4,2,3,1,6,6,3,6,6,5,2,5,4,2.333333333,3.111111111,2.8,4,1.5
