"","chimp","DOB","Sex","X","X.1","Rater","Numraters","Date","X.2","X.3","X.4","fear","dom","pers","caut","stbl","aut","stngy","jeals","reckl","soc","tim","symp","play","sol","actv","help","buly","aggr","manp","gntl","affc","exct","impl","inqs","subm","depd","irri","pred","decs","depr","sens","defn","intll","prot","invt","clmy","errc","frdy","lazy","dsor","unem","imit","indp"
"11","df4c70e60655d3a003db55e78df8f400","12/18/1990",NA,NA,NA,"4fdbfa0a004b35f397ec4cbd1ba9c916",2,"10/4/1997",NA,NA,NA,3,7,7,1,1,2,7,7,6,4,2,2,7,5,7,2,7,7,4,1,3,6,6,6,1,2,5,6,6,1,3,7,4,1,6,2,5,4,2,2,2,5,7
"12","59393ac04631a8baa94d53cbd3a87524","5/21/1991",1,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/26/2001",NA,NA,NA,2,5,6,2,1,3,6,7,7,4,1,2,2,3,7,4,6,6,5,2,3,7,6,4,1,2,6,5,4,4,2,3,2,3,2,4,7,3,2,5,3,2,5
"13","59393ac04631a8baa94d53cbd3a87524","5/21/1991",NA,NA,NA,"3e0b514bba2983f9afd4923909d51c2c",2,"10/4/1997",NA,NA,NA,5,4,6,6,3,1,2,6,2,6,5,5,6,2,7,5,2,3,5,5,6,7,3,5,5,4,3,6,3,2,5,3,3,3,4,2,3,6,2,3,1,5,3
"14","b4520ae8562d87d0fd53a9ee149ab0b3","7/24/1976",0,NA,NA,"b9a3c74cd48a8f5347281975470e8793",1,"7/15/2001",NA,NA,NA,4,5,4,4,4,2,4,3,2,4,5,5,3,4,3,5,1,1,5,5,4,4,3,4,2,3,2,6,5,4,5,5,4,4,4,5,3,3,5,3,5,4,5
"15","cbb074f44da58e781e7dbeada2d5d7b1","8/10/1965",0,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"1/19/1999",NA,NA,NA,1,2,1,1,7,1,5,2,1,4,1,6,1,6,1,1,1,1,1,6,7,1,1,2,1,1,1,7,7,1,6,1,6,2,1,1,1,7,7,1,2,1,7
"16","268e0a4b7f1cf946630c27021b9ba354","8/1/1975",0,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/15/2001",NA,NA,NA,5,5,6,2,2,2,6,6,2,3,4,2,2,4,4,5,2,6,4,2,2,5,4,4,5,6,5,5,5,2,4,2,4,3,2,2,3,3,3,2,3,6,3
"17","268e0a4b7f1cf946630c27021b9ba354","8/1/1975",NA,NA,NA,"0f07c7ce75d1e8f9fd3c30b72c4df5cc",2,"6/2/2000",NA,NA,NA,4,4,5,2,3,2,4,4,4,4,3,3,4,3,4,3,4,3,3,3,3,4,4,4,3,3,4,4,4,2,4,3,3,4,3,2,4,3,2,2,2,3,4
"18","4875ee5d122f9178757759976fe8bd4b","12/16/1972",0,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"1/13/1999",NA,NA,NA,2,3,2,6,6,1,1,2,1,5,1,4,1,5,1,4,2,1,3,6,6,1,1,4,3,2,4,6,4,4,4,1,5,5,3,1,1,6,6,1,1,4,4
"19","0606744354e53b3c8892811dfdda92cb","6/14/1976",0,NA,NA,"0d1cd57e9fd861f93a8ec8e7aa0bbaab",1,"1/11/1999",NA,NA,NA,4,2,2,5,4,1,4,2,2,2,5,3,2,5,2,2,2,2,2,3,2,2,2,3,5,5,2,5,3,5,3,2,2,2,2,2,2,5,5,3,5,2,2
"20","992fef579a4abb13b725737965240365","5/6/1989",0,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/15/2001",NA,NA,NA,1,7,7,2,2,5,7,6,7,1,2,1,2,2,7,3,7,7,6,1,1,6,6,5,1,1,7,6,5,2,5,2,5,2,2,2,3,3,2,5,2,2,7
"21","992fef579a4abb13b725737965240365","5/6/1989",NA,NA,NA,"0f07c7ce75d1e8f9fd3c30b72c4df5cc",2,"6/2/2000",NA,NA,NA,5,5,6,3,3,2,4,5,5,4,3,3,6,3,5,3,5,5,4,3,3,5,5,5,3,3,5,4,5,3,4,4,4,3,5,2,4,3,2,3,2,2,5
"22","42d6fcecf34f66bccdad31eb209c81f7","1/1/1962",0,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/26/2001",NA,NA,NA,3,2,6,3,3,4,5,4,4,3,3,4,2,3,3,5,2,4,3,4,4,4,3,4,4,3,3,6,4,5,4,2,2,3,2,4,4,3,4,5,5,2,6
"23","42d6fcecf34f66bccdad31eb209c81f7","1/1/1962",NA,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"10/27/1997",NA,NA,NA,1,6,6,6,6,1,5,5,1,5,2,5,5,3,4,4,7,5,5,4,3,2,2,5,2,2,2,7,5,2,6,2,6,5,3,2,2,5,4,2,5,4,6
"24","eadace850c0cdb4f90c3994e66b10bd6","7/16/1988",1,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"1/19/1999",NA,NA,NA,3,2,2,4,3,1,2,2,2,4,3,4,4,4,3,3,2,3,2,4,4,3,2,4,4,4,2,4,4,2,4,2,4,4,4,1,1,4,2,1,2,4,4
"25","37fd8ede4683a71873cc3cb7b8738c68","1/1/1969",0,NA,NA,"b9a3c74cd48a8f5347281975470e8793",2,"7/26/2001",NA,NA,NA,4,4,4,5,6,1,3,3,2,5,4,5,2,5,2,4,2,2,5,6,5,3,3,5,4,4,3,5,4,4,5,3,4,4,3,5,2,4,5,3,6,4,5
"26","37fd8ede4683a71873cc3cb7b8738c68","1/1/1969",NA,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"10/21/1997",NA,NA,NA,5,1,1,7,5,5,1,2,1,4,7,3,1,6,1,2,1,1,3,3,2,3,2,1,7,6,4,6,2,5,3,1,1,3,1,6,1,4,7,6,4,1,1
"27","7e8621e9cbb64481ef7ceda36a348898","12/14/1971",1,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"10/30/1997",NA,NA,NA,3,3,5,5,2,5,4,4,6,1,6,2,1,5,6,3,5,5,2,2,2,6,5,2,3,2,4,5,3,5,2,5,1,2,1,6,6,3,3,6,4,1,5
"28","7e8621e9cbb64481ef7ceda36a348898","12/14/1971",NA,NA,NA,"0a8bb5f5aa4e47f0506c75cccba38051",2,"7/27/2001",NA,NA,NA,1,3,2,5,6,1,2,2,2,2,5,5,2,5,3,4,3,2,2,6,6,2,3,2,4,2,1,5,4,4,4,2,5,4,3,1,1,5,6,1,5,3,4
"29","cba403f2550c2435c7f8a5738a899a14","11/11/1959",0,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"11/12/1997",NA,NA,NA,4,5,3,5,6,1,3,3,2,4,5,4,1,4,1,4,3,2,4,5,4,2,2,2,4,4,2,5,5,4,5,2,2,4,1,5,2,4,6,5,5,3,4
"30","cba403f2550c2435c7f8a5738a899a14","11/11/1959",NA,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"1/25/2001",NA,NA,NA,5,1,3,5,6,2,3,3,1,4,5,2,2,5,2,3,1,2,3,3,3,3,3,3,2,3,3,6,5,4,4,2,4,2,2,4,2,4,3,4,5,2,6
"31","acecff0754f88695dc7b3b6173e69449","1/1/1964",0,NA,NA,"0d1cd57e9fd861f93a8ec8e7aa0bbaab",1,"1/11/1999",NA,NA,NA,1,7,5,3,6,1,3,2,1,6,1,5,3,2,4,4,5,1,2,5,5,2,3,6,2,2,1,5,5,1,6,1,7,6,6,2,1,5,3,1,3,1,6
"32","29564a8c39c5d8eb75e0ad230aa8bd26","4/26/1985",0,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"11/11/1997",NA,NA,NA,4,5,4,5,4,4,5,5,3,5,6,3,4,3,4,3,5,5,5,3,3,5,5,3,3,4,5,2,3,4,5,3,2,5,5,5,5,3,3,6,4,3,4
"33","29564a8c39c5d8eb75e0ad230aa8bd26","4/26/1985",NA,NA,NA,"b9a3c74cd48a8f5347281975470e8793",2,"7/15/2001",NA,NA,NA,3,5,6,3,4,2,5,6,6,4,2,3,4,4,5,3,4,3,5,5,4,5,5,5,2,3,5,3,5,3,4,5,4,4,4,4,4,4,2,5,3,4,5
"34","f70f70ce30ae4a3120a757a0e8e1f4b3","1/20/1976",1,NA,NA,"c04f2152dd477342ab465e0f4dffb710",1,"8/8/1997",NA,NA,NA,2,5,5,1,1,6,6,5,6,5,2,3,4,6,5,3,6,6,4,2,2,6,6,4,3,4,5,3,4,4,3,5,4,5,4,5,5,4,4,5,2,4,5
"35","d264c49e2f2cdf2d734ad3da32411037","",1,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"",NA,NA,NA,4,5,5,3,4,6,4,5,4,4,2,4,7,1,7,5,4,3,4,6,6,5,5,6,1,1,1,7,4,1,4,4,4,5,6,1,5,6,1,1,1,4,4
"36","7094f0936e97f5d16c4a502b96b5b3a0","1/2/1984",0,NA,NA,"bb57b6b64856fa4c3ebb2b20efa41b08",1,"6/11/2000",NA,NA,NA,5,1,1,6,2,6,2,2,1,2,6,3,2,7,1,5,1,2,2,5,2,6,2,1,7,2,2,2,4,6,6,2,5,1,1,1,2,2,5,1,5,2,2
"37","fbb171551b92f73b59d15e97098644f6","2/18/1991",0,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/15/2001",NA,NA,NA,5,3,5,5,4,1,2,2,2,4,5,3,3,5,4,4,3,5,5,3,2,4,2,3,6,5,4,5,4,2,5,2,4,6,2,1,2,2,2,2,4,5,2
"38","fbb171551b92f73b59d15e97098644f6","2/18/1991",NA,NA,NA,"4fdbfa0a004b35f397ec4cbd1ba9c916",2,"10/4/1997",NA,NA,NA,5,1,2,6,5,4,2,5,1,5,6,4,3,4,5,3,2,1,4,6,4,2,2,4,7,7,2,6,5,6,5,2,3,4,4,2,2,5,2,5,5,5,2
"39","dc3398ff7ae9560535001aadbb8cb50d","5/21/1986",1,NA,NA,"8bc31029242e023a9ff931f728b04a5c",2,"12/8/1997",NA,NA,NA,4,4,5,4,4,5,3,3,3,5,3,6,4,4,3,5,3,3,3,5,5,4,3,5,4,3,2,4,4,3,6,3,4,4,5,4,3,5,4,5,4,4,4
"40","dc3398ff7ae9560535001aadbb8cb50d","5/21/1986",NA,NA,NA,"b9a3c74cd48a8f5347281975470e8793",2,"7/15/2001",NA,NA,NA,2,4,5,3,5,1,4,3,4,4,1,4,2,2,5,5,3,2,5,4,4,6,2,4,5,3,2,5,5,3,5,5,4,4,3,3,2,5,4,2,3,4,5
"41","afdbfd38da809c1d34284e2fc9f0e1b3","3/21/1983",1,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"11/3/1997",NA,NA,NA,3,2,4,5,5,1,3,4,2,6,6,4,4,6,2,4,3,2,5,6,5,3,2,1,6,6,2,5,5,4,5,2,1,4,1,5,3,4,5,6,5,1,3
"42","afdbfd38da809c1d34284e2fc9f0e1b3","3/21/1983",NA,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/26/2001",NA,NA,NA,2,6,3,4,3,4,4,4,6,3,3,4,3,3,5,3,5,6,3,4,4,5,5,3,2,3,4,5,3,5,5,2,3,3,3,4,5,3,5,5,3,4,5
"43","72e427137fe7ba7a068161eb8bf6e6e9","10/5/1989",0,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"",NA,NA,NA,5,2,5,3,6,1,1,1,2,4,1,3,5,1,6,5,1,1,4,6,4,1,1,5,5,5,1,6,6,1,5,4,5,2,3,1,1,7,1,2,5,5,5
"44","b797dcdb2ddeb5df286e1062235d1db3","1/1/1957",0,NA,NA,"c04f2152dd477342ab465e0f4dffb710",1,"8/13/1997",NA,NA,NA,2,5,5,2,2,4,6,5,5,4,3,2,2,5,4,3,5,6,5,3,2,5,5,4,3,2,6,3,4,4,4,5,5,3,4,4,5,2,4,4,3,4,6
"45","ad2b19f608af344c773e881d2a3f34c0","6/1/1995",0,NA,NA,"b9a3c74cd48a8f5347281975470e8793",1,"7/26/2001",NA,NA,NA,6,1,5,6,3,1,4,5,3,3,5,3,4,4,4,4,2,2,5,5,5,3,2,6,6,6,2,4,4,2,6,4,4,3,4,5,3,5,2,3,4,5,3
"46","b6b16f6ce871470eaf22b192df88f449","11/28/1976",0,NA,NA,"bb57b6b64856fa4c3ebb2b20efa41b08",1,"6/11/2000",NA,NA,NA,6,4,3,4,3,6,2,3,4,3,4,4,3,5,3,4,4,3,3,4,5,5,6,2,3,3,4,3,4,4,4,4,5,5,2,1,4,4,2,1,2,3,5
"47","4dd8295ce2e91e47a063e7713701533a","6/6/1980",1,NA,NA,"4fdbfa0a004b35f397ec4cbd1ba9c916",1,"10/4/1997",NA,NA,NA,1,4,6,5,3,1,6,5,2,5,2,2,7,3,6,4,6,5,5,3,3,6,2,7,2,2,5,5,6,1,6,7,7,2,7,2,2,5,1,3,1,4,6
"48","b3f8bba549c3dadb6d099c2af7b55ce3","10/10/1977",1,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"",NA,NA,NA,6,4,3,6,4,6,6,4,5,3,6,4,3,7,3,3,5,4,6,2,2,6,5,5,3,5,3,3,5,5,2,4,3,5,2,6,5,4,5,5,3,2,5
"49","b3f8bba549c3dadb6d099c2af7b55ce3","10/10/1977",NA,NA,NA,"bb57b6b64856fa4c3ebb2b20efa41b08",2,"8/17/1997",NA,NA,NA,2,5,4,6,2,4,6,4,2,1,2,4,3,6,2,2,4,2,3,3,1,4,5,2,2,3,6,6,5,6,3,4,4,3,2,2,3,2,6,4,2,4,4
"50","e6591da609624adddadb3ef6394af432","1/3/1986",1,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"",NA,NA,NA,2,6,5,2,5,2,4,4,2,5,2,3,4,1,4,5,2,4,2,4,4,4,2,3,3,2,4,5,5,2,4,2,4,4,3,2,2,5,5,2,4,2,6
"51","e6591da609624adddadb3ef6394af432","1/3/1986",NA,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"8/13/1997",NA,NA,NA,5,3,4,4,4,1,4,4,3,4,5,4,4,5,4,4,5,3,4,3,3,5,3,3,5,6,4,4,3,4,4,3,3,4,2,5,5,3,5,5,4,4,4
"52","d92b46c94316d70c01adbcfd6c58cfb1","6/7/1980",0,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"",NA,NA,NA,2,2,5,6,6,1,2,7,2,6,2,6,3,2,4,6,4,1,1,6,5,1,2,5,4,2,2,6,5,2,6,1,6,5,4,1,2,6,5,1,2,4,5
"53","41808f2d4b6f55ffe7568a6806eb27b1","10/1/1989",0,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"",NA,NA,NA,5,5,4,2,3,2,7,5,5,3,5,1,3,3,4,2,6,5,5,3,3,5,5,2,2,4,6,4,5,4,2,5,3,2,2,4,5,3,5,5,5,5,2
"54","91b5b1d9d1cfb0406d9836f6c62b7503","6/16/1988",0,NA,NA,"b9a3c74cd48a8f5347281975470e8793",2,"7/26/2001",NA,NA,NA,2,6,6,5,3,2,5,5,3,3,4,3,3,4,4,3,5,5,4,3,3,3,3,3,3,4,5,4,5,3,5,5,4,4,4,3,3,3,2,5,3,4,5
"55","91b5b1d9d1cfb0406d9836f6c62b7503","6/16/1988",NA,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"12/30/1998",NA,NA,NA,5,6,6,5,4,4,7,6,5,5,2,1,4,2,6,2,6,6,5,2,4,5,5,5,1,4,6,4,5,2,3,6,6,5,4,2,2,2,2,1,3,4,6
"56","80fd6b1b180830a6668d21ebdfc589e0","6/27/1977",1,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/15/2001",NA,NA,NA,5,3,3,5,5,2,4,3,2,5,2,5,3,2,4,4,2,3,2,4,3,5,3,5,3,3,3,5,5,2,5,2,4,3,4,2,2,5,2,2,3,2,5
"57","80fd6b1b180830a6668d21ebdfc589e0","6/27/1977",NA,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",2,"1/14/1999",NA,NA,NA,4,2,5,3,2,7,4,5,6,2,5,2,6,6,6,2,4,5,2,2,2,6,7,5,5,4,3,4,3,3,4,4,2,3,2,5,6,4,3,6,2,4,4
"58","09932e4f7ee40d230e11e39b9845554c","1/1/1961",1,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/15/2001",NA,NA,NA,1,7,5,2,2,2,5,5,5,2,1,2,2,6,3,2,6,7,5,2,1,6,6,2,1,1,6,5,6,5,2,6,5,3,2,2,6,2,2,5,3,2,6
"59","09932e4f7ee40d230e11e39b9845554c","1/1/1961",NA,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"8/28/1997",NA,NA,NA,4,2,6,4,4,5,4,3,2,2,6,2,1,6,1,3,2,1,3,4,2,1,4,2,5,5,3,4,6,6,2,2,3,3,3,5,5,3,6,5,6,2,6
"60","71493139591edd7de3faa1e2ab0eb259","4/3/1990",0,NA,NA,"bb57b6b64856fa4c3ebb2b20efa41b08",1,"6/11/2000",NA,NA,NA,4,2,2,5,4,2,4,3,2,6,5,5,3,5,3,5,3,3,4,6,6,4,2,3,6,6,2,2,6,2,6,3,6,5,2,1,2,6,4,1,5,4,3
"61","3e6e1b3f12d5279beb642e0453ce6eda","",1,NA,NA,"c04f2152dd477342ab465e0f4dffb710",1,"",NA,NA,NA,2,4,4,2,2,4,4,5,6,4,4,2,5,6,4,2,5,4,5,4,3,6,5,5,2,4,4,3,2,5,2,6,4,4,3,4,5,3,2,6,3,4,5
"62","71687f805a9c702006dabaeef04b0b3e","2/25/1994",1,NA,NA,"2bdac43399e5231278527eaa929991f4",1,"2/10/1999",NA,NA,NA,4,1,2,2,4,1,2,5,5,6,2,3,7,1,7,2,1,1,2,4,5,5,5,6,6,6,1,5,4,1,5,1,4,2,4,2,3,6,1,5,3,4,3
"63","d83e753420103de74d62cfb2069142a9","2/8/1990",1,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/15/2001",NA,NA,NA,2,5,5,3,2,7,5,6,5,3,3,2,2,3,6,4,4,6,5,3,2,6,6,4,3,3,6,2,3,3,3,5,3,5,2,3,6,3,2,6,3,2,2
"64","d83e753420103de74d62cfb2069142a9","2/8/1990",NA,NA,NA,"b9a3c74cd48a8f5347281975470e8793",2,"7/30/2001",NA,NA,NA,2,5,4,2,2,7,3,4,6,4,2,2,3,4,5,4,5,5,4,3,3,4,5,2,3,2,5,3,3,4,3,3,3,3,3,5,5,2,3,6,3,4,5
"65","19a0b86f28dc6999c6be5ccf0d4d4c04","5/28/1991",0,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"11/2/1997",NA,NA,NA,4,5,6,5,3,1,6,6,5,3,3,2,1,5,4,3,6,5,5,2,2,5,6,5,2,4,6,4,4,5,2,6,5,3,3,4,4,2,4,4,2,2,6
"66","19a0b86f28dc6999c6be5ccf0d4d4c04","5/28/1991",NA,NA,NA,"3e0b514bba2983f9afd4923909d51c2c",2,"10/4/1997",NA,NA,NA,3,6,6,5,5,2,6,7,4,5,2,2,4,5,5,3,6,5,6,3,3,3,3,4,2,2,4,6,6,4,4,5,5,3,3,4,2,4,2,2,5,4,5
"67","b352ba64280e3fbc0c5f368c511ddaaa","8/14/1972",0,NA,NA,"b9a3c74cd48a8f5347281975470e8793",1,"7/15/2001",NA,NA,NA,2,2,2,5,5,1,4,2,2,3,5,2,1,6,1,3,2,1,4,5,2,1,1,1,6,4,1,6,3,5,4,1,4,2,3,2,2,2,7,2,7,4,4
"68","ae1326c0bb4cb272e0931e17702ffb28","10/31/1988",0,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"11/5/1997",NA,NA,NA,2,5,6,4,6,1,5,6,3,6,2,5,6,1,6,5,5,3,7,4,5,3,3,6,3,3,2,6,6,1,5,5,7,5,5,2,2,5,1,1,4,4,6
"69","ae1326c0bb4cb272e0931e17702ffb28","10/31/1988",NA,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/26/2001",NA,NA,NA,6,3,6,2,3,2,4,6,5,4,2,3,4,3,5,5,4,2,4,3,5,6,6,5,6,5,5,5,3,2,5,3,6,4,5,4,4,3,2,4,3,4,3
"70","9b4fea990f8e2d68cd2e1b5b0418280c","2/19/1990",1,NA,NA,"b9a3c74cd48a8f5347281975470e8793",1,"7/26/2001",NA,NA,NA,1,6,2,2,5,1,3,2,2,2,2,2,2,5,3,3,5,4,4,4,3,2,3,2,4,2,2,4,4,5,3,5,3,3,3,3,3,3,6,3,6,3,6
"71","068e5074f828de3fafb9fe3ef9466418","10/20/1973",0,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"1/16/1999",NA,NA,NA,1,7,7,1,2,1,7,7,7,2,1,2,4,1,4,3,7,6,7,1,4,5,6,5,1,1,7,7,7,1,4,6,2,2,4,1,2,1,4,2,1,1,7
"72","6d8ee97ada4c05f869dd5643bee857b3","9/4/1991",0,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/15/2001",NA,NA,NA,6,2,3,6,4,1,1,2,2,2,6,2,2,5,3,2,1,1,1,4,2,5,2,2,7,6,2,6,2,5,6,1,4,2,2,2,1,4,2,2,5,2,1
"73","6d8ee97ada4c05f869dd5643bee857b3","9/4/1991",NA,NA,NA,"dd448847d5ea21df46d77af16f9b54e8",2,"7/29/2001",NA,NA,NA,4,6,4,5,6,1,7,6,2,6,2,3,2,2,6,3,6,5,6,4,3,4,2,6,3,4,2,6,6,2,2,3,6,6,4,1,1,3,1,1,6,5,5
"74","25710e0c9eee87b77aa87bd20dce04be","6/22/1992",0,NA,NA,"b9a3c74cd48a8f5347281975470e8793",2,"",NA,NA,NA,2,4,4,3,5,2,4,2,2,3,3,3,4,4,4,4,2,2,3,5,3,2,2,5,5,3,4,5,5,2,4,3,4,2,4,3,2,3,4,2,5,5,4
"75","25710e0c9eee87b77aa87bd20dce04be","6/22/1992",NA,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"6/16/2002",NA,NA,NA,4,2,4,5,6,2,4,3,2,5,6,3,3,5,4,3,2,2,3,4,4,4,4,5,5,5,4,5,4,3,5,1,5,4,2,3,6,4,3,4,6,2,5
"76","b07c2760643c3cf8db6a3c1d6caa61d7","12/5/1994",0,NA,NA,"b9a3c74cd48a8f5347281975470e8793",1,"7/26/2001",NA,NA,NA,6,2,5,6,3,1,6,6,3,6,5,5,5,2,4,5,2,1,5,4,5,4,3,6,6,5,2,4,3,2,5,5,5,4,5,5,3,5,3,2,3,4,3
"77","4fb718cebf55cd58276ca3096908193c","12/10/1967",0,NA,NA,"b9a3c74cd48a8f5347281975470e8793",2,"7/15/2001",NA,NA,NA,2,6,5,4,5,2,6,3,2,4,3,3,2,4,4,2,1,2,4,5,4,4,3,2,2,2,2,5,4,3,4,3,4,3,3,3,2,4,3,4,4,4,5
"78","4fb718cebf55cd58276ca3096908193c","12/10/1967",NA,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"9/17/1997",NA,NA,NA,3,3,6,5,3,6,5,5,2,2,6,2,2,6,1,3,4,4,2,3,2,2,4,2,5,4,5,4,5,5,2,3,1,3,2,6,5,2,7,6,6,2,5
"79","c5df3529047ca1794cdf1bafdae6b687","",0,NA,NA,"57fb5d0ae4d5344f7c5304d54546929a",1,"",NA,NA,NA,5,1,5,6,3,5,2,2,4,4,5,4,4,4,5,4,4,1,4,5,4,6,5,6,5,5,3,5,4,2,4,2,4,4,5,1,5,6,1,2,3,4,3
"80","db9e5f344f66115cd06d553ed2475179","7/14/1988",1,NA,NA,"c04f2152dd477342ab465e0f4dffb710",2,"11/21/1997",NA,NA,NA,3,5,5,2,2,5,4,5,6,3,4,2,4,4,4,3,5,6,3,2,2,5,5,4,2,2,6,2,3,4,2,5,3,6,3,5,6,2,4,5,3,2,6
"81","db9e5f344f66115cd06d553ed2475179","7/14/1988",NA,NA,NA,"b9a3c74cd48a8f5347281975470e8793",2,"7/26/2001",NA,NA,NA,2,5,3,4,3,3,5,5,5,3,2,2,3,5,5,4,5,6,4,4,3,5,3,4,2,2,4,5,3,3,4,3,4,3,4,4,5,4,4,5,4,5,5
