chimp,ID,rearing,sex,DoB,status,lastDate
Christa,730,1,0,06/01/1995,Alive,09/02/2016
Cissie,526,2,0,11/28/1976,Alive,09/02/2016
Claus,NA,1,1,12/25/1992,Alive,30/03/2016
Clint,471,2,1,06/06/1980,Death,02/08/2004
Columbus,433,2,1,10/10/1977,Death,04/01/2000
Conan,521,1,1,01/03/1986,Death,22/12/2014
Cynthia,558,1,0,06/07/1980,Death,28/03/2013
Daisey,650,1,0,10/01/1989,Alive,09/02/2016
Dara,624,1,0,6/16/1988,Alive,09/02/2016
David,431,2,1,6/27/1977,Alive,09/02/2016
Debbie,638,2,0,02/11/1989,Alive,31/03/2016
Dobbs,273,1,1,01/01/1961,Death,28/03/2001
Dona,658,1,0,04/03/1990,Alive,09/02/2016
Donald,551,2,1,10/15/1987,Death,17/09/2007
Dover,645,1,1,2/25/1994,Death,22/07/2004
Drew,629,2,1,03/06/1993,Alive,09/02/2016
Duff,591,2,1,02/08/1990,Death,12/01/2015
Duncan,295,2,1,09/16/1993,Death,25/06/2015
Edwina,682,1,0,5/28/1991,Death,30/12/2012
Ellie,452,1,0,8/14/1972,Death,20/03/2010
Elvira,632,1,0,10/31/1988,Alive,09/02/2016
Elwood,593,2,1,2/19/1990,Death,02/03/2014
Ericka,500,1,0,10/20/1973,Death,04/09/2016
Evelyne,686,2,0,09/04/1991,Alive,09/02/2016
Faye,694,2,0,6/22/1992,Alive,09/02/2016
Fiona,722,1,0,12/05/1994,Alive,09/02/2016
Flora,NA,2,0,01/01/1954,Death,09/05/1996
Foxy,382,2,0,12/10/1967,Alive,09/02/2016
Francisca,NA,3,0,01/01/1959,Death,12/07/1994
Frannie,696,2,0,10/26/1992,Alive,09/02/2016
Fritz,561,3,1,7/14/1988,Alive,09/02/2016
Garbo,168,2,0,12/10/1953,Death,15/11/2015
Gay,46A,1,0,01/01/1967,Death,17/08/2011
Gelb,505,2,1,4/18/1983,Alive,09/02/2016
Georgia,562,1,0,8/27/1980,Alive,09/02/2016
Grayson,NA,1,1,5/22/1997,Alive,27/03/2016
Gwennie,506,1,0,01/01/1969,Death,19/01/2010
Heppie,400,2,0,05/08/1969,Death,04/11/2009
Hoboh,367,1,1,01/01/1959,Death,24/03/2000
Hunter,511,2,1,08/03/1984,Death,16/07/2007
Iyk,317,1,1,08/01/1962,Death,25/04/2006
Jacqueline,524,2,0,10/16/1976,Alive,09/02/2016
Jaimie,728,1,0,5/17/1995,Alive,02/11/2016
Janice,654,2,0,01/01/1990,Death,09/02/2013
Jarred,549,2,1,9/21/1987,Death,12/02/2010
Jeanie,494,1,0,01/01/1969,Death,14/12/2005
Jenda,188,2,0,2/14/1958,Death,15/01/2006
Jenifere,480,1,0,01/01/1963,Death,03/01/2001
Jenny,NA,1,0,2/24/1940,Death,10/02/1998
Jesse,572,2,0,8/14/1982,Death,17/10/2003
Jewelle,688,1,0,03/09/1992,Alive,09/02/2016
Jimmy,425,2,1,1/21/1977,Death,06/04/2005
Jimoh,381,1,1,01/01/1964,Death,22/03/2014
Jolson,623,1,1,01/10/1993,Alive,18/03/2011
Jorg,301,2,1,02/01/1967,Death,02/10/2016
Joseph,475,2,1,11/25/1980,Alive,22/03/2016
Josh,597,2,1,08/27/1990,Death,18/12/2012
Juan,299,2,1,2/23/1968,Alive,22/03/2016
Julianne,NA,1,0,5/15/1998,Alive,09/02/2016
Julie,718,2,0,8/29/1994,Alive,09/02/2016
Justin,529,2,1,08/01/1986,Death,20/07/2012
Kasey,598,2,0,5/13/1986,Death,17/12/2015
Katrina,604,2,0,7/26/1987,Alive,22/03/2016
Kengee,616,2,0,06/01/1988,Death,02/04/2010
Kerri,724,1,0,01/02/1995,Death,02/10/2016
Kevin,595,1,1,07/08/1990,Alive,30/03/2016
Kipper,457,1,1,10/01/1979,Death,02/10/2016
Lamar,555,3,1,4/27/1988,Death,03/08/2014
Lana,NA,2,0,10/07/1970,Alive,22/09/1992
Lee,576,2,0,12/29/1983,Death,30/01/2003
Lena,516,2,0,2/29/1976,Death,16/02/2010
Les,407,2,1,09/08/1975,Death,26/02/2015
Leslie,538,1,0,01/01/1970,Alive,09/02/2016
Lil'One,488,2,0,01/01/1969,Alive,09/02/2016
Lindsey,710,2,0,02/10/1994,Alive,27/03/2016
Liza,NA,1,0,3/19/1994,Alive,09/02/2016
Lizzie,668,2,0,08/06/1990,Alive,01/11/2004
Lolita,222,1,0,08/01/1959,Death,15/11/2010
Lucas,631,2,1,3/22/1993,Alive,09/02/2016
Lucy,336,1,0,07/01/1956,Death,04/12/2000
Lulu,476,1,0,01/01/1957,Death,08/09/2014
Luther,589,2,1,1/14/1990,Alive,09/02/2016
Lux,485,1,1,8/16/1981,Death,18/03/2013
Lyons,509,2,1,08/03/1984,Death,16/04/2007
Magnum,581,2,1,07/08/1989,Alive,22/03/2016
Mai,456,1,0,01/01/1964,Death,29/01/2013
Marietta,472,2,0,08/03/1973,Death,02/12/2014
Marilyne,434,1,0,1/13/1971,Death,23/10/2000
Martha,204,2,0,07/07/1960,Alive,09/02/2016
Mary,202,2,0,07/07/1960,Death,21/04/2012
Mason,515,2,1,9/18/1984,Death,28/01/2012
Maverick,643,1,1,09/26/1993,Alive,31/03/2016
Maxine,338,1,0,02/10/1957,Death,13/12/2010
Mega,586,2,0,11/27/1984,Alive,30/03/2016
Melinda,574,1,0,10/30/1982,Death,20/09/2011
Melissa,568,2,0,6/27/1981,Death,12/10/2015
Merlin,627,2,1,02/02/1993,Alive,09/02/2016
Merv,413,2,1,01/06/1976,Death,10/12/2012
Missy,706,1,0,07/08/1993,Alive,09/02/2016
Morgan,NA,1,1,04/11/1996,Death,10/01/2013
Mortimer,423,2,1,12/20/1976,Death,13/02/2002
Natasha,612,1,0,12/19/1987,Death,23/02/2004
Ossabaw,NA,1,1,11/17/1976,Death,09/02/2004
Panzee,NA,2,0,12/31/1985,Death,09/02/2014
Patrick,639,2,1,7/14/1993,Alive,09/02/2016
Peony,522,1,0,01/01/1968,Death,04/01/2010
Pericles,NA,1,1,03/08/2001,Alive,09/02/2016
Phillip,429,1,1,4/30/1977,Death,10/06/2002
Phineas,61A,1,1,01/01/1966,Death,07/03/2004
Polyanna,640,1,0,2/17/1989,Death,13/12/2003
Puddin,447,2,1,12/23/1978,Death,30/11/2010
Ranette,610,1,0,12/17/1987,Alive,22/03/2016
Reba,190,2,0,11/03/1958,Death,02/01/2003
Rebecca,680,2,0,5/20/1991,Alive,22/03/2016
Reid,637,1,1,07/05/1993,Death,09/05/2012
Rhett,573,1,1,4/20/1989,Death,13/02/2005
Rita,606,1,0,09/23/1987,Alive,09/02/2016
Rogger,389,1,1,01/01/1969,Death,17/01/2014
Ronald,557,1,1,05/04/1988,LTF,27/03/2016
Rosemary,712,2,0,02/11/1994,LTF,27/03/2016
Rowena,628,3,0,8/13/1988,Alive,22/03/2016
Rufus,479,1,1,01/20/1981,Death,18/09/2015
Sabrina,536,2,0,10/16/1978,Alive,22/03/2016
Sam,501,1,1,5/19/1982,Alive,30/03/2016
Samantha,NA,1,0,8/28/1997,Alive,22/03/2016
Sara,NA,2,0,05/16/1979,Death,25/06/2015
Scott,545,2,1,6/23/1987,Alive,22/03/2016
Sean,609,1,1,3/16/1992,Alive,30/03/2016
Sellers,507,2,1,12/18/1983,Death,11/06/2001
Sheena,636,2,0,1/20/1989,Alive,27/03/2016
Sheila,444,1,0,3/19/1972,Alive,22/03/2016
Shirley,588,2,0,01/11/1985,Alive,22/03/2016
Socrates,537,1,1,1/23/1987,Death,29/11/2013
Sonia,406,1,0,11/01/1959,Death,05/06/2001
Sparkle,NA,3,0,01/01/1955,Death,21/11/1995
Steward,641,1,1,,,
Storer,491,1,1,11/19/1991,Death,27/04/2000
Suwanee,590,1,0,2/17/1985,Alive,22/03/2016
Suzanna,514,2,0,2/25/1976,Alive,22/03/2016
Sylvia,708,1,0,7/19/1993,Alive,22/03/2016
Tai,492,1,0,01/01/1967,Alive,22/03/2016
Tank,525,2,1,2/18/1986,Alive,27/03/2016
Tara,736,3,0,09/05/1995,Alive,22/03/2016
Travis,583,1,1,08/02/1989,Alive,22/03/2016
Virginia,678,1,0,04/18/1991,Alive,09/02/2016
Vivienne,498,2,0,7/27/1974,Alive,22/03/2016
Waga,570,1,0,3/19/1982,Death,27/12/2012
Walnut,NA,1,1,01/01/1965,Death,22/03/1994
Wenka,170,2,0,5/21/1954,Alive,22/03/2016
Wilma,630,1,0,10/27/1988,Death,19/12/2001
Wilson,647,2,1,03/09/1994,Alive,27/03/2016
Winston,535,2,1,01/12/1987,Alive,22/03/2016
Woodruff,405,2,1,7/22/1975,Death,03/09/2009
Zana,664,2,0,06/18/1990,Alive,31/03/2016
Zeb,NA,2,1,,,
