Brooks,Brodie,,,,0,,,chimp,DoB,status,lastDate,last1000ChimpsRecord
Rhett,Natasha,,,,1,,,,,,,
Rogger,Ossabaw,,,,1,,,,,,,
Ronald,Panzee,,,,1,,,,,,,
Rosemary,Patrick,,,,1,,,,,,,
Rowena,Peony,,,,1,,,,,,,
Sam,Phillip,,,,1,,,,,,,
Samantha,Phineas,,,,1,,,,,,,
Scott,Polyanna,,,,1,,,,,,,
Sean,Puddin,,,,1,,,,,,,
Sellers,Ranette,,,,1,,,,,,,
Sheena,Reba,,,,1,,,,,,,
Sheila,Rebecca,,,,1,,,,,,,
Socrates,Rhett,,,,1,,,,,,,
Sparkle,Rogger,,,,1,,,,,,,
Storer,Ronald,,,,1,,,,,,,
Suwanee,Rosemary,,,,1,,,,,,,
Suzanna,Rowena,,,,1,,,,,,,
Tai,Sabrina,,,,1,,,,,,,
Tank,Sam,,,,1,,,,,,,
Tara,Samantha,,,,1,,,,,,,
Vivienne,Scott,,,,1,,,,,,,
Waga,Sean,,,,1,,,,,,,
Walnut,Sellers,,,,1,,,,,,,
Wenka,Sheena,,,,1,,,,,,,
Wilma,Sheila,,,,1,,,,,,,
Wilson,Shirley,,,,1,,,,,,,
Winston,Socrates,,,,1,,,,,,,
Woodruff,Sonia,,,,1,,,,,,,
,Sparkle,,,,1,,,,,,,
,Storer,,,,1,,,,,,,
,Suwanee,,,,1,,,,,,,
,Suzanna,,,,1,,,,,,,
,Sylvia,,,,1,,,,,,,
,Tai,,,,1,,,,,,,
,Tank,,,,1,,,,,,,
,Tara,,,,1,,,,,,,
,Travis,,,,1,,,,,,,
,Vivienne,,,,1,,,,,,,
,Waga,,,,1,,,,,,,
,Walnut,,,,1,,,,,,,
,Wenka,,,,1,,,,,,,
,Wilma,,,,1,,,,,,,
,Wilson,,,,1,,,,,,,
,Winston,,,,1,,,,,,,
,Woodruff,,,,1,,,,,,,
Subject,chimp,,,,,,,,,,,
