X1..I.like.to.have.the.final.s,X2..I.spend.a.lot.of.time.visi,X3..I.often.want.to.impress.ot,X4..It.is.not.important.to.me.,X5..I.try.to.be.in.the.company,X6..I.feel.sad.if.nobody.recog,X7..Encounters.with.other.peop,X8..I.like.buying.things.which,X9..I.would.like.to.be.an.exec,X10..I.have.little.interest.in,X11..I.would.be.very.worried.i,X12..I.want.to.be.able.to.shar,X13..Getting.close.to.someone.,X14..I.feel.confident.when.dir,X15..Often.I.would.rather.be.a,X16..The.idea.of.not.having.an,X17..I.start.worrying.instantl,X18..I.try.to.control.others.r,X19..I.am.happy.to.do.people.f,X20..I.like.to.fully.immerse.m,X21..I.am.willing.to.use.aggre,X22..I.am.more.likely.to.help.,X23..Others.know.it.is.better.,X24..I.do.not.enjoy.having.aut,X25..Iƒ..m.very.keen.on.an.und,X26..It.is.important.to.me.to.,X27..I.go.out.of.my.way.to.mee,X28..I.enjoy.having.control.ov,X29..I.often.try.to.get.my.own,X30..I.do.not.have.a.forceful.,X31..It.is.better.to.do.good.t,X32..I.like.it.when.others.loo,X33..I.become.scared.when.I.lo,X34..The.opportunity.to.exerci,X35..Continuously.improve.myse,X36..To.be.in.a.leadership.pos,X37..Continuously.engage.in.ne,X38..Give.sympathy.and.love.to,X39..Opportunities.to.influenc,X40..Projects.that.challenge.m,X41..Personally.producing.work,X42..Be.respected.and.admired.,X43..Opportunities.to.take.on.,X44..High.social.status.,X45..Have.a.close..intimate.re,X46..Be.able.to.exert.influenc,X47..Engage.in.a.lot.of.activi,X48..To.be.well.known.to.a.lot,X49..A.position.with.prestige.,X50..Maintaining.high.standard,X51..Be.held.in.high.esteem.by,X52..Not.being.separated.from.,Age.in.years.,subject,gender
5,3,4,4,3,3,4,1,3,4,5,5,5,4,3,4,3,4,5,6,1,1,1,4,5,3,3,2,2,4,6,5,2,2,5,3,4,4,3,2,5,3,4,1,6,2,3,2,3,5,3,5,23,42,female
5,4,6,4,4,3,4,5,5,4,4,4,5,5,3,6,4,5,5,4,5,5,5,5,4,5,5,6,5,5,4,6,4,4,6,3,4,5,5,4,6,5,5,5,6,4,4,5,5,6,6,5,30,43,male
4,3,4,4,2,3,3,3,2,3,3,3,3,3,2,5,2,3,5,3,4,4,2,3,3,4,3,3,3,3,5,4,4,2,5,2,3,5,3,4,5,4,4,4,4,3,3,3,3,5,4,5,32,44,male
5,2,5,3,3,5,4,1,3,3,4,3,4,5,3,5,3,4,5,3,3,3,3,4,4,5,2,4,3,3,5,5,3,3,6,4,4,3,4,5,6,3,4,2,4,4,2,2,3,6,4,5,22,45,male
4,1,2,5,6,4,1,1,1,2,4,4,1,4,1,6,5,5,6,1,1,2,4,5,4,6,1,2,2,1,6,6,5,2,5,4,6,6,5,6,6,6,5,3,1,5,1,6,6,6,6,6,61,46,female
6,5,5,5,4,3,5,5,5,5,6,5,3,5,5,5,3,4,5,5,5,6,2,5,4,3,4,4,4,5,5,5,5,3,6,3,5,6,4,5,5,5,5,4,5,3,5,3,3,4,5,6,45,47,female
5,4,4,4,4,4,3,3,4,3,5,4,4,3,5,3,4,4,3,4,4,4,2,4,4,3,4,4,3,3,4,4,3,2,2,2,3,4,3,3,2,3,4,2,2,3,4,3,3,3,4,3,28,48,male
3,4,3,4,3,3,4,2,3,4,3,5,3,4,4,3,3,4,4,4,3,3,4,4,3,5,3,3,3,3,4,3,2,3,5,3,4,4,4,5,5,3,4,5,6,3,4,3,4,4,4,5,23,49,male
3,2,4,4,2,2,5,2,2,3,3,4,2,4,4,2,2,2,4,4,2,2,2,4,4,3,3,2,2,2,6,6,2,1,4,2,4,5,3,4,4,4,3,1,5,2,4,3,3,4,5,4,27,50,male
6,2,2,3,2,2,4,2,3,3,2,4,3,4,3,5,3,5,5,5,5,2,5,4,2,2,2,4,5,5,6,4,4,2,5,2,5,3,4,5,6,2,5,1,3,2,2,2,2,6,1,5,31,52,female
6,3,3,1,6,2,6,1,5,6,5,6,6,6,4,6,6,4,5,6,3,5,5,1,6,5,2,1,5,3,6,6,5,6,6,6,6,4,6,5,6,5,4,2,5,6,4,2,5,6,6,5,34,53,male
5,3,4,4,3,4,4,4,3,3,5,4,3,3,3,4,3,3,6,4,3,3,4,3,4,5,2,3,4,3,6,4,4,2,6,2,3,4,2,5,6,3,3,2,3,2,3,2,2,6,5,4,30,54,male
5,2,2,5,2,2,3,2,3,3,2,2,2,3,2,3,3,4,4,4,2,3,4,4,4,4,2,2,3,4,5,3,4,2,3,3,3,3,3,2,3,4,4,2,2,2,2,2,2,3,3,2,29,55,male
4,4,5,2,4,4,5,1,1,3,4,4,4,3,3,3,3,4,5,5,3,1,1,2,4,4,5,2,2,2,4,5,3,1,6,2,5,6,3,4,6,4,3,2,6,3,4,2,1,5,5,5,32,56,female
4,3,3,4,3,1,4,1,1,3,3,4,2,5,3,3,3,3,5,5,3,3,2,3,4,3,2,2,1,2,6,4,2,1,6,1,6,4,2,5,6,3,5,2,5,1,3,2,2,6,5,5,49,57,male
4,2,4,4,2,4,3,4,4,3,3,1,6,3,1,5,4,4,4,1,5,4,4,5,2,3,1,4,4,4,6,4,5,3,3,3,3,3,3,3,3,3,3,2,1,2,1,1,2,3,3,3,62,58,female
5,5,5,5,3,2,5,5,5,4,5,5,5,5,5,2,2,4,3,5,2,5,5,5,5,5,5,3,5,3,5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30,59,female
4,1,4,6,1,5,5,1,1,3,5,6,1,4,3,6,1,4,4,6,1,1,4,3,5,5,1,4,4,1,6,4,6,1,6,1,3,6,3,3,6,4,4,1,6,3,1,1,1,6,5,6,31,60,female
5,3,4,2,5,4,4,4,5,2,3,5,6,5,2,4,4,5,5,4,4,4,2,2,6,5,4,4,3,4,4,4,5,4,3,4,5,5,4,4,4,4,5,3,4,4,2,2,2,3,3,3,33,61,female
3,4,4,2,5,4,4,3,3,3,4,3,4,5,3,4,4,3,3,4,4,5,5,4,4,4,5,5,3,4,4,4,3,3,4,5,4,4,3,3,3,3,4,5,3,4,4,4,4,3,3,3,29,62,male
3,3,4,5,3,4,3,4,3,3,5,4,1,4,1,2,3,2,5,4,1,5,2,3,5,3,1,2,1,1,6,5,5,1,5,3,3,4,3,3,5,4,2,2,3,2,2,3,3,4,4,6,35,63,male
3,4,4,4,4,4,4,4,2,2,4,5,4,3,4,4,3,2,5,5,2,4,2,2,4,3,4,3,3,2,5,4,4,1,4,1,3,6,3,3,5,4,2,3,5,2,3,3,3,5,4,5,27,64,female
5,3,2,3,2,2,5,2,2,2,5,4,4,4,2,4,3,4,3,4,3,2,2,2,4,2,2,2,2,2,6,4,4,1,5,1,3,5,2,4,5,3,3,1,4,1,2,1,1,5,3,5,65,65,male
2,5,5,4,4,5,5,2,2,4,5,5,3,4,3,3,3,4,5,5,2,4,3,4,4,3,3,3,3,3,6,4,3,2,4,2,4,4,3,5,5,4,4,1,4,2,4,2,3,5,5,5,27,66,female
4,2,4,4,2,2,3,4,4,4,4,4,4,6,3,6,4,4,6,4,4,3,3,5,5,3,1,4,3,3,6,4,5,2,6,3,3,5,2,3,5,3,5,2,3,2,1,1,4,6,3,6,48,67,female
4,4,3,5,3,1,5,1,1,2,5,5,1,5,4,4,1,4,5,3,1,1,1,4,4,2,2,1,1,4,6,3,2,1,4,1,3,5,2,4,6,2,3,1,6,3,3,1,1,6,5,6,38,68,male
6,1,2,6,2,2,3,2,3,3,6,3,4,3,1,6,4,5,5,5,3,4,4,3,4,3,1,2,2,4,6,5,6,2,5,3,1,5,4,3,5,4,3,1,5,3,1,1,1,5,4,6,61,69,female
5,5,4,2,4,4,5,4,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,4,6,5,5,3,4,6,6,6,6,6,6,6,6,6,6,3,6,4,4,6,5,5,4,25,70,male
4,4,4,2,4,5,4,3,4,4,5,4,4,4,2,5,4,4,4,4,3,4,3,4,5,5,3,4,3,2,5,5,4,3,5,4,4,4,3,3,4,3,3,4,5,3,3,2,3,5,4,3,23,71,female
5,1,5,2,1,3,3,5,5,3,6,5,2,3,1,5,3,3,5,4,3,3,2,3,5,3,1,3,3,1,6,5,4,4,6,3,6,5,3,4,6,4,4,5,5,4,2,3,5,6,5,5,31,72,female
4,4,4,5,5,5,5,5,3,2,6,5,2,3,3,5,4,5,5,5,2,2,2,2,5,5,3,4,1,1,5,5,4,2,5,2,5,5,2,5,6,5,4,2,6,2,3,1,3,6,6,6,34,73,female
4,3,3,4,1,3,4,2,5,6,3,5,1,5,1,5,4,3,4,4,1,1,2,5,4,5,3,4,3,3,6,5,3,3,5,3,4,6,4,4,5,4,4,3,5,3,2,2,2,5,4,6,59,74,male
3,2,2,3,2,2,5,1,1,1,3,5,4,2,5,3,2,3,3,6,1,2,2,2,3,2,3,1,1,1,6,2,3,2,3,2,4,6,2,3,4,2,2,1,6,2,4,1,1,4,2,6,28,76,female
4,2,2,4,5,4,5,2,5,5,5,5,3,5,5,4,2,2,6,3,3,2,2,5,5,4,5,2,4,4,6,4,4,3,5,4,6,5,6,6,5,3,6,2,6,5,5,2,4,6,4,5,59,77,female
4,4,5,2,4,4,5,4,5,5,5,5,4,5,4,3,3,4,5,5,5,3,4,4,5,6,5,4,4,3,6,6,3,5,6,6,6,6,6,6,6,6,6,4,5,5,5,5,5,6,5,5,22,78,male
4,3,5,5,4,4,4,4,3,2,5,4,3,3,2,5,3,4,5,3,3,5,2,2,5,5,2,3,5,2,5,6,5,1,5,1,3,3,3,4,5,6,4,4,4,3,2,1,5,5,5,4,25,79,male
4,3,3,4,3,4,4,2,3,3,4,4,3,3,3,5,3,3,4,3,3,3,3,3,3,4,2,3,3,2,4,4,4,3,5,3,4,3,3,4,4,3,4,3,5,3,3,2,3,4,3,4,30,80,male
3,2,4,4,4,4,4,2,4,3,4,4,5,3,3,4,4,3,4,4,5,3,3,3,4,4,2,2,3,3,5,4,4,2,6,2,3,5,4,5,5,3,4,3,6,2,5,4,2,5,5,6,29,81,male
6,4,5,6,5,6,3,5,6,6,4,6,6,6,4,6,6,6,4,6,6,3,5,6,4,5,2,6,6,6,6,6,6,6,6,6,6,6,6,3,6,5,4,6,6,6,4,6,5,6,5,6,26,82,female
5,4,4,5,4,2,4,3,4,5,4,5,4,5,4,5,3,5,5,5,5,4,5,5,4,5,4,5,5,4,4,5,3,5,6,5,6,4,5,6,6,5,6,4,4,4,5,4,4,5,4,4,45,83,male
5,4,4,5,5,3,6,1,3,1,4,5,5,5,2,5,2,2,5,6,4,1,4,3,4,5,1,2,4,2,4,5,4,2,5,3,4,1,2,5,6,2,5,2,6,2,4,2,2,5,3,5,22,84,male
4,1,3,5,1,3,4,1,1,2,4,4,3,4,2,4,3,3,4,3,1,1,1,3,4,4,2,1,1,1,6,5,5,1,3,1,4,6,1,3,5,4,3,1,3,2,1,1,1,5,5,4,62,86,female
5,5,5,5,5,4,5,4,5,6,5,5,4,5,5,2,2,2,4,5,4,2,2,6,3,5,4,4,4,2,5,5,2,4,6,5,6,4,4,6,6,5,6,5,6,5,5,5,5,6,6,6,29,87,male
4,3,4,5,4,6,4,4,4,4,5,5,4,4,4,4,2,2,5,5,1,3,2,4,5,3,3,4,2,1,6,6,4,3,6,3,5,6,3,4,6,4,5,2,5,3,3,2,3,6,4,5,28,89,female
5,4,4,5,5,4,4,2,4,4,4,5,3,5,5,5,4,4,5,5,5,5,5,5,4,5,4,4,4,5,6,5,3,3,5,3,5,3,3,5,5,5,5,2,4,4,4,2,3,4,4,6,30,90,female
5,2,4,5,2,2,5,6,4,5,4,4,4,5,3,4,5,4,6,4,2,3,4,5,4,5,5,4,4,1,6,5,4,4,5,4,6,6,5,5,5,4,6,1,4,4,3,2,3,6,4,3,48,91,male
4,4,5,4,4,3,6,6,3,3,5,6,6,5,6,3,3,3,5,6,3,4,1,3,4,5,4,3,3,3,6,5,3,3,4,2,3,5,3,3,4,4,3,3,6,3,4,3,2,3,4,6,29,93,male
5,3,2,5,3,2,4,4,3,2,4,4,1,2,2,5,3,3,4,4,4,5,2,3,4,5,2,3,3,2,6,4,4,2,5,2,3,3,2,3,6,4,4,3,5,3,3,2,3,5,4,6,31,94,male
1,2,1,4,1,4,5,1,1,6,1,5,2,2,5,2,1,1,5,2,1,1,1,6,3,4,1,1,1,1,6,3,1,1,5,1,4,5,5,3,4,5,5,2,5,1,3,1,1,5,3,1,34,95,male
4,3,4,4,3,4,4,3,2,3,4,4,3,4,4,4,3,3,4,4,3,3,2,3,4,3,3,3,3,2,5,4,3,2,5,2,4,5,2,3,6,3,2,1,6,2,3,2,2,6,4,6,42,96,female
6,2,4,6,5,4,5,4,5,6,6,5,2,4,6,2,3,5,6,5,1,2,4,5,6,6,4,5,5,3,6,6,4,3,6,6,5,5,4,5,6,4,3,4,5,3,4,6,5,4,5,4,34,97,male
6,6,6,1,4,1,6,1,6,6,5,3,3,4,4,5,5,4,5,6,6,1,5,5,4,5,5,5,5,5,6,6,3,6,6,6,6,6,6,6,6,6,6,3,5,6,6,6,6,6,6,6,22,98,male
5,4,5,4,4,4,3,2,5,4,4,5,3,5,4,4,3,4,5,4,3,2,2,5,4,5,2,4,2,4,5,5,3,2,6,4,6,3,3,5,6,5,5,4,5,4,3,3,4,5,5,3,25,99,male
5,4,5,2,3,4,4,2,3,3,5,4,4,4,2,5,5,4,5,5,1,3,4,4,5,4,2,3,3,3,6,5,5,2,6,2,4,6,4,3,6,5,3,3,6,4,3,1,1,5,4,6,39,100,female
6,2,2,5,2,4,2,2,5,6,6,6,1,5,1,5,5,6,6,4,5,3,2,5,6,2,1,4,4,4,6,5,5,4,6,4,6,4,4,6,6,4,6,1,6,5,2,1,1,6,6,5,27,101,male
4,5,5,6,5,3,6,4,4,6,6,6,6,4,6,4,4,4,6,6,2,6,4,6,6,4,6,4,4,2,6,6,5,4,6,4,6,6,6,6,6,6,6,4,6,6,6,4,4,6,6,6,20,102,female
5,1,1,6,1,4,5,1,2,6,5,4,6,5,2,2,2,2,5,6,5,1,1,5,5,5,2,5,2,4,6,5,2,2,6,2,5,6,4,6,6,5,6,1,6,3,3,2,2,6,6,6,29,103,male
3,4,3,3,4,3,4,4,2,2,4,5,4,3,3,2,2,2,5,4,1,3,1,3,4,3,3,2,1,1,6,4,1,2,5,2,4,5,4,4,4,5,4,2,4,3,2,2,2,3,4,3,56,104,female
6,2,5,6,2,5,3,2,1,1,6,2,1,1,2,6,5,5,6,4,5,1,3,2,6,5,1,3,3,2,6,4,6,2,6,2,6,4,2,6,6,5,6,2,4,2,2,2,2,6,6,6,24,105,female
4,2,1,6,2,2,3,3,3,5,6,2,4,5,4,6,3,2,4,4,5,3,1,2,3,3,3,5,3,3,5,5,4,1,5,2,6,4,3,2,4,4,4,4,2,2,5,5,2,4,3,3,21,106,female
3,2,6,5,3,5,4,4,4,4,5,5,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,4,4,5,5,5,3,3,4,5,5,5,4,4,3,3,4,4,4,4,4,31,107,male
3,4,2,3,4,1,5,3,2,6,4,5,3,5,5,3,2,4,6,4,3,3,4,4,4,4,3,3,4,4,5,4,4,2,5,2,4,3,4,5,6,4,5,3,5,2,4,3,3,6,4,5,30,108,male
3,2,3,6,3,4,5,1,1,2,5,6,2,3,2,5,3,2,4,5,2,1,3,3,3,3,2,2,3,1,6,5,5,2,6,2,3,6,3,4,5,4,4,2,4,3,3,3,2,5,4,6,54,109,female
1,2,5,6,1,5,4,1,3,2,5,6,2,1,1,3,5,1,6,6,2,4,1,2,5,2,1,3,4,2,6,5,2,1,6,2,3,3,4,4,4,5,4,3,6,3,1,2,2,5,5,5,24,110,female
4,3,2,4,3,3,4,3,1,1,5,5,3,3,2,3,2,2,5,4,2,3,2,2,4,4,2,2,2,2,6,4,5,1,4,1,5,4,2,4,5,4,4,2,3,2,2,2,2,5,4,3,64,111,female
1,5,1,3,5,2,5,1,3,4,3,4,4,4,4,3,3,3,5,3,3,3,1,4,3,3,5,3,2,2,5,4,3,2,6,2,6,6,2,4,5,3,5,1,6,2,4,1,1,5,5,5,28,112,female
4,5,2,2,5,2,4,4,3,2,2,4,3,3,6,3,2,3,5,5,2,3,2,4,3,2,4,2,2,2,5,2,2,1,4,1,4,3,2,3,4,4,3,1,4,2,5,4,1,1,1,3,22,113,female
5,3,5,5,4,4,4,5,3,2,5,6,4,4,3,6,4,4,4,5,2,4,2,4,4,5,2,2,2,3,6,6,6,3,6,3,6,5,2,5,5,5,5,4,5,4,3,3,4,5,5,6,22,114,female
5,3,3,6,6,5,5,2,5,5,6,5,3,5,6,6,4,4,5,5,4,4,3,5,5,5,4,2,5,4,6,6,5,4,6,4,5,4,5,5,5,5,5,4,6,5,5,4,5,5,5,4,32,115,male
4,2,2,4,1,4,3,2,3,3,4,5,5,4,1,5,4,3,5,5,4,2,3,4,5,5,2,2,4,4,6,5,5,3,6,2,5,4,3,3,6,5,4,1,6,4,2,3,2,5,4,4,NA,116,NA
4,3,4,4,3,3,5,4,5,4,4,6,4,4,3,3,2,3,2,5,3,2,3,4,2,3,2,4,3,2,5,4,2,3,5,4,4,2,4,4,5,4,5,4,6,4,4,3,5,5,4,5,26,117,male
5,6,3,5,6,4,6,3,2,1,5,3,2,3,5,5,2,3,5,4,5,3,2,2,4,4,6,1,4,1,6,4,5,2,5,2,5,5,2,5,6,2,6,3,5,1,6,5,2,6,4,5,43,118,male
3,3,2,5,3,5,4,1,1,2,1,4,3,2,2,5,4,1,4,5,1,1,1,2,2,1,3,1,1,1,6,3,4,1,6,1,4,6,4,5,6,4,5,1,4,4,3,2,3,6,5,6,51,119,female
2,2,1,3,3,2,2,2,2,2,2,5,3,2,3,2,1,1,4,5,3,1,1,2,3,2,2,2,2,1,6,4,1,1,5,1,5,6,1,2,3,2,1,1,6,1,3,1,1,1,1,6,22,120,female
