chimp,Sex,DOB,Dam,Sire,Rater,DOPR,DaysAgeatTest,YearsAgeatTest,location,Version ,Group size,fear,dom,pers,caut,stbl,aut,stngy,jeals,reckl,soc,tim,symp,play,sol,actv,help,buly,aggr,manp,gntl,affc,exct,impl,inqs,subm,depd,irri,pred,decs,depr,sens,defn,intll,prot,invt,clmy,errc,frdy,lazy,dsor,unem,imit,indp
Lucy,0,7/1/56,,,DL,10/4/97,15070,42.3,Yerkes,B,,6,2,2,6,5,5,3,3,2,5,6,5,2,5,3,5,2,3,3,6,5,3,2,2,6,7,4,5,4,3,6,3,4,6,2,5,2,5,5,2,5,6,5
Mary,0,7/7/60,Flora,Jent,AH,7/15/01,14983,42.1,Yerkes,A,2,3,1,2,6,4,1,1,1,1,3,5,4,2,5,1,2,1,1,4,6,5,4,2,2,6,5,2,6,5,4,5,1,4,3,2,5,2,3,7,1,5,4,4
Cheeta,0,1/1/57,,,WH,8/13/97,14834,41.7,Yerkes,B,,2,5,5,2,2,4,6,5,5,4,3,2,2,5,4,3,5,6,5,3,2,5,5,4,3,2,6,3,4,4,4,5,5,3,4,4,5,2,4,4,3,4,6
Dobbs,1,1/1/61,,,MW,7/15/01,14805,41.6,Yerkes,A,2,1,7,5,2,2,2,5,5,5,2,1,2,2,6,3,2,6,7,5,2,1,6,6,2,1,1,6,5,6,5,2,6,5,3,2,2,6,2,2,5,3,2,6
Beleka,0,1/1/62,,,MW,7/26/01,14451,40.6,Yerkes,A,6,3,2,6,3,3,4,5,4,4,3,3,4,2,3,3,5,2,4,3,4,4,4,3,4,4,3,3,6,4,5,4,2,2,3,2,4,4,3,4,5,5,2,6
Sonia,0,11/1/59,,,SS,1/3/99,14308,40.2,Yerkes,A,,4,4,2,4,6,1,1,1,1,6,2,6,1,4,1,6,1,1,1,7,7,2,1,4,4,2,1,7,6,5,5,1,5,6,2,4,1,7,6,1,4,3,4
Iyk,1,8/1/62,,,MW,7/26/01,14239,40.0,Yerkes,A,6,3,1,2,5,5,2,2,3,2,2,5,3,3,6,1,4,2,2,1,5,5,2,2,1,3,2,2,6,3,5,4,2,3,3,1,3,1,4,7,5,4,3,6
Francisca,0,1/1/59,,,WH,11/23/97,14206,39.9,Yerkes,A,2,4,6,6,3,2,5,6,6,6,2,4,4,2,5,1,2,6,7,7,3,3,7,5,2,2,3,6,5,5,2,3,6,5,4,3,4,6,2,6,2,1,4,5
Reba,0,11/3/58,Flora,Web,WH,7/30/97,14149,39.7,Yerkes,A,7,6,3,4,4,2,6,3,3,2,4,5,3,2,2,4,4,3,2,2,3,3,5,5,2,5,5,5,5,4,2,3,3,3,3,2,5,6,4,4,6,2,4,4
Hoboh,1,1/1/59,,,WH,7/27/97,14087,39.6,Yerkes,A,3,1,6,6,2,2,6,6,4,6,3,5,2,3,4,4,4,5,6,5,3,3,6,6,4,2,4,4,5,5,5,2,6,4,4,4,5,6,4,4,5,1,4,5
Martha,0,7/7/60,Flora,Jent,SS,1/14/99,14070,39.5,Yerkes,B,,2,3,3,4,4,2,3,2,2,3,2,4,2,4,2,4,2,1,2,4,4,3,1,3,2,3,1,6,4,2,4,1,5,4,1,1,2,4,6,1,4,1,5
Boka,0,11/11/59,Alfalfa,Bokar,WH,11/12/97,13881,39.0,Yerkes,A,3,4,5,3,5,6,1,3,3,2,4,5,4,1,4,1,4,3,2,4,5,4,2,2,2,4,4,2,5,5,4,5,2,2,4,1,5,2,4,6,5,5,3,4
Lolita,0,8/1/59,,,WH,7/24/97,13872,39.0,Yerkes,A,3,4,4,5,5,4,2,5,2,2,5,6,4,4,5,2,4,3,2,5,5,4,5,3,3,4,4,4,5,4,5,5,3,4,4,4,3,3,5,6,2,6,4,5
Alice,0,1/1/61,,,WH,9/3/97,13394,37.6,Yerkes,B,,4,5,5,4,4,2,5,4,2,3,4,5,5,6,4,3,3,5,4,4,4,4,4,4,3,4,4,6,4,4,4,3,5,4,5,4,4,3,4,4,3,5,5
Mai,0,1/1/64,,,TH,8/16/00,13377,37.6,Yerkes,B,,5,2,6,4,2,1,6,6,2,3,6,3,2,4,2,4,5,4,4,3,5,6,1,2,6,6,6,2,5,5,4,4,4,6,2,2,6,3,6,4,1,1,2
Jimoh,1,1/1/64,,,LP,6/11/00,13311,37.4,Yerkes,B,,2,4,3,5,6,4,5,3,4,6,2,5,4,5,4,5,5,4,5,6,6,3,2,4,2,4,2,6,5,2,6,2,6,5,2,1,1,6,4,1,6,2,5
Borie,0,1/1/64,,,JM,1/11/99,12794,35.9,Yerkes,A,,1,7,5,3,6,1,3,2,1,6,1,5,3,2,4,4,5,1,2,5,5,2,3,6,2,2,1,5,5,1,6,1,7,6,6,2,1,5,3,1,3,1,6
Jennifer,0,1/1/63,,,WH,9/10/97,12671,35.6,Yerkes,B,,4,5,7,3,2,5,6,5,3,2,3,1,2,6,3,3,6,5,4,3,2,7,5,2,3,3,7,2,6,4,4,6,5,3,3,4,6,2,4,4,1,3,5
Foxy,0,12/10/67,Halpha,Jethrow,AH,7/15/01,12271,34.5,Yerkes,A,2,2,6,5,4,5,2,6,3,2,4,3,3,2,4,4,2,1,2,4,5,4,4,3,2,2,2,2,5,4,3,4,3,4,3,3,3,2,4,3,4,4,4,5
Atlanta,0,8/10/65,Cheri,Jent,SS,1/19/99,12215,34.3,Yerkes,A,,1,2,1,1,7,1,5,2,1,4,1,6,1,6,1,1,1,1,1,6,7,1,1,2,1,1,1,7,7,1,6,1,6,2,1,1,1,7,7,1,2,1,7
Phineas,1,1/1/66,,,JF,1/12/99,12064,33.9,Yerkes,B,,5,6,4,4,3,2,7,7,2,6,2,4,6,2,5,2,6,5,6,3,5,5,2,5,2,2,2,6,6,1,4,1,6,5,4,1,2,4,1,1,2,1,6
Bo,0,1/1/69,,,AH,7/26/01,11894,33.4,Yerkes,A,9,4,4,4,5,6,1,3,3,2,5,4,5,2,5,2,4,2,2,5,6,5,3,3,5,4,4,3,5,4,4,5,3,4,4,3,5,2,4,5,3,6,4,5
Lilone,0,1/1/69,,,AH,7/26/01,11894,33.4,Yerkes,A,9,5,3,5,4,3,2,1,2,3,4,4,5,3,3,3,5,3,3,5,5,5,5,3,4,3,3,3,5,4,3,5,3,5,5,5,5,3,5,3,2,3,4,3
Walnut,1,1/1/65,,,WH,7/18/97,11886,33.4,Yerkes,A,10,2,7,4,5,5,5,2,3,2,6,2,5,5,2,3,3,2,3,5,5,5,2,2,5,2,2,2,5,5,4,4,3,5,5,3,2,2,6,4,3,4,4,5
Heppie,0,5/8/69,Lolita,Hep,AH,7/15/01,11756,33.0,Yerkes,A,2,4,3,3,6,6,2,4,3,2,4,5,4,2,5,1,4,1,1,4,5,4,3,1,1,4,3,2,6,4,5,4,2,3,4,2,5,2,3,6,3,6,4,4
Tai,0,1/1/67,,,JM,1/11/99,11698,32.9,Yerkes,A,,3,2,3,3,4,1,4,2,1,3,3,3,2,5,3,4,2,2,2,5,4,5,3,4,3,4,2,6,2,2,5,2,5,3,4,2,1,3,5,3,3,1,4
Lana,0,10/7/70,Banana,Hal,MB,6/5/02,11564,32.5,Yerkes,B,4,1,2,2,7,7,6,1,1,1,4,5,5,2,2,2,6,1,1,6,6,5,1,6,5,6,5,3,6,7,3,7,1,6,6,5,1,2,4,5,1,3,5,7
Leslie,0,1/1/70,,,AH,7/26/01,11529,32.4,Yerkes,A,11,2,5,2,3,6,4,2,2,2,5,2,5,3,4,1,4,2,2,4,5,5,3,3,3,3,3,2,5,4,4,4,3,4,5,4,4,3,5,7,3,5,4,5
Peony,0,1/1/68,,,SS,1/19/99,11341,31.9,Yerkes,B,,1,7,5,1,6,1,6,3,2,5,1,4,2,5,1,4,3,1,2,6,5,1,1,2,1,2,1,6,6,1,4,5,4,4,2,1,1,6,4,1,4,1,6
Gay,0,1/1/67,,,WH,8/31/97,11200,31.5,Yerkes,A,7,2,7,7,3,4,2,6,5,6,3,5,3,5,5,4,2,7,6,6,3,2,5,4,4,2,2,4,4,5,4,3,6,4,4,3,5,4,5,3,4,5,4,6
Gwennie,0,1/1/69,,,SS,1/16/99,10972,30.8,Yerkes,B,,1,1,7,7,6,1,1,7,1,6,1,4,1,5,1,5,1,1,7,1,6,1,1,6,1,4,1,7,6,1,5,2,7,5,7,1,1,2,7,1,2,4,5
Juan,1,2/23/68,Jenny,Frans,WH,7/17/97,10737,30.2,Yerkes,A,3,6,2,2,2,6,5,1,1,1,5,7,5,4,6,2,4,2,2,4,5,5,3,2,2,5,5,2,6,4,2,4,2,2,5,3,5,2,5,5,6,5,3,5
Ellie,0,8/14/72,Cookie,Homer,AH,7/15/01,10562,29.7,Yerkes,B,,2,2,2,5,5,1,4,2,2,3,5,2,1,6,1,3,2,1,4,5,2,1,1,1,6,4,1,6,3,5,4,1,4,2,3,2,2,2,7,2,7,4,4
Rogger,1,1/1/69,,,WH,11/3/97,10533,29.6,Yerkes,A,7,1,7,7,1,3,4,7,7,6,3,3,2,2,3,5,3,7,6,5,3,3,5,3,2,1,2,4,5,5,2,4,6,1,5,1,5,2,3,4,5,2,1,6
Jeanie,0,1/1/69,,,WH,7/10/97,10417,29.3,Yerkes,A,2,4,4,5,5,7,1,2,3,2,5,2,5,5,3,3,4,2,2,5,5,5,4,4,5,3,2,2,5,5,1,4,2,6,5,6,2,2,5,2,2,5,4,5
Marilyne,0,1/13/71,Lola,,SS,1/14/99,10228,28.7,Yerkes,B,,2,7,7,1,5,2,7,6,6,3,1,1,3,6,3,3,5,5,7,3,4,3,5,4,1,1,5,4,7,4,4,7,7,3,5,2,3,3,2,1,2,1,7
Marietta,0,8/3/73,Martha,Homer,MW,7/15/01,10208,28.7,Yerkes,A,2,6,1,2,6,3,2,3,3,2,3,5,5,3,2,2,4,1,2,2,5,4,4,2,2,6,5,2,5,4,6,6,2,4,2,2,4,1,5,6,4,3,3,2
Austin,1,7/10/74,Vonee,,JK,6/5/02,10192,28.6,Yerkes,A,4,4,2,4,5,5,1,4,4,1,7,1,5,6,1,4,6,5,1,6,5,6,5,1,6,3,1,1,4,6,1,6,4,7,3,7,2,1,7,1,1,1,6,5
Sheila,0,3/19/72,Lolita,Hep,SS,1/13/99,9796,27.5,Yerkes,B,,3,6,5,3,3,1,5,5,5,4,1,3,4,5,5,3,5,5,4,4,2,6,1,4,1,1,3,6,6,4,5,3,6,4,4,1,1,2,3,1,2,4,6
Barbara,0,12/16/72,Sonia,Hal,SS,1/13/99,9524,26.8,Yerkes,A,,2,3,2,6,6,1,1,2,1,5,1,4,1,5,1,4,2,1,3,6,6,1,1,4,3,2,4,6,4,4,4,1,5,5,3,1,1,6,6,1,1,4,4
Woodruff,1,7/22/75,Anna,Frans,MW,7/16/01,9491,26.7,Yerkes,A,2,3,2,6,5,6,2,4,4,2,5,2,5,3,2,3,5,1,1,2,6,5,3,3,6,6,2,2,6,6,3,5,2,5,4,5,3,2,6,6,2,3,4,6
Augusta,0,8/1/75,Mary,Homer,MW,7/15/01,9480,26.6,Yerkes,A,2,5,5,6,2,2,2,6,6,2,3,4,2,2,4,4,5,2,6,4,2,2,5,4,4,5,6,5,5,5,2,4,2,4,3,2,2,3,3,3,2,3,6,3
Boisfeullet,1,12/14/71,Jenda,,WH,10/30/97,9452,26.6,Yerkes,A,2,3,3,5,5,2,5,4,4,6,1,6,2,1,5,6,3,5,5,2,2,2,6,5,2,3,2,4,5,3,5,2,5,1,2,1,6,6,3,3,6,4,1,5
Angela,0,9/17/71,Reba,Hep,WH,7/27/97,9445,26.5,Yerkes,A,2,5,6,5,5,5,5,5,4,1,3,6,4,2,6,3,4,2,1,4,5,5,2,2,2,6,5,4,4,3,5,5,2,1,4,1,6,4,5,6,6,5,4,4
Les,1,9/8/75,Flora,Hal,MW,7/15/01,9442,26.5,Yerkes,A,2,7,1,6,6,2,6,5,6,3,2,6,4,2,3,5,2,1,3,4,2,2,7,5,2,7,2,5,5,4,4,6,1,4,1,2,2,6,3,3,5,2,1,1
Merv,1,1/6/76,Halpha,Hep,AH,7/15/01,9322,26.2,Yerkes,A,2,2,5,5,2,3,2,5,5,5,4,2,4,5,4,6,4,5,5,4,3,4,5,5,5,2,2,5,5,5,2,4,4,4,4,5,2,3,3,1,3,2,4,7
Suzanna,0,2/25/76,Jenda,Hep,AH,7/15/01,9272,26.0,Yerkes,A,2,4,4,5,5,3,2,4,5,6,3,2,2,5,4,7,4,4,4,5,3,3,7,7,5,2,2,5,2,5,2,2,5,4,3,4,3,5,2,1,6,2,4,6
Lena,0,2/29/76,Reba,Hep,AH,7/15/01,9268,26.0,Yerkes,A,2,4,3,4,6,3,2,2,2,2,5,4,5,2,4,3,4,1,1,6,5,5,4,3,5,6,3,1,3,4,3,6,5,5,4,5,4,2,4,4,3,4,4,3
Erika,0,10/20/73,,,SS,1/16/99,9219,25.9,Yerkes,B,,1,7,7,1,2,1,7,7,7,2,1,2,4,1,4,3,7,6,7,1,4,5,6,5,1,1,7,7,7,1,4,6,2,2,4,1,2,1,4,2,1,1,7
Artifee,0,7/24/76,Banana,Hoboh,AH,7/15/01,9122,25.6,Yerkes,A,2,4,5,4,4,4,2,4,3,2,4,5,5,3,4,3,5,1,1,5,5,4,4,3,4,2,3,2,6,5,4,5,5,4,4,4,5,3,3,5,3,5,4,5
Ossobaw,1,11/17/76,Tari,Jiggs,AH,7/15/01,9006,25.3,Yerkes,A,2,4,5,6,2,3,2,5,5,5,3,3,1,2,4,2,2,4,4,2,3,4,5,5,3,2,3,6,4,3,4,2,2,2,3,2,4,5,3,5,5,4,4,4
Jimmy Carter,1,1/21/77,Anna,Franklin,AH,7/15/01,8941,25.1,Yerkes,A,2,1,6,3,2,3,1,6,5,3,3,4,2,2,5,2,3,5,5,4,2,2,2,2,4,2,1,4,5,5,5,3,3,4,2,3,4,4,2,6,4,5,4,5
Vivienne,0,7/27/74,Boka,,SS,1/10/99,8933,25.1,Yerkes,A,,4,1,2,7,4,2,2,2,2,1,4,2,1,7,2,2,2,1,1,4,2,2,2,6,7,4,4,6,4,6,4,1,4,1,2,1,1,2,6,2,6,2,5
Phillip,1,4/30/77,Lolita,Hep,MW,7/26/01,8853,24.9,Yerkes,A,6,3,4,4,3,2,5,5,6,6,3,3,2,1,6,2,2,3,3,5,1,2,5,6,3,2,3,6,4,5,4,2,4,3,3,2,3,5,2,5,4,5,3,6
David,1,6/27/77,Flora,Hal,MW,7/15/01,8784,24.7,Yerkes,A,2,5,3,3,5,5,2,4,3,2,5,2,5,3,2,4,4,2,3,2,4,3,5,3,5,3,3,3,5,5,2,5,2,4,3,4,2,2,5,2,2,3,2,5
Cissie,0,11/28/76,Boka,Hep,LP,6/11/00,8596,24.1,Yerkes,B,,6,4,3,4,3,6,2,3,4,3,4,4,3,5,3,4,4,3,3,4,5,5,6,2,3,3,4,3,4,4,4,4,5,5,2,1,4,4,2,1,2,3,5
Barbi,0,6/14/76,Cookie,Homer,JM,1/11/99,8246,23.2,Yerkes,A,,4,2,2,5,4,1,4,2,2,2,5,3,2,5,2,2,2,2,2,3,2,2,2,3,5,5,2,5,3,5,3,2,2,2,2,2,2,5,5,3,5,2,2
Colombus,1,10/10/77,Sonia,Phinneas,WH,11/12/99,8068,22.7,Yerkes,A,,6,4,3,6,4,6,6,4,5,3,6,4,3,7,3,3,5,4,6,2,2,6,5,5,3,5,3,3,5,5,2,4,3,5,2,6,5,4,5,5,3,2,5
Brent,1,1/20/76,Dena,Hep,WH,8/8/97,7871,22.1,Yerkes,A,2,2,5,5,1,1,6,6,5,6,5,2,3,4,6,5,3,6,6,4,2,2,6,6,4,3,4,5,3,4,4,3,5,4,5,4,5,5,4,4,5,2,4,5
Jacqueline,0,10/16/76,Martha,Homer,WH,11/3/97,7688,21.6,Yerkes,A,7,5,5,3,2,3,1,6,6,6,4,5,3,1,4,4,3,6,5,5,3,2,5,6,1,1,4,6,2,4,3,3,6,2,2,1,2,6,2,4,5,2,2,6
Mortimer,1,12/20/76,Mary,Homer,WH,7/7/97,7504,21.1,Yerkes,A,2,1,6,6,1,2,6,6,6,6,,,,,,4,1,7,7,4,1,2,7,7,4,2,2,7,5,6,4,4,6,4,2,4,2,6,2,4,5,1,4,6
Bertha,0,3/5/77,Reba,Hep,WH,7/28/97,7450,20.9,Yerkes,A,2,4,5,5,4,4,6,5,4,4,4,3,4,3,5,4,4,5,5,5,3,3,5,5,4,5,5,5,4,4,6,4,5,5,4,4,4,5,4,4,4,3,4,5
Sabrina,0,10/16/78,Mary,Homer,SS,1/14/99,7395,20.8,Yerkes,A,,4,4,4,3,3,5,3,3,5,3,3,3,2,5,5,3,5,5,4,3,3,5,5,4,4,4,5,4,4,5,4,5,5,3,4,2,5,3,3,2,4,3,5
Georgia,0,8/27/80,Borie,Jiggs,JM,8/16/00,7294,20.5,Yerkes,A,1,1,7,7,2,6,1,7,7,6,6,1,2,4,1,4,3,7,7,7,1,4,4,6,7,1,1,6,1,6,1,2,7,6,2,6,1,6,3,2,2,3,2,7
Lux,1,8/16/81,Marilyne,Walnut,AH,7/26/01,7284,20.5,Yerkes,A,11,2,6,5,3,4,3,2,2,3,3,3,3,3,5,3,4,4,5,4,4,3,5,4,4,1,1,2,3,3,5,3,5,4,4,4,5,4,4,6,5,4,3,5
Anja,0,1/9/80,Tari,Jiggs,JM,1/11/99,6942,19.5,Yerkes,A,,2,6,6,2,3,1,7,4,5,3,2,3,1,5,1,2,7,5,6,3,2,2,3,3,2,3,4,6,7,2,2,5,5,2,4,2,4,3,5,2,5,2,5
Puddin,1,12/23/78,Mai,Hep,WH,8/5/97,6800,19.1,Yerkes,A,2,2,5,5,1,3,6,5,4,6,2,2,2,3,6,4,4,6,7,5,3,2,6,5,3,1,2,5,4,4,4,3,6,4,5,5,3,2,2,4,4,5,4,4
Cynthia,0,6/7/80,Beleka,Iyk,SS,1/13/99,6794,19.1,Yerkes,B,,2,2,5,6,6,1,2,7,2,6,2,6,3,2,4,6,4,1,1,6,5,1,2,5,4,2,2,6,5,2,6,1,6,5,4,1,2,6,5,1,2,4,5
Brian,1,3/31/79,Lolita,Jiggs,WH ,10/31/97,6789,19.1,Yerkes,A,2,2,4,5,2,3,1,6,6,5,2,5,3,2,6,3,2,5,5,2,2,2,5,5,3,3,5,5,6,3,4,3,5,2,4,2,5,5,3,4,5,4,2,5
Gelb,1,4/18/83,Sheila,Walnut,MW,7/15/01,6663,18.7,Yerkes,A,2,1,6,6,2,2,3,6,6,5,5,2,1,2,4,2,5,5,6,4,2,3,7,7,3,2,1,6,5,5,2,6,3,4,4,2,2,4,4,2,5,5,4,5
Artifact,1,6/21/79,Cookie,Hoboh,WH,5/15/97,6538,18.4,Yerkes,B,,6,2,5,6,4,1,3,4,3,2,6,4,2,5,2,3,3,3,2,4,3,4,3,2,4,4,4,5,3,4,2,2,2,3,3,5,5,3,5,5,4,2,4
Clint,1,6/6/80,Cheri,Walnut,DL,10/4/97,6329,17.8,Yerkes,A,3,1,4,6,5,3,1,6,5,2,5,2,2,7,3,6,4,6,5,5,3,3,6,2,7,2,2,5,5,6,1,6,7,7,2,7,2,2,5,1,3,1,4,6
Amos,1,11/19/81,Sonia,Phineus,JF,2/10/99,6292,17.7,Yerkes,A,,1,7,4,3,6,2,5,5,2,6,1,5,4,2,5,4,5,4,6,3,4,2,2,3,1,1,4,6,6,1,4,1,6,4,3,1,2,4,2,1,4,1,7
Mason,1,9/18/84,Gwennie,Walnut,AH,7/26/01,6155,17.3,Yerkes,A,2,1,5,2,2,3,2,2,2,3,5,1,3,4,3,4,3,3,3,4,3,4,4,3,4,4,3,4,4,4,2,4,3,5,3,2,3,3,4,4,3,3,2,6
Waga,0,3/19/82,Banana,Jorg,JM,1/11/99,6142,17.3,Yerkes,B,,2,2,2,5,3,1,3,2,2,3,5,3,3,3,3,3,3,2,2,3,3,3,2,4,5,3,1,5,3,5,4,2,3,2,3,4,3,3,5,4,5,2,4
Joseph,1,11/25/80,Jenda,Walnut,WH,8/15/97,6107,17.2,Yerkes,A,2,3,5,5,2,3,5,5,4,5,5,3,4,5,4,5,4,5,5,4,3,3,5,5,5,3,4,4,4,4,5,4,5,4,4,4,4,5,5,4,4,2,4,4
Mega,0,11/27/84,Cookie,Jimoh,DP,7/27/01,6086,17.1,Yerkes,A,2,1,6,3,5,6,1,6,6,7,6,2,3,3,2,4,3,4,2,4,3,3,6,2,1,3,2,4,7,7,2,5,6,6,4,2,2,2,5,2,1,1,6,6
Buffy,0,1/2/84,Beleka,Juan,LP,6/11/00,6005,16.9,Yerkes,B,,5,1,1,6,2,6,2,2,1,2,6,3,2,7,1,5,1,2,2,5,2,6,2,1,7,2,2,2,4,6,6,2,5,1,1,1,2,2,5,1,5,2,2
Jesse,0,8/14/82,Jenda,Iyk,SS,1/19/99,6002,16.9,Yerkes,B,,2,1,6,5,4,1,1,1,2,2,2,4,3,6,3,3,1,1,2,6,4,1,1,4,5,4,2,4,3,2,4,2,4,2,2,1,2,4,5,1,2,1,6
Panzee,0,12/31/85,Cookie,Jimoh,MB,6/5/02,6000,16.9,Yerkes,A,4,1,1,5,5,6,1,6,2,4,7,1,6,5,2,2,6,4,7,6,7,6,4,2,7,2,4,4,7,7,1,7,5,7,6,7,1,1,6,3,1,1,6,7
Melissa,0,6/27/81,Tai,Harv,WH,7/23/97,5870,16.5,Yerkes,A,8,1,7,7,2,3,1,7,7,6,4,2,2,6,4,6,3,7,4,7,2,4,5,5,6,2,2,4,4,6,2,3,6,6,5,,,,,,4,2,4,7
Conan,1,1/3/86,Mai,Walnut,MW,7/15/01,5672,15.9,Yerkes,A,2,2,6,5,2,5,2,4,4,2,5,2,3,4,1,4,5,2,4,2,4,4,4,2,3,3,2,4,5,5,2,4,2,4,4,3,2,2,5,5,2,4,2,6
Sam,1,5/19/82,Tari,Homer,WH,9/12/97,5595,15.7,Yerkes,A,12,2,5,5,6,5,1,2,6,3,5,5,5,4,2,5,4,5,5,6,4,4,3,2,1,3,5,3,5,3,2,4,3,2,5,2,4,5,5,2,3,5,2,2
Melinda,0,10/30/82,Lana,Juan,WH,1/15/98,5556,15.6,Yerkes,A,8,6,3,2,5,6,1,2,2,1,5,6,4,4,3,4,4,1,2,5,6,5,3,1,1,5,5,2,5,4,3,5,1,4,6,2,2,2,5,4,4,5,2,3
Justin,1,8/1/86,Foxy,Duncan,AH,7/15/01,5462,15.3,Yerkes,A,2,4,3,5,3,6,2,3,2,4,6,1,3,3,3,4,4,2,1,4,5,6,5,2,6,4,2,1,6,4,2,4,2,4,4,5,1,1,6,5,2,2,3,5
Carmicheal,1,3/21/83,Ericka,Rogger,WH,11/3/97,5341,15.0,Yerkes,A,7,3,2,4,5,5,1,3,4,2,6,6,4,4,6,2,4,3,2,5,6,5,3,2,1,6,6,2,5,5,4,5,2,1,4,1,5,3,4,5,6,5,1,3
Lyons,1,8/3/84,Lilone,Rogger,SS,1/14/99,5277,14.8,Yerkes,B,,4,5,5,2,2,5,6,5,7,4,2,3,5,3,5,2,6,6,5,2,3,6,6,5,3,3,5,3,4,3,3,5,4,3,4,2,5,3,3,2,4,3,5
Sellers,1,12/18/83,Marilyne,Walnut,WH,11/14/97,5080,14.3,Yerkes,A,3,1,4,5,3,5,1,5,5,5,5,2,2,6,3,4,3,5,3,5,3,4,3,3,5,2,2,2,6,7,3,4,6,5,5,5,3,2,4,4,2,4,2,6
Donald,1,10/15/87,Reba,Jimoh,WH,7/15/01,5022,14.1,Yerkes,A,4,2,4,4,2,2,4,4,5,6,4,4,2,5,6,4,2,5,4,5,4,3,6,5,5,2,4,4,3,2,5,2,6,4,4,3,4,5,3,2,6,3,4,5
Lee,0,12/29/83,Halpha,Jiggs,WH,7/12/97,4944,13.9,Yerkes,A,2,3,2,5,4,5,3,5,5,4,4,4,3,5,4,4,5,4,5,5,3,3,5,5,4,5,5,2,5,5,5,3,5,5,5,5,4,2,5,2,3,5,4,5
Kengee,0,6/1/88,Martha,Chuck,AH,7/26/01,4803,13.5,Yerkes,A,11,2,7,7,2,6,2,7,6,5,4,1,1,5,3,3,3,6,5,5,3,3,4,4,3,2,1,3,5,6,2,3,4,5,2,3,5,2,3,6,2,3,3,6
Dara,0,6/16/88,Leslie,Homer,AH,7/26/01,4788,13.4,Yerkes,A,11,2,6,6,5,3,2,5,5,3,3,4,3,3,4,4,3,5,5,4,3,3,3,3,3,3,4,5,4,5,3,5,5,4,4,4,3,3,3,2,5,3,4,5
