"","chimp","Sub..","Year4","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","ag_ratio","bc_ratio","globulin","lipase","amylase","triglicerides","cpk","ggtp","magnesium","osmolal","Year3","Glucose.1","BUN.1","Creatin","Protein.1","Albumn.1","Bilirubn.1","alkphos.1","sgpt.1","sgot.1","cholesterol.1","calcium.1","phosphate.1","sodium.1","potassium.1","chloride.1","ag_ratio.1","bc_ratio.1","globulin.1","lipase.1","amylase.1","triglicerides.1","cpk.1","ggtp.1","magnesium.1","osmolal.1","Year2","Glucose.2","BUN.2","Creatin.1","Protein.2","Albumn.2","Bilirubn.2","alkphos.2","sgpt.2","sgot.2","cholesterol.2","calcium.2","phosphate.2","sodium.2","potassium.2","chloride.2","ag_ratio.2","bc_ratio.2","globulin.2","lipase.2","amylase.2","triglicerides.2","cpk.2","ggtp.2","magnesium.2","osmolal.2","Year1","Glucose.3","BUN.3","Creatin.2","Protein.3","Albumn.3","Bilirubn.3","alkphos.3","sgpt.3","sgot.3","cholesterol.3","calcium.3","phosphate.3","sodium.3","potassium.3","chloride.3","ag_ratio.3","bc_ratio.3","globulin.3","lipase.3","amylase.3","triglicerides.3","cpk.3","ggtp.3","magnesium.3","osmolal.3","DaysInterval1","DaysInterval2","DaysInterval3","AverageDaysInterval","Interval1Centered","Interval2Centered","Interval3Centered","X","Sex.x","DOB.x","Dam.x","Sire.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","dom.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z","Colony","Status","Survey.1","BP.1","Weight.1..kg.","Survey.2","BP.2","Weight.2..kg.","Survey.3","BP.3","Weight.3..kg.","sex","maternity","paternity","momage","parity","bo","rearing","age","hi","date1","rbc","wbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","date2","rbc2","wbc2","hct2","hgb2","mcv2","mch2","mchc2","lymp2","mono2","eos2","date3","rbc3","wbc3","hct3","hgb3","mcv3","mch3","mchc3","lymp3","mono3","eos3"
"48","Drew","629","5/5/04",66,13,1,7.2,4,0.3,93,43,39,187,9.2,3.2,144,3.7,102,1.3,13,3.2,30,27,40,804,20,1.8,283,"7/10/03",93,12,1.2,7.4,4.2,0.3,126,36,44,205,8.9,3.7,143,3.8,102,1.3,10,3.2,27,29,66,1269,19,1.9,283,"7/30/02",76,11,1.3,7.6,4,0.3,192,42,36,185,9.4,4,140,3.8,100,1.1,8,3.6,25,28,107,970,23,2,276,"7/27/00",119,13,1.1,7.4,3.7,0.1,527,49,29,198,8.7,4,135,3.5,97,1,12,3.7,22,16,59,352,19,1.9,269,733,345,300,459.33,274,-114,-159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","6/16/11","116/58",74.5,"2/16/11","95/40",66,"7/29/10","105/44",68.5,2,"Foxy","Carmicheal",25.24,9,5,2,"4.5","0.66","18/09/1997",5.55,14700,44.3,15.3,79.8,27.6,34.5,40,2,1,"17/09/1998",4.57,6700,37,12.8,81,28,34.6,57,0,6,"25/10/1999",5.29,7700,42.7,14.1,80.7,26.7,33,74,0,3
"49","Duff","591","10/11/04",77,11,0.9,7.4,3.9,0.2,65,43,29,155,9.6,5.2,142,3.3,99,1.1,12,3.5,40,35,51,421,32,2.1,278,"7/21/03",80,9,0.9,7.5,4,0.4,120,33,32,133,9.4,3.1,141,3.6,102,1.1,10,3.5,34,36,102,332,27,1.8,277,"12/26/02",79,10,1.2,7,3.7,0.2,119,28,22,151,9.7,3.4,140,3.8,101,1.1,8,3.3,39,33,55,389,23,1.8,275,"9/25/01",73,11,1.3,7.4,3.6,0.2,156,45,41,155,10.6,3.9,136,4,100,0.9,8,3.8,34,30,48,942,36,1.9,268,457,207,448,370.67,86,-164,77,54,1,"2/8/90","Lena","Clint","MW","7/15/01",4175,11.7,"Yerkes","A",2,2,5,5,3,2,7,5,6,5,3,3,2,2,3,6,4,4,6,5,3,2,6,6,4,3,3,6,2,3,3,3,5,3,5,2,3,6,3,2,6,3,2,2,"2/8/90","Lena","Clint","Yerkes",2,1,"AH","7/30/01","B",6,7,2,4,5,5,2,2,4,3,3,3,3,4,5,5,3,3,2,4,2,5,2,3,3,5,3,3,5,3,2,4,5,3,3,3,4,4,2,4,4,5,6,2,5,4.5,2.5,2,7,4,5,5.5,3.5,2.5,2,2.5,3.5,5.5,4,4.5,5.5,4.5,3,2.5,5,5.5,3,3,2.5,5.5,2.5,3,3.5,3,4,3,4,2.5,4,5.5,2.5,2.5,6,3,3,3.5,"Yerkes","Alive","11/18/10","133/66",60.36,"10/10/07","145/61",61,"","",NA,2,"Lena","Clint",14,1,1,2,"7.5","-0.68","7/8/97",5.77,7900,45.3,14.9,78.5,25.8,32.9,79,1,4,"9/3/98",4.93,23200,40.1,12.7,81.3,25.8,31.7,68,5,1,"22/04/1999",5.59,13200,46.5,15.5,83.2,27.7,33.3,57,0,2
"50","Duncan","295","12/15/04",144,11,1.2,7.9,3.6,0.2,77,40,28,204,10.3,2.9,145,3.5,98,0.8,9,4.3,25,24,167,579,23,1.8,288,"12/23/03",95,12,1,75,3.5,0.2,72,46,22,184,9.5,2.9,139,3.5,98,0.9,12,4,32,19,146,329,16,1.8,275,"12/6/02",91,15,1.1,7.7,3.5,0.2,69,32,25,185,9.1,2.6,142,3.6,99,0.8,14,4.2,33,24,160,295,20,2.1,281,"12/21/01",83,13,1.2,7.8,3.6,0.3,88,33,23,177,9,1.5,141,3.7,99,0.9,11,4.2,36,24,155,400,21,1.8,278,350,382,358,363.33,-13,19,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Debi","Frans",NA,5,5,2,"29","0.92","22/01/1997",5.68,6500,46.2,14.2,81.3,25,30.7,75,1,2,"11/12/97",5.49,6100,45.6,14.5,83.1,26.4,31.8,57,4,0,"11/12/98",5.3,11200,44.5,14.5,84,27.4,32.6,41,0,1
"51","Edwina","682","1/7/04",91,14,1,7,3.2,0.1,178,29,26,231,10.2,3.5,139,3.9,100,0.8,14,3.8,34,31,137,429,31,1.6,276,"1/9/03",103,18,1.1,7.3,3.4,0.3,129,32,20,233,9.5,2.8,137,3.9,101,0.9,16,3.9,39,25,104,166,22,1.6,274,"10/22/01",88,10,1.1,7.2,3.4,0.3,182,26,16,221,9.8,3.1,137,3.8,99,0.9,9,3.8,16,21,183,165,17,1.5,270,"11/14/00",81,19,1.2,7.4,3.9,0.3,240,29,21,220,10.3,2.3,140,4.4,102,1.1,16,3.5,30,19,139,231,19,2.1,280,342,444,363,383,-41,61,-20,55,0,"5/28/91","Lolita","Edward","WH","11/2/97",2350,6.6,"Yerkes","A",6,4,5,6,5,3,1,6,6,5,3,3,2,1,5,4,3,6,5,5,2,2,5,6,5,2,4,6,4,4,5,2,6,5,3,3,4,4,2,4,4,2,2,6,"5/28/91","Lolita","Edward","Yerkes",6,0,"KB","10/4/97","B",4,2,2,5,6,5,3,5,4,5,6,4,4,3,5,5,5,3,5,3,2,3,2,6,5,4,2,3,6,6,4,4,4,3,2,3,6,5,4,7,6,2,2,3.5,5.5,6,5,4,1.5,6,6.5,4.5,4,2.5,2,2.5,5,4.5,3,6,5,5.5,2.5,2.5,4,4.5,4.5,2,3,5,5,5,4.5,3,5.5,5,3,3,4,3,3,3,3,3.5,3,5.5,"Yerkes","Alive","11/3/11","121/64",53.5,"3/24/11","144/84",71.5,"12/3/09","124/61",68.5,1,"Lolita","Edward",31.75,10,10,1,"6.5","-0.1","12/11/97",5.43,10900,43.2,14.5,79.6,26.7,33.6,54,4,3,"24/11/1998",5.35,16300,43.3,14.5,80.9,27.1,33.5,20,1,2,"21/10/1999",5.07,17100,42.8,13.8,84.4,27.2,32.2,58,4,6
"52","Ellie","452","11/3/04",110,8,1,7.1,3.4,0.2,71,28,16,162,19.2,1.9,142,3.5,104,0.9,8,3.7,33,24,197,358,37,1.6,280,"6/9/03",90,8,1,7.4,3.6,0.2,84,26,24,170,8.5,3.4,141,3,102,0.9,8,3.8,24,20,218,519,29,1.6,276,"6/20/02",98,7,1.1,7.4,3.6,0.1,61,26,20,174,9.3,1.1,139,2.8,106,0.9,6,3.8,54,24,170,500,38,1.7,272,"5/30/01",99,11,1.1,7.5,3.6,0.2,64,24,17,202,9.4,2.9,139,3.6,96,0.9,10,3.9,26,18,105,255,29,1.9,275,386,354,513,417.67,-32,-64,95,56,0,"8/14/72","Cookie","Homer","AH","7/15/01",10562,29.7,"Yerkes","B",NA,2,2,2,5,5,1,4,2,2,3,5,2,1,6,1,3,2,1,4,5,2,1,1,1,6,4,1,6,3,5,4,1,4,2,3,2,2,2,7,2,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Cookie","Homer",16.61,4,4,1,"24.5","-0.4","20/03/1997",5.92,18000,84.4,16,81.8,27,33.1,50,2,3,"6/5/98",5.2,15500,43.7,14.3,84,27.5,32.7,38,4,5,"18/05/1999",5.35,15600,44.6,14.7,83.4,27.4,33,65,3,2
"53","Elvira","632","6/10/03",101,6,1,7.3,3.9,0.2,81,19,9,153,9.1,2.7,139,3.2,103,1.1,6,3.4,23,16,71,113,19,1.8,272,"6/11/02",87,8,0.8,7.1,3.6,0.2,68,17,12,186,9.6,3.4,140,4,104,1,10,3.5,34,19,111,410,21,1.8,276,"5/30/01",95,10,1,7.3,3.9,0.1,82,20,14,185,9.9,2.7,137,4.1,98,1.1,10,3.4,34,16,70,99,16,3.4,271,"5/11/00",94,8,1.1,7,3.9,0.1,124,21,12,131,18.6,2.4,135,3.8,102,1.3,7,3.1,26,16,78,162,20,1.7,266,384,377,364,375,9,2,-11,57,0,"10/31/88","Barbi","Jimoh","WH","11/5/97",3292,9.2,"Yerkes","A",7,2,5,6,4,6,1,5,6,3,6,2,5,6,1,6,5,5,3,7,4,5,3,3,6,3,3,2,6,6,1,5,5,7,5,5,2,2,5,1,1,4,4,6,"10/31/88","Barbi","Jimoh","Yerkes",7,0,"MW","7/26/01","B",5,2,3,3,4,5,6,2,4,3,4,4,5,6,2,3,6,5,3,5,2,6,5,3,3,5,2,5,3,5,3,2,4,4,6,3,4,4,5,6,6,4,4,4,4,6,3,4.5,1.5,4.5,6,4,5,2,4,5,2,5.5,5,4.5,2.5,5.5,3.5,5,4.5,4.5,5.5,4.5,4,3.5,5.5,4.5,1.5,5,4,6.5,4.5,5,3,3,4,1.5,2.5,3.5,4,4.5,"Yerkes","Alive","6/13/11","119/68",48.5,"7/27/10","108/54",51,"4/2/09","138/64",58.5,1,"Barbi","Jimoh",12.33,1,1,1,"8.5","0.28","28/05/1997",5.48,15400,42.8,14.4,78.1,26.3,33.6,43,2,1,"3/5/98",5.16,6700,41,14.1,79.5,27.3,34.4,49,4,4,"25/05/1999",5.31,14100,41.8,14.5,78.7,27.3,34.7,26,2,0
"54","Elwood","593","9/7/04",119,8,1.1,6.7,4.1,0.3,49,40,19,110,19.5,2.4,143,3,103,1.6,7,2.6,45,18,71,149,14,2.5,281,"9/15/03",119,7,1,7.3,4.5,0.4,56,37,30,105,9.3,1.7,149,2.7,104,1.6,7,2.8,30,20,69,276,14,1.9,291,"9/25/02",136,6,0.9,6.7,4.1,0.6,47,33,23,105,9.1,1.7,144,2.8,105,1.6,7,2.6,48,31,62,255,14,1.9,283,"9/17/01",127,7,0.9,7.3,4.6,0.3,57,37,29,117,9.8,1.1,147,2.8,99,1.7,8,2.7,50,13,103,238,24,1.7,288,373,355,358,362,11,-7,-4,58,1,"2/19/90","Jaq","Harv","AH","7/26/01",4175,11.7,"Yerkes","A",9,1,6,2,2,5,1,3,2,2,2,2,2,2,5,3,3,5,4,4,4,3,2,3,2,4,2,2,4,4,5,3,5,3,3,3,3,3,3,6,3,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","11/17/10","135/66",63,"9/14/09","177/76",66,"10/2/07","190/90",65.5,2,"Jaq","Harv",13.33,1,1,2,"7.5","0.07","29/09/1997",5.43,8700,45.6,15.3,84,28.2,33.6,36,0,1,"15/09/1998",5.13,9400,42.7,14.5,83.2,28.3,34,32,0,0,"29/09/1999",5.44,8200,46.2,15.1,84.9,27.8,32.7,30,5,0
"55","Ericka","500","1/20/04",100,17,1.1,7.8,3.1,0.1,93,32,18,169,10.2,2.7,141,4.1,103,0.7,15,4.7,42,38,90,402,35,1.8,282,"2/14/03",82,12,1,8.4,3.3,0.1,82,33,34,239,9.3,2.3,142,4.2,103,0.6,12,5.1,46,43,144,1087,27,1.8,281,"4/4/02",76,14,1.1,8,3,0.1,75,25,22,192,9.6,2.4,143,3.5,105,0.6,13,5,33,38,108,395,16,1.6,282,"3/9/01",89,11,1.1,8.4,3.1,0.1,68,36,40,245,9.7,1.5,141,3.8,102,0.6,10,5.3,28,26,134,899,18,1.9,278,391,316,340,349,42,-33,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","2/15/11","166/108",83,"5/20/08","152/106",77,"","",NA,1,"","",NA,NA,NA,1,"23","0.2","26/02/1997",4.86,9900,35.8,11.1,73.7,22.8,31,27,1,4,"23/02/1998",5.27,13000,39.4,12.8,74.8,24.3,32.5,14,3,1,"10/2/99",5.33,14200,41.7,13.4,78.2,25.1,32.1,13,1,2
"56","Evelyne","686","3/15/04",95,10,1,6.5,3.9,0.3,286,24,15,182,10.5,2.4,142,4,102,1.5,10,2.6,58,25,52,235,20,1.7,280,"3/20/03",134,9,0.7,7.6,3.9,0.2,242,23,18,204,10.1,3.1,139,3.4,102,1.1,13,3.7,48,26,89,153,21,1.7,276,"5/23/02",100,7,0.6,6.9,3.8,0.2,282,21,13,198,10.1,3.6,138,3.8,100,1.2,12,3.1,41,26,68,70,24,1.5,272,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,361,331,NA,-30,30,60,0,"9/4/91","Sabrina","Puddin","MW","7/15/01",3602,10.1,"Yerkes","A",5,6,2,3,6,4,1,1,2,2,2,6,2,2,5,3,2,1,1,1,4,2,5,2,2,7,6,2,6,2,5,6,1,4,2,2,2,1,4,2,2,5,2,1,"9/4/91","Sabrina","Puddin","Yerkes",5,0,"MW","7/29/01","B",2,1,3,2,6,6,4,5,5,6,7,2,2,4,5,5,6,3,6,3,2,2,4,6,3,2,1,4,6,6,3,2,1,6,3,4,6,6,6,6,4,1,1,5,4,3.5,5.5,5,1,4,4,2,4,4,2.5,2,3.5,4.5,2.5,3.5,3,3.5,4,2.5,4.5,2,4,5,5,2,6,4,3.5,4,2,5,4,3,1.5,1,3.5,1.5,1.5,5.5,3.5,3,"Yerkes","Alive","4/29/11","130/69",70,"2/25/10","137/64",73,"4/27/09","146/67",74,1,"Sabrina","Puddin",12.92,2,2,2,"5.5","0.39","18/03/1997",5.21,12800,40.5,13.6,77.7,26.1,33.6,24,0,2,"11/3/98",5.41,12200,42,14,77.6,25.9,33.3,35,4,0,"8/12/98",4.35,11100,37.9,12.2,87.1,28,32.2,50,1,2
"57","Faye","694","1/6/04",119,6,0.8,7.6,4,0.2,152,27,21,202,9.8,1.7,140,3.4,104,1.1,8,3.6,30,22,176,586,17,1.9,275,"12/17/02",95,12,1,7.9,4.1,0.2,190,24,39,214,10.5,3.9,135,3.2,103,1.1,12,3.8,23,22,63,2325,15,1.8,267,"2/19/02",155,9,0.8,6.6,3.5,0.1,198,22,17,171,9,2.4,140,3.5,105,1.1,11,3.1,25,17,65,103,12,1.6,279,"4/17/01",136,12,1,7.3,3.7,0.2,317,26,23,208,9.8,1.8,140,3.5,101,1,12,3.6,25,15,73,235,22,1.9,279,308,301,385,331.33,-23,-30,54,61,0,"6/22/92","Sheila","","AH","7/15/01",3310,9.3,"Yerkes","A",2,2,4,4,3,5,2,4,2,2,3,3,3,4,4,4,4,2,2,3,5,3,2,2,5,5,3,4,5,5,2,4,3,4,2,4,3,2,3,4,2,5,5,4,"6/22/92","Sheila","","Yerkes",2,0,"WH","6/16/02","B",2,2,3,5,2,4,4,5,2,6,4,3,5,4,2,5,5,4,6,3,6,4,5,4,1,4,3,2,2,5,4,3,3,4,5,4,3,5,5,3,4,6,4,3,3,4,4,5.5,2,4,2.5,2,4,4.5,3,3.5,4.5,4,3.5,2,2,3,4.5,3.5,3,3,5,5,4,4,5,4.5,2.5,4.5,2,4.5,3,3,3,4,3.5,3.5,3,5.5,3.5,4.5,"Yerkes","Alive","7/8/11","166/100",63.5,"12/17/09","104/58",60.5,"9/18/08","107/56",59.5,1,"Sheila","",20.25,10,10,2,"4.5","0","4/12/96",4.76,5500,40.1,12.8,84.2,26.9,31.9,52,1,5,"11/12/97",5.13,10700,41,13.6,79.9,26.5,33.2,49,2,2,"13/01/1999",5.4,12000,44,14.8,81.5,27.4,33.6,42,7,1
"58","Fiona","722","2/17/03",120,11,1.1,7.1,4,0.2,457,60,18,191,9.4,4.4,137,3.3,105,1.3,10,3.1,21,8,102,392,21,1.6,272,"3/28/02",110,10,0.9,7.1,3.6,0.1,459,45,22,181,9.3,4.4,141,3.6,102,1,11,3.5,21,7,95,143,8,1.7,279,"9/5/01",116,10,1,6.9,3.8,0.1,539,50,17,193,9.1,4.1,148,4,105,1.2,10,3.1,15,6,70,142,27,1.8,293,"4/12/00",130,11,1,7.1,3.7,0.1,624,50,22,216,19.4,4.9,134,3.6,97,1.1,11,3.4,20,18,79,161,30,1.8,267,511,204,326,347,164,-143,-21,62,0,"12/5/94","Leslie","Lux","AH","7/26/01",2425,6.8,"Yerkes","A",11,6,2,5,6,3,1,6,6,3,6,5,5,5,2,4,5,2,1,5,4,5,4,3,6,6,5,2,4,3,2,5,5,5,4,5,5,3,5,3,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","5/12/11","139/77",93.5,"2/11/10","143/74",90,"11/4/08","147/94",80.5,1,"Leslie","",24.92,6,3,1,"2","0.32","5/3/97",5.57,25500,39,13,70,23.3,33.3,43,1,1,"3/3/98",5.16,12300,36.8,12.6,71.3,24.4,34.2,51,3,5,"24/03/1999",5.25,12300,38.6,12.8,73.5,24.4,33.2,57,7,1
"59","Foxy","382","12/7/04",116,8,1,7.2,3.7,0.3,49,33,20,263,18.7,1.4,140,3.1,102,1.1,8,3.5,30,26,55,503,25,1.6,275,"12/30/03",99,5,0.9,7.4,3.7,0.3,56,20,16,256,9,2.4,141,3,103,1,6,3.7,34,22,61,277,18,1.6,275,"1/8/03",120,11,1.1,7.1,3.5,0.1,60,27,27,229,8.1,2.7,137,2.9,99,1,10,3.6,38,22,71,504,19,1.5,271,"12/5/00",105,9,1,7.4,3.7,0.1,57,56,32,254,9,2.6,144,4.1,105,1,9,3.7,26,16,71,202,24,1.6,285,764,356,343,487.67,276,-132,-145,64,0,"12/10/67","Halpha","Jethrow","AH","7/15/01",12271,34.5,"Yerkes","A",2,2,6,5,4,5,2,6,3,2,4,3,3,2,4,4,2,1,2,4,5,4,4,3,2,2,2,2,5,4,3,4,3,4,3,3,3,2,4,3,4,4,4,5,"10/12/67","Halpha","Jethrow","Yerkes",2,0,"WH","9/17/97","B",2,6,2,6,4,1,3,5,2,6,5,2,2,2,4,5,1,2,3,3,6,4,4,5,3,5,7,2,3,4,2,5,6,3,5,3,2,2,2,5,6,5,6,2.5,4.5,5.5,4.5,4,4,5.5,4,2,3,4.5,2.5,2,5,2.5,2.5,2.5,3,3,4,3,3,3.5,2,3.5,3,3.5,4.5,4.5,4,3,3,2.5,3,2.5,4.5,3.5,3,5,5,5,3,5,"Yerkes","Alive","3/3/11","135/71",60,"12/17/09","126/68",66,"1/15/08","120/68",58.5,1,"Halpha","Jethro",11,1,1,2,"29.5","0.44","24/06/1997",3.99,10900,35.9,11.6,90,29.1,32.3,40,0,4,"3/12/97",4.28,12300,38.7,12.5,90.4,29.2,32.3,74,1,0,"10/12/98",4.45,11100,41,13.6,92.1,30.6,33.2,50,5,0
"60","Frannie","696","4/29/04",139,10,0.7,7.3,4,0.2,216,28,13,212,10.1,2.6,135,2.7,98,1.2,14,3.3,21,27,73,238,26,1.7,267,"6/3/03",119,10,0.7,7.3,4.1,0.2,274,17,14,182,9.5,2.5,139,3.2,106,1.3,14,3.2,21,26,47,224,25,1.7,275,"6/25/02",144,10,0.7,7.2,4.1,0.2,305,19,13,200,10.3,2.7,141,3.2,101,1.3,14,3.1,18,25,76,239,26,1.8,280,"6/4/01",91,9,0.8,7.6,4,0.2,333,21,8,201,10.5,3.1,140,3.9,97,1.1,11,3.6,18,16,46,78,24,1.8,276,386,343,331,353.33,33,-10,-22,66,0,"10/26/92","Borie","Jimoh","SS","1/3/99",2260,6.3,"Yerkes","B",2,5,1,5,6,3,5,2,2,4,4,5,4,4,4,5,4,4,1,4,5,4,6,5,6,5,5,3,5,4,2,4,2,4,4,5,1,5,6,1,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","6/6/11","109/48",75.5,"7/13/10","105/39",69,"5/11/09","149/77",67,1,"Borie","Jimoh",28,4,3,2,"4.5","0.64","8/4/97",5.22,12600,41.8,13.8,80.1,26.4,33,29,3,0,"21/04/1998",4.79,9300,39.1,12.8,81.6,26.7,32.7,35,2,2,"28/04/1999",5.21,10200,42.3,14.1,81.2,27.1,33.3,51,2,2
