"","chimp","Sex.x","DOB.x","Dam.x","Sire.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","dom.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z"
"11","Artemus",1,"12/18/90","Jenda","Iyk","AH","7/15/01",3862,10.8,"Yerkes","A",5,1,7,6,2,3,3,7,5,5,5,2,2,4,4,6,3,5,5,5,3,5,6,5,5,1,2,4,3,5,1,4,4,5,3,6,2,5,4,1,5,2,4,7,"12/18/90","Jenda","Iyk","Yerkes",5,1,"DL","10/4/97","B",6,2,2,5,7,7,3,1,5,2,7,7,3,6,7,7,4,3,1,2,2,6,2,6,7,5,2,6,7,6,4,1,2,1,1,1,4,4,6,7,7,5,2,2,7,6.5,1.5,2,2.5,7,6,5.5,4.5,2,2,5.5,4.5,6.5,2.5,6,6,4.5,2,4,6,5.5,5.5,1,2,4.5,4.5,5.5,1,3.5,5.5,4.5,2,6,2,5,4,1.5,3.5,2,4.5,7
"12","Arthur",1,"5/21/91","Jaq","Rogger","MW","7/26/01",3719,10.4,"Yerkes","A",6,2,5,6,2,1,3,6,7,7,4,1,2,2,3,7,4,6,6,5,2,3,7,6,4,1,2,6,5,4,4,2,3,2,3,2,4,7,3,2,5,3,2,5,"5/21/91","Jaq","Rogger","Yerkes",6,1,"KB","10/4/97","B",2,1,5,2,2,7,5,6,5,1,2,6,5,7,3,3,3,6,3,5,5,3,4,3,3,3,2,4,4,6,6,2,2,3,5,5,5,6,5,6,6,3,3,3.5,4.5,6,4,2,2,4,6.5,4.5,5,3,3.5,4,2.5,7,4.5,4,4.5,5,3.5,4.5,7,4.5,4.5,3,3,4.5,5.5,3.5,3,3.5,3,2.5,3,3,3,5,4.5,2,4,2,3.5,4
"13","Artifact",1,"6/21/79","Cookie","Hoboh","WH","5/15/97",6538,18.4,"Yerkes","B",NA,6,2,5,6,4,1,3,4,3,2,6,4,2,5,2,3,3,3,2,4,3,4,3,2,4,4,4,5,3,4,2,2,2,3,3,5,5,3,5,5,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Artifee",0,"7/24/76","Banana","Hoboh","AH","7/15/01",9122,25.6,"Yerkes","A",2,4,5,4,4,4,2,4,3,2,4,5,5,3,4,3,5,1,1,5,5,4,4,3,4,2,3,2,6,5,4,5,5,4,4,4,5,3,3,5,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Atlanta",0,"8/10/65","Cheri","Jent","SS","1/19/99",12215,34.3,"Yerkes","A",NA,1,2,1,1,7,1,5,2,1,4,1,6,1,6,1,1,1,1,1,6,7,1,1,2,1,1,1,7,7,1,6,1,6,2,1,1,1,7,7,1,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Augusta",0,"8/1/75","Mary","Homer","MW","7/15/01",9480,26.6,"Yerkes","A",2,5,5,6,2,2,2,6,6,2,3,4,2,2,4,4,5,2,6,4,2,2,5,4,4,5,6,5,5,5,2,4,2,4,3,2,2,3,3,3,2,3,6,3,"8/1/75","Mary","Homer","Yerkes",2,0,"BN","6/2/00","A",4,2,3,3,4,4,4,2,3,2,4,4,4,4,3,4,3,3,3,3,3,4,3,4,3,4,2,3,4,4,3,2,2,4,3,3,3,4,4,4,5,4,2,4.5,4.5,5.5,2,2.5,2,5,5,3,3.5,3.5,2.5,3,3.5,4,4,3,4.5,3.5,2.5,2.5,4.5,4,4,4,4.5,4.5,4.5,4.5,2,4,2.5,3.5,3.5,2.5,2,3.5,3,2.5,2,2.5,4.5,3.5
"17","Austin",1,"7/10/74","Vonee","","JK","6/5/02",10192,28.6,"Yerkes","A",4,4,2,4,5,5,1,4,4,1,7,1,5,6,1,4,6,5,1,6,5,6,5,1,6,3,1,1,4,6,1,6,4,7,3,7,2,1,7,1,1,1,6,5,"7/10/74","Vonee","","Yerkes",4,1,"MB","6/5/02","B",3,2,7,1,4,7,5,3,6,2,4,7,2,4,3,7,7,7,7,7,1,2,6,7,2,1,1,7,7,7,7,1,1,7,3,7,6,7,7,4,6,1,1,4.5,4.5,5,4,6,1.5,4,4,2,7,1,6,6.5,1,5.5,6.5,4.5,2,6,6,6.5,4.5,1.5,6.5,3,3.5,1,5.5,6.5,1,4,3,7,5,7,1.5,1,7,1,1,1.5,6,6
"18","Azalea",0,"3/7/97","Peony","Rhett","SS","1/19/99",683,1.9,"Yerkes","A",NA,1,1,2,3,4,1,1,1,1,5,2,4,5,1,4,1,1,1,1,4,4,2,2,4,2,4,1,3,2,1,3,1,2,2,3,2,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Barbara",0,"12/16/72","Sonia","Hal","SS","1/13/99",9524,26.8,"Yerkes","A",NA,2,3,2,6,6,1,1,2,1,5,1,4,1,5,1,4,2,1,3,6,6,1,1,4,3,2,4,6,4,4,4,1,5,5,3,1,1,6,6,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Barbi",0,"6/14/76","Cookie","Homer","JM","1/11/99",8246,23.2,"Yerkes","A",NA,4,2,2,5,4,1,4,2,2,2,5,3,2,5,2,2,2,2,2,3,2,2,2,3,5,5,2,5,3,5,3,2,2,2,2,2,2,5,5,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Barney",1,"5/6/89","Melissa","Joseph","MW","7/15/01",4453,12.5,"Yerkes","A",2,1,7,7,2,2,5,7,6,7,1,2,1,2,2,7,3,7,7,6,1,1,6,6,5,1,1,7,6,5,2,5,2,5,2,2,2,3,3,2,5,2,2,7,"5/6/89","Melissa","Joseph","Yerkes",2,1,"BN","6/2/00","A",5,2,3,3,5,5,5,3,2,2,4,6,4,5,5,5,4,3,3,3,3,5,3,5,4,5,2,5,5,4,3,3,2,3,3,3,4,4,5,5,6,4,3,3,6,6.5,2.5,2.5,3.5,5.5,5.5,6,2.5,2.5,2,4,2.5,6,3,6,6,5,2,2,5.5,5.5,5,2,2,6,5,5,2.5,4.5,3,4.5,2.5,3.5,2,3.5,3,2,4,2,2,6
"22","Beleka",0,"1/1/62","","","MW","7/26/01",14451,40.6,"Yerkes","A",6,3,2,6,3,3,4,5,4,4,3,3,4,2,3,3,5,2,4,3,4,4,4,3,4,4,3,3,6,4,5,4,2,2,3,2,4,4,3,4,5,5,2,6,"1/1/62","","","Yerkes",6,0,"WH","10/27/97","B",1,1,5,3,7,4,1,6,4,5,5,5,6,2,5,6,6,3,6,4,2,2,2,5,2,2,4,3,6,7,5,2,2,5,2,4,5,5,5,5,6,2,2,2,4,6,4.5,4.5,2.5,5,4.5,2.5,4,2.5,4.5,3.5,3,3.5,4.5,4.5,4.5,4,4,3.5,3,2.5,4.5,3,2.5,2.5,6.5,4.5,3.5,5,2,4,4,2.5,3,3,4,4,3.5,5,3,6
"23","Bertha",0,"3/5/77","Reba","Hep","WH","7/28/97",7450,20.9,"Yerkes","A",2,4,5,5,4,4,6,5,4,4,4,3,4,3,5,4,4,5,5,5,3,3,5,5,4,5,5,5,4,4,6,4,5,5,4,4,4,5,4,4,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bjorn",1,"7/16/88","Anja","Walnut","SS","1/19/99",3839,10.8,"Yerkes","A",NA,3,2,2,4,3,1,2,2,2,4,3,4,4,4,3,3,2,3,2,4,4,3,2,4,4,4,2,4,4,2,4,2,4,4,4,1,1,4,2,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Bo",0,"1/1/69","","","AH","7/26/01",11894,33.4,"Yerkes","A",9,4,4,4,5,6,1,3,3,2,5,4,5,2,5,2,4,2,2,5,6,5,3,3,5,4,4,3,5,4,4,5,3,4,4,3,5,2,4,5,3,6,4,5,"1/1/69","","","Yerkes",9,0,"WH","10/21/97","B",1,5,3,6,1,1,5,7,1,4,1,1,3,3,1,1,1,2,5,2,7,2,6,2,1,4,7,1,1,6,4,5,6,3,7,3,3,4,1,2,1,1,6,4.5,2.5,2.5,6,5.5,3,2,2.5,1.5,4.5,5.5,4,1.5,5.5,1.5,3,1.5,1.5,4,4.5,3.5,3,2.5,3,5.5,5,3.5,5.5,3,4.5,4,2,2.5,3.5,2,5.5,1.5,4,6,4.5,5,2.5,3
"26","Boisfeullet",1,"12/14/71","Jenda","","WH","10/30/97",9452,26.6,"Yerkes","A",2,3,3,5,5,2,5,4,4,6,1,6,2,1,5,6,3,5,5,2,2,2,6,5,2,3,2,4,5,3,5,2,5,1,2,1,6,6,3,3,6,4,1,5,"12/14/71","Jenda","","Yerkes",2,1,"DP","7/27/01","B",2,1,5,5,3,3,1,5,3,5,2,2,4,2,2,4,5,6,6,4,5,3,2,4,2,1,6,3,3,5,5,4,1,4,4,6,2,2,2,2,2,1,1,2,3,3.5,5,4,3,3,3,4,1.5,5.5,3.5,1.5,5,4.5,3.5,4,3.5,2,4,4,4,4,2,3.5,2,2.5,5,3.5,4.5,3,3.5,3,3,2,3.5,3.5,4,4.5,3.5,4.5,2,4.5
"27","Boka",0,"11/11/59","Alfalfa","Bokar","WH","11/12/97",13881,39,"Yerkes","A",3,4,5,3,5,6,1,3,3,2,4,5,4,1,4,1,4,3,2,4,5,4,2,2,2,4,4,2,5,5,4,5,2,2,4,1,5,2,4,6,5,5,3,4,"11/11/59","Alfalfa","Bokar","Yerkes",3,0,"MW","1/25/01","B",1,2,2,5,1,2,5,5,2,5,3,2,4,3,2,6,4,3,6,3,5,3,3,5,2,3,3,2,1,6,4,4,4,2,2,3,3,4,3,3,3,2,4,4.5,3,3,5,6,1.5,3,3,1.5,4,5,3,1.5,4.5,1.5,3.5,2,2,3.5,4,3.5,2.5,2.5,2.5,3,3.5,2.5,5.5,5,4,4.5,2,3,3,1.5,4.5,2,4,4.5,4.5,5,2.5,5
"28","Borie",0,"1/1/64","","","JM","1/11/99",12794,35.9,"Yerkes","A",NA,1,7,5,3,6,1,3,2,1,6,1,5,3,2,4,4,5,1,2,5,5,2,3,6,2,2,1,5,5,1,6,1,7,6,6,2,1,5,3,1,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Brandy",0,"4/26/85","Lolita","Walnut","WH","11/11/97",4582,12.9,"Yerkes","A",2,4,5,4,5,4,4,5,5,3,5,6,3,4,3,4,3,5,5,5,3,3,5,5,3,3,4,5,2,3,4,5,3,2,5,5,5,5,3,3,6,4,3,4,"4/26/85","Lolita","Walnut","Yerkes",2,0,"AH","7/15/01","B",6,2,3,4,4,5,3,3,4,3,5,4,4,5,3,5,4,4,4,3,2,5,3,5,5,5,2,4,5,3,4,3,4,4,2,5,5,4,5,6,6,4,5,3.5,5,5,4,4,3,5,5.5,4.5,4.5,4,3,4,3.5,4.5,3,4.5,4,5,4,3.5,5,5,4,2.5,3.5,5,2.5,4,3.5,4.5,4,3,4.5,4.5,4.5,4.5,3.5,2.5,5.5,3.5,3.5,4.5
"30","Brent",1,"1/20/76","Dena","Hep","WH","8/8/97",7871,22.1,"Yerkes","A",2,2,5,5,1,1,6,6,5,6,5,2,3,4,6,5,3,6,6,4,2,2,6,6,4,3,4,5,3,4,4,3,5,4,5,4,5,5,4,4,5,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
