chimp,DOB,Dam,Sire,location,Group size,Sex,Rater,DOPR,Version ,reckl,aut,symp,sol,buly,actv,fear,caut,imit,unem,stngy,play,sens,exct,aggr,indp,intll,affc,stbl,help,tim,impl,depd,decs,defn,irri,lazy,invt,dom,pred,frdy,depr,clmy,prot,subm,gntl,manp,soc,inqs,jeals,pers,errc,dsor
Faye,6/22/92,Sheila,,Yerkes,2,0,WH,6/16/02,B,2,2,3,5,2,4,4,5,2,6,4,3,5,4,2,5,5,4,6,3,6,4,5,4,1,4,3,2,2,5,4,3,3,4,5,4,3,5,5,3,4,6,4
Flora,1/1/54,,,Yerkes,3,0,DL,10/4/97,B,6,3,2,6,5,3,2,2,4,2,5,1,4,6,3,5,5,3,2,2,2,6,5,3,6,6,5,3,2,2,2,6,5,3,5,3,2,2,4,6,2,5,5
Foxy,10/12/67,Halpha,Jethrow,Yerkes,2,0,WH,9/17/97,B,2,6,2,6,4,1,3,5,2,6,5,2,2,2,4,5,1,2,3,3,6,4,4,5,3,5,7,2,3,4,2,5,6,3,5,3,2,2,2,5,6,5,6
Fritz,7/14/88,Bo,Ossabaw,Yerkes,8,1,AH,7/26/01,B,5,3,2,5,5,5,2,4,5,4,5,3,4,5,6,5,4,3,3,4,2,3,2,3,3,4,4,4,5,5,4,3,4,3,2,4,4,3,4,5,3,5,5
Gelb,4/18/83,Sheila,Walnut,Yerkes,2,1,WH,9/2/97,B,5,5,3,6,4,2,3,3,2,5,5,2,2,4,5,5,2,2,3,4,5,5,4,3,4,5,6,1,4,5,3,5,6,3,5,2,4,3,2,5,5,6,6
Heppie,5/8/69,Lolita,Hep,Yerkes,2,0,MW,7/29/01,B,3,2,4,5,3,3,5,4,3,3,4,3,5,4,3,5,3,4,5,4,4,5,4,5,4,5,4,3,4,5,4,5,4,3,5,4,4,3,4,4,3,3,4
Jacqueline,10/16/76,Martha,Homer,Yerkes,7,0,MW,7/25/01,B,4,2,3,3,5,4,3,3,4,3,6,4,3,3,5,5,4,3,6,4,2,3,2,5,5,5,4,4,4,4,3,3,3,4,2,4,5,3,3,5,4,2,3
Jeanie,1/1/69,,,Yerkes,2,0,MW,7/15/01,B,3,2,3,2,2,2,3,5,5,5,3,2,5,4,2,2,4,3,5,2,5,2,3,4,3,5,4,2,6,5,4,4,3,2,2,3,4,2,2,5,5,2,3
Jenda,2/14/58,Soda,Jent,Yerkes,6,0,WH,12/30/98,B,1,7,5,7,1,2,5,5,2,5,2,1,2,2,2,6,1,1,2,2,6,3,3,4,2,5,5,3,1,5,4,7,6,2,6,4,3,1,1,1,2,5,6
Jewelle,3/9/92,Jaq,Rogger,Yerkes,9,0,LP,8/17/97,B,6,3,3,5,6,6,2,3,4,1,7,5,5,5,4,7,5,2,2,3,1,7,1,7,5,6,1,7,6,3,2,6,1,2,1,3,3,3,6,7,5,4,2
Jimmy Carter,1/21/77,Anna,Franklin,Yerkes,2,1,WH,8/21/97,B,2,3,4,5,4,3,4,4,3,5,4,4,5,3,2,5,3,4,6,4,5,3,5,3,3,3,5,4,4,5,5,4,5,5,5,5,3,4,4,4,5,3,3
Jolson,1/10/93,Suwannee,Carmichael,Yerkes,8,1,MW,7/26/01,B,6,4,2,4,5,6,3,3,2,3,5,3,6,6,5,4,5,4,3,3,2,5,2,3,5,5,2,5,6,5,3,3,3,2,2,3,5,3,5,5,6,5,4
Joseph,11/25/80,Jenda,Walnut,Yerkes,2,1,MW,7/15/01,B,7,3,1,5,7,6,2,2,2,2,6,2,7,7,7,6,2,1,2,2,2,6,2,5,7,7,1,2,6,6,1,3,2,2,1,1,6,1,2,1,6,2,3
Justin,8/1/86,Foxy,Duncan,Yerkes,2,1,DL,10/4/97,B,6,2,3,3,6,6,2,2,5,3,4,5,3,4,5,5,6,2,5,2,2,6,4,3,5,4,2,5,5,5,4,2,2,2,5,3,4,4,5,5,3,5,5
Katrina,7/26/87,Sheila,Walnut,Yerkes,2,0,KB,10/4/97,B,1,2,5,5,3,3,2,5,7,3,3,6,6,2,1,7,7,5,6,5,4,3,3,5,2,2,4,6,5,6,6,5,1,4,4,6,5,5,6,3,5,2,1
Kengee,6/1/88,Martha,Chuck,Yerkes,11,0,DP,7/27/01,B,3,1,5,2,6,6,2,2,6,2,7,7,5,5,5,6,7,6,6,4,2,5,2,6,5,1,3,6,6,5,5,2,4,5,2,3,6,6,6,7,6,2,2
Lamar,4/27/88,Lolita,Walnut,Yerkes,2,1,DP,8/17/97,B,2,3,6,2,2,6,3,7,4,2,6,6,6,3,2,5,6,7,6,5,4,2,5,5,2,2,2,6,6,4,7,1,1,5,1,6,4,7,6,7,4,3,2
Lee,12/29/83,Halpha,Jiggs,Yerkes,2,0,DP,7/27/01,B,3,1,5,3,4,2,2,5,3,2,6,3,5,3,2,6,6,6,6,3,2,4,3,5,6,2,6,4,6,6,6,2,5,5,4,4,3,6,3,6,4,2,5
Lena,2/29/76,Reba,Hep,Yerkes,2,0,BN,6/2/00,A,2,2,3,3,3,3,4,4,3,2,4,4,4,4,3,4,4,3,4,3,3,3,3,4,3,3,3,4,4,4,3,3,1,4,3,4,3,4,4,4,4,1,2
Les,9/8/75,Flora,Hal,Yerkes,2,1,AH,7/30/01,B,3,3,2,5,2,4,7,5,4,2,3,3,5,5,2,3,4,3,2,3,6,3,5,3,2,4,4,4,1,3,3,4,4,2,7,4,5,3,4,5,5,5,3
Leslie,1/1/70,,,Yerkes,11,0,WH,9/26/97,B,1,5,5,4,3,2,5,6,2,5,5,1,3,2,3,6,5,5,6,3,5,2,4,5,3,3,5,4,5,6,5,5,3,4,3,5,5,5,3,2,5,2,2
Lilone,1/1/69,,,Yerkes,9,0,SS,1/14/99,B,2,1,5,4,2,2,2,4,1,3,6,2,5,2,1,6,7,6,5,4,3,1,2,6,4,1,2,4,4,6,6,1,1,5,4,6,5,5,6,5,6,2,2
Lindsey,2/10/94,Leslie,Lux,Yerkes,,0,LP,6/11/00,B,5,6,3,2,4,6,5,3,4,3,6,6,4,6,4,4,3,6,3,3,3,5,4,5,4,4,2,4,4,3,5,2,4,3,4,3,3,4,4,6,4,5,2
Luther,1/14/90,Pamela,Rogger,Yerkes,2,1,MW,7/29/01,B,4,5,4,3,3,6,4,4,6,3,4,5,5,6,5,4,4,4,3,4,3,5,4,5,4,5,2,3,4,3,4,4,3,5,4,4,3,4,5,5,6,5,3
Marietta,8/3/73,Martha,Homer,Yerkes,2,0,SS,1/14/99,B,3,6,3,6,5,3,3,3,4,3,5,2,3,2,2,5,4,2,4,3,4,3,3,4,4,4,2,4,4,4,2,4,1,2,3,4,4,2,4,5,5,4,2
Mary,7/7/60,Flora,Jent,Yerkes,2,0,BN,6/2/00,A,3,3,3,5,2,3,3,4,3,4,4,2,4,3,2,3,3,3,4,3,5,2,4,4,3,3,4,3,3,4,2,4,3,2,5,4,3,3,3,3,3,2,4
Maxine,2/10/57,,,Yerkes,2,0,BN,5/20/00,A,2,2,3,4,1,2,3,4,2,4,2,2,4,3,1,3,3,3,4,3,4,2,4,4,2,2,4,2,2,4,3,4,2,2,4,4,1,3,4,1,2,1,2
Mega,11/27/84,Cookie,Jimoh,Yerkes,2,0,WH,8/19/97,B,5,4,3,5,5,5,2,2,5,4,5,3,4,5,4,5,5,3,4,3,2,5,4,5,5,5,4,5,5,5,3,4,3,5,3,3,5,4,4,1,5,3,3
Melissa,6/27/81,Tai,Harv,Yerkes,8,0,MW,7/26/01,B,4,1,1,3,6,3,3,3,2,3,6,2,4,5,4,6,6,4,3,3,2,6,2,6,4,5,5,4,5,5,4,2,3,4,2,3,6,4,5,6,6,4,4
Merv,1/6/76,Halpha,Hep,Yerkes,2,1,DL,10/4/97,B,6,4,2,4,7,6,2,2,5,1,7,5,3,6,7,5,5,4,2,2,2,6,2,6,6,6,2,7,7,4,5,2,2,2,2,2,5,5,5,7,7,6,2
Mortimer,12/20/76,Mary,Homer,Yerkes,2,1,MW,7/15/01,B,2,7,1,2,7,6,1,1,2,2,7,2,4,7,7,7,3,1,1,2,2,6,1,6,6,7,1,2,7,2,2,2,1,1,1,1,6,1,2,6,7,3,4
Ossobaw,11/17/76,Tari,Jiggs,Yerkes,2,1,MW,7/16/01,B,3,2,5,4,,5,3,4,5,2,2,5,4,4,2,4,6,2,4,5,3,3,3,5,4,2,3,4,2,4,4,2,2,3,5,4,4,3,5,4,4,2,2
Phillip,4/30/77,Lolita,Hep,Yerkes,6,1,SS,1/19/99,B,5,2,1,6,6,4,2,1,1,1,6,4,2,3,6,6,3,1,5,1,1,6,1,6,6,4,2,1,7,3,1,2,1,1,1,2,4,1,3,5,5,2,2
Puddin,12/23/78,Mai,Hep,Yerkes,2,1,AH,7/15/01,B,6,5,2,5,5,4,1,1,4,3,4,2,3,4,4,6,4,2,3,3,1,5,2,5,5,6,5,4,6,3,1,4,3,2,1,2,4,1,4,5,5,5,5
Reba,11/3/58,Flora,Web,Yerkes,7,0,DL,10/4/97,B,4,7,5,6,5,4,6,6,4,1,4,2,1,6,3,5,1,4,2,3,6,6,6,4,3,3,5,1,3,2,4,7,7,4,6,6,1,1,2,2,2,6,6
Rebecca,5/20/91,Mickie,Frans,Yerkes,5,0,MW,7/29/01,B,2,2,3,6,2,1,4,5,2,3,3,1,5,4,2,5,2,3,3,3,5,2,3,5,2,3,6,3,4,5,3,6,5,3,6,4,3,3,2,4,3,3,5
Rogger,1/1/69,,,Yerkes,7,1,MW,7/25/01,B,2,2,5,6,5,2,5,5,2,3,5,2,4,2,2,6,4,3,5,5,2,3,2,5,3,4,6,3,3,5,4,7,4,3,6,5,2,3,3,4,5,3,5
Sabrina,10/16/78,Mary,Homer,Yerkes,,0,AH,7/15/01,B,1,2,3,5,2,3,5,5,3,4,2,2,4,4,2,4,4,2,3,3,7,2,5,3,2,3,6,4,2,5,3,5,5,2,6,5,2,3,2,1,2,3,3
Scott,6/23/87,Jencie,Jimoh,Yerkes,2,1,LP,7/16/97,B,2,1,5,1,1,6,1,4,1,1,1,6,5,2,2,7,7,7,7,6,1,1,3,6,6,1,1,7,6,6,7,1,4,5,1,6,7,6,7,5,2,1,1
Sellers,12/18/83,Marilyne,Walnut,Yerkes,3,1,MW,7/29/01,B,4,3,5,3,3,4,3,3,2,3,5,4,4,5,4,3,5,4,5,5,3,3,3,5,3,4,4,3,4,5,5,3,3,5,3,4,3,5,4,4,5,3,3
Shirley,1/11/85,Tai,Rogger,Yerkes,2,0,MW,7/15/01,B,5,2,2,3,6,6,2,2,2,1,7,1,6,7,7,6,5,1,2,1,2,6,2,2,6,7,4,1,5,1,1,4,3,6,1,1,7,3,4,7,6,3,4
Sonia,11/1/59,,,Yerkes,,0,WH,7/29/01,B,1,1,5,2,6,1,1,6,2,6,7,5,5,2,2,5,6,6,7,4,2,1,2,6,4,1,5,4,6,6,7,1,2,6,2,6,4,7,7,2,5,1,1
Suwanee,2/17/85,Peony,Walnut,Yerkes,7,0,MW,7/25/01,B,2,2,4,5,1,2,5,5,3,3,3,2,5,3,2,5,4,4,5,5,5,2,5,3,2,4,5,3,2,5,5,5,4,3,6,5,3,3,3,4,3,3,4
Suzanna,2/25/76,Jenda,Hep,Yerkes,2,0,SS,1/14/99,B,6,3,2,3,5,5,3,3,3,2,5,3,3,5,4,5,5,3,2,4,3,5,3,5,4,5,3,4,5,4,3,3,1,2,2,2,4,2,4,5,5,5,2
Sylvia,7/19/93,Melissa,Carmichael,Yerkes,6,0,DP,7/27/01,B,5,1,3,4,5,7,6,2,4,2,6,7,4,7,5,7,6,2,3,4,2,7,2,6,6,2,1,6,5,4,3,4,1,5,6,5,4,3,6,6,6,5,4
Vivienne,7/27/74,Boka,,Yerkes,,0,WH,8/22/97,B,5,5,3,5,5,3,4,4,3,2,5,3,3,5,4,4,5,3,3,3,5,4,4,5,5,5,5,3,2,4,3,5,4,5,6,3,4,4,3,5,5,4,5
Wilma,10/27/88,Vivienne,Duncan,Yerkes,9,0,AH,7/26/01,A,3,1,3,4,1,4,2,4,4,6,4,3,4,3,1,5,4,4,4,4,3,3,3,5,4,3,4,4,4,6,4,4,4,4,4,5,5,4,2,3,3,3,3
Wilson,3/9/94,Gay,Rogger,Yerkes,,1,LP,6/11/00,B,5,6,5,2,4,6,5,5,5,2,4,6,5,6,4,3,3,6,3,5,5,4,5,3,3,2,2,3,3,4,6,2,2,5,4,4,5,6,6,5,4,3,1
Winston,1/12/87,Barbara,Ossabaw,Yerkes,3,1,AH,7/15/01,B,6,2,2,4,5,5,2,2,4,2,2,3,3,6,5,5,4,3,2,4,1,5,2,6,5,6,3,4,5,5,3,3,3,2,1,2,4,3,5,6,6,4,4
Woodruff,7/22/75,Anna,Frans,Yerkes,2,1,WH,9/15/97,B,2,3,4,5,1,1,4,5,2,5,3,2,2,2,2,4,1,2,4,3,6,3,5,2,2,2,6,2,2,4,3,5,5,3,6,4,2,3,2,3,5,3,6
Lana,10/7/70,Banana,Hal,Yerkes,4,0,JK,6/5/02,B,1,6,4,2,1,2,5,7,4,3,6,2,7,4,2,4,7,6,4,4,4,5,4,6,2,4,3,3,2,6,4,1,2,6,6,4,4,5,5,6,4,1,1
Austin,7/10/74,Vonee,,Yerkes,4,1,MB,6/5/02,B,3,2,7,1,4,7,5,3,6,2,4,7,2,4,3,7,7,7,7,7,1,2,6,7,2,1,1,7,7,7,7,1,1,7,3,7,6,7,7,4,6,1,1
Panzee,12/31/85,Cookie,Jimoh,Yerkes,4,0,JK,6/5/02,A,6,1,2,5,4,4,6,4,4,1,7,5,2,7,5,7,2,4,1,2,1,5,1,6,7,4,,,5,5,,1,,1,1,3,2,4,7,6,7,,1
