,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-12,12:31,13:02,31,Balcony,Carla,FO+SCAN+Groom+Agg,0min,EA,CL,OOS,TR,OOS,OOS,OOS,OOS,TR,OOS,TR,CL,OOS,OOS,OOS,OOS,TR,OOS,TR,Q KD DA LY RE PA EV SO,LO,EV,3m,,Y,Carrots,N,,,,,,,LO,N,,N,,N,,N,,,Y,6,,,
01-Aug-12,12:31,13:02,31,Balcony,Carla,FO+SCAN+Groom+Agg,10min,OOS,OOS,TR,OOS,OOS,OOS,OOS,RE,OOS,CL,OOS,OOS,RE,OOS,OOS,OOS,OOS,CL,OOS,LB EM KL FK ED,EM,LB,12m,,Y,Carrots & twigs,N,,,,,,,EM,N,,N,,N,,N,,,N,,,,
01-Aug-12,12:31,13:02,31,Balcony,Carla,FO+SCAN+Groom+Agg,20min,OOS,OOS,OOS,RE,OOS,OOS,OOS,EA,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,DA EM ,DA,EM,10m,,N,,N,,,,,,,DA,N,,N,,N,,N,,,N,,,,
01-Aug-12,12:31,13:02,31,Balcony,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,DA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-12,14:29,14:57,28,Pod 1,Carla,FO+SCAN+Groom+Agg,0min,OOS,RE,OOS,RE,RE,RE,OOS,OOS,RE,RE,G,RE,RE,OOS,R,OOS,RE,RE,RE,KD DA LO CI LY KL RE PA FK HL EV ED SO,EV,SO,<1m,,N,,N,,,,,,,EV,N,,N,,N,,N,,,N,,,,
01-Aug-12,14:29,14:57,28,Pod 1,Carla,FO+SCAN+Groom+Agg,10min,OOS,RE,OOS,RE,RE,RE,OOS,OOS,RE,RE,G,RE,RE,OOS,R,OOS,R,RE,G,KD DA LO CI LY KL RE PA FK HL EV ED SO,SO,EV,<1m,,N,,Y,14:46,Hand,"EV, RE, HL, FK, DA, LO, CI, KL","EV, RE approx 1m, HL, FK, DA, LO = 6m, CI, KL = 10m",N,,SO,N,,N,,N,,N,,,Y,6,,,
01-Aug-12,14:29,14:57,28,Pod 1,Carla,FO+SCAN+Groom+Agg,20min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,RE,OOS,RE,OOS,OOS,OOS,OOS,PA FK HL ,HL,FK,10m,,N,,N,,,,,,,HL,Y,D,N,,Y,RE,N,,,Y,7,,,
01-Aug-12,14:29,14:57,28,Pod 1,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,EA,OOS,RE,OOS,OOS,OOS,EA,SG,RE,OOS,OOS,OOS,OOS,SG,OOS,OOS,DA CI KL RE PA EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Aug-12,15:00,15:23,23,Pod 1,Carla,FO+SCAN+Groom+Agg,0min,OOS,G+R,G+R,OOS,OOS,TR,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,G,OOS,OOS,OOS,OOS,KD LB CI LI HL ,LB,KD HL,<1m,,N,,N,,,,,,,LB,N,,N,,N,,N,,,N,,,,
02-Aug-12,15:00,15:23,23,Pod 1,Carla,FO+SCAN+Groom+Agg,10min,OOS,G+R,G+R,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,OOS,OOS,OOS,OOS,KD LB HL,KD,HL LB,<1m,,N,,N,,,,,,,KD,N,,N,,N,,N,,,Y,6,,,
02-Aug-12,15:00,15:23,23,Pod 1,Carla,FO+SCAN+Groom+Agg,20min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,OOS,OOS,OOS,OOS,HL,HL,NA,,,N,,N,,,,,,,HL,N,,N,,N,,N,,,Y,3,,,
02-Aug-12,15:00,15:23,23,Pod 1,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,TR,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Aug-12,16:10,16:39,29,Pod 1,Carla,FO+SCAN+Groom+Agg,0min,RE,OOS,OOS,OOS,OOS,RE,OOS,G,R,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,Q CI EM LY KL ,LY,EM,<1m,,N,,N,,,,,,,LY,N,,N,,N,,N,,,N,,,,
03-Aug-12,16:10,16:39,29,Pod 1,Carla,FO+SCAN+Groom+Agg,10min,RE,OOS,OOS,OOS,OOS,RE,OOS,RE,RE,RE,OOS,OOS,OOS,CL,OOS,OOS,OOS,RE,OOS,Q CI EM LY KL LI ED,ED,EM,1m,,N,,N,,,,,,,ED,N,,N,,N,,N,,,N,,,,
03-Aug-12,16:10,16:39,29,Pod 1,Carla,FO+SCAN+Groom+Agg,20min,RE,OOS,OOS,OOS,OOS,RE,OOS,OOS,RE,RE,OOS,OOS,OOS,RE,OOS,OOS,OOS,RE,OOS,Q CI LY KL LI ED,CI,LI,2m,,N,,N,,,,,,,CI,N,,N,,N,,N,,,Y,6,,,
03-Aug-12,16:10,16:39,29,Pod 1,Carla,FO+SCAN+Groom+Agg,30min,RE,OOS,CL,OOS,OOS,OOS,OOS,TR,TR,TR,OOS,OOS,OOS,CL,OOS,OOS,OOS,RE,OOS,Q LB EM LY KL LI ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Aug-12,12:07,12:41,34,Pod 3,Carla,FO+SCAN+Groom+Agg,0min,TR,RE,OOS,OOS,OOS,TR,OOS,OOS,OOS,OOS,RE,RE,PL,RE,OOS,OOS,OOS,G,R,Q KD CI RE PA  FK  LI  ED SO,Q,PA KD,1m,,N,,N,,,,,,,Q,N,,N,,N,,N,,,N,,,,
07-Aug-12,12:07,12:41,34,Pod 3,Carla,FO+SCAN+Groom+Agg,10min,TR,OOS,OOS,OOS,RE,TR,OOS,OOS,RE,RE,SG,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,Q LO CI LY KL RE PA ,KL,CI,1m,,N,,N,,,,,,,KL,N,,N,,Y,RE,N,,,N,,,,
07-Aug-12,12:07,12:41,34,Pod 3,Carla,FO+SCAN+Groom+Agg,20min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,OOS,RE,OOS,RE,OOS,OOS,OOS,OOS,OOS,KL PA LI,LI,KL,1m,,N,,Y,12:33?,Mouth,"KL, PA, ",approx 6m,N,,LI,N,,N,,N,,N,,,N,,Cant be certain LI regurgitated as she appeared to be retching but her face was obscured.,,
07-Aug-12,12:07,12:41,34,Pod 3,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,OOS,RE,OOS,RE,OOS,OOS,OOS,OOS,OOS,KL PA LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Aug-12,14:25,14:51,26,Balcony,Carla,FO+SCAN+Groom+Agg,0min,EA,OOS,TR,OOS,RE,OOS,OOS,EA,RE,EA,OOS,OOS,OOS,OOS,OOS,EA,OOS,OOS,OOS,Q LB LO EM LY KL PE,LO,Q,4m,,Y,Sweet Potatoe,N,,,,,,,LO,N,,N,,N,,Y,SO,,N,,,,
07-Aug-12,14:25,14:51,26,Balcony,Carla,FO+SCAN+Groom+Agg,10min,TR,TR,OOS,OOS,TR,RE,OOS,OOS,OOS,EA,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,Q KD LO CI KL ,KD,KL,2m,,N,,N,,,,,,,KD,N,,N,,N,,N,,,Y,2,,,
07-Aug-12,14:25,14:51,26,Balcony,Carla,FO+SCAN+Groom+Agg,20min,EA,OOS,EA,OOS,OOS,EA,OOS,OOS,EA,EA,EA,TR,OOS,OOS,OOS,OOS,OOS,OOS,OOS,Q LB CI LY KL RE PA ,CI,CI,15m,,N,,N,,,,,,,RE,N,,N,,N,,N,,,N,,,,
07-Aug-12,14:25,14:51,26,Balcony,Carla,FO+SCAN+Groom+Agg,30min,R,G,OOS,OOS,RE,RE,OOS,G,OOS,OOS,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,Q KD LO CI EM RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Aug-12,12:33,12:49,16,Pod 3,Carla,FO+SCAN+Groom+Agg,0min,RE,RE,OOS,OOS,TR,OOS,OOS,OOS,R,OOS,TR,OOS,OOS,RE,G,OOS,TR,RE,OOS,Q KD LO LY RE LI HL EV ED,LY ,HL,<1m,,N,,N,,,,,,,LY,N,,N,,N,,N,,,Y,4,Scans carried while preference testing was occuring,,
08-Aug-12,12:33,12:49,16,Pod 3,Carla,FO+SCAN+Groom+Agg,10min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,EA,RE,OOS,OOS,OOS,OOS,OOS,PA FK LI,FK,PA,1m,,Y,Carrot,N,,,,,,,FK,N,,N,,N,,N,,,Y,2,,,
08-Aug-12,12:33,12:49,16,Pod 3,Carla,FO+SCAN+Groom+Agg,20min,EA,OOS,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,R,OOS,RE,G,OOS,OOS,OOS,OOS,Q LB PA LI HL ,Q,PA,1m,,Y,Carrot,N,,,,,,,Q,N,,N,,N,,N,,,Y,8,,,
08-Aug-12,12:33,12:49,16,Pod 3,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,CL,OOS,RE,OOS,RE,RE,OOS,OOS,TR,OOS,KL PA LI HL ED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Aug-12,11:58,12:28,30,Pod 3,Carla,FO+SCAN+Groom+Agg,0min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,EA,OOS,RE,EA,RE,OOS,OOS,OOS,PA LI HL PE ,HL,PA,1m,,Y,Sweet potatoe,N,,,,,,,HL,N,,N,,N,,N,,,N,,,,
09-Aug-12,11:58,12:28,30,Pod 3,Carla,FO+SCAN+Groom+Agg,10min,OOS,RE,OOS,OOS,SG,OOS,OOS,OOS,OOS,OOS,OOS,G,RE,RE,TR,SG,R,RE,RE,KD LO PA FK LI HL PE EV ED SO,KD,PE,<1m,,N,,N,,,,,,,KD,N,,N,,N,,N,,,Y,9,,,
09-Aug-12,11:58,12:28,30,Pod 3,Carla,FO+SCAN+Groom+Agg,20min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,CL,G+R,TR,RE,RE,RE,G+R,OOS,RE,RE PA FK LI HL PE EV SO,RE,HL,<1m,,N,,N,,,,,,,RE,N,,N,,N,,N,,,Y,7,,,
09-Aug-12,11:58,12:28,30,Pod 3,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,OOS,OOS,RE,OOS,OOS,OOS,RE,OOS,OOS,OOS,RE,RE,OOS,OOS,OOS,OOS,CI KL LI HL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-12,11:23,11:51,28,Top Outside,Carla,FO+SCAN+Groom+Agg,0min,TR,OOS,RE,RE,G+R,RE,OOS,RE,RE,G,OOS,OOS,RE,R,OOS,RE,G+R,OOS,RE,Q LB DA LO CI EM LY KL FK LI PE EV SO,LB,FK,2m,,N,,N,,,,,,,LB,N,,N,,N,,N,,,N,,,,
10-Aug-12,11:23,11:51,28,Top Outside,Carla,FO+SCAN+Groom+Agg,10min,OOS,TR,RE,TR,TR,RE,OOS,OOS,OOS,OOS,TR,RE,TR,RE,OOS,OOS,RE,RE,RE,KD LB DA LO CI RE PA FK LI EV ED SO,ED,LO,1m,,N,,N,,,,,,,ED,N,,N,,N,,N,,,N,,,,
10-Aug-12,11:23,11:51,28,Top Outside,Carla,FO+SCAN+Groom+Agg,20min,OOS,R,RE,OOS,G,OOS,OOS,OOS,OOS,OOS,OOS,G,RE,OOS,OOS,RE,SG,R,RE,KD LB LO PA FK PE EV ED SO,PA,KD,<1m,,N,,N,,,,,,,PA,N,,N,,N,,N,,,Y,3,oos to forage during scatter feed,,
10-Aug-12,11:23,11:51,28,Top Outside,Carla,FO+SCAN+Groom+Agg,30min,EA,EA,EA,FO,FO,RE,FO,EA,EA,FO,EA,OOS,EA,FO,OOS,FO,EA,FO,FO,Q KD LB DA LO CI LU EM LY KL RE FK LI PE EV ED SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,y,3,,,
14-Aug-12,11:41,11:59,18,Pod 3,Carla,FO+SCAN+Groom+Agg,0min,TR,OOS,RE,RE,OOS,RE,OOS,OOS,OOS,TR,TR,OOS,TR,TR,TR,RE,RE,TR,RE,Q LB DA CI KL RE FK LI HL PE EV ED SO,LB,HL,2m,,N,,N,,,,,,,LB,N,,N,,N,,Y,FK,,y,5,,,
14-Aug-12,11:41,11:59,18,Pod 3,Carla,FO+SCAN+Groom+Agg,10min,OOS,OOS,OOS,OOS,OOS,TR,OOS,OOS,OOS,OOS,TR,OOS,RE,RE,CL,RE,TR,RE,OOS,CI RE FK LI HL PE EV ED,PE,RE,3m,,N,,N,,,,,,,PE,N,,N,,N,,N,,,y,6,Outside doors opened after being locked  all morning,,
14-Aug-12,11:41,11:59,18,Pod 3,Carla,FO+SCAN+Groom+Agg,20min,OOS,OOS,OOS,OOS,OOS,TR,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,OOS,OOS,OOS,OOS,CI HL ,CI,HL,6m,,N,,N,,,,,,,CI,N,,N,,N,,N,,,,,,,
14-Aug-12,11:41,11:59,18,Pod 3,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,OOS,OOS,OOS,OOS,HL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Aug-12,13:53,14:21,28,Pod 3,Carla,FO+SCAN+Groom+Agg,0min,OOS,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,RE,RE,RE,RE,RE,RE,RE,RE,KD RE PA FK LI HL PE EV ED SO,SO,HL,<1m,,N,,N,,,,,,,SO,Y,,N,,N,,N,,,N,,,,
14-Aug-12,13:53,14:21,28,Pod 3,Carla,FO+SCAN+Groom+Agg,10min,OOS,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,RE,RE,RE,RE,RE,RE,RE,SG,KD RE PA FK LI HL PE EV ED SO,PA,SO,7m,,N,,N,,,,,,,PA,N,,N,,N,,N,,,Y,5,Mango scatter feed started from balcony,,
14-Aug-12,13:53,14:21,28,Pod 3,Carla,FO+SCAN+Groom+Agg,20min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,OOS,RE,OOS,RE,RE,RE,CL,OOS,RE FK HL PE EV ED,HL,FK,1m,,Y,,N,,,,,,,HL,N,,N,,N,,N,,,N,,,,
14-Aug-12,13:53,14:21,28,Pod 3,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,EA,OOS,OOS,EA,OOS,HL ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Aug-12,11:01,11:35,34,Pod 1,Carla,FO+SCAN+Groom+Agg,0min,OOS,EA,OOS,EA,OOS,OOS,OOS,OOS,OOS,RE,RE,RE,RE,RE,RE,EA,SG,OOS,RE,KD DA KL RE PA FK LI HL PE EV ED SO,KL,EV,3m,,N,,N,,,,,,,KL,N,,N,,N,,N,,,N,,,,
15-Aug-12,11:01,11:35,34,Pod 1,Carla,FO+SCAN+Groom+Agg,10min,OOS,EA,OOS,EA,OOS,OOS,OOS,OOS,OOS,RE,RE,RE,RE,RE,RE,EA,RE,OOS,RE,KD DA KL RE PA FK LI HL PE EV SO ,DA,PA,4m,,Y,Carrots,N,,,,,,,DA,N,,N,,N,,N,,,N,,,,
15-Aug-12,11:01,11:35,34,Pod 1,Carla,FO+SCAN+Groom+Agg,20min,OOS,RE,OOS,EA,OOS,RE,OOS,OOS,OOS,OOS,RE,RE,RE,RE,RE,RE,SG,RE,RE,KD DA CI RE PA FK LI HL PE EV ED SO,ED,HL,<1m,,Y,Carrots,N,,,,,,,ED,N,,N,,N,,N,,,N,,,,
15-Aug-12,11:01,11:35,34,Pod 1,Carla,FO+SCAN+Groom+Agg,30min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,RE,RE,RE,R,RE,RE,G,RE,RE PA FK LI HL PE EV ED SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Aug-12,11:03,11:37,34,Pod 3,Carla,FO+SCAN+Groom+Agg,0min,RE,OOS,OOS,EA,OOS,OOS,TR,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,TR,TR,Q DA LU EM ED SO,Q,SO,2m,,N,,N,,,,,,,Q,N,,N,,N,,N,,,N,,,,
16-Aug-12,11:03,11:37,34,Pod 3,Carla,FO+SCAN+Groom+Agg,10min,OOS,RE,RE,RE,OOS,OOS,RE,OOS,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,KD LB LU LY ,LU,DA,3m,,N,,N,,,,,,,LU,N,,N,,N,,N,,,N,,Locked in due to gardening outside,,
16-Aug-12,11:03,11:37,34,Pod 3,Carla,FO+SCAN+Groom+Agg,20min,RE,OOS,EA,RE,OOS,OOS,RE,RE,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,EA,OOS,Q LB DA LU EM LY ED,EM,LU,<1m,,N,,N,,,,,,,EM,N,,N,,N,,N,,,N,,,,
16-Aug-12,11:03,11:37,34,Pod 3,Carla,FO+SCAN+Groom+Agg,30min,RE,OOS,RE,OOS,OOS,CL,RE,RE,RE,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,RE,OOS,Q LB CI LU EM LY ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Qafzeh,Kindia,Liberius,David,Louis,Cindy,Lucy,Emma,Lyndsey,Kilimi,Rene,Paul,Frek,Lianne,Heleen,Pearl,Eva,Edith,Sofie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Aug-12,12:06,12:15,9,Pod 3,Carla,FO+SCAN+Groom+Agg,0min,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,OOS,EA,OOS,RE,OOS,RE,OOS,CL,OOS,OOS,RE FK HL EV,FK,HL,6m,,N,,N,,,,,,,FK,N,,N,,N,,N,,,Y,1,,,
