chimp,Sex.x,DOB.x,fear.z,dom.z,pers.z,caut.z,stbl.z,aut.z,stngy.z,jeals.z,reckl.z,soc.z,tim.z,symp.z,play.z,sol.z,actv.z,help.z,buly.z,aggr.z,manp.z,gntl.z,affc.z,exct.z,impl.z,inqs.z,subm.z,depd.z,irri.z,pred.z,decs.z,depr.z,sens.z,defn.z,intll.z,prot.z,invt.z,clmy.z,errc.z,frdy.z,lazy.z,dsor.z,unem.z,imit.z,indp.z
Artifee,0,7/24/1976,4,5,4,4,4,2,4,3,2,4,5,5,3,4,3,5,1,1,5,5,4,4,3,4,2,3,2,6,5,4,5,5,4,4,4,5,3,3,5,3,5,4,5
Atlanta,0,08/10/1965,1,2,1,1,7,1,5,2,1,4,1,6,1,6,1,1,1,1,1,6,7,1,1,2,1,1,1,7,7,1,6,1,6,2,1,1,1,7,7,1,2,1,7
Augusta,0,08/01/1975,4.5,4.5,5.5,2,2.5,2,5,5,3,3.5,3.5,2.5,3,3.5,4,4,3,4.5,3.5,2.5,2.5,4.5,4,4,4,4.5,4.5,4.5,4.5,2,4,2.5,3.5,3.5,2.5,2,3.5,3,2.5,2,2.5,4.5,3.5
Austin,1,07/10/1974,4.5,4.5,5,4,6,1.5,4,4,2,7,1,6,6.5,1,5.5,6.5,4.5,2,6,6,6.5,4.5,1.5,6.5,3,3.5,1,5.5,6.5,1,4,3,7,5,7,1.5,1,7,1,1,1.5,6,6
Azalea,0,03/07/1997,1,1,2,3,4,1,1,1,1,5,2,4,5,1,4,1,1,1,1,4,4,2,2,4,2,4,1,3,2,1,3,1,2,2,3,2,1,4,2,2,2,3,4
Barbara,0,12/16/1972,2,3,2,6,6,1,1,2,1,5,1,4,1,5,1,4,2,1,3,6,6,1,1,4,3,2,4,6,4,4,4,1,5,5,3,1,1,6,6,1,1,4,4
Barbi,0,6/14/1976,4,2,2,5,4,1,4,2,2,2,5,3,2,5,2,2,2,2,2,3,2,2,2,3,5,5,2,5,3,5,3,2,2,2,2,2,2,5,5,3,5,2,2
Barney,1,05/06/1989,3,6,6.5,2.5,2.5,3.5,5.5,5.5,6,2.5,2.5,2,4,2.5,6,3,6,6,5,2,2,5.5,5.5,5,2,2,6,5,5,2.5,4.5,3,4.5,2.5,3.5,2,3.5,3,2,4,2,2,6
Beleka,0,01/01/1962,2,4,6,4.5,4.5,2.5,5,4.5,2.5,4,2.5,4.5,3.5,3,3.5,4.5,4.5,4.5,4,4,3.5,3,2.5,4.5,3,2.5,2.5,6.5,4.5,3.5,5,2,4,4,2.5,3,3,4,4,3.5,5,3,6
Bertha,0,03/05/1977,4,5,5,4,4,6,5,4,4,4,3,4,3,5,4,4,5,5,5,3,3,5,5,4,5,5,5,4,4,6,4,5,5,4,4,4,5,4,4,4,3,4,5
Bjorn,1,7/16/1988,3,2,2,4,3,1,2,2,2,4,3,4,4,4,3,3,2,3,2,4,4,3,2,4,4,4,2,4,4,2,4,2,4,4,4,1,1,4,2,1,2,4,4
Bo,0,01/01/1969,4.5,2.5,2.5,6,5.5,3,2,2.5,1.5,4.5,5.5,4,1.5,5.5,1.5,3,1.5,1.5,4,4.5,3.5,3,2.5,3,5.5,5,3.5,5.5,3,4.5,4,2,2.5,3.5,2,5.5,1.5,4,6,4.5,5,2.5,3
Boisfeullet,1,12/14/1971,2,3,3.5,5,4,3,3,3,4,1.5,5.5,3.5,1.5,5,4.5,3.5,4,3.5,2,4,4,4,4,2,3.5,2,2.5,5,3.5,4.5,3,3.5,3,3,2,3.5,3.5,4,4.5,3.5,4.5,2,4.5
Boka,0,11/11/1959,4.5,3,3,5,6,1.5,3,3,1.5,4,5,3,1.5,4.5,1.5,3.5,2,2,3.5,4,3.5,2.5,2.5,2.5,3,3.5,2.5,5.5,5,4,4.5,2,3,3,1.5,4.5,2,4,4.5,4.5,5,2.5,5
Borie,0,01/01/1964,1,7,5,3,6,1,3,2,1,6,1,5,3,2,4,4,5,1,2,5,5,2,3,6,2,2,1,5,5,1,6,1,7,6,6,2,1,5,3,1,3,1,6
Brandy,0,4/26/1985,3.5,5,5,4,4,3,5,5.5,4.5,4.5,4,3,4,3.5,4.5,3,4.5,4,5,4,3.5,5,5,4,2.5,3.5,5,2.5,4,3.5,4.5,4,3,4.5,4.5,4.5,4.5,3.5,2.5,5.5,3.5,3.5,4.5
Brent,1,1/20/1976,2,5,5,1,1,6,6,5,6,5,2,3,4,6,5,3,6,6,4,2,2,6,6,4,3,4,5,3,4,4,3,5,4,5,4,5,5,4,4,5,2,4,5
Brian,1,3/31/1979,2,4,5,2,3,1,6,6,5,2,5,3,2,6,3,2,5,5,2,2,2,5,5,3,3,5,5,6,3,4,3,5,2,4,2,5,5,3,4,5,4,2,5
Brooks,1,11/10/1992,4,5,5,3,4,6,4,5,4,4,2,4,7,1,7,5,4,3,4,6,6,5,5,6,1,1,1,7,4,1,4,4,4,5,6,1,5,6,1,1,1,4,4
Buffy,0,01/02/1984,5,1,1,6,2,6,2,2,1,2,6,3,2,7,1,5,1,2,2,5,2,6,2,1,7,2,2,2,4,6,6,2,5,1,1,1,2,2,5,1,5,2,2
Callie,0,2/18/1991,5,2,3.5,5.5,4.5,2.5,2,3.5,1.5,4.5,5.5,3.5,3,4.5,4.5,3.5,2.5,3,4.5,4.5,3,3,2,3.5,6.5,6,3,5.5,4.5,4,5,2,3.5,5,3,1.5,2,3.5,2,3.5,4.5,5,2
Carl,1,5/21/1986,3,4,5,3.5,4.5,3,3.5,3,3.5,4.5,2,5,3,3,4,5,3,2.5,4,4.5,4.5,5,2.5,4.5,4.5,3,2,4.5,4.5,3,5.5,4,4,4,4,3.5,2.5,5,4,3.5,3.5,4,4.5
Carmichael,1,3/21/1983,2.5,4,3.5,4.5,4,2.5,3.5,4,4,4.5,4.5,4,3.5,4.5,3.5,3.5,4,4,4,5,4.5,4,3.5,2,4,4.5,3,5,4,4.5,5,2,2,3.5,2,4.5,4,3.5,5,5.5,4,2.5,4
Cathy,0,10/05/1989,5,2,5,3,6,1,1,1,2,4,1,3,5,1,6,5,1,1,4,6,4,1,1,5,5,5,1,6,6,1,5,4,5,2,3,1,1,7,1,2,5,5,5
Cheeta,0,01/01/1957,2,5,5,2,2,4,6,5,5,4,3,2,2,5,4,3,5,6,5,3,2,5,5,4,3,2,6,3,4,4,4,5,5,3,4,4,5,2,4,4,3,4,6
Cheri,0,01/01/1955,4,1,1,6,5,6,2,2,2,2,6,2,1,7,3,1,2,2,2,5,1,4,2,3,7,6,6,4,5,5,5,1,4,1,2,6,4,2,5,5,5,3,3
Christa,0,06/01/1995,6,1,5,6,3,1,4,5,3,3,5,3,4,4,4,4,2,2,5,5,5,3,2,6,6,6,2,4,4,2,6,4,4,3,4,5,3,5,2,3,4,5,3
Cissie,0,11/28/1976,6,4,3,4,3,6,2,3,4,3,4,4,3,5,3,4,4,3,3,4,5,5,6,2,3,3,4,3,4,4,4,4,5,5,2,1,4,4,2,1,2,3,5
Claus,1,12/25/1992,3,2,4,4,4,1,3,4,5,5,2,5,7,2,7,4,4,3,5,5,6,3,3,6,4,5,1,3,4,1,5,3,5,4,5,2,1,5,1,3,1,4,5
Clint,1,06/06/1980,1,4,6,5,3,1,6,5,2,5,2,2,7,3,6,4,6,5,5,3,3,6,2,7,2,2,5,5,6,1,6,7,7,2,7,2,2,5,1,3,1,4,6
Columbus,1,10/10/1977,4,4.5,3.5,6,3,5,6,4,3.5,2,4,4,3,6.5,2.5,2.5,5,3,4.5,2.5,1.5,5,5,3.5,2.5,4,4.5,4.5,5,5.5,2.5,4,3.5,4,2,4,4,3,5.5,4.5,2.5,2,4.5
Conan,1,01/03/1986,3.5,4.5,4.5,3,4.5,1.5,4,4,2.5,4.5,3.5,3.5,4,3,4,4.5,3.5,3.5,3,3.5,3.5,4.5,2.5,3,4,4,4,4.5,4,3,4,2.5,3.5,4,2.5,3.5,3.5,4,5,3.5,4,3,5
Cynthia,0,06/07/1980,2,2,5,6,6,1,2,7,2,6,2,6,3,2,4,6,4,1,1,6,5,1,2,5,4,2,2,6,5,2,6,1,6,5,4,1,2,6,5,1,2,4,5
Daisey,0,10/01/1989,5,5,4,2,3,2,7,5,5,3,5,1,3,3,4,2,6,5,5,3,3,5,5,2,2,4,6,4,5,4,2,5,3,2,2,4,5,3,5,5,5,5,2
Dara,0,6/16/1988,3.5,6,6,5,3.5,2,6,5.5,4,4,3,2,3.5,3,5,2.5,5.5,5.5,4.5,2.5,3.5,4,4,4,2,4,5.5,4,5,2.5,4,5.5,5,4.5,4,2.5,2.5,2.5,2,3,3,4,5.5
David,1,6/27/1977,4.5,2.5,4,4,3.5,4.5,4,4,4,3.5,3.5,3.5,4.5,4,5,3,3,4,2,3,2.5,5.5,5,5,4,3.5,3,4.5,4,2.5,4.5,3,3,3,3,3.5,4,4.5,2.5,4,2.5,3,4.5
Dobbs,1,01/01/1961,2.5,4.5,5.5,3,3,3.5,4.5,4,3.5,2,3.5,2,1.5,6,2,2.5,4,4,4,3,1.5,3.5,5,2,3,3,4.5,4.5,6,5.5,2,4,4,3,2.5,3.5,5.5,2.5,4,5,4.5,2,6
Dona,0,04/03/1990,4,2,2,5,4,2,4,3,2,6,5,5,3,5,3,5,3,3,4,6,6,4,2,3,6,6,2,2,6,2,6,3,6,5,2,1,2,6,4,1,5,4,3
Donald,1,10/15/1987,2,4,4,2,2,4,4,5,6,4,4,2,5,6,4,2,5,4,5,4,3,6,5,5,2,4,4,3,2,5,2,6,4,4,3,4,5,3,2,6,3,4,5
Dover,1,2/25/1994,4,1,2,2,4,1,2,5,5,6,2,3,7,1,7,2,1,1,2,4,5,5,5,6,6,6,1,5,4,1,5,1,4,2,4,2,3,6,1,5,3,4,3
Duff,1,02/08/1990,2,5,4.5,2.5,2,7,4,5,5.5,3.5,2.5,2,2.5,3.5,5.5,4,4.5,5.5,4.5,3,2.5,5,5.5,3,3,2.5,5.5,2.5,3,3.5,3,4,3,4,2.5,4,5.5,2.5,2.5,6,3,3,3.5
Edwina,0,5/28/1991,3.5,5.5,6,5,4,1.5,6,6.5,4.5,4,2.5,2,2.5,5,4.5,3,6,5,5.5,2.5,2.5,4,4.5,4.5,2,3,5,5,5,4.5,3,5.5,5,3,3,4,3,3,3,3,3.5,3,5.5
Ellie,0,8/14/1972,2,2,2,5,5,1,4,2,2,3,5,2,1,6,1,3,2,1,4,5,2,1,1,1,6,4,1,6,3,5,4,1,4,2,3,2,2,2,7,2,7,4,4
Elvira,0,10/31/1988,4,4,6,3,4.5,1.5,4.5,6,4,5,2,4,5,2,5.5,5,4.5,2.5,5.5,3.5,5,4.5,4.5,5.5,4.5,4,3.5,5.5,4.5,1.5,5,4,6.5,4.5,5,3,3,4,1.5,2.5,3.5,4,4.5
Elwood,1,2/19/1990,1,6,2,2,5,1,3,2,2,2,2,2,2,5,3,3,5,4,4,4,3,2,3,2,4,2,2,4,4,5,3,5,3,3,3,3,3,3,6,3,6,3,6
Ericka,0,10/20/1973,1,7,7,1,2,1,7,7,7,2,1,2,4,1,4,3,7,6,7,1,4,5,6,5,1,1,7,7,7,1,4,6,2,2,4,1,2,1,4,2,1,1,7
Evelyne,0,09/04/1991,5,4,3.5,5.5,5,1,4,4,2,4,4,2.5,2,3.5,4.5,2.5,3.5,3,3.5,4,2.5,4.5,2,4,5,5,2,6,4,3.5,4,2,5,4,3,1.5,1,3.5,1.5,1.5,5.5,3.5,3
Faye,0,6/22/1992,3,3,4,4,5.5,2,4,2.5,2,4,4.5,3,3.5,4.5,4,3.5,2,2,3,4.5,3.5,3,3,5,5,4,4,5,4.5,2.5,4.5,2,4.5,3,3,3,4,3.5,3.5,3,5.5,3.5,4.5
Fiona,0,12/05/1994,6,2,5,6,3,1,6,6,3,6,5,5,5,2,4,5,2,1,5,4,5,4,3,6,6,5,2,4,3,2,5,5,5,4,5,5,3,5,3,2,3,4,3
Flora,0,01/01/1954,4,1.5,3.5,3,2,3.5,4.5,6,3.5,3,3.5,2.5,1.5,5,2.5,2,3,2,1.5,3.5,3,6,5,3.5,5,5,6,2.5,3,5.5,3.5,4.5,4,3,2.5,4.5,5,2,5,4,2,3,4.5
Foxy,0,12/10/1967,2.5,4.5,5.5,4.5,4,4,5.5,4,2,3,4.5,2.5,2,5,2.5,2.5,2.5,3,3,4,3,3,3.5,2,3.5,3,3.5,4.5,4.5,4,3,3,2.5,3,2.5,4.5,3.5,3,5,5,5,3,5
Francisca,0,01/01/1959,4,6,6,3,2,5,6,6,6,2,4,4,2,5,1,2,6,7,7,3,3,7,5,2,2,3,6,5,5,2,3,6,5,4,3,4,6,2,6,2,1,4,5
Frannie,0,10/26/1992,5,1,5,6,3,5,2,2,4,4,5,4,4,4,5,4,4,1,4,5,4,6,5,6,5,5,3,5,4,2,4,2,4,4,5,1,5,6,1,2,3,4,3
Fritz,1,7/14/1988,2.5,5,4,3,2.5,4,4.5,5,5.5,3,3,2,3.5,4.5,4.5,3.5,5,6,3.5,3,2.5,5,4,4,2,2,5,3.5,3,3.5,3,4,3.5,4.5,3.5,4.5,5.5,3,4,5,3.5,3.5,5.5
Garbo,0,12/10/1953,1,1,5,6,5,3,3,2,1,5,5,5,4,6,1,4,1,1,5,6,4,4,3,5,6,5,2,5,3,4,4,1,5,4,3,5,3,6,5,4,2,4,5
Gay,0,01/01/1967,2,7,7,3,4,2,6,5,6,3,5,3,5,5,4,2,7,6,6,3,2,5,4,4,2,2,4,4,5,4,3,6,4,4,3,5,4,5,3,4,5,4,6
Gelb,1,4/18/1983,2,5,5.5,2.5,2.5,4,5.5,5.5,5,4,3.5,2,2,5,2,4.5,4.5,5.5,4,2,2.5,5.5,6,2.5,3.5,2.5,5.5,5,4,3.5,4,3.5,3,3.5,1.5,4,5,3.5,4,5.5,5,3,5
Georgia,0,8/27/1980,1,7,7,2,6,1,7,7,6,6,1,2,4,1,4,3,7,7,7,1,4,4,6,7,1,1,6,1,6,1,2,7,6,2,6,1,6,3,2,2,3,2,7
Grayson,1,5/22/1997,3,2,3,5,3,5,3,4,4,6,5,5,5,3,5,4,2,2,4,5,6,4,3,4,5,6,2,5,4,2,4,2,4,2,2,5,3,6,1,1,4,4,3
Gwennie,0,01/01/1969,1,1,7,7,6,1,1,7,1,6,1,4,1,5,1,5,1,1,7,1,6,1,1,6,1,4,1,7,6,1,5,2,7,5,7,1,1,2,7,1,2,4,5
Heppie,0,05/08/1969,4.5,3.5,3,5,5.5,2,4,3.5,2.5,3.5,4.5,4,2.5,5,2,4,2,2,4,4.5,4,3.5,3,2.5,4.5,3.5,3.5,5.5,4.5,5,4.5,3,3,3.5,2.5,4.5,2.5,3.5,5,3.5,4.5,3.5,4.5
Hoboh,1,01/01/1959,1,6,6,2,2,6,6,4,6,3,5,2,3,4,4,4,5,6,5,3,3,6,6,4,2,4,4,5,5,5,2,6,4,4,4,5,6,4,4,5,1,4,5
Hunter,1,08/03/1984,5,5,5,2,2,1,3,5,6,5,2,2,1,6,4,2,6,6,6,2,2,6,3,3,2,4,5,4,6,3,2,6,4,2,4,4,6,4,2,3,2,4,6
Iyk,1,08/01/1962,3,1,2,5,5,2,2,3,2,2,5,3,3,6,1,4,2,2,1,5,5,2,2,1,3,2,2,6,3,5,4,2,3,3,1,3,1,4,7,5,4,3,6
Jacqueline,0,10/16/1976,4,4.5,3.5,2.5,4.5,1.5,6,5.5,5,3.5,3.5,3,2.5,3.5,4,3.5,5.5,5,5,3.5,2.5,4,4.5,2,1.5,3,5.5,3,4.5,3,3,5.5,3,3,2.5,2.5,4,2.5,4,4,2.5,3,5.5
Jaimie,0,5/17/1995,2,1,4,4,3,1,2,4,4,7,4,4,7,1,7,4,2,1,4,7,6,2,1,7,5,5,1,4,2,1,4,1,3,4,4,5,1,6,1,5,5,7,4
Jarred,1,9/21/1987,1,7,7,1,3,1,5,5,5,4,1,1,6,1,6,3,6,6,4,2,4,3,5,5,1,1,5,2,6,2,2,4,6,2,5,2,6,3,1,1,1,1,7
Jeanie,0,01/01/1969,3.5,5,5,5,6,1.5,2.5,4,2.5,3.5,3.5,4,3.5,2.5,2.5,3,2,2,4.5,4,4,4,3,3.5,2.5,2.5,3.5,5,4.5,2.5,4.5,2.5,5,3.5,4,2.5,2,4.5,3,2.5,5,4.5,3.5
Jenda,0,2/14/1958,4,1.5,2,5,3.5,5,2,1.5,1,1.5,5,4,1,6.5,2,3,1,2,3,4,2,2.5,2.5,1.5,5.5,4,3.5,5,4.5,6,3,1.5,2,2,2.5,5,3.5,4,3.5,5.5,4.5,2,6
Jenifere,0,01/01/1963,4,5,7,3,2,5,6,5,3,2,3,1,2,6,3,3,6,5,4,3,2,7,5,2,3,3,7,2,6,4,4,6,5,3,3,4,6,2,4,4,1,3,5
Jenny,0,2/24/1940,5,6,5,6,5,6,2,3,2,5,3,6,5,4,2,7,2,4,5,7,6,4,4,6,3,2,1,5,5,2,6,6,6,7,5,5,2,7,6,3,3,4,3
Jesse,0,8/14/1982,2,1,6,5,4,1,1,1,2,2,2,4,3,6,3,3,1,1,2,6,4,1,1,4,5,4,2,4,3,2,4,2,4,2,2,1,2,4,5,1,2,1,6
Jewelle,0,03/09/1992,2.5,6,6,4,2.5,2,7,6.5,5.5,3.5,2,3,4,5,5,3,6,4.5,3.5,3,2.5,4.5,6.5,5,1.5,1.5,5.5,3.5,6,4.5,4,5,5,2.5,5,2,4,2.5,1.5,2.5,2.5,4,6.5
Jimmy,1,1/21/1977,2.5,5,4,3,4.5,2,5,4.5,2.5,3.5,4.5,3,3,5,2.5,3.5,4.5,3.5,3.5,3.5,3,2.5,2.5,4,3.5,3,3.5,5,4,4.5,4,3,3.5,3.5,3.5,4.5,3.5,3.5,5.5,3.5,5,3.5,5
Jimoh,1,01/01/1964,2,4,3,5,6,4,5,3,4,6,2,5,4,5,4,5,5,4,5,6,6,3,2,4,2,4,2,6,5,2,6,2,6,5,2,1,1,6,4,1,6,2,5
Jolson,1,01/10/1993,2.5,5.5,5.5,3.5,3.5,2.5,5,4,4.5,4.5,2,3,4.5,2.5,5.5,3.5,3.5,3,5.5,3.5,4.5,4.5,3.5,5.5,2.5,2.5,3.5,4.5,4,2,5,4,5,3.5,5,2.5,3,4,1.5,2.5,2.5,3,5
Joseph,1,11/25/1980,2.5,5.5,5.5,2,2.5,4,5.5,2.5,6,3,2.5,2.5,3.5,4.5,5.5,3,6,6,5,2,2,6,5.5,3.5,2,3,5.5,5,4.5,4,5.5,6,3,3,3,3,3.5,3,2.5,3.5,2,3,5
Juan,1,2/23/1968,6,2,2,2,6,5,1,1,1,5,7,5,4,6,2,4,2,2,4,5,5,3,2,2,5,5,2,6,4,2,4,2,2,5,3,5,2,5,5,6,5,3,5
Julianne,0,5/15/1998,5,1,5,7,4,1,1,4,4,6,2,4,7,1,7,4,2,1,4,7,7,5,5,7,4,7,1,7,5,1,5,1,6,4,4,5,2,6,1,2,2,6,3
Julie,0,8/29/1994,4,4,6,3,3,2,4,4,4,4,3,2,5,2,5,3,3,3,4,4,3,4,5,4,4,4,5,4,5,2,5,4,4,2,3,2,2,4,2,2,3,4,3
Justin,1,08/01/1986,3,4,4,2.5,5.5,2,3.5,3.5,5,5,1.5,3,4,3,5,3,4,3,4,4,4,4.5,4,5.5,4.5,3,2.5,5.5,3.5,2,3.5,3.5,5,3,5,1.5,3,5,3.5,3.5,2.5,4,5
Kasey,0,5/13/1986,6,2,4,6,3,5,5,4,2,3,6,3,3,4,3,3,5,4,4,4,2,5,3,2,6,6,5,5,3,4,3,3,3,2,4,5,5,2,5,5,2,5,2
Katrina,0,7/26/1987,3.5,3,4.5,5,5,4,2,2,1,4.5,4,4.5,4.5,3.5,3.5,5,2,1,3,5.5,5.5,3,2.5,5,4.5,4,2,5,4.5,3.5,6,2,6.5,4.5,5,2,1.5,6,2.5,1,2,7,5.5
Kengee,0,06/01/1988,2,6.5,6.5,2,6,1.5,7,6.5,4,5,1.5,3,6,2.5,4.5,3.5,6,5,5.5,3,4.5,4.5,4.5,4.5,2,1.5,2,5,6,2,4,4.5,6,3.5,4.5,4.5,2,4,4.5,2,2.5,4.5,6
Kevin,1,07/08/1990,6,2,2,2,2,1,5,4,7,4,2,2,6,4,6,2,7,5,2,1,3,5,6,6,5,4,3,3,6,1,4,5,6,1,4,2,3,3,1,4,2,1,4
Lamar,1,4/27/1988,3.5,4.5,3.5,6,5,2,3.5,5.5,1.5,5.5,3,5,5.5,2.5,5.5,4.5,3,2.5,3,5,6,3.5,2,5.5,3,4.5,2,4,4.5,1.5,5.5,2.5,5,4.5,6,1.5,3.5,5.5,2,2,2,3,4.5
Lana,0,10/07/1970,3,2,3,7,5.5,6,3.5,3.5,1,4.5,4.5,4.5,2,2,2,5,1,1.5,5,5,5.5,2.5,5.5,5,6,4.5,3.5,6,6.5,2,7,1.5,6.5,6,4,1.5,1.5,4,4,1,3,4.5,5.5
Lee,0,12/29/1983,2.5,4,4.5,4.5,5.5,2,5.5,5.5,3.5,5,3,4,4,3.5,3,4,4,3.5,4,3.5,4.5,4,4.5,3.5,4.5,4,2,5.5,5,3.5,4,5.5,5.5,5,4.5,4.5,2,5.5,4,4,3.5,3.5,5.5
Lena,0,2/29/1976,4,3.5,4,5,3.5,2,3,3,2,4.5,3.5,4,3,3.5,3,3.5,2,2,4.5,4.5,4,4,3,4.5,4.5,3,2,3.5,4,3,5,4,4.5,4,4.5,2.5,1.5,3.5,3.5,2.5,3,3.5,3.5
Les,1,09/08/1975,7,1,5.5,5.5,2,4.5,4,5.5,3,2.5,6,3,2.5,4,4.5,2.5,1.5,2.5,4.5,3,2.5,6,4,3,7,3.5,4.5,4,3.5,4,5.5,1.5,4,1.5,3,3,5.5,3,3.5,4,2,2.5,2
Leslie,0,01/01/1970,3.5,5,3.5,4.5,6,4.5,3.5,2,1.5,5,3.5,5,2,4,1.5,3.5,2.5,2.5,4.5,5,5,2.5,2.5,3,3,3.5,2.5,5.5,4.5,4.5,3.5,3,4.5,4.5,4,3.5,2.5,5,6,2.5,5,3,5.5
Lil'One,0,01/01/1969,3.5,3.5,5.5,4,4,1.5,3.5,3.5,2.5,4.5,3.5,5,2.5,3.5,2.5,4.5,2.5,2,5,5.5,5.5,3.5,2,5,3.5,2.5,2,5.5,5,2,5,3.5,6,5,4.5,3,2.5,5.5,2.5,2,3,2.5,4.5
Lindsey,0,02/10/1994,4.5,4.5,5,4,3,5.5,5,6,4,4.5,4,4,5,2.5,5,4,4,3.5,5,3.5,5.5,5.5,4,4.5,4.5,5,4,3.5,5.5,3,4.5,3,4.5,3.5,4.5,4,4.5,4.5,2.5,2,3.5,4.5,3.5
Liza,0,3/19/1994,2,2,6,2,4,1,3,4,5,5,2,4,5,1,4,4,2,2,2,4,6,5,4,6,3,4,2,3,4,2,4,4,5,3,4,2,1,5,1,1,1,5,5
Lizzie,0,08/06/1990,3,3,5,4,4,3,3,3,3,6,3,4,7,1,6,6,4,3,3,4,5,3,3,6,3,4,3,5,4,2,4,2,5,4,4,1,1,6,1,2,1,2,4
Lolita,0,08/01/1959,4,4,5,5,4,2,5,2,2,5,6,4,4,5,2,4,3,2,5,5,4,5,3,3,4,4,4,5,4,5,5,3,4,4,4,3,3,5,6,2,6,4,5
Lucas,1,3/22/1993,1,6,7,2,2,6,4,6,7,6,1,2,4,3,5,2,4,6,3,4,5,7,4,3,3,2,3,5,5,2,3,6,2,4,2,3,4,5,2,2,1,1,5
Lucy,0,07/01/1956,6,2,2,6,5,5,3,3,2,5,6,5,2,5,3,5,2,3,3,6,5,3,2,2,6,7,4,5,4,3,6,3,4,6,2,5,2,5,5,2,5,6,5
Lulu,0,01/01/1957,3,1,4,4,3,2,2,4,1,5,4,5,4,4,3,5,1,1,3,5,5,5,2,5,4,4,2,6,4,2,5,3,5,5,2,2,2,6,2,2,1,2,4
Luther,1,1/14/1990,3,3,5.5,4,5,3.5,3,3.5,3,4,3,3.5,3,4,3.5,4.5,3.5,4,2.5,5,4,4,3,5,3.5,4,3.5,5,5.5,4,4.5,3.5,3,4.5,2.5,3.5,3,4,3.5,3,4,4.5,4
Lux,1,8/16/1981,2,6,5,3,4,3,2,2,3,3,3,3,3,5,3,4,4,5,4,4,3,5,4,4,1,1,2,3,3,5,3,5,4,4,4,5,4,4,6,5,4,3,5
Lyons,1,08/03/1984,4,5,5,2,2,5,6,5,7,4,2,3,5,3,5,2,6,6,5,2,3,6,6,5,3,3,5,3,4,3,3,5,4,3,4,2,5,3,3,2,4,3,5
