Name,Sex,GAIN ID,DOB,Field ,Father,Mother,Subspecies
Yukio,M,290,1/26/87,Sanwa,Lennon,Yuki,verus
Bonbon,M,681,10/16/05,Tama Zoo,Lucky2,Cherry,hybrid
Moko,F,630 Moco,04/11/2001,Tama Zoo,Lucky2,Peko,hybrid
Anna2,F,671,1/22/05,Tama Zoo,Lucky2,Marina,unknown
Berry,F,623,12/28/99,Tama Zoo,Lucky2,Pine,verus
Mikan,F,686,12/28/05,Tama Zoo,Lucky2,Momoko,verus
Miru,F,656,12/15/02,Tama Zoo,Lucky2,Sazae,verus
Momo,F,682,10/24/05,Itouzu,Mario,Kurara,verus
Jumba,M,543 Zamba,7/26/95,GARI,Maruku,Ichigo,verus
Kotaro,M,500Kohtaroh,5/15/93,Sanwa,Maruku,Satomi,verus
Satoru,M,530,1/24/95,Sanwa,Maruku,Satomi,verus
Ichie,F,629,3/30/01,Itouzu,Minato,Ichigo,verus
Suzumi,F,556,8/25/96,Sanwa,Minoru,Suzu,verus
Hatuko,F,18 Hatsuko,12/16/64,Kyoto Zoo,Morry,Haru,verus
Cleo,F,609,6/19/00,PRI,Reo,Chloe,verus
Natsuki,F,677,07/08/2005,GARI,Roi,Tsubaki,verus
Mikota,M,475,3/14/92,Sanwa,Sanzo,Myko,verus
Nicky,M,321,8/30/88,Sanwa,Summy,Nakki,verus
Suzu,F,201,03/03/1983,Sanwa,Sunny,Yoshiko,verus
Marina,F,355,11/10/1989,Tama Zoo,Susumu,Tamae,verus
Sakura,F,402,4/26/91,Sanwa,Susumu,Hanako,verus
Chiko,F,340,6/26/89,Sanwa,Tarou,Sachiko,verus
Cookie,F,392 Cooky,02/12/1991,Sanwa,Tarou,Nakki,verus
Kanako,F,480,06/02/1992,Sanwa,Tarou,Kanae,verus
Conan_Jp,M,567,03/12/1997,Sanwa,Tetsu,Konatsu,hybrid
Kotetsu,M,365,1/31/90,Sanwa,Tetsu,Konatsu,hybrid
Kenji,M,235,09/09/1984,Sanwa,Tetsu,Hitomi,verus
Robin,M,549,11/12/1995,Sanwa,Tetsu,Roman,verus
Rora,F,385 Rola,10/04/1990,Kouchi Zoo,Tetsu,Roman,verus
Tomi,M,259Tommy,04/09/1986,Sanwa,Tetsu,Myko,verus
Bon,M,388,11/16/90,Fukuoka Zoo,Tonny,Elisa,verus
Sambou,M,497Sanbo,04/07/1993,Asa Zoo,Tonny,Gacha,verus
Akina,F,258,3/20/86,Sanwa,Tonpachi,other,verus
Bell,M,548,09/12/1995,Sanwa,Tonpachi,Suzu,verus
Daio,M,262Daiou,5/17/86,Sanwa,Tonpachi,Niko,verus
Hope,M,372,06/04/1990,Sanwa,Tonpachi,Nozomi,verus
Kazuya,M,309,9/18/87,Sanwa,Tonpachi,Hanako,verus
Mario,M,505,12/05/1993,Itouzu,Tonpachi,Tamae,verus
Roi,M,542 Loi,7/24/95,GARI,Tonpachi,Nozomi,verus
Ama,F,NA,01/01/2006,Guinea,unknown,unknown,?
Annie,F,NA,01/01/2002,Guinea,unknown,unknown,?
Charley,M,NA,01/01/2005,Guinea,unknown,unknown,?
Chloe2,F,NA,01/01/2005,Guinea,unknown,unknown,?
Dan,M,NA,01/01/2003,Guinea,unknown,unknown,?
Douma,M,NA,01/01/2006,Guinea,unknown,unknown,?
Fatim,F,NA,01/01/2003,Guinea,unknown,unknown,?
Flo,F,NA,01/01/2005,Guinea,unknown,unknown,?
Habou,M,NA,01/01/2004,Guinea,unknown,unknown,?
Hakim,M,NA,01/01/2005,Guinea,unknown,unknown,?
Kindie,F,NA,01/01/2001,Guinea,unknown,unknown,?
Kirikou,M,NA,01/01/2006,Guinea,unknown,unknown,?
Koumba,F,NA,06/01/2007,Guinea,unknown,unknown,?
Lily,F,NA,01/01/2005,Guinea,unknown,unknown,?
Louna,F,NA,01/01/2003,Guinea,unknown,unknown,?
Max,M,NA,01/01/2004,Guinea,unknown,unknown,?
Oga,M,NA,01/01/2002,Guinea,unknown,unknown,?
Panza,M,NA,01/01/2005,Guinea,unknown,unknown,?
Shelly,F,NA,01/01/2004,Guinea,unknown,unknown,?
Shiva,F,NA,NA,Unknown,Unknown,Unknown,?
Veve,F,NA,01/01/2002,Guinea,unknown,unknown,?
Wodo,M,NA,01/01/2004,Guinea,unknown,unknown,?
Rina,F,150,01/01/1971,Higashiyama Zoo,unknown,unknown,ellioti
Sakura2,F,596,01/01/1978,Fukuoka Zoo,unknown,unknown,hybrid
Peach,F,386,10/18/90,Tama Zoo,unknown,Cherry,schweinfurthii
Kenchi,M,27,01/01/1966,Kushiro City Zoo,unknown,unknown,troglodytes
Naoko,F,272,9/15/81,JMC,unknown,unknown,troglodytes
Peko,F,11Peco,01/01/1961,Tama Zoo,unknown,unknown,troglodytes
Haru,F,9034,01/01/1955,Kyoto Zoo,Unknown,Unknown,unknown
Morry,M,9033,01/01/1959,Unknown,Unknown,Unknown,unknown
Rubby,F,509Ruby,01/01/1972,Ikeda Zoo,unknown,unknown,unknown
Akiko2,F,215,01/01/1973,JMC,unknown,unknown,verus
Akira2,M,306,01/01/1980,JMC,unknown,unknown,verus
Bettie,F,278Betty,2/21/71,Sanwa,unknown,unknown,verus
Chloe,F,441,12/12/1980,PRI,unknown,Shiva,verus
Dekky,M,162 Deckie,01/01/1978,Tama Zoo,unknown,unknown,verus
Densuke,M,342,01/01/1983,JMC,unknown,unknown,verus
Fred,M,369,29/01/1974,Hiroshina City Asa Zoo,unknown,unknown,verus
Fujiko,F,216,01/01/1971,JMC,unknown,unknown,verus
Gacha,M,42,01/01/1966,Sapporo Maruyama Zoo,unknown,unknown,verus
Goro,M,458  Gorou,01/01/1982,Sanwa,unknown,unknown,verus
Haruna,F,448,01/01/1978,Sanwa,unknown,unknown,verus
Iyo,F,305,2/21/77,Sanwa,unknown,unknown,verus
Jimmy,M,343Jimmie,06/01/1982,JMC,unknown,unknown,verus
Kirara,F,544,7/28/95,Itouzu,unknown,Miyuki,verus
Kumiko,F,170,2/21/77,Sanwa,unknown,unknown,verus
Kurara,F,545,7/28/95,Itouzu,unknown,Miyuki,verus
Lucky,M,193,2/21/74,Sanwa,unknown,unknown,verus
Mally,F,311,01/01/1979,Nagoya Zoo,unknown,unknown,verus
Mari,F,274,01/01/1976,PRI,unknown,unknown,verus
Mimi,F,92,01/01/1967,Kouchi Zoo,unknown,unknown,verus
Miro,F,303,2/21/73,Sanwa,unknown,unknown,verus
Nakki,F,268Nacky,01/01/1975,Sanwa,unknown,unknown,verus
Ohmu,F,279Oumu,2/21/76,Sanwa,unknown,unknown,verus
Pine,F,19,01/01/1964,Tama,unknown,unknown,verus
Sachiko,F,269,2/21/77,Sanwa,unknown,unknown,verus
Sango,F,277,2/21/76,Sanwa,unknown,unknown,verus
Sazae,F,293,01/01/1985,Tama Zoo,unknown,unknown,verus
Shiomi,F,454,01/01/1980,Sanwa,unknown,unknown,verus
Shiro,M,457,01/01/1982,Sanwa,unknown,unknown,verus
Susumu,M,159,2/21/78,Sanwa,unknown,unknown,verus
Xi,F,307Sai,2/21/73,Sanwa,unknown,unknown,verus
Yotaro,M,20,01/01/1963,Kouchi Zoo,unknown,unknown,verus
Yuki,F,130,01/01/1973,China,unknown,unknown,verus
Yuko,F,449,01/01/1978,Sanwa,unknown,unknown,verus
Yuuko,F,47 Yuko,01/01/1970,Asa Zoo,unknown,unknown,verus
Marc,M,950,2/21/80,Sanwa,wild,wild,?
Konatsu,F,282,2/21/77,Sanwa,wild,wild,schweinfurthii
Pepe,F,614,01/01/1956,Sapporo Maruyama Zoo,wild,wild,schweinfurthii
Roly,F,53 Rolly,01/01/1970,Higashiyama Zoo,wild,wild,unknown
Summy,M,172,01/01/1976,Kaketsuken,wild,wild,unknown
Ai,F,434,01/01/1976,PRI,wild,wild,verus
Aki,F,111,01/0174,China,wild,wild,verus
Akiko,F,446,01/01/1978,Kouchi Zoo,wild,wild,verus
Akira,M,435,01/01/1976,PRI,wild,wild,verus
Betty,F,6,01/01/1956,Toby,wild,wild,verus
Black,M,110,2/21/71,Sanwa,wild,wild,verus
Genki,M,135,2/21/71,Sanwa,wild,wild,verus
Go,M,280Gou,2/21/77,Sanwa,wild,wild,verus
Gon,M,437,01/01/1966,PRI,wild,wild,verus
Hajime,M,169,01/01/1977,Kumamoto,wild,wild,verus
Hanako,F,144,01/01/1977,China,wild,wild,verus
Hitomi,F,120,2/21/71,Sanwa,wild,wild,verus
Ichigo,F,214,01/01/1980,Itouzu,wild,wild,verus
Ishimatsu,M,9012,01/01/1960,Yatsu Yuuen,wild,wild,verus
Izo,M,212Izou,2/21/78,Sanwa,wild,wild,verus
Joe,M,10,01/01/1957,Tama,wild,wild,verus
Jorge,M,451 George,01/01/1979,Sanwa,wild,wild,verus
Journey,F,104,01/01/1956,Tama,wild,wild,verus
Kanae,F,204,2/21/79,Sanwa,wild,wild,verus
Koiko,F,281,2/21/77,Sanwa,wild,wild,verus
Lennon,M,132,2/21/70,Sanwa,wild,wild,verus
Lyza,F,9073,01/01/1965,JMC,wild,wild,verus
Maruku,M,206,01/01/980,Kumamoto City Zoo,wild,wild,verus
Mayumi,F,459,01/01/1982,Sanwa,wild,wild,verus
Miki,F,158,2/21/76,Sanwa,wild,wild,verus
Mimi2,F,7 Mimie,01/01/1956,Tama Zoo,wild,wild,verus
Mina,F,266,01/01/1975,China,wild,wild,verus
Myko,F,174,01/01/1975,Asahiyama Zoo,wild,wild,verus
Naoya,M,455,01/01/1981,Sanwa,wild,wild,verus
Niko,F,131,2/21/74,Sanwa,wild,wild,verus
Norio,M,456,01/01/1981,Sanwa,wild,wild,verus
Nozomi,F,211,2/21/78,Sanwa,wild,wild,verus
Puchi,F,436,01/01/1966,PRI,wild,wild,verus
Ran,F,173,01/01/1973,China,wild,wild,verus
Reiko,F,432,01/01/1966,PRI,wild,wild,verus
Roman,F,283,2/21/73,Sanwa,wild,wild,verus
Sachi,F,146,2/21/77,Sanwa,wild,wild,verus
Sanzo,M,276Sanzou,2/21/74,Sanwa,wild,wild,verus
Satomi,F,267,01/01/1976,China,wild,wild,verus
Sumiko,F,452,01/01/1980,Sanwa,wild,wild,verus
Sumire,F,22,01/01/1965,JMC,wild,wild,verus
Sunny,M,171,01/01/1976,Kaketsuken,wild,wild,verus
Takabo,M,445 Takaboh,01/01/1978,Sanwa,wild,wild,verus
Tamae,F,205,2/21/79,Sanwa,wild,wild,verus
Tarou,M,145,01/01/1977,China,wild,wild,verus
Tetsu,M,143,2/21/76,Sanwa,wild,wild,verus
Tonpachi,M,119 Tompachi,2/21/73,Sanwa,wild,wild,verus
Yoshiko,F,109,01/01/1971,China,wild,wild,verus
Yoshio,M,461,01/01/1982,Sanwa,wild,wild,verus
Yuri,F,74,01/01/1971,Higashiyama Zoo,wild,wild,verus
