Rank ,Team ,Conf ,W-L ,Pyth ,AdjO ,,AdjD ,,AdjT ,,Luck ,,SoS-Pyth ,,OppO ,,OppD ,,NCSoS-Pyth,
174,Norfolk St.,MEAC,26-Oct,0.455,100.3,181,101.9,177,67.5,100,0.188,1,0.3658,299,99.5,268,104.3,317,0.525,136
43,Temple 5,A10,24-Aug,0.8086,111.1,27,98,104,66.8,128,0.055,50,0.6592,38,104.7,37,98.9,48,0.6562,28
44,North Carolina St. 11,ACC,24-13,0.8053,109.9,33,97.1,78,67.9,87,-0.004,181,0.6481,45,103.8,55,98.4,33,0.543,111
45,Saint Mary's 7,WCC,27-Jun,0.8037,112,22,99.1,126,64.3,261,0.037,77,0.4897,164,102.2,116,102.5,222,0.4306,237
46,UNLV 6,MWC,26-Sep,0.8022,105.4,89,93.3,27,70,29,0.006,158,0.5662,104,102.3,115,99.9,94,0.4856,174
48,Xavier 10,A10,23-13,0.7901,107,67,95.4,53,67.2,112,0.03,92,0.6838,29,105.5,15,98.7,43,0.6219,42
49,West Virginia 10,BE,19-14,0.788,109.1,42,97.3,83,64.9,232,-0.019,220,0.694,24,105.1,26,97.9,18,0.5286,126
51,Ohio 13,MAC,29-Aug,0.7826,105.4,88,94.3,40,66.6,139,0.021,120,0.512,143,101.8,132,101.4,162,0.4161,251
54,St. Bonaventure 14,A10,20-Dec,0.7778,109,44,97.7,96,64,272,-0.024,234,0.5903,79,103,74,99.8,93,0.4807,180
61,BYU 14,WCC,26-Sep,0.7511,102.5,133,93.1,25,73.3,5,0.02,122,0.5177,139,103.3,70,102.6,230,0.4742,191
62,South Dakota St. 14,Sum,27-Aug,0.7494,111,29,100.9,157,65.4,201,0.031,90,0.4572,191,101.7,141,103.2,277,0.5638,88
64,New Mexico St. 13,WAC,26-Oct,0.7475,106.4,76,96.8,76,70.4,22,-0.041,266,0.4744,177,101.7,139,102.7,231,0.4603,205
65,San Diego St. 6,MWC,26-Aug,0.7472,104.6,105,95.2,49,66.7,138,0.06,37,0.5491,113,102.3,107,100.6,135,0.3973,279
72,Southern Miss 9,CUSA,25-Sep,0.7318,108.8,48,99.7,132,64.9,229,0.041,68,0.6111,64,102.9,82,98.9,50,0.5524,96
73,Davidson 13,SC,25-Aug,0.7317,109.6,36,100.5,145,68.1,82,0.008,150,0.4422,206,100.3,218,102.3,210,0.7066,14
74,Lehigh 15,Pat,27-Aug,0.7314,106.8,71,97.9,102,68.4,67,-0.026,239,0.3837,280,99.1,285,103.3,280,0.4113,258
77,Colorado 11,P12,24-Dec,0.7141,102,142,94.2,37,65.7,189,0.082,19,0.619,61,103.5,63,99.2,64,0.4984,155
95,Colorado St. 11,MWC,20-Dec,0.6788,109.2,40,102.3,191,64.5,252,0.075,21,0.5897,80,102.3,111,99.1,60,0.5016,154
105,Montana 13,BSky,25-Jul,0.6554,101.3,157,95.8,60,65.5,197,0.065,30,0.3571,310,100.8,189,106.1,344,0.4842,179
106,Detroit 15,Horz,22-14,0.6501,106.4,79,100.8,153,68.2,78,-0.006,188,0.5073,148,100.5,208,100.2,116,0.5253,135
118,Vermont 16,AE,24-Dec,0.6247,102,144,97.6,89,63.4,287,-0.022,229,0.3742,292,97.9,319,102.3,211,0.475,189
189,Western Kentucky,SB,16-19,0.4183,96.1,266,98.9,118,69,48,0.083,18,0.5074,147,100.7,193,100.5,130,0.5709,81
121,UNC Asheville,BSth,24-Oct,0.6166,107.8,60,103.5,213,69,45,0.001,171,0.4144,249,100.6,201,103.7,294,0.6946,16
126,Loyola MD,MAAC,24-Sep,0.588,101.8,150,98.7,113,64.4,257,0.114,6,0.4566,192,100.7,198,102.2,203,0.5335,121
160,LIU Brooklyn,NEC,25-Sep,0.5023,106.9,68,106.9,278,74.2,2,0.118,5,0.3807,284,98.6,305,102.8,242,0.4418,221
