Rank,Team,Conf,W-L,Pyth,AdjO,,AdjD,,AdjT,,Luck,,Pyth,,OppO,,OppD,,Pyth,
63,Illinois ,B10,17-Nov,0.7604,103.9,125,94,37,64.8,168,-0.018,224,0.6432,49,105.2,35,99.9,66,0.4344,266
64,Miami FL ,ACC,18-Oct,0.7578,109.6,48,99.3,113,62.6,285,0.009,162,0.633,60,103.5,95,98.7,27,0.4484,246
65,Sam Houston St. ,Slnd,22-May,0.7526,102.3,160,92.8,23,64.5,201,-0.034,259,0.3306,340,99.6,307,105.9,342,0.5052,178
66,Illinois St. ,MVC,18-Nov,0.7506,104.9,109,95.3,54,65.5,139,-0.072,320,0.5484,111,103.4,100,101.6,141,0.5537,117
67,Tulsa ,Amer,20-Jul,0.7496,101.9,171,92.6,18,64.8,176,0.121,5,0.5265,129,102.1,160,101.2,117,0.5325,144
68,Valparaiso ,Horz,26-May,0.7465,103.7,131,94.4,40,63.2,263,0.065,52,0.4382,218,102.4,136,104.6,308,0.4186,278
69,Louisiana Tech ,CUSA,22-Jul,0.7448,106.3,84,96.8,73,67.8,45,0.015,147,0.4587,191,100.5,260,102,154,0.4205,276
70,South Carolina ,SEC,13-14,0.7424,101.3,183,92.4,16,64.8,174,-0.074,322,0.721,9,106.1,13,97.7,10,0.5258,151
71,Old Dominion ,CUSA,21-Jun,0.7411,105,107,95.8,60,60.4,338,0.054,66,0.4625,184,101.5,197,102.8,203,0.4798,205
72,Colorado St. ,MWC,24-May,0.738,109.2,51,99.8,124,67.3,61,0.095,19,0.4786,162,101.8,177,102.5,185,0.4654,227
73,Murray St. ,OVC,25-Apr,0.7345,111.9,32,102.5,167,66.6,85,0.109,11,0.3764,308,99.4,315,103.8,267,0.4448,253
74,Pittsburgh ,ACC,19-Oct,0.7338,113.7,15,104.1,210,61.1,325,0.069,44,0.6417,52,105,41,99.8,64,0.4346,265
75,Green Bay ,Horz,22-Jul,0.7329,102.3,159,93.7,34,65.6,134,0.046,85,0.5001,150,103.4,98,103.4,241,0.5499,122
76,Central Michigan ,MAC,21-May,0.7308,112.8,22,103.4,195,64.4,205,0.031,118,0.4188,259,100.9,241,103.8,269,0.2422,347
77,Harvard ,Ivy,19-Jun,0.7216,100.3,210,92.3,14,61.8,309,0.111,9,0.4921,155,101.7,178,102,156,0.5333,141
78,Toledo ,MAC,18-Oct,0.7202,113.5,17,104.6,223,67,73,-0.052,292,0.5423,116,103.6,91,102,157,0.534,139
79,Yale ,Ivy,20-Aug,0.7154,105.1,99,97,78,63.3,259,0.058,63,0.5319,126,102.3,146,101.1,114,0.6031,63
80,Georgia Tech ,ACC,Dec-16,0.7091,100.5,202,93,25,64.2,218,-0.066,313,0.6869,21,106.4,10,99.3,48,0.5034,181
81,Seton Hall ,BE,15-Dec,0.708,106.1,89,98.2,98,66.4,96,0.01,159,0.6799,25,105.7,18,99,37,0.4536,242
82,Georgia St. ,SB,19-Sep,0.7002,107.9,63,100.2,132,64.3,209,-0.042,277,0.4307,231,100.1,287,102.5,186,0.5871,81
83,Kansas St. ,B12,14-15,0.6971,103.7,132,96.4,66,62.4,293,0.01,154,0.7224,7,105.5,25,97.1,5,0.4875,196
84,Memphis ,Amer,17-Nov,0.6961,101.8,173,94.7,47,66.8,78,-0.011,210,0.5358,121,101.9,169,100.7,96,0.5213,159
85,UTEP ,CUSA,19-Aug,0.6912,103.6,134,96.6,70,64.9,165,0.017,145,0.4944,152,102.5,132,102.7,195,0.5196,161
86,Clemson ,ACC,15-Dec,0.6892,100,216,93.4,31,61.9,306,0.033,113,0.6396,53,105.3,32,100.2,75,0.3999,292
87,Wofford ,SC,24-Jun,0.6883,101.6,177,94.9,49,61.9,307,0.133,4,0.452,197,103.3,102,105,322,0.6906,19
88,George Washington ,A10,18-Oct,0.6867,103.7,130,96.9,74,62.1,301,0.024,132,0.5432,115,102.2,149,100.7,97,0.439,258
89,New Mexico St. ,WAC,19-Oct,0.6841,103.9,124,97.2,79,64,229,-0.077,326,0.3848,302,100.2,278,104.4,296,0.5421,130
90,Michigan ,B10,14-13,0.6809,105,106,98.3,99,60,342,0.009,160,0.7023,15,106.1,14,98.5,20,0.5529,119
91,Bowling Green ,MAC,18-Aug,0.675,100.6,198,94.4,41,63.8,242,0.016,146,0.4568,192,102.1,161,103.6,252,0.3678,322
92,South Dakota St. ,Sum,21-Aug,0.672,106.4,83,100,128,66,116,0.009,161,0.4251,248,101.3,211,104,276,0.5412,131
93,Iona ,MAAC,24-Jun,0.6709,110,41,103.4,196,70.2,14,0.06,59,0.4448,204,100.4,271,102.3,176,0.5758,92
94,UC Irvine ,BW,17-Oct,0.6664,105.1,101,99,108,64.6,192,-0.03,250,0.5345,122,102.3,140,101.1,112,0.6101,52
95,Oregon St. ,P12,17-Nov,0.6623,96.4,281,90.9,11,60.6,333,0.046,83,0.597,79,104.4,61,100.9,105,0.3269,334
96,UC Davis ,BW,21-May,0.6607,110.6,37,104.4,217,63.9,233,0.061,56,0.4165,262,100.6,258,103.6,251,0.3466,330
97,Creighton ,BE,13-15,0.6578,107,72,101.1,147,62.8,279,-0.038,267,0.6423,51,104.1,70,99,35,0.4026,290
98,Northwestern ,B10,14-14,0.654,106.3,85,100.6,136,60.4,337,-0.004,192,0.6381,55,105.5,23,100.5,85,0.3996,293
99,Florida St. ,ACC,15-14,0.6534,103,143,97.5,84,66.1,114,0.013,149,0.6154,68,105,43,100.8,101,0.3717,319
100,William & Mary ,CAA,18-Oct,0.6521,111.8,34,105.9,250,65,163,-0.024,237,0.4956,151,101.6,184,101.8,145,0.6583,27
101,North Carolina Central ,MEAC,21-Jun,0.6463,100.5,204,95.4,56,60,341,0.065,50,0.3315,339,97.4,347,103.5,245,0.6053,61
102,Penn St. ,B10,15-13,0.6453,100,218,95,51,65.8,128,0.003,175,0.621,65,104.3,67,99.9,67,0.3765,316
103,Tennessee ,SEC,14-13,0.6451,105.2,96,99.8,125,61.1,326,0.032,114,0.663,31,105.1,37,99.1,41,0.5097,168
104,La Salle ,A10,15-13,0.6369,98.6,247,93.9,36,65,162,0,182,0.606,74,103.5,93,99.7,61,0.5852,82
105,Wake Forest ,ACC,Dec-16,0.6361,104.4,115,99.5,118,68.8,24,-0.04,272,0.6748,26,105,40,98.6,23,0.4455,252
106,San Diego ,WCC,14-15,0.6355,100.3,209,95.5,57,63.6,245,-0.071,318,0.6014,76,105.5,26,101.8,144,0.541,132
107,Akron ,MAC,18-Nov,0.635,102.3,158,97.5,85,64.6,193,-0.022,235,0.4515,198,101.3,210,103,214,0.3094,339
108,Utah St. ,MWC,17-Oct,0.634,105,102,100.1,131,63.6,246,-0.016,221,0.462,185,101,233,102.4,178,0.4558,240
109,Cleveland St. ,Horz,17-13,0.6333,105.1,100,100.2,133,60.9,332,-0.076,324,0.5196,134,102.2,148,101.6,136,0.5894,76
110,Vermont ,AE,17-Nov,0.6329,99,237,94.4,42,63.1,271,-0.113,346,0.3339,337,97.6,344,103.6,256,0.4941,189
111,UNLV ,MWC,15-13,0.6301,104.6,113,99.9,126,66.3,104,-0.005,194,0.6104,70,103.8,86,99.8,63,0.6813,22
112,Eastern Kentucky ,OVC,18-Oct,0.6293,105.4,93,100.7,140,64.3,213,-0.032,255,0.4145,266,100.2,279,103.2,232,0.5103,167
113,Pepperdine ,WCC,16-Dec,0.6277,99.5,227,95,52,63.8,240,-0.01,204,0.5731,94,104.3,65,101.7,143,0.3905,300
114,Kent St. ,MAC,19-Sep,0.6215,102.1,166,97.8,89,62.1,304,0.046,86,0.4716,175,102.7,121,103.7,261,0.3766,315
115,Washington ,P12,15-Dec,0.6209,107.3,71,102.8,177,66.3,102,0.01,157,0.5788,89,102.4,137,99.6,57,0.3254,335
116,UC Santa Barbara ,BW,15-Dec,0.6186,106.2,86,101.9,156,62.5,287,-0.061,301,0.5648,100,102.8,118,100.5,86,0.6594,26
117,Marquette ,BE,Nov-16,0.6128,102.6,154,98.6,100,64.3,208,-0.056,299,0.7015,16,107,4,99.3,47,0.4773,209
118,Colorado ,P12,Dec-15,0.6093,100.8,193,97,77,64.7,183,-0.052,293,0.6594,35,105.4,30,99.5,55,0.4644,228
119,Massachusetts ,A10,16-Dec,0.603,103.2,141,99.5,120,67.7,49,0.081,30,0.6341,58,104.1,73,99.2,44,0.644,31
120,Hofstra ,CAA,19-Nov,0.596,108.8,55,105.2,234,69.9,16,-0.082,331,0.3731,316,99.7,305,104.3,292,0.3504,329
