Rank ,Team ,Conf ,W-L ,Pyth ,AdjO ,,AdjD ,,AdjT ,,Luck ,,SoS-Pyth ,,OppO ,,OppD ,,NCSoS-Pyth,
31,Missouri 9,SEC,23-Nov,0.8582,112.2,18,95.9,73,67.6,99,-0.032,262,0.6181,76,102.9,92,98.7,64,0.4578,224
32,North Carolina 8,ACC,25-Nov,0.856,110.9,27,94.9,55,70.6,15,0.038,83,0.6981,19,104.6,23,97.2,19,0.4885,183
33,Memphis 6,CUSA,31-May,0.8499,104.7,96,90,13,69.4,31,0.057,40,0.5416,121,103,86,101.5,189,0.4985,166
34,North Carolina St. 8,ACC,24-Nov,0.8452,114.1,9,98.4,112,68,80,-0.031,258,0.6604,42,104.2,32,98.4,53,0.5065,155
35,San Diego St. 7,MWC,23-Nov,0.8451,104.8,95,90.4,17,66.7,136,-0.049,292,0.6775,30,104.5,26,97.9,43,0.5492,106
36,Mississippi 12,SEC,27-Sep,0.8422,110.3,31,95.3,63,70.4,19,-0.011,213,0.5665,112,101.3,138,99,75,0.307,332
37,Notre Dame 7,BE,25-Oct,0.8421,111.4,22,96.3,78,61.7,319,0.046,58,0.6569,47,103.3,77,97.6,31,0.3297,322
38,Butler 6,A10,27-Sep,0.8331,108.3,49,94.2,44,64.9,219,0.088,13,0.6604,43,104.3,30,98.5,58,0.5657,89
39,Illinois 7,B10,23-13,0.8318,107.8,54,93.8,41,65.5,193,0.042,69,0.7454,3,106,5,96.5,7,0.502,159
41,UNLV 5,MWC,25-Oct,0.8271,102.7,135,89.6,11,68.8,51,-0.015,225,0.6388,63,104,40,99,80,0.4887,180
42,Cincinnati 10,BE,22-Dec,0.8257,103.2,126,90.1,14,64.3,246,-0.012,215,0.6603,44,103.2,81,97.4,24,0.3528,310
43,Colorado 10,P12,21-Dec,0.8124,103.2,123,90.9,19,65,216,0.03,104,0.7106,14,105.2,13,97.3,20,0.5901,73
45,UCLA 6,P12,25-Oct,0.8099,108.1,50,95.3,64,69.5,30,0.068,31,0.6848,22,103.8,47,97.1,16,0.4997,163
46,Villanova 9,BE,20-14,0.804,103.6,117,91.6,23,67.7,91,0.011,149,0.7256,11,104.5,25,96,2,0.5179,142
49,Oklahoma 10,B12,20-Dec,0.7995,109.5,38,97,89,66.6,141,0.004,165,0.678,29,104.4,28,97.9,40,0.54,117
51,La Salle 13,A10,24-Oct,0.7949,109.8,36,97.6,99,65.7,184,0.052,49,0.6404,61,103.9,45,98.8,70,0.5045,156
55,Belmont 11,OVC,26-Jul,0.7895,108.4,46,96.6,83,67.1,117,0.013,144,0.4921,149,102.5,103,102.8,254,0.6452,30
56,California 12,P12,21-Dec,0.7887,104.5,100,93.2,38,66.1,163,0.041,73,0.6906,21,103.7,60,96.7,10,0.5414,115
57,Bucknell 11,Pat,28-Jun,0.7867,104.3,103,93.1,36,63.3,280,-0.014,220,0.4601,181,100.8,157,102.2,228,0.5745,82
58,Temple 9,A10,24-Oct,0.7829,109.8,35,98.2,111,66.6,139,0.038,84,0.6259,72,103.7,58,99.2,86,0.5278,129
63,Valparaiso 14,Horz,26-Aug,0.7504,108.9,41,98.9,125,65.6,186,0.021,127,0.4628,173,99.9,213,101.2,168,0.4286,257
64,Akron 12,MAC,26-Jul,0.7502,103.5,119,94.1,42,66.4,145,0.085,16,0.4843,155,100.6,170,101.2,165,0.509,152
69,Davidson 14,SC,26-Aug,0.7453,110,33,100.2,149,65,213,-0.002,185,0.3952,264,99.4,245,103.1,272,0.6664,21
86,New Mexico St. 13,WAC,24-Nov,0.6771,101.9,148,95.5,67,65,215,0.04,77,0.5078,138,101.1,147,100.8,144,0.601,59
91,Iona 15,MAAC,20-14,0.6664,112.2,19,105.6,263,71.1,8,-0.07,317,0.5333,124,100.7,166,99.5,95,0.6065,52
92,Harvard 14,Ivy,20-Oct,0.6663,106.1,73,99.9,145,64.3,243,0.038,86,0.5301,127,101.5,136,100.4,125,0.6189,42
93,Florida Gulf Coast 15,ASun,26-Nov,0.6662,104.3,104,98.2,109,69.1,42,0.039,78,0.4622,175,100.3,188,101.7,197,0.6302,38
99,South Dakota St. 13,Sum,25-Oct,0.6549,110.1,32,104.1,234,63.9,263,0.03,103,0.4319,217,100.8,160,103.2,279,0.6166,44
129,Pacific 15,BW,22-13,0.5792,104,110,101.1,166,63.2,283,0.074,26,0.5283,128,102.5,104,101.5,185,0.7247,4
139,Northwestern St. 14,Slnd,23-Sep,0.5485,105.1,90,103.3,213,72.6,3,0.075,25,0.4175,240,98.4,298,101.3,174,0.7032,11
142,Albany 15,AE,24-Nov,0.5402,100.1,183,98.7,118,63,290,0.082,18,0.3876,270,97.6,316,101.6,190,0.3562,309
165,Southern 16,SWAC,23-Oct,0.4865,96.3,250,96.8,87,64.8,226,-0.03,257,0.2384,346,94.5,344,104.6,331,0.6,60
172,James Madison 16,CAA,21-15,0.478,98,222,98.7,120,64,262,0.063,34,0.4178,236,100.5,178,103.4,294,0.3784,297
183,Western Kentucky 16,SB,20-16,0.449,99.8,186,101.6,179,65.7,182,0.03,105,0.4503,190,99.5,238,101.3,173,0.5708,84
220,North Carolina A&T 16,MEAC,20-17,0.3593,91.5,313,96.2,77,66.8,129,0.037,90,0.3484,310,96.3,327,101.7,200,0.4762,198
136,Montana 13,BSky,25-Jul,0.5605,103.1,129,100.9,163,64,258,0.176,1,0.3824,276,100.9,155,105.2,341,0.707,10
