"","chimp","Sub..","Year4","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","ag_ratio","bc_ratio","globulin","lipase","amylase","triglicerides","cpk","ggtp","magnesium","osmolal","Year3","Glucose.1","BUN.1","Creatin","Protein.1","Albumn.1","Bilirubn.1","alkphos.1","sgpt.1","sgot.1","cholesterol.1","calcium.1","phosphate.1","sodium.1","potassium.1","chloride.1","ag_ratio.1","bc_ratio.1","globulin.1","lipase.1","amylase.1","triglicerides.1","cpk.1","ggtp.1","magnesium.1","osmolal.1","Year2","Glucose.2","BUN.2","Creatin.1","Protein.2","Albumn.2","Bilirubn.2","alkphos.2","sgpt.2","sgot.2","cholesterol.2","calcium.2","phosphate.2","sodium.2","potassium.2","chloride.2","ag_ratio.2","bc_ratio.2","globulin.2","lipase.2","amylase.2","triglicerides.2","cpk.2","ggtp.2","magnesium.2","osmolal.2","Year1","Glucose.3","BUN.3","Creatin.2","Protein.3","Albumn.3","Bilirubn.3","alkphos.3","sgpt.3","sgot.3","cholesterol.3","calcium.3","phosphate.3","sodium.3","potassium.3","chloride.3","ag_ratio.3","bc_ratio.3","globulin.3","lipase.3","amylase.3","triglicerides.3","cpk.3","ggtp.3","magnesium.3","osmolal.3","DaysInterval1","DaysInterval2","DaysInterval3","AverageDaysInterval","Interval1Centered","Interval2Centered","Interval3Centered","X","DOB.x","Dam.x","Sire.x","Sex.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z"
"11","Artemus","599","5/18/04",71,9,1,6.9,3.8,0.3,104,27,14,216,10.6,4.7,143,4.4,104,1.2,9,3.1,65,37,461,143,33,2.7,281,"06/12/2003",83,12,1.4,7.3,3.8,0.3,115,21,14,217,9.6,3.7,139,4.1,100,1.1,9,3.5,35,40,131,269,28,1.7,275,"10/14/02",93,11,1,7.4,3.9,0.2,169,24,18,206,9.9,2.2,147,4,113,1.1,11,3.5,41,39,96,151,26,1.8,290,"7/23/01",111,9,1.2,7.5,4.4,0.4,215,23,15,206,9.5,3.3,142,3.5,103,1.4,8,3.1,21,20,150,168,38,1.8,280,448,241,341,343.33,105,-102,-2,11,"12/18/1990","Jenda","Iyk",1,"AH","7/15/01",3862,10.8,"Yerkes","A",5,1,7,6,2,3,3,7,5,5,5,2,2,4,4,6,3,5,5,5,3,5,6,5,5,1,2,4,3,5,1,4,4,5,3,6,2,5,4,1,5,2,4,7,"12/18/1990","Jenda","Iyk","Yerkes",5,1,"DL","10/04/1997","B",6,2,2,5,7,7,3,1,5,2,7,7,3,6,7,7,4,3,1,2,2,6,2,6,7,5,2,6,7,6,4,1,2,1,1,1,4,4,6,7,7,5,2,2,6.5,1.5,2,2.5,7,6,5.5,4.5,2,2,5.5,4.5,6.5,2.5,6,6,4.5,2,4,6,5.5,5.5,1,2,4.5,4.5,5.5,1,3.5,5.5,4.5,2,6,2,5,4,1.5,3.5,2,4.5,7
"12","Arthur","601","11/24/04",145,11,1.2,7.2,4.1,0.3,139,46,41,191,10,3.3,144,3.7,103,1.3,9,3.1,52,44,88,627,24,1.7,287,"12/08/2003",108,12,1.2,7.1,4.2,0.3,73,25,27,169,10.7,2.9,143,3.5,101,1.4,10,2.9,32,42,94,619,17,1.6,283,"1/13/03",145,10,1.3,7.4,4.3,0.3,129,32,27,182,9.8,2.4,134,3.5,96,1.4,8,3.1,43,34,75,405,14,2.1,267,"10/25/00",118,11,1.3,7.2,4.4,0.3,350,26,30,177,10.7,2.2,18,3.7,100,1.6,8,2.8,41,23,81,496,23,1.7,274,810,329,352,497,313,-168,-145,12,"5/21/1991","Jaq","Rogger",1,"MW","7/26/01",3719,10.4,"Yerkes","A",6,2,5,6,2,1,3,6,7,7,4,1,2,2,3,7,4,6,6,5,2,3,7,6,4,1,2,6,5,4,4,2,3,2,3,2,4,7,3,2,5,3,2,5,"5/21/1991","Jaq","Rogger","Yerkes",6,1,"KB","10/04/1997","B",2,1,5,2,2,7,5,6,5,1,2,6,5,7,3,3,3,6,3,5,5,3,4,3,3,3,2,4,4,6,6,2,2,3,5,5,5,6,5,6,6,3,3,3.5,6,4,2,2,4,6.5,4.5,5,3,3.5,4,2.5,7,4.5,4,4.5,5,3.5,4.5,7,4.5,4.5,3,3,4.5,5.5,3.5,3,3.5,3,2.5,3,3,3,5,4.5,2,4,2,3.5,4
"13","Artifact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"6/21/1979","Cookie","Hoboh",1,"WH","5/15/97",6538,18.4,"Yerkes","B",NA,6,2,5,6,4,1,3,4,3,2,6,4,2,5,2,3,3,3,2,4,3,4,3,2,4,4,4,5,3,4,2,2,2,3,3,5,5,3,5,5,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Artifee","520","6/21/04",87,14,1.2,7.4,3.4,0.3,53,48,17,250,9.3,2.5,145,3.6,104,0.9,12,4,36,31,126,235,56,1.7,286,"06/10/2003",103,9,0.7,6.6,3.1,0.2,70,44,17,234,9,2.3,137,3.4,101,0.9,13,3.5,35,29,84,191,52,1.5,270,"6/24/02",105,9,1.1,7.5,3.4,0.2,66,44,19,240,10.1,2.7,138,3.4,104,0.8,8,4.1,22,28,107,3.4,61,1.7,272,"5/16/01",107,12,0.9,7.3,3,0.2,73,59,23,232,9.3,2,135,3.5,97,0.7,13,4.3,38,19,116,155,92,1.7,268,404,351,377,377.33,27,-26,0,14,"7/24/1976","Banana","Hoboh",0,"AH","7/15/01",9122,25.6,"Yerkes","A",2,4,5,4,4,4,2,4,3,2,4,5,5,3,4,3,5,1,1,5,5,4,4,3,4,2,3,2,6,5,4,5,5,4,4,4,5,3,3,5,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Atlanta","342","10/02/2000",121,10,1,7.9,3,0.1,82,24,19,203,10.3,5.1,146,3.3,102,0.6,10,4.9,26,10,286,190,22,1.9,288,"2/18/99",123,15,1,7.4,3.1,0.1,68,38,19,151,9.8,1.6,145,3.4,98,0.7,15,4.3,45,18,384,207,24,1.8,288,"02/11/1998",107,17,0.4,7.7,3,0.3,68,41,22,212,9.2,3.3,144,3.2,91,0.6,43,4.7,NA,NA,182,137,NA,NA,NA,"09/10/1996",82,14,0.7,7.5,3.2,0.4,68,33,13,189,10.2,4.8,141,3.3,99,0.7,20,4.3,NA,NA,105,113,NA,NA,NA,519,372,592,494.33,25,-122,98,15,"08/10/1965","Cheri","Jent",0,"SS","1/19/99",12215,34.3,"Yerkes","A",NA,1,2,1,1,7,1,5,2,1,4,1,6,1,6,1,1,1,1,1,6,7,1,1,2,1,1,1,7,7,1,6,1,6,2,1,1,1,7,7,1,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Augusta","510","8/28/03",72,10,1,7.2,3.4,0.3,56,22,17,196,9,3.7,141,3.7,103,0.9,10,3.8,41,40,137,157,16,1.6,277,"8/20/02",91,6,0.8,7.4,3.6,0.2,59,21,6,201,9.3,3.1,138,3.5,105,0.9,8,3.8,40,38,72,177,14,1.7,270,"09/05/2001",93,6,0.9,7.2,3.8,0.2,80,23,15,198,8.9,2.3,145,3.8,104,1.1,7,3.4,38,29,66,89,17,1.7,284,"08/10/2000",96,8,1.2,7.7,3.8,0.2,108,23,16,190,9.3,3.5,139,3.6,103,1,7,3.9,33,27,68,168,19,1.6,273,391,349,373,371,20,-22,2,16,"08/01/1975","Mary","Homer",0,"MW","7/15/01",9480,26.6,"Yerkes","A",2,5,5,6,2,2,2,6,6,2,3,4,2,2,4,4,5,2,6,4,2,2,5,4,4,5,6,5,5,5,2,4,2,4,3,2,2,3,3,3,2,3,6,3,"08/01/1975","Mary","Homer","Yerkes",2,0,"BN","06/02/2000","A",4,2,3,3,4,4,4,2,3,2,4,4,4,4,3,4,3,3,3,3,3,4,3,4,3,4,2,3,4,4,3,2,2,4,3,3,3,4,4,4,5,4,2,4.5,5.5,2,2.5,2,5,5,3,3.5,3.5,2.5,3,3.5,4,4,3,4.5,3.5,2.5,2.5,4.5,4,4,4,4.5,4.5,4.5,4.5,2,4,2.5,3.5,3.5,2.5,2,3.5,3,2.5,2,2.5,4.5,3.5
"17","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"07/10/1974","Vonee","",1,"JK","06/05/2002",10192,28.6,"Yerkes","A",4,4,2,4,5,5,1,4,4,1,7,1,5,6,1,4,6,5,1,6,5,6,5,1,6,3,1,1,4,6,1,6,4,7,3,7,2,1,7,1,1,1,6,5,"07/10/1974","Vonee","","Yerkes",4,1,"MB","06/05/2002","B",3,2,7,1,4,7,5,3,6,2,4,7,2,4,3,7,7,7,7,7,1,2,6,7,2,1,1,7,7,7,7,1,1,7,3,7,6,7,7,4,6,1,1,4.5,5,4,6,1.5,4,4,2,7,1,6,6.5,1,5.5,6.5,4.5,2,6,6,6.5,4.5,1.5,6.5,3,3.5,1,5.5,6.5,1,4,3,7,5,7,1.5,1,7,1,1,1.5,6,6
"18","Azalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"03/07/1997","Peony","Rhett",0,"SS","1/19/99",683,1.9,"Yerkes","A",NA,1,1,2,3,4,1,1,1,1,5,2,4,5,1,4,1,1,1,1,4,4,2,2,4,2,4,1,3,2,1,3,1,2,2,3,2,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Barbara","462","2/17/04",63,13,0.7,6.5,3.1,1,44,40,22,264,8.5,2,144,2.8,103,0.9,19,3.4,18,20,83,219,16,1.5,281,"03/06/2003",89,13,0.9,7.1,3.2,0.1,53,35,19,258,8.5,2.3,145,3,114,0.8,14,3.9,12,22,115,180,15,1.5,285,"4/18/02",91,11,0.7,8,3.8,0.1,63,41,30,254,9.6,2,149,3.2,106,0.9,16,4.2,20,19,168,653,14,1.7,292,"2/28/01",88,11,1,7.6,3.5,0.1,56,36,30,293,9.2,1.6,142,3,102,0.9,11,4.1,9,24,122,436,15,1.4,279,414,322,348,361.33,53,-39,-13,19,"12/16/1972","Sonia","Hal",0,"SS","1/13/99",9524,26.8,"Yerkes","A",NA,2,3,2,6,6,1,1,2,1,5,1,4,1,5,1,4,2,1,3,6,6,1,1,4,3,2,4,6,4,4,4,1,5,5,3,1,1,6,6,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Barbi","518","3/25/04",93,13,1,7.5,3.8,0.2,121,35,18,215,9.5,1.5,144,2.8,101,1,13,3.7,42,23,136,181,22,1.9,283,"3/13/03",90,13,1.1,7.7,3.6,0.1,83,32,20,196,9.4,1.4,145,3,114,0.9,12,4.1,23,26,106,169,17,1.9,285,"06/11/2002",97,13,1,8.4,3.9,0.2,90,29,51,20,10.2,1.4,148,3.1,107,0.9,13,4.5,31,29,124,2735,25,2,291,"6/22/01",85,42,2.7,7.4,3.2,0.2,74,16,22,279,11,1.9,136,3.3,93,0.8,16,4.2,19,27,128,375,11,2.1,279,354,275,378,335.67,18,-61,42,20,"6/14/1976","Cookie","Homer",0,"JM","01/11/1999",8246,23.2,"Yerkes","A",NA,4,2,2,5,4,1,4,2,2,2,5,3,2,5,2,2,2,2,2,3,2,2,2,3,5,5,2,5,3,5,3,2,2,2,2,2,2,5,5,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Barney","575","11/11/2003",98,15,1.2,6.2,3.1,0.3,57,40,40,168,8.4,1.7,136,3.4,98,1,13,3.1,63,58,62,328,28,1.4,270,"01/07/2003",98,12,1.6,6,2.9,0.2,66,61,55,179,9,2.7,147,3.1,106,0.9,8,3.1,36,42,58,415,24,1.8,289,"11/14/01",104,41,1.7,7.2,3.6,0.3,105,41,33,191,10.5,5.3,143,3.8,100,1,24,3.6,36,29,67,217,30,2.1,293,"11/14/00",88,14,1.5,6.3,3.8,0.2,96,36,29,157,9.3,2.2,142,3.4,103,1.5,9,2.5,37,37,78,258,21,1.7,280,365,419,308,364,1,55,-56,21,"05/06/1989","Melissa","Joseph",1,"MW","7/15/01",4453,12.5,"Yerkes","A",2,1,7,7,2,2,5,7,6,7,1,2,1,2,2,7,3,7,7,6,1,1,6,6,5,1,1,7,6,5,2,5,2,5,2,2,2,3,3,2,5,2,2,7,"05/06/1989","Melissa","Joseph","Yerkes",2,1,"BN","06/02/2000","A",5,2,3,3,5,5,5,3,2,2,4,6,4,5,5,5,4,3,3,3,3,5,3,5,4,5,2,5,5,4,3,3,2,3,3,3,4,4,5,5,6,4,3,3,6.5,2.5,2.5,3.5,5.5,5.5,6,2.5,2.5,2,4,2.5,6,3,6,6,5,2,2,5.5,5.5,5,2,2,6,5,5,2.5,4.5,3,4.5,2.5,3.5,2,3.5,3,2,4,2,2,6
"22","Beleka","380","12/02/2004",122,13,1.1,7.7,3.6,0.3,94,40,51,230,10.5,3.1,142,2.6,88,0.9,12,4.1,27,14,148,673,22,2.3,280,"4/22/03",130,12,0.9,8.4,3.7,0.2,136,39,40,178,9.4,2.9,140,2.6,102,0.8,13,4.7,35,16,342,443,27,1.7,277,"4/15/02",133,9,0.9,7.6,3.4,0.1,104,26,21,150,9.6,4.2,146,2.7,100,0.8,10,4.2,24,15,199,198,21,1.5,287,"4/30/01",150,7,0.9,7.4,3.3,0.1,123,31,32,147,9.7,1.7,142,3.2,104,0.8,8,4.1,34,14,174,383,29,1.4,281,350,372,590,437.33,-87,-65,153,22,"01/01/1962","","",0,"MW","7/26/01",14451,40.6,"Yerkes","A",6,3,2,6,3,3,4,5,4,4,3,3,4,2,3,3,5,2,4,3,4,4,4,3,4,4,3,3,6,4,5,4,2,2,3,2,4,4,3,4,5,5,2,6,"01/01/1962","","","Yerkes",6,0,"WH","10/27/97","B",1,1,5,3,7,4,1,6,4,5,5,5,6,2,5,6,6,3,6,4,2,2,2,5,2,2,4,3,6,7,5,2,2,5,2,4,5,5,5,5,6,2,2,2,6,4.5,4.5,2.5,5,4.5,2.5,4,2.5,4.5,3.5,3,3.5,4.5,4.5,4.5,4,4,3.5,3,2.5,4.5,3,2.5,2.5,6.5,4.5,3.5,5,2,4,4,2.5,3,3,4,4,3.5,5,3,6
"23","Bertha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"03/05/1977","Reba","Hep",0,"WH","7/28/97",7450,20.9,"Yerkes","A",2,4,5,5,4,4,6,5,4,4,4,3,4,3,5,4,4,5,5,5,3,3,5,5,4,5,5,5,4,4,6,4,5,5,4,4,4,5,4,4,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bjorn","563","02/04/2004",108,8,1.2,7.2,3.2,0.4,66,71,38,177,9.8,3,139,3.8,98,0.8,7,4,29,56,85,366,23,2.1,274,"6/24/03",100,14,1.2,7.1,3.2,0.2,68,66,48,154,9.2,3.6,145,4,99,0.8,12,3.9,23,39,85,523,21,2.1,288,"7/23/02",108,12,1.2,7.2,3.6,0.2,96,61,40,176,9.3,3.2,145,3.5,103,1,10,3.6,27,38,93,754,21,1.9,286,"5/21/01",90,12,1.2,7.2,3.9,0.3,99,52,46,154,9.8,3,135,3.5,97,1.2,10,3.3,26,30,117,723,25,1.7,267,428,336,225,329.67,98,6,-105,24,"7/16/1988","Anja","Walnut",1,"SS","1/19/99",3839,10.8,"Yerkes","A",NA,3,2,2,4,3,1,2,2,2,4,3,4,4,4,3,3,2,3,2,4,4,3,2,4,4,4,2,4,4,2,4,2,4,4,4,1,1,4,2,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Bo","490","3/17/04",136,12,0.9,8.4,2.9,0.1,81,26,20,252,9.4,1.7,137,3.3,101,0.5,13,5.5,51,41,138,182,23,2.3,273,"03/06/2003",127,10,1,8.7,2.8,0.1,65,21,22,278,8.9,2.6,139,3.5,110,0.5,10,5.9,29,23,159,123,21,1.7,276,"03/07/2002",119,10,0.9,8.9,2.9,0.2,75,23,21,227,9.2,2.5,141,3.7,101,0.5,11,6,39,29,110,123,23,1.7,279,"3/19/01",141,9,1,8.2,3,0.1,88,20,23,264,8.8,1.4,139,3.1,106,0.6,9,5.2,29,26,160,96,26,1.6,275,353,364,377,364.67,-12,-1,12,25,"01/01/1969","","",0,"AH","7/26/01",11894,33.4,"Yerkes","A",9,4,4,4,5,6,1,3,3,2,5,4,5,2,5,2,4,2,2,5,6,5,3,3,5,4,4,3,5,4,4,5,3,4,4,3,5,2,4,5,3,6,4,5,"01/01/1969","","","Yerkes",9,0,"WH","10/21/97","B",1,5,3,6,1,1,5,7,1,4,1,1,3,3,1,1,1,2,5,2,7,2,6,2,1,4,7,1,1,6,4,5,6,3,7,3,3,4,1,2,1,1,6,4.5,2.5,6,5.5,3,2,2.5,1.5,4.5,5.5,4,1.5,5.5,1.5,3,1.5,1.5,4,4.5,3.5,3,2.5,3,5.5,5,3.5,5.5,3,4.5,4,2,2.5,3.5,2,5.5,1.5,4,6,4.5,5,2.5,3
"26","Boisfeullet","369","1/27/03",105,9,1.4,7.5,3.5,0.3,103,43,22,174,9.2,1.3,143,2.9,109,0.9,6,4,29,32,88,176,20,2.5,280,"01/09/2002",125,8,1.5,7.5,3.6,0.3,143,43,27,153,7.7,1.6,144,2.9,104,0.9,5,3.9,35,27,87,210,19,1.9,283,"2/20/01",96,10,1.3,7.6,3.7,0.3,142,47,27,154,9,2.3,139,3,105,0.9,8,3.9,21,23,101,210,23,1.6,273,"01/11/2000",118,9,1.4,7.2,3.4,0.3,105,47,35,173,9.2,1.6,138,3.1,100,0.9,6,3.8,26,23,106,321,24,2,272,406,323,383,370.67,35,-48,12,26,"12/14/1971","Jenda","",1,"WH","10/30/97",9452,26.6,"Yerkes","A",2,3,3,5,5,2,5,4,4,6,1,6,2,1,5,6,3,5,5,2,2,2,6,5,2,3,2,4,5,3,5,2,5,1,2,1,6,6,3,3,6,4,1,5,"12/14/1971","Jenda","","Yerkes",2,1,"DP","7/27/01","B",2,1,5,5,3,3,1,5,3,5,2,2,4,2,2,4,5,6,6,4,5,3,2,4,2,1,6,3,3,5,5,4,1,4,4,6,2,2,2,2,2,1,1,2,3.5,5,4,3,3,3,4,1.5,5.5,3.5,1.5,5,4.5,3.5,4,3.5,2,4,4,4,4,2,3.5,2,2.5,5,3.5,4.5,3,3.5,3,3,2,3.5,3.5,4,4.5,3.5,4.5,2,4.5
"27","Boka","200","09/12/2003",102,5,0.9,8,3.7,0.2,84,62,36,268,9.4,2.2,138,3.6,100,0.9,6,4.3,32,30,67,160,16,1.9,271,"12/26/02",126,11,1.2,7.4,3.6,0.3,84,26,29,226,9,2,140,2.7,99,0.9,9,3.8,21,27,78,661,17,1.7,276,"10/22/01",126,11,1.4,7.3,3.3,0.2,86,30,22,196,9.6,1.6,142,3.2,99,0.8,8,4,31,19,76,201,21,1.5,281,"9/19/00",109,9,1,7.1,3.9,0.2,132,20,14,256,9.4,2.4,134,3.4,100,1.2,9,3.2,18,28,128,123,19,1.7,265,398,430,260,362.67,35,67,-103,27,"11/11/1959","Alfalfa","Bokar",0,"WH","11/12/1997",13881,39,"Yerkes","A",3,4,5,3,5,6,1,3,3,2,4,5,4,1,4,1,4,3,2,4,5,4,2,2,2,4,4,2,5,5,4,5,2,2,4,1,5,2,4,6,5,5,3,4,"11/11/1959","Alfalfa","Bokar","Yerkes",3,0,"MW","1/25/01","B",1,2,2,5,1,2,5,5,2,5,3,2,4,3,2,6,4,3,6,3,5,3,3,5,2,3,3,2,1,6,4,4,4,2,2,3,3,4,3,3,3,2,4,4.5,3,5,6,1.5,3,3,1.5,4,5,3,1.5,4.5,1.5,3.5,2,2,3.5,4,3.5,2.5,2.5,2.5,3,3.5,2.5,5.5,5,4,4.5,2,3,3,1.5,4.5,2,4,4.5,4.5,5,2.5,5
