"","chimp","Sub..","Year4","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","ag_ratio","bc_ratio","globulin","lipase","amylase","triglicerides","cpk","ggtp","magnesium","osmolal","Year3","Glucose.1","BUN.1","Creatin","Protein.1","Albumn.1","Bilirubn.1","alkphos.1","sgpt.1","sgot.1","cholesterol.1","calcium.1","phosphate.1","sodium.1","potassium.1","chloride.1","ag_ratio.1","bc_ratio.1","globulin.1","lipase.1","amylase.1","triglicerides.1","cpk.1","ggtp.1","magnesium.1","osmolal.1","Year2","Glucose.2","BUN.2","Creatin.1","Protein.2","Albumn.2","Bilirubn.2","alkphos.2","sgpt.2","sgot.2","cholesterol.2","calcium.2","phosphate.2","sodium.2","potassium.2","chloride.2","ag_ratio.2","bc_ratio.2","globulin.2","lipase.2","amylase.2","triglicerides.2","cpk.2","ggtp.2","magnesium.2","osmolal.2","Year1","Glucose.3","BUN.3","Creatin.2","Protein.3","Albumn.3","Bilirubn.3","alkphos.3","sgpt.3","sgot.3","cholesterol.3","calcium.3","phosphate.3","sodium.3","potassium.3","chloride.3","ag_ratio.3","bc_ratio.3","globulin.3","lipase.3","amylase.3","triglicerides.3","cpk.3","ggtp.3","magnesium.3","osmolal.3","DaysInterval1","DaysInterval2","DaysInterval3","AverageDaysInterval","Interval1Centered","Interval2Centered","Interval3Centered","X","DOB.x","Dam.x","Sire.x","Sex.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z","Colony","Status","Survey.1","BP.1","Weight.1..kg.","Survey.2","BP.2","Weight.2..kg.","Survey.3","BP.3","Weight.3..kg.","sex","maternity","paternity","momage","parity","bo","rearing","age","hi","date1","rbc","wbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","date2","rbc2","wbc2","hct2","hgb2","mcv2","mch2","mchc2","lymp2","mono2","eos2","date3","rbc3","wbc3","hct3","hgb3","mcv3","mch3","mchc3","lymp3","mono3","eos3"
"43","Debbie","638","11/17/99",104,16,1.3,7.1,3.8,0.2,84,24,15,202,9.2,3,141,4,99,1.2,12,3.3,52,18,123,81,23,1.9,281,"08/05/1998",95,19,1.3,7,3.8,0.2,144,24,14,201,9.5,4.3,132,3.7,98,1.2,15,3.2,41,19,77,133,22,1.9,264,"8/20/96",76,17,0.9,7,3.6,0.4,351,26,13,199,9.7,5.6,141,4.2,102,1.1,19,3.4,NA,NA,86,266,NA,NA,NA,"8/21/95",94,20,0.8,6.6,3.6,0.4,455,29,12,195,9.3,5.2,140,4.1,102,1.2,25,3,NA,NA,69,151,NA,NA,NA,365,715,469,516.33,-151,199,-47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Ellie","Jimoh",16.5,2,2,2,"8","-0.17","26/06/1997",4.95,7400,39,12.7,78.8,25.7,32.5,43,1,3,"05/08/1998",4.69,7600,37.2,12.6,79.3,26.9,33.9,43,0,3,"17/11/1999",4.73,10800,37.2,12.1,78.6,25.6,32.5,22,1,0
"44","Dobbs","273","5/31/00",96,18,1.3,8.1,3.3,0.2,103,63,51,239,8.5,4.2,137,3,89,0.7,14,4.8,12,23,85,350,42,2.3,272,"6/24/99",109,17,1.4,8.4,3.2,0.2,110,71,37,212,9.1,3.5,141,3.3,98,0.6,12,5.2,32,31,59,259,76,2.1,281,"6/26/98",103,14,1,7.1,3,0.1,85,37,26,166,8.2,3.7,139,3,97,0.7,14,4.1,41,25,45,118,26,1.5,275,"03/10/1997",144,16,12,7.3,3,0.4,74,36,22,158,8.6,2.4,138,3.1,98,0.7,13,4.3,NA,NA,57,166,NA,NA,NA,473,363,342,392.67,80,-30,-51,50,"01/01/1961","","",1,"MW","7/15/01",14805,41.6,"Yerkes","A",2,1,7,5,2,2,2,5,5,5,2,1,2,2,6,3,2,6,7,5,2,1,6,6,2,1,1,6,5,6,5,2,6,5,3,2,2,6,2,2,5,3,2,6,"01/01/1961","","","Yerkes",2,1,"WH","8/28/97","B",2,5,2,6,2,1,4,4,2,6,4,1,2,1,1,6,3,2,4,3,6,4,5,6,2,3,6,3,2,4,3,6,5,3,5,4,3,2,2,3,6,5,5,2.5,5.5,3,3,3.5,4.5,4,3.5,2,3.5,2,1.5,6,2,2.5,4,4,4,3,1.5,3.5,5,2,3,3,4.5,4.5,6,5.5,2,4,4,3,2.5,3.5,5.5,2.5,4,5,4.5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","",NA,NA,NA,1,"36","","10/03/1997",5.44,9000,43.6,13.8,80.1,25.4,31.7,46,1,1,"25/06/1998",5.37,11900,43.3,14.4,80.6,26.8,33.3,30,1,2,"24/06/1999",5.86,9400,46.1,15.8,78.7,27,34.3,14,1,0
"45","Dona","658","7/29/04",94,11,0.9,7.6,4.1,0.2,126,29,19,179,9.8,4,141,4.1,102,1.2,12,3.5,34,34,169,366,48,1.8,279,"5/29/03",95,9,0.8,7.7,4.2,0.1,121,26,15,188,9.2,2.4,140,4,101,1.2,11,3.5,29,35,111,305,28,1.8,376,"5/16/02",81,10,0.9,7.4,3.8,0.1,103,23,12,215,9.6,3.6,142,3.6,99,1.1,11,3.6,28,29,122,117,30,2,279,"2/26/01",89,11,0.9,7.3,4.1,0.2,134,31,15,200,9.7,3.8,138,4.4,101,1.3,12,3.2,33,19,152,104,19,1.9,274,444,378,427,416.33,28,-38,11,51,"04/03/1990","Peony","Walnut",0,"LP","06/11/2000",3722,10.5,"Yerkes","B",NA,4,2,2,5,4,2,4,3,2,6,5,5,3,5,3,5,3,3,4,6,6,4,2,3,6,6,2,2,6,2,6,3,6,5,2,1,2,6,4,1,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","3/30/10","181/109",96,"04/08/2008","140/70",85,"1/13/98","138/76",52.2,0,"Peony","Walnut",24,6,4,1,"6.5","0.74","24/01/1997",5.04,7700,40.5,13.3,80.4,26.4,32.8,60,1,5,"13/01/1998",5,11300,40.9,13.4,81.8,26.8,32.8,35,2,1,"14/01/1999",4.86,13000,40.7,13.7,83.7,28.2,33.7,57,5,1
"46","Donald","551","5/26/04",87,11,0.8,7.7,3.6,0.2,68,21,20,161,10,2.3,137,4,104,0.9,14,4.1,16,32,81,317,21,1.9,271,"11/06/2003",106,13,1.1,8.6,3.9,0.2,86,27,28,224,9.2,2.2,142,3.9,101,0.8,12,4.7,17,36,112,518,27,1.6,282,"10/22/02",104,12,1,7.9,3.8,0.3,121,28,36,197,9,2.8,143,3.8,104,0.9,12,4.1,19,35,129,691,17,1.7,283,"11/09/2001",106,11,1.4,7.6,4,0.2,105,29,26,195,8.9,3.5,143,3.9,98,1.1,8,3.6,19,25,108,399,24,1.7,283,347,380,202,309.67,37,70,-108,52,"10/15/1987","Reba","Jimoh",1,"WH","7/15/01",5022,14.1,"Yerkes","A",4,2,4,4,2,2,4,4,5,6,4,4,2,5,6,4,2,5,4,5,4,3,6,5,5,2,4,4,3,2,5,2,6,4,4,3,4,5,3,2,6,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reba","Jimoh",28.92,13,3,2,"9.5","-0.43","11/09/1997",5.2,15300,43.4,14.9,83.5,28.7,34.3,6,0,0,"19/10/1998",5.55,10300,46.6,15.8,84,28.5,33.9,21,2,1,"07/10/1999",5.12,8400,43.1,14.3,84.2,27.9,33.2,37,3,2
"47","Dover","645","5/20/03",80,16,1.1,7.9,1.8,0.4,278,61,33,156,10.2,2.8,139,4.6,112,0.3,15,6.1,31,50,112,616,32,1.7,277,"05/01/2002",72,14,1.2,7.5,4,0.2,568,39,17,143,9.9,3.2,146,4.2,105,1.1,12,3.5,28,42,107,179,22,1.7,288,"3/19/01",100,19,0.8,6.9,3.9,0.2,782,43,22,173,10.3,3.9,141,4,102,1.3,24,3,23,18,57,252,17,1.8,282,"3/21/00",98,14,0.9,6.4,3.8,0.2,909,51,22,200,10.2,4.2,138,3.5,99,1.5,16,2.6,4,15,83,276,24,1.7,274,363,408,384,385,-22,23,-1,53,"2/25/1994","Cissie","Homer",1,"JF","02/10/1999",1811,5.1,"Yerkes","B",NA,4,1,2,2,4,1,2,5,5,6,2,3,7,1,7,2,1,1,2,4,5,5,5,6,6,6,1,5,4,1,5,1,4,2,4,2,3,6,1,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Cissie","Sam",17.25,3,2,1,"3.5","-0.28","08/10/1997",5.54,13400,39.8,13.8,71.8,24.9,34.7,25,1,1,"01/10/1998",5.42,6400,41.9,14,77.3,25.8,33.4,39,2,2,"02/03/1999",5.71,9200,43,14.4,75.3,25.2,33.5,64,3,3
"48","Drew","629","05/05/2004",66,13,1,7.2,4,0.3,93,43,39,187,9.2,3.2,144,3.7,102,1.3,13,3.2,30,27,40,804,20,1.8,283,"07/10/2003",93,12,1.2,7.4,4.2,0.3,126,36,44,205,8.9,3.7,143,3.8,102,1.3,10,3.2,27,29,66,1269,19,1.9,283,"7/30/02",76,11,1.3,7.6,4,0.3,192,42,36,185,9.4,4,140,3.8,100,1.1,8,3.6,25,28,107,970,23,2,276,"7/27/00",119,13,1.1,7.4,3.7,0.1,527,49,29,198,8.7,4,135,3.5,97,1,12,3.7,22,16,59,352,19,1.9,269,733,345,300,459.33,274,-114,-159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","6/16/11","116/58",74.5,"2/16/11","95/40",66,"7/29/10","105/44",68.5,1,"Foxy","Carmichael",25.24,9,5,2,"4.5","0.66","18/09/1997",5.55,14700,44.3,15.3,79.8,27.6,34.5,40,2,1,"17/09/1998",4.57,6700,37,12.8,81,28,34.6,57,0,6,"25/10/1999",5.29,7700,42.7,14.1,80.7,26.7,33,74,0,3
"49","Duff","591","10/11/2004",77,11,0.9,7.4,3.9,0.2,65,43,29,155,9.6,5.2,142,3.3,99,1.1,12,3.5,40,35,51,421,32,2.1,278,"7/21/03",80,9,0.9,7.5,4,0.4,120,33,32,133,9.4,3.1,141,3.6,102,1.1,10,3.5,34,36,102,332,27,1.8,277,"12/26/02",79,10,1.2,7,3.7,0.2,119,28,22,151,9.7,3.4,140,3.8,101,1.1,8,3.3,39,33,55,389,23,1.8,275,"9/25/01",73,11,1.3,7.4,3.6,0.2,156,45,41,155,10.6,3.9,136,4,100,0.9,8,3.8,34,30,48,942,36,1.9,268,457,207,448,370.67,86,-164,77,54,"02/08/1990","Lena","Clint",1,"MW","7/15/01",4175,11.7,"Yerkes","A",2,2,5,5,3,2,7,5,6,5,3,3,2,2,3,6,4,4,6,5,3,2,6,6,4,3,3,6,2,3,3,3,5,3,5,2,3,6,3,2,6,3,2,2,"02/08/1990","Lena","Clint","Yerkes",2,1,"AH","7/30/01","B",6,7,2,4,5,5,2,2,4,3,3,3,3,4,5,5,3,3,2,4,2,5,2,3,3,5,3,3,5,3,2,4,5,3,3,3,4,4,2,4,4,5,6,2,4.5,2.5,2,7,4,5,5.5,3.5,2.5,2,2.5,3.5,5.5,4,4.5,5.5,4.5,3,2.5,5,5.5,3,3,2.5,5.5,2.5,3,3.5,3,4,3,4,2.5,4,5.5,2.5,2.5,6,3,3,3.5,"Yerkes","Alive","11/18/10","133/66",60.36,"10/10/2007","145/61",61,"","",NA,1,"Lena","Clint",14,1,1,2,"7.5","-0.68","07/08/1997",5.77,7900,45.3,14.9,78.5,25.8,32.9,79,1,4,"09/03/1998",4.93,23200,40.1,12.7,81.3,25.8,31.7,68,5,1,"22/04/1999",5.59,13200,46.5,15.5,83.2,27.7,33.3,57,0,2
"50","Duncan","295","12/15/04",144,11,1.2,7.9,3.6,0.2,77,40,28,204,10.3,2.9,145,3.5,98,0.8,9,4.3,25,24,167,579,23,1.8,288,"12/23/03",95,12,1,75,3.5,0.2,72,46,22,184,9.5,2.9,139,3.5,98,0.9,12,4,32,19,146,329,16,1.8,275,"12/06/2002",91,15,1.1,7.7,3.5,0.2,69,32,25,185,9.1,2.6,142,3.6,99,0.8,14,4.2,33,24,160,295,20,2.1,281,"12/21/01",83,13,1.2,7.8,3.6,0.3,88,33,23,177,9,1.5,141,3.7,99,0.9,11,4.2,36,24,155,400,21,1.8,278,350,382,358,363.33,-13,19,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Debi","Frans",NA,5,5,2,"29","0.92","22/01/1997",5.68,6500,46.2,14.2,81.3,25,30.7,75,1,2,"11/12/1997",5.49,6100,45.6,14.5,83.1,26.4,31.8,57,4,0,"11/12/1998",5.3,11200,44.5,14.5,84,27.4,32.6,41,0,1
"51","Edwina","682","01/07/2004",91,14,1,7,3.2,0.1,178,29,26,231,10.2,3.5,139,3.9,100,0.8,14,3.8,34,31,137,429,31,1.6,276,"01/09/2003",103,18,1.1,7.3,3.4,0.3,129,32,20,233,9.5,2.8,137,3.9,101,0.9,16,3.9,39,25,104,166,22,1.6,274,"10/22/01",88,10,1.1,7.2,3.4,0.3,182,26,16,221,9.8,3.1,137,3.8,99,0.9,9,3.8,16,21,183,165,17,1.5,270,"11/14/00",81,19,1.2,7.4,3.9,0.3,240,29,21,220,10.3,2.3,140,4.4,102,1.1,16,3.5,30,19,139,231,19,2.1,280,342,444,363,383,-41,61,-20,55,"5/28/1991","Lolita","Edward",0,"WH","11/02/1997",2350,6.6,"Yerkes","A",6,4,5,6,5,3,1,6,6,5,3,3,2,1,5,4,3,6,5,5,2,2,5,6,5,2,4,6,4,4,5,2,6,5,3,3,4,4,2,4,4,2,2,6,"5/28/1991","Lolita","Edward","Yerkes",6,0,"KB","10/04/1997","B",4,2,2,5,6,5,3,5,4,5,6,4,4,3,5,5,5,3,5,3,2,3,2,6,5,4,2,3,6,6,4,4,4,3,2,3,6,5,4,7,6,2,2,3.5,6,5,4,1.5,6,6.5,4.5,4,2.5,2,2.5,5,4.5,3,6,5,5.5,2.5,2.5,4,4.5,4.5,2,3,5,5,5,4.5,3,5.5,5,3,3,4,3,3,3,3,3.5,3,5.5,"Yerkes","Alive","11/03/2011","121/64",53.5,"3/24/11","144/84",71.5,"12/03/2009","124/61",68.5,0,"Lolita","Edward",31.75,10,10,1,"6.5","-0.1","12/11/1997",5.43,10900,43.2,14.5,79.6,26.7,33.6,54,4,3,"24/11/1998",5.35,16300,43.3,14.5,80.9,27.1,33.5,20,1,2,"21/10/1999",5.07,17100,42.8,13.8,84.4,27.2,32.2,58,4,6
"52","Ellie","452","11/03/2004",110,8,1,7.1,3.4,0.2,71,28,16,162,19.2,1.9,142,3.5,104,0.9,8,3.7,33,24,197,358,37,1.6,280,"06/09/2003",90,8,1,7.4,3.6,0.2,84,26,24,170,8.5,3.4,141,3,102,0.9,8,3.8,24,20,218,519,29,1.6,276,"6/20/02",98,7,1.1,7.4,3.6,0.1,61,26,20,174,9.3,1.1,139,2.8,106,0.9,6,3.8,54,24,170,500,38,1.7,272,"5/30/01",99,11,1.1,7.5,3.6,0.2,64,24,17,202,9.4,2.9,139,3.6,96,0.9,10,3.9,26,18,105,255,29,1.9,275,386,354,513,417.67,-32,-64,95,56,"8/14/1972","Cookie","Homer",0,"AH","7/15/01",10562,29.7,"Yerkes","B",NA,2,2,2,5,5,1,4,2,2,3,5,2,1,6,1,3,2,1,4,5,2,1,1,1,6,4,1,6,3,5,4,1,4,2,3,2,2,2,7,2,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cookie","Homer",16.61,4,4,1,"24.5","-0.4","20/03/1997",5.92,18000,84.4,16,81.8,27,33.1,50,2,3,"06/05/1998",5.2,15500,43.7,14.3,84,27.5,32.7,38,4,5,"18/05/1999",5.35,15600,44.6,14.7,83.4,27.4,33,65,3,2
"53","Elvira","632","06/10/2003",101,6,1,7.3,3.9,0.2,81,19,9,153,9.1,2.7,139,3.2,103,1.1,6,3.4,23,16,71,113,19,1.8,272,"06/11/2002",87,8,0.8,7.1,3.6,0.2,68,17,12,186,9.6,3.4,140,4,104,1,10,3.5,34,19,111,410,21,1.8,276,"5/30/01",95,10,1,7.3,3.9,0.1,82,20,14,185,9.9,2.7,137,4.1,98,1.1,10,3.4,34,16,70,99,16,3.4,271,"05/11/2000",94,8,1.1,7,3.9,0.1,124,21,12,131,18.6,2.4,135,3.8,102,1.3,7,3.1,26,16,78,162,20,1.7,266,384,377,364,375,9,2,-11,57,"10/31/1988","Barbi","Jimoh",0,"WH","11/05/1997",3292,9.2,"Yerkes","A",7,2,5,6,4,6,1,5,6,3,6,2,5,6,1,6,5,5,3,7,4,5,3,3,6,3,3,2,6,6,1,5,5,7,5,5,2,2,5,1,1,4,4,6,"10/31/1988","Barbi","Jimoh","Yerkes",7,0,"MW","7/26/01","B",5,2,3,3,4,5,6,2,4,3,4,4,5,6,2,3,6,5,3,5,2,6,5,3,3,5,2,5,3,5,3,2,4,4,6,3,4,4,5,6,6,4,4,4,6,3,4.5,1.5,4.5,6,4,5,2,4,5,2,5.5,5,4.5,2.5,5.5,3.5,5,4.5,4.5,5.5,4.5,4,3.5,5.5,4.5,1.5,5,4,6.5,4.5,5,3,3,4,1.5,2.5,3.5,4,4.5,"Yerkes","Alive","6/13/11","119/68",48.5,"7/27/10","108/54",51,"04/02/2009","138/64",58.5,0,"Barbi","Jimoh",12.33,1,1,1,"8.5","0.28","28/05/1997",5.48,15400,42.8,14.4,78.1,26.3,33.6,43,2,1,"03/05/1998",5.16,6700,41,14.1,79.5,27.3,34.4,49,4,4,"25/05/1999",5.31,14100,41.8,14.5,78.7,27.3,34.7,26,2,0
"54","Elwood","593","09/07/2004",119,8,1.1,6.7,4.1,0.3,49,40,19,110,19.5,2.4,143,3,103,1.6,7,2.6,45,18,71,149,14,2.5,281,"9/15/03",119,7,1,7.3,4.5,0.4,56,37,30,105,9.3,1.7,149,2.7,104,1.6,7,2.8,30,20,69,276,14,1.9,291,"9/25/02",136,6,0.9,6.7,4.1,0.6,47,33,23,105,9.1,1.7,144,2.8,105,1.6,7,2.6,48,31,62,255,14,1.9,283,"9/17/01",127,7,0.9,7.3,4.6,0.3,57,37,29,117,9.8,1.1,147,2.8,99,1.7,8,2.7,50,13,103,238,24,1.7,288,373,355,358,362,11,-7,-4,58,"2/19/1990","Jaq","Harv",1,"AH","7/26/01",4175,11.7,"Yerkes","A",9,1,6,2,2,5,1,3,2,2,2,2,2,2,5,3,3,5,4,4,4,3,2,3,2,4,2,2,4,4,5,3,5,3,3,3,3,3,3,6,3,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","11/17/10","135/66",63,"9/14/09","177/76",66,"10/02/2007","190/90",65.5,1,"Jaq","Harv",13.33,1,1,2,"7.5","0.07","29/09/1997",5.43,8700,45.6,15.3,84,28.2,33.6,36,0,1,"15/09/1998",5.13,9400,42.7,14.5,83.2,28.3,34,32,0,0,"29/09/1999",5.44,8200,46.2,15.1,84.9,27.8,32.7,30,5,0
"55","Ericka","500","1/20/04",100,17,1.1,7.8,3.1,0.1,93,32,18,169,10.2,2.7,141,4.1,103,0.7,15,4.7,42,38,90,402,35,1.8,282,"2/14/03",82,12,1,8.4,3.3,0.1,82,33,34,239,9.3,2.3,142,4.2,103,0.6,12,5.1,46,43,144,1087,27,1.8,281,"04/04/2002",76,14,1.1,8,3,0.1,75,25,22,192,9.6,2.4,143,3.5,105,0.6,13,5,33,38,108,395,16,1.6,282,"03/09/2001",89,11,1.1,8.4,3.1,0.1,68,36,40,245,9.7,1.5,141,3.8,102,0.6,10,5.3,28,26,134,899,18,1.9,278,391,316,340,349,42,-33,-9,59,"10/20/1973","","",0,"SS","1/16/99",9219,25.9,"Yerkes","B",NA,1,7,7,1,2,1,7,7,7,2,1,2,4,1,4,3,7,6,7,1,4,5,6,5,1,1,7,7,7,1,4,6,2,2,4,1,2,1,4,2,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","2/15/11","166/108",83,"5/20/08","152/106",77,"","",NA,0,"","",NA,NA,NA,1,"23","0.2","26/02/1997",4.86,9900,35.8,11.1,73.7,22.8,31,27,1,4,"23/02/1998",5.27,13000,39.4,12.8,74.8,24.3,32.5,14,3,1,"10/02/1999",5.33,14200,41.7,13.4,78.2,25.1,32.1,13,1,2
