chimp,openness,aggreeableness,methodical,reactivityscale,dominance,extroversion,meanactive,meanaffectionatefriendly,meanaffiliative,meanaggressive,meananxious,meanautistic,meanbold,meanbullying,meancalm,meancautious,meanconsideratekind,meandeceptive,meandefiant,meandependent,meandepressed,meandominant,meaneccentric,meanexcitable,meanfearful,meanhumanoriented,meanimpulsive,meaninquisitivecurious,meanintelligent,meaninventive,meanirritable,meanJealousattentionseeking,meanmanipulative,meanmethodical,meanmischevious,meanpersistent,meanplayful,meanpredictable,meanprotective,meanrelaxed,meanselfcaring,meansexual,meansociallyinept,meansolitary,meanstingy,meantemperamentalmoody,meantimid
Cordova,4.21,4.11,4.42,3.56,1.79,4.28,4.08,4.77,4.54,3.08,4.92,3.69,2.69,2.69,3.38,5.38,4.46,2.92,3.77,5.23,3.85,2.46,3.38,5.62,5.62,4.23,3.62,4.38,4.08,3.69,3.46,4.46,2.46,3.85,3,4.08,4.92,4.15,3.75,3.46,5,3.77,3.77,3.77,3.08,3.46,5.15
CYBILL    ,3.99,3.69,4.08,3.48,1.77,4.47,4.55,4.18,4.25,3.08,4.92,2.92,2.42,2.5,3.92,5.17,3.75,2.83,3.83,4.75,3.08,2,4,4.5,5.17,3.18,3.25,3.92,4.83,4,3.58,3.75,3.92,3.58,3.58,3.83,3.92,4.6,3.64,2.73,4.58,5.08,4,3.91,2.91,4,5
DOYLE     ,4.71,4.67,4.8,3.6,3.63,4.84,4.67,5.2,5.13,3.93,3.47,2.73,4.73,3.93,4.8,3.73,4.47,3.29,3.73,3.93,2.93,4.93,3.53,4.27,3.27,5.27,4.13,4.6,4.53,4,3.33,4.2,3.6,4.67,3.33,4.67,4.8,5,4.87,5.07,4.93,4.6,2.67,3.2,4.33,3.33,3.33
Ehsto,4.96,4.17,4.63,3.89,3.8,5.01,5.22,4.89,5.11,4.56,3.11,3.33,4.75,4.25,3.44,3.63,4.11,3.38,3.44,3.33,2.5,5.22,3.56,4.56,2.78,5.44,3.78,5.11,5.22,4.33,3.89,4.67,3.67,4.38,3.78,4.75,4.67,4.33,4.22,4.14,4.89,5.13,3.89,3.56,4,3.56,2.89
EMILY     ,4.46,4.22,4.53,3.89,3.53,4.22,2.87,4.6,4.8,3.93,3.4,2.73,4.07,4.33,4.73,3.8,3.8,4,4.4,4.07,2.67,4.87,3.47,4.2,3.07,4,3.87,4.73,4.47,4.33,3.8,4.27,4.2,4.27,3.87,4.6,3.6,4.67,4.64,4.67,4.8,4.2,3.33,3.47,5.27,3.87,3
Gage,5.32,3.92,4.55,4.46,3.41,5.7,6.29,5.23,5.67,4.17,3.85,3.62,5.54,4.55,3.38,3.38,3.92,4.45,5,4.62,2.17,3.92,3.46,5,3,5.75,4.67,5.71,5.07,5.15,3.33,5.36,4.83,3.83,5.62,5,6.08,5.08,3.92,3.5,5.27,4.55,4,2.23,4.92,4.08,2.83
GERTRUDE  ,3.7,4.08,4.65,2.62,3.5,3.5,2.7,4.6,3.6,2.1,2.2,2.89,2.5,3,4.9,4,4.5,2.5,2.8,3,3,3.3,2.5,2.5,2.89,3.22,2.6,3.6,4.2,3.3,2.3,2.2,2.7,4.4,2.4,3.3,2.8,5.3,3.67,5.8,4.9,3,3.3,4.1,3.5,2,3.5
GIGI      ,4.79,4.41,4.73,3.67,3.02,4.23,4.27,5.27,4.27,3.73,3.91,2.27,4.27,4.09,4.45,4.64,4.55,3.55,3.55,4.09,3.09,3.82,4.09,3.82,4,4.64,3.73,4.09,5.18,4.82,3.55,5,3.82,4.45,3.18,4.73,3.73,4.73,4.27,4.64,5,3.91,3.09,3.73,4,4.55,3.91
GIMP      ,4.55,3.88,4.43,3.26,2.75,4.48,4.29,5.43,4.29,3.71,3.71,3,3.14,3.29,5.43,4.57,4,2.86,3,4.14,2.86,4,3,4.29,3.86,4.29,3.43,4.57,4.86,4,3,3.29,4.29,3.71,3.43,4.14,4.43,4.86,3.75,3.71,5.14,4.29,2.71,3.57,3.43,2.57,4.57
GISOKI    ,5.29,4.49,4.36,3.91,3.48,5.13,5.18,5.82,5.45,3.64,3.7,2.73,4.91,3.36,3.91,3.36,5.27,3.82,4.09,3.55,3,3.82,3.82,5.27,3.45,5.64,4.64,5.36,5.27,4.73,3.64,5.45,3.91,4.36,4,4.91,5.55,4.36,3.7,4.2,4.36,4.8,3.73,3.18,3.73,3.64,3
GRACIE    ,4.83,4.31,4.89,4.25,3.15,4.89,5,4.93,4.5,4.36,3.86,2.79,4.57,4.21,4.14,4,4.43,3.71,4.07,3.86,3.14,3.86,4.36,4.79,4.21,5.29,4.64,5.14,4.79,4.07,4.21,5.64,4.79,4.57,4.86,4.79,4.86,4.43,4.18,4.17,5.21,5.29,3.36,3.14,4.36,4.64,3.5
Gremlin,4.52,4.75,4.64,3.22,2.91,4.33,3.64,5.18,5.09,3.27,3.73,2.64,3.55,2.91,4.82,3.91,5,3.27,2.91,4.82,2.82,3.27,3.73,4,3.91,4.36,3.45,4.73,4.73,3.36,3.09,3.09,3.82,4.27,3.27,4.73,4.18,5.09,4.5,4.73,5,3.91,3.27,4,3.18,3.09,3.91
HA'AKID   ,4.4,3.61,4.5,3.24,3.46,4.23,4.38,4.63,4.13,3.13,2.75,3.63,3.63,3.88,4.13,4.13,3.5,2.71,3.5,3.75,3.38,4.25,3.25,2.88,3.25,3.88,3.63,4.5,5,4,2.88,3,3.13,3.75,3.5,4.38,3.88,5.13,3.71,4.57,5.25,4,3.13,3.63,2.63,2.63,2.88
Hannah,4.63,4.34,4.4,3.73,3.06,4.73,4.8,5.4,4.6,3.6,3,3.2,4.2,3.8,4.5,4.3,3.9,3.8,3.7,4.5,3.1,3.8,4.3,4,4.1,4.6,4.4,4.7,4.3,4.2,3.5,4,3.8,4,4.1,4.6,5,4.3,4.78,4.4,4.8,4.1,3.4,3,3.5,3.3,4
HELGA     ,5.62,4.3,5,3.64,3.12,4.22,3.67,5.67,5,3.07,3.87,3,4.33,2.87,5.47,4.73,4.67,3.73,4.07,4.2,3.13,3.67,4.07,4.07,3.93,6.27,3.13,5.07,6.07,5.2,3.67,4.93,4.2,4.6,3.87,5.47,4.47,5.33,3.93,5.47,5.4,3.8,3.07,4.47,4.4,3.67,3.8
HOBBES    ,4.8,4.75,5.1,3.36,3.89,5,5.1,5.2,5.1,4.1,2.9,2.8,4.8,4.1,5.2,3.8,4.5,3.1,4.1,3.6,2.3,4.5,2.9,4,2.7,4.7,3.9,4.8,5.3,4.2,2.5,4,3.6,4.7,2.6,4.6,4.1,5.2,5,5.2,5.5,5.1,2.3,3.1,4.1,2.3,2.4
Hodari,4.77,4.39,4.7,4.32,3.05,4.86,4.75,4.67,4.73,4.55,4.09,3.4,4.7,4.18,3.7,3.6,4,4.5,4.7,4.5,2.9,4,3.7,5,4.3,3.8,3.9,5.18,5.1,5.09,4.8,4.55,4.64,4.2,4.9,4.8,4.7,4.9,4.78,4.1,5.2,4.8,3.4,2.9,4.3,4.3,3.9
HUEY      ,4.35,4,4.5,4.41,3.41,4.63,3.4,4.3,4.2,4.3,4.4,3,4.78,5.44,3.44,3.6,3.89,4.8,3.7,3.89,2.5,5.6,4.7,5.2,3.5,4.4,4.33,4.56,4,3.67,3.89,4.9,4.8,4.11,4.4,5.2,4.6,4.8,4.11,3.5,4.89,5,3.9,2.9,6.1,3.5,3.2
Huhni,4.65,4.12,4.22,3.75,2.99,4.57,4.67,4.89,4.56,3.78,3.78,3.13,4.88,3.88,4,4.38,4.38,3.38,3.33,4.11,3.67,2.56,3.67,4.78,4,4.22,4,4.44,4.89,4.67,3.89,4.56,3.22,3.56,3.89,4.78,4.11,4.56,3.86,4.22,4.89,4.78,3.22,3,3.22,4.11,3.44
JAKE      ,4.58,4.2,4.59,3.73,2.89,4.58,4.91,5.18,4.91,4.18,4.55,3.36,3.91,3.55,3.91,4,4.4,3.64,4,4.36,3,3.91,3.91,4.64,4.27,4.55,3.73,4.55,4.45,4.36,3.55,3.91,3.09,4.18,3.82,4.36,3.82,4.82,4,4.22,5,4.64,3,3.82,3.09,3.82,3.73
Jana,4.25,4.75,4.75,3.3,2.62,4.24,3.33,5,4.75,3.17,4.58,2.91,3.25,3.67,4.42,4.75,4.5,3.08,3.08,4.17,3.42,3.17,3.42,3.17,3.5,4,3.25,4,4.5,4.08,3.33,3.67,3.25,4.25,3.25,3.92,3.75,5.17,5,4,5.25,4.42,3.17,3.42,3.58,3.5,4.42
Jane,5.29,4.71,4.88,3.48,2.36,4.33,4.5,5.25,4.63,2.75,5,3.38,3,3,4.38,5,5,3.5,3.13,4.25,4,3.38,4.5,4,4.63,6,3.75,4.88,6.25,5.25,3.25,3.75,3.63,4.38,3.25,4.13,4.63,4.38,4.43,3.75,5.38,4.75,3.38,4.5,3.63,3.25,4.38
Jessie,4.81,4.36,4.69,3.73,2.62,4.62,4.85,4.54,4.85,4,4.54,2.69,3.85,3.62,4.69,4.62,4.38,3.85,3.54,4.85,3.38,3.46,3.38,4.31,4.23,4.08,3.77,5.15,5.46,5.08,3.92,4.23,3.92,4.31,4.46,4.54,4.54,5.08,4.33,4.23,5.08,4.23,3.08,3.38,4.08,3.85,4.38
JOEY      ,5.79,4.53,4.78,3.58,3.87,5.29,5.2,6,5.33,3.47,3.2,2.47,5,3.27,5,3.47,4.67,3.6,4.2,4.07,2.5,5.13,4.2,4.73,2.87,6.27,3.53,5.67,6.13,5.67,3.47,4.4,3.93,4.43,3.8,5,5.73,4.67,4.4,4.8,5.13,5.27,2.93,3.27,3.67,3.07,2.33
JOSIE     ,4.77,4.38,4.5,4.48,3.11,4.74,5.18,4.82,5,3.91,4.36,2.82,4.55,4.64,3.64,3.73,4.36,4.09,4.45,4.18,3.73,4.27,4.64,5.27,3.55,4.27,5,4.64,5.36,4.64,4.73,4.82,5.36,4.64,5,4.91,4.18,4.73,4.4,3.7,4.36,5.18,3.45,3.36,5,4.73,3.82
JUDUMI    ,5.63,3.67,5.42,4.66,3.86,4.58,4.88,5.75,5,9.13,3.57,3.88,5,4.14,3.63,3.13,4.14,4.14,3.57,2.86,4,5.43,4.14,5,3.86,6,4.13,5.88,5.75,5.25,3.75,5.38,4.88,5.13,5.13,5.13,4.63,4.88,3.2,4.5,5.71,4.5,4.5,3.5,4.71,4.38,2.63
Judy,4.75,4.73,4.82,3.31,3.3,4.17,3.83,5.25,5.08,2.92,3.92,2.82,4.18,3.09,4.82,4.33,4.64,3.08,3.45,4.09,3.18,4.36,3.17,3.73,3.55,5.08,2.83,4.18,5.18,4.18,3,4.25,4.17,4.82,3.25,4.64,3.18,4.67,4.82,4.92,4.82,3.42,3.08,3.33,4.17,3,3.18
Junie,4.76,4.59,4.27,3.07,2.81,4.21,3.64,5.64,5,3.27,3.73,2.73,4,2.91,4.64,4.91,4.91,2.64,2.91,4.45,3,3.09,3.18,3.55,4.18,5.45,3,4.18,4.55,4,2.64,3.91,3.18,4.18,3.18,4.73,3.82,5,4.27,4.55,4.36,3.27,2.91,3.45,3.18,2.73,3.91
KAKAICHU  ,3.71,3.96,4.75,3.64,2.48,4.04,3.75,3.25,4,4.75,3.25,2.25,3,3,4.75,4,3.25,4,4,4.5,3.75,2.75,4,4,4.75,3.25,3.5,3.75,4.75,4,4,3.5,3,4,4.25,3.25,3.5,5.25,4.67,3.33,5.5,4,3,3.25,5.5,3,4.75
Kalioni   ,4.13,3.23,4,2.84,2.97,4.27,4.2,5.2,3.8,2.6,3.2,2.6,3,2.4,5.4,4.8,3.8,2.6,3,3.2,3,3.4,2.6,3.2,3.6,3.6,3.6,4.6,4.4,3.2,2.6,3.2,3.2,3,3,3.8,3.8,4.6,2.67,4.2,5,4.6,2.6,3.8,3,2.6,4
Kareem    ,5.24,4,4.5,3.33,3.2,4.94,5.71,5.71,3.57,4.57,3.29,2.71,3.29,4.29,4.29,4.29,4,2.57,3.43,3.86,2.43,4.57,3.43,4.43,3.86,5.57,2.71,5.29,5.71,4.43,3.57,3.14,3.29,4,2.86,4.71,5.14,4.14,4,4,5,4.5,3.29,2.86,2.29,3.57,3
Kaya      ,4.93,4.6,5.3,2.96,2.8,5.37,5.4,5.4,5.6,3,3.6,2,4,3,4.6,5.2,5.2,3.4,2.2,5.2,1.6,3.2,2.8,4.4,4,4.6,2.8,4.8,5.6,4.6,2.4,4,2.8,4.4,2.4,4.6,5.2,5.6,4,4.6,6.2,4.8,2.8,3.2,3.8,3,3.4
Kehg      ,3.97,4.22,3.58,3.6,3.42,4.77,4.5,4,4.67,3.83,3.67,2.5,4.33,3.83,3.5,3.5,4.83,3.33,4.17,2.67,2.33,3.83,3.17,3.83,3.33,4,4,4.33,4.67,3.5,3.33,4.33,3.67,3.33,3.67,3.33,4,3.83,3.6,3.83,3.83,4.6,3.83,2.83,3.83,3.17,3.5
Keno      ,5.41,3.74,4.91,4.89,4.22,5.17,5,5.09,5.18,6,3.27,2.91,6.09,5.91,3.18,3.82,3.18,4.36,4.64,2.64,2.55,6.36,4.36,5.91,3.27,6.45,5.64,5.18,5.45,4.91,5.09,6.27,3.91,4.55,4.91,5.36,5.27,5.27,4.3,4.18,5.27,5.18,3.55,3.09,5.09,5.45,1.91
Kelly     ,4.98,4.5,4.83,4.01,2.82,4.24,4.22,5.11,4.22,3.44,4.22,3.22,3.67,3.56,3.67,4.33,4.22,4.33,3.67,3.67,3.56,3.56,3.44,5.11,4.22,5.89,3.78,5.11,4.89,4.67,4.11,5,4.78,4.33,4.11,4.22,4.11,4.56,4.78,3.56,5.33,4.22,3.44,3.78,3.89,4.11,3.78
Kiht,5.82,4.8,5.3,3.65,2.9,5.04,5.25,5.6,5.25,3.2,4.6,2.2,3,3,4,4.6,5.2,4,3.4,4,2.2,4,3.6,4.6,4.2,6.5,3.6,6,6.2,5.6,3.4,5.2,3.6,5,4,5,5.2,5,4.4,4.6,5.6,4,2,3.25,4.8,3.6,3
Krog      ,5.08,4.44,4.85,3.97,3.5,5.18,5.6,4.9,5,4.2,3.1,3.5,5,4.2,3.9,3.8,4.1,3.3,3.89,4.2,3.1,4.9,4.1,4.1,4,5,4.2,5,5.4,4.9,4.2,3.9,4,4.8,4.1,5.3,5,4.7,4.78,4.33,4.9,5.4,3.7,2.8,3.9,4.3,3.1
Kudzu     ,4.86,3.79,4.86,4.22,3.27,4.96,5.29,5,5.43,5.29,4,3.71,5.14,4.86,4.29,4.43,3.71,4.14,4,4.29,3.43,4.71,3.71,4.14,4.14,3.86,4.17,4.86,5.29,4.71,4,4.71,4.67,4.43,4.43,5.43,5.14,4.57,3.86,4.29,5.29,5.17,3.29,3.86,4.71,3.57,3.14
Kukui     ,4.29,3.5,4.25,4.96,4.09,4.39,4.75,3.25,4.5,5.25,4.5,3.5,5.75,5.75,4,3.25,3,5.33,5.5,2.5,3.25,6,4.75,4.75,2.75,4,4.75,5,4.75,3.75,4.25,5.5,6,4.5,5.25,5,4.5,4.25,4,4.5,4,4.33,4,4.5,5.75,5.5,2.5
Kuhta,5,4.25,4.5,3.56,3.31,4.97,5.25,5.25,4.75,4,3.75,2.5,4.25,3,3.75,3,5,3,3.5,4.75,2.5,4.25,3.5,5.25,3.25,6.25,4.25,4.75,5,4,2.75,4.25,3.5,4,3.5,4.75,4.5,4.25,3.5,3.5,5,5.33,2.5,3.5,3.25,4,2.75
