location,ID,Folder,Image_name,Repeat measure?,Year taken,DOB,Age at photo,Sex,width,height,fHWR,Notes,A,B,C,D,E,F,G
Edinburgh,Emma,Edinburgh New,Emma.JPG,Y,2010,15/08/1981,29,0,152,123,1.235772358,,"137, 100","133, 282",,,,,
Edinburgh,Emma,Edinburgh New,Emma Sept 2013JN.jpg,N,2013,15/08/1981,32,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Eva,Edinburgh New,Holland - Eva 1.JPG,N,2010,9/12/1980,30,0,165,117,1.41025641,,"1478, 621","1518, 826",,,,,
Edinburgh,Eva,Edinburgh New,Holland - Eva 2.JPG,N,2010,9/12/1980,30,0,198,130,1.523076923,,"1176, 550","1203, 745",,,,,
Edinburgh,Eva,Edinburgh New,Evaapril2011.jpg,N,2011,9/12/1980,31,0,81,49,1.653061224,,"266, 96.7","266.7, 185.3",,,,,
Edinburgh,Eva,Roslyn photos,Eva 04.2012.JPG,N,2012,9/12/1980,32,0,544,353,1.541076487,,"1272, 440","1304, 1086",,,,,
Edinburgh,Eva,Edinburgh New,Eva Sept2013JN.jpg,N,2013,9/12/1980,33,0,180,124,1.451612903,,"1027, 679","1048, 901",,,,,
Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.41,N,2013,9/12/1980,33,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.42,N,2013,9/12/1980,33,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.43,N,2013,9/12/1980,33,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Frek,Edinburgh New,Frek2010.jpg,N,2010,21/10/1993,17,1,N/A,N/A,N/A,,,,,,,,
Edinburgh,Frek,Edinburgh New,Holland - Frek 1.JPG,N,2010,21/10/1993,17,1,271,197,1.375634518,,"1167, 1003","1114, 1321","1110, 1031","1232, 1048","1044, 1039","1301, 1074","1115, 1251"
Edinburgh,Frek,Edinburgh New,Holland - Frek 2.JPG,N,2010,21/10/1993,17,1,377,258,1.46124031,,"2186, 568","2204, 1035",,,,,
Edinburgh,Frek,Edinburgh New,Frek June 2012RT.JPG,N,2012,21/10/1993,19,1,469,325,1.443076923,,"394, 314","392, 818",,,,,
Edinburgh,Frek,Vanessa photos 27.11.13 -Frek,2013-11-27 14.30.04,N,2013,21/10/1993,20,1,N/A,N/A,N/A,,,,,,,,
Edinburgh,Frek,Vanessa photos 27.11.13 -Frek,2013-11-27 14.30.33,N,2013,21/10/1993,20,1,678,532,1.27443609,,X,,,,,,
Edinburgh,Frek,Vanessa photos 27.11.13 -Frek,2013-11-27 14.30.59,N,2013,21/10/1993,20,1,650,518,1.254826255,,"1173, 588","1257, 1350",,,,,
Edinburgh,Heleen,Edinburgh New,Heleen2010.jpg,N,2010,16/04/1991,19,0,94,70,1.342857143,,"200, 122","208, 236",,,,,
Edinburgh,Heleen,Edinburgh New,Holland - Heleen 1.JPG,N,2010,16/04/1991,19,0,231,151,1.529801325,,"1150, 248","1152, 518",,,,,
Edinburgh,Heleen,Vanessa photos 27.11.14,Heleen,N,2013,16/04/1991,22,0,468,276,1.695652174,,"900, 717","1296, 1083",,,,,
Edinburgh,Kilimi,Edinburgh New,Edinburgh - Kilimi 1 2.tem,Y,2009,20/02/1993,16,0,243,156,1.557692308,what is this image (name)?,X,,,,,,
Edinburgh,Kilimi,Edinburgh New,Edinburgh - Kilimi 2.tem,N,2009,20/02/1993,16,0,267,148,1.804054054,,"558, 159","597, 444",,,,,
Edinburgh,Kilimi,Edinburgh New,Kilimi (small).JPG,Y,2009,20/02/1993,16,0,125,77,1.623376623,,"117, 77","106, 210",,,,,
Edinburgh,Kilimi,Edinburgh New,Edinburgh - Kilimi 3.tem,N,2010,20/02/1993,17,0,599,373,1.605898123,,"1964, 612","1968, 1252",,,,,
Edinburgh,Kilimi,Edinburgh New,Kilimi face P1120510.JPG,N,2010,20/02/1993,17,0,548,365,1.501369863,,"1760, 716","1804, 1332",,,,,
Edinburgh,Kilimi,Edinburgh New,kilimi oct2013b.JPG,N,2013,20/02/1993,20,0,329,193,1.704663212,,"412.7, 354","488, 707.3","343.3, 390.7","493.3, 369.3","302, 416","534, 375.3","459.3, 596.7"
Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.19,N,2013,20/02/1993,20,0,648,347,1.867435159,,"1506, 453","1551, 1236",,,,,
Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.22-1,N,2013,20/02/1993,20,0,623,325,1.916923077,,"1521, 477","1563, 1260",,,,,
Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.22-2,N,2013,20/02/1993,20,0,659,351,1.877492877,,"1551, 504","1605, 1275",,,,,
Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.24,N,2013,20/02/1993,20,0,632,333,1.897897898,,"1413, 450","1506, 1254",,,,,
Edinburgh,Kindia,Edinburgh New,Edinburgh - Kindia 2.jpg,Y,2009,5/2/1997,12,1,612,420,1.457142857,,"1522, 358","1532, 1062",,,,,
Edinburgh,Kindia,Edinburgh New,Kindia (small).JPG,N,2009,5/2/1997,12,1,597,408,1.463235294,,"582, 354","592, 1062",,,,,
Edinburgh,Kindia,Edinburgh New,Kindia1.JPG,Y,2009,5/2/1997,12,1,607,401,1.513715711,,"1524, 358","1534, 1060",,,,,
Edinburgh,Kindia,Edinburgh New,Edinburgh - Kinda (left) and Qafzeh (middle).tem,N,2010,5/2/1997,13,1,325,239,1.359832636,,"766, 534","758, 912",,,,,
Edinburgh,Kindia,Edinburgh New,Kindia OK.JPG,N,2010,5/2/1997,13,1,160,118,1.355932203,,"121, 95","118, 284",,,,,
Edinburgh,Kindia,Edinburgh New,Kindia Feb 2013RT.JPG,N,2013,5/2/1997,16,1,N/A,N/A,N/A,,,,,,,,
Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.27.38-1,N,2013,5/2/1997,16,1,513,388,1.322164948,,"922, 492","1222, 1058",,,,,
Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.27.38-3,N,2013,5/2/1997,16,1,524,366,1.431693989,,"846, 510","1096, 1096",,,,,
Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.28.00,N,2013,5/2/1997,16,1,661,641,1.031201248,,"1065, 513","1254, 1317",,,,,
Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.28.03,N,2013,5/2/1997,16,1,686,503,1.363817097,,"1029, 414","1263, 1239",,,,,
Edinburgh,Lianne,Edinburgh New,Holland - Lianne 1.JPG,N,2010,14/02/1989,21,0,680,414,1.642512077,,"2230, 816","2212, 1470",,,,,
Edinburgh,Lianne,Edinburgh New,Holland - Lianne 2.JPG,N,2012,14/02/1989,23,0,309,203,1.522167488,,"1136, 1206","1034, 1530",,,,,
Edinburgh,Lianne,Roslyn photos,Lianne 06.2012.JPG,N,2012,14/02/1989,23,0,816,549,1.486338798,,"1067, 605","1171.5, 1490.5",,,,,
Edinburgh,Lianne,Edinburgh New,Lianne.jpg,N,2013,14/02/1989,24,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.23-2,N,2013,14/02/1989,24,0,544,414,1.314009662,,"960, 516","942, 1197",,,,,
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.23-3,N,2013,14/02/1989,24,0,564,420,1.342857143,,"900, 498","897, 1176",,,,,
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.24-1,N,2013,14/02/1989,24,0,538,395,1.362025316,,"990, 366","1021.5, 1033.5","870, 450","1108.5, 450","736.5, 501","1216.5, 486","1017, 874.5"
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.24-2,N,2013,14/02/1989,24,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.56.34,N,2013,14/02/1989,24,0,454,245,1.853061224,,"1145, 424","1148, 940","1059, 504","1251, 500","952, 526","1337, 525","1158, 767"
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.56.41-1,N,2013,14/02/1989,24,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.56.41-2,N,2013,14/02/1989,24,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Liberius,Edinburgh New,Liberius P1000774.JPG,N,2008,20/01/1999,9,1,386,241,1.601659751,,"1796, 576","1804, 980",,,,,
Edinburgh,Liberius,Edinburgh New,Liberius P1050438.JPG,N,2009,20/01/1999,10,1,927,661,1.402420575,,"1104, 342","978, 1413",,,,,
Edinburgh,Liberius,Edinburgh New,Liberius P1050439.JPG,N,2009,20/01/1999,10,1,889,681,1.305433186,,"987, 432","1056, 1506",,,,,
Edinburgh,Liberius,Edinburgh New,Liberius P1050441.JPG,N,2009,20/01/1999,10,1,941,709,1.327221439,,"1080, 447","1155, 1509",,,,,
Edinburgh,Liberius,Edinburgh New,Liberius P1050446.JPG,N,2009,20/01/1999,10,1,918,697,1.317073171,,"1257, 447","1305, 1500",,,,,
Edinburgh,Liberius,Edinburgh New,Liberius P1050449.JPG,N,2009,20/01/1999,10,1,962,632,1.522151899,,"1242, 258","1169, 1386",,,,,
Edinburgh,Liberius,Edinburgh New,Edinburgh - Liberius 4.JPG,N,2010,20/01/1999,11,1,399,283,1.409893993,,"2362, 298","2406, 712",,,,,
Edinburgh,Liberius,Edinburgh New,Liberius.JPG,N,2010,20/01/1999,11,1,173,116,1.49137931,,"138.5, 114","156, 281.5","107, 137","174, 131.5","81.5, 144","201, 133.5","155.5, 252.5"
Edinburgh,Liberius,Katie photos,Liberius 1.jpg,N,2012,20/01/1999,13,1,479,350,1.368571429,,"396, 380","394, 920",,,,,
Edinburgh,Liberius,Roslyn photos,Liberius 01.2012.jpg,N,2012,20/01/1999,13,1,517,357,1.448179272,,"1312, 1110","1286, 1662",,,,,
Edinburgh,Louis,Edinburgh New,Edinburgh - Louis 2.JPG,N,2008,1/1/1973,35,1,345,231,1.493506494,,"1990, 450","2042, 2806",,,,,
Edinburgh,Louis,Edinburgh New,Edinburgh - Louis 1 (a bit fuzzy).JPG,N,2008,1/1/1973,35,1,400,220,1.818181818,,"1790, 514","1764, 916",,,,,
Edinburgh,Louis,Edinburgh New,Louis (small).JPG,N,2009,1/1/1973,36,1,310,198,1.565656566,,"217.5, 199.5","262.5, 523.5",,,,,
Edinburgh,Louis,Edinburgh New,Louis P1020290.JPG,N,2009,1/1/1973,36,1,470,247,1.902834008,,"1977, 302","1739, 752","1889, 354","2058, 367","1813, 374","2157, 398","1935, 615"
Edinburgh,Louis,Edinburgh New,Louis2.JPG,N,2009,1/1/1973,36,1,458,309,1.482200647,,"1596, 444","1660, 942",,,,,
Edinburgh,Louis,Edinburgh New,Louis (from Alaina).JPG,N,2010,1/1/1973,37,1,191,96,1.989583333,,"136, 84","174, 265",,,,,
Edinburgh,Louis,Roslyn photos,Louis body id 2012.JPG,N,2012,1/1/1973,39,1,362,229,1.580786026,,"716, 296","730, 700",,,,,
Edinburgh,Louis,Vanessa photos 27.11.13 -Louis,2013-11-27 14.18.48,N,2013,1/1/1973,40,1,816,534,1.528089888,,"1407, 213","1593, 1137",,,,,
Edinburgh,Louis,Vanessa photos 27.11.13 -Louis,Louis,N,2013,1/1/1973,40,1,242,172,1.406976744,,"1256, 632","1288, 960",,,,,
Edinburgh,Lucy,Edinburgh New,Lucy P1000312.JPG,N,2008,11/11/1976,32,0,363,240,1.5125,,"1610, 530","1602, 922",,,,,
Edinburgh,Lucy,Edinburgh New,Edinburgh - Lucy 2.JPG,N,2009,11/11/1976,33,0,379,234,1.61965812,,"2218, 658","2300, 1066","2148, 713","2303, 691","2058, 752","2391, 706","2278, 936"
Edinburgh,Lucy,Edinburgh New,Edinburgh - Lucy 1.JPG,N,2010,11/11/1976,34,0,89,58,1.534482759,,"160, 74","158, 172",,,,,
Edinburgh,Lucy,Edinburgh New,Lucy 2010 (pic by Sarah Romer).JPG,N,2010,11/11/1976,34,0,1714,1185,1.446413502,,"1232, 1440","1072, 3440",,,,,
Edinburgh,Lucy,Roslyn photos,Lucy 04.2012.JPG,N,2012,11/11/1976,36,0,434,262,1.65648855,,"454, 372","538, 828",,,,,
Edinburgh,Lucy,Roslyn photos,Lucy 06.2012.JPG,N,2012,11/11/1976,36,0,612,386,1.585492228,,X,,,,,,
Edinburgh,Lyndsey,Roslyn photos,Lyndsey 09.2012.JPG,Y,2011,24/12/1983,28,0,586,322,1.819875776,,"1206, 1180","1176, 1726",,,,,
Edinburgh,Lyndsey,Roslyn photos,Lyndsey face id 2012.JPG,Y,2011,24/12/1983,28,0,596,331,1.80060423,,"446, 380","426, 920",,,,,
Edinburgh,Paul,Edinburgh New,Holland - Paul (left) and Edith (right).JPG,N,2010,8/5/1993,17,1,351,228,1.539473684,,"1596, 689","1570, 1035","1532, 723","1658, 735","1445, 733","1730, 756","1579, 963"
Edinburgh,Paul,Edinburgh New,Holland - Paul (left) and Rene (right).JPG,N,2010,8/5/1993,17,1,381,245,1.555102041,,"1396, 558","1418, 946",,,,,
Edinburgh,Paul,Edinburgh New,Holland - Paul 1.JPG,N,2010,8/5/1993,17,1,254,160,1.5875,,"1566, 488","1532, 758",,,,,
Edinburgh,Paul,Roslyn photos,Paul 04.2012.JPG,N,2012,8/5/1993,19,1,850,588,1.445578231,,"1520, 1328","1560, 2348",,,,,
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.11.59,N,2013,8/5/1993,20,1,483,358,1.349162011,,"1227, 618","1308, 1176",,,,,
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.02,N,2013,8/5/1993,20,1,564,413,1.365617433,,"1236, 474","1293, 1170",,,,,
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.06,N,2013,8/5/1993,20,1,575,420,1.369047619,,"1191, 633","1287, 1314",,,,,
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.13,N,2013,8/5/1993,20,1,572,414,1.381642512,,"1106, 496","1090, 1164","984, 570","1242, 576","842, 604","1348, 602","1068, 998"
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.14,N,2013,8/5/1993,20,1,634,416,1.524038462,,"1152, 492","1119, 1200",,,,,
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.15,N,2013,8/5/1993,20,1,622,427,1.456674473,,"1260, 531","1290, 1248",,,,,
Edinburgh,Pearl,Edinburgh New,Pearl2010.jpg,N,2010,13/03/1969,41,0,68,36,1.888888889,,"326, 128","343.3, 195.3",,,,,
Edinburgh,Pearl,Edinburgh New,Holland - Pearl 2.JPG,N,2012,13/03/1969,43,0,488,274,1.781021898,,"1034, 1186","1128, 1650",,,,,
Edinburgh,Pearl,Roslyn photos,Pearl 06.2012.JPG,N,2012,13/03/1969,43,0,230,130,1.769230769,,"200, 199","210, 428",,,,,
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.07.23,N,2013,13/03/1969,44,0,1033,466,2.216738197,,"783, 567","1587, 1233",,,,,
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.07.32,N,2013,13/03/1969,44,0,1010,469,2.153518124,,"1116, 447","1659, 1332",,,,,
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.07.53-2,N,2013,13/03/1969,44,0,870,421,2.066508314,,"1203, 486","1524, 1341",,,,,
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.11.34-1 (dragged),N,2013,13/03/1969,44,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.11.40-1-1 (dragged),N,2013,13/03/1969,44,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.11.42-1 (dragged),N,2013,13/03/1969,44,0,N/A,N/A,N/A,,,,,,,,
Edinburgh,Qafzeh,Edinburgh New,Qafzeh 1 DSCF1532.JPG,N,2008,31/03/1992,16,1,813,570,1.426315789,,"1077, 510","1113, 1356",,,,,
Edinburgh,Qafzeh,Edinburgh New,Qafzeh - face (with food).JPG,N,2009,31/03/1992,17,1,388,239,1.623430962,,X,,,,,,
Edinburgh,Qafzeh,Edinburgh New,Qafzeh P1000246.JPG,N,2009,31/03/1992,17,1,812,531,1.529190207,,"2512, 340","2644, 1164",,,,,
Edinburgh,Qafzeh,Edinburgh New,Edinburgh - Kinda (left) and Qafzeh (middle).tem,N,2010,31/03/1992,18,1,292,226,1.292035398,,"2168, 640","2226, 986",,,,,
Edinburgh,Qafzeh,Edinburgh New,Edinburgh - Qafzeh 3.JPG,N,2010,31/03/1992,18,1,358,260,1.376923077,,"1810, 456","1858, 854",,,,,
Edinburgh,Qafzeh,Edinburgh New,Qafzeh face P1120507.JPG,N,2010,31/03/1992,18,1,623,441,1.412698413,,"1932, 568","1968, 1300",,,,,
Edinburgh,Qafzeh,Edinburgh New,Qafzeh.JPG,N,2010,31/03/1992,18,1,168,116,1.448275862,,"149, 95","184, 271",,,,,
Edinburgh,Qafzeh,Roslyn photos,Qafzeh 04.2012.JPG,N,2012,31/03/1992,20,1,990,610,1.62295082,,"1480, 1424","1540, 2420",,,,,
Edinburgh,Rene,Edinburgh New,Holland - Paul (left) and Rene (right).JPG,N,2010,21/02/1993,17,1,408,260,1.569230769,,"2000, 718","2008, 1126",,,,,
Edinburgh,Rene,Edinburgh New,Holland - Rene 1.JPG,N,2010,21/02/1993,17,1,428,254,1.68503937,,"2054, 702","2040, 1132",,,,,
Edinburgh,Rene,Edinburgh New,Rene Nov 2011RT.JPG,N,2011,21/02/1993,18,1,280,194,1.443298969,,"301.5, 276","388.5, 574.5",,,,,
Edinburgh,Rene,Edinburgh New,Holland - Rene 2.JPG,N,2012,21/02/1993,19,1,N/A,N/A,N/A,,,,,,,,
Edinburgh,Rene,Vanessa photos 27.11.13 -Rene,2013-11-27 13.56.15,N,2013,21/02/1993,20,1,591,460,1.284782609,,"1167, 438","1104, 1209",,,,,
Edinburgh,Rene,Vanessa photos 27.11.13 -Rene,2013-11-27 13.57.01,N,2013,21/02/1993,20,1,562,385,1.45974026,,"1300, 632","1436, 1203","1231, 726","1425, 665","1119, 770","1539, 661","1416, 1110"
Edinburgh,Rene,Vanessa photos 27.11.13 -Rene,2013-11-27 13.57.07,N,2013,21/02/1993,20,1,851,582,1.462199313,,"1359, 546","1554, 1386",,,,,
Edinburgh,Sophie,Edinburgh New,Sophie2010.jpg,N,2010,22/11/1981,29,0,103,48,2.145833333,,"297.3, 101.3","289.3, 205.3",,,,,
Edinburgh,Sophie,Edinburgh New,Holland - Sophie 1.JPG,N,2010,22/11/1981,29,0,492,267,1.842696629,,"1910, 532","2012, 1010",,,,,
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,2013-11-27 14.32.43,N,2013,22/11/1981,32,0,615,419,1.46778043,,"1080, 648","1128, 1431",,,,,
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,2013-11-27 14.32.47,N,2013,22/11/1981,32,0,678,434,1.562211982,,"1080, 669","1086, 1437",,,,,
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,2013-11-27 14.37.34-1,N,2013,22/11/1981,32,0,802,488,1.643442623,,"1372, 418","1364, 1282","1212, 522","1548, 524","1026, 568","1686, 568","1376, 1048"
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,2013-11-27 14.37.34-2,N,2013,22/11/1981,32,0,802,472,1.699152542,,"1353, 414","1347, 1317",,,,,
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,Sophie,N,2013,22/11/1981,32,0,N/A,N/A,N/A,,,,,,,,
Japan,Akira,Not online,akira20030324_1,N,2003,1/1/1980,23,1,170,126,1.349206349,,"530, 422","504, 652",,,,,
Japan,Akira,Not online,akira20030324_2,N,2003,1/1/1980,23,1,170,116,1.465517241,,"388, 416","396, 616",,,,,
Japan,Aruku,Online images,Aruku.20020618_1,N,2002,12/7/1989,13,1,83,57,1.456140351,,"323.3, 106","311.3, 201.3",,,,,
Japan,Aruku,Online images,Aruku.20020618_2,N,2002,12/7/1989,13,1,82,48,1.708333333,,"306.7, 98.7","295.3, 186",,,,,
Japan,Aruku,Online images,Aruku.20020618_3,N,2002,12/7/1989,13,1,84,45,1.866666667,,"301.3, 80.7","288, 166",,,,,
Japan,Aruku,Online images,Aruku.20020618_4,N,2002,12/7/1989,13,1,92,48,1.916666667,,"263.3, 100","262.7, 199.3",,,,,
Japan,Ayumu,Not online,Ayumu.20001211_26,N,2000,4/24/2000,0,1,N/A,N/A,N/A,,,,,,,,
Japan,Ayumu,Not online,Ayumu.20060611_ 019,N,2006,4/24/2000,6,1,237,153,1.549019608,,"596, 420","608, 692",,,,,
Japan,Ayumu,Not online,Ayumu.20080501_007,N,2008,4/24/2000,8,1,360,162,2.222222222,,"846, 398","834, 772",,,,,
Japan,Ayumu,Online images,Ayumu.20000723,N,2000,4/24/2000,0,1,N/A,N/A,N/A,,,,,,,,
Japan,Black,Online images,Black.20030205,N,2003,2/21/1971,32,1,141,81,1.740740741,,"245, 95","253, 265",,,,,
Japan,Chiko,Online images,Chiko.20031029,N,2003,6/26/1989,14,0,223,116,1.922413793,,"280.5, 117","270, 366",,,,,
Japan,Chloe,Online images,Chloe20050407,N,2005,12/12/1980,25,0,123,72,1.708333333,,"298, 85","293, 214",,,,,
Japan,Cleo,Not online,Cleo.20050414,N,2005,6/19/2000,5,0,185,104,1.778846154,,"792, 237","804, 438",,,,,
Japan,Cleo,Not online,Cleo.20060611???? 024,N,2006,6/19/2000,6,0,210,137,1.532846715,,"884, 398","776, 593","836, 407","907, 448","783, 389","936, 476","797, 552"
Japan,Cleo,Not online,Cleo.20060611???? 036,N,2006,6/19/2000,6,0,245,145,1.689655172,,"796, 408","777, 653",,,,,
Japan,Cleo,Not online,Cleo.20060611???? 063,N,2006,6/19/2000,6,0,471,266,1.770676692,,"834, 224","854, 806",,,,,
Japan,Cleo,Not online,Cleo.20060611???? 072,N,2006,6/19/2000,6,0,444,298,1.489932886,,"718, 378","756, 914",,,,,
Japan,Cleo,Not online,Cleo.20060611???? 084,N,2006,6/19/2000,6,0,190,108,1.759259259,,"634, 725","639, 932",,,,,
Japan,Cleo,Online images,Cleo.20050409,N,2005,6/19/2000,5,0,78,34,2.294117647,,"247.3, 129.3","281.3, 201.3",,,,,
Japan,Cleo,Online images,Cleo.20060611,N,2006,6/19/2000,6,0,N/A,N/A,N/A,,,,,,,,
