,location,ID,Folder,Image_name,Repeat.measure.,Year.taken,DOB,Age.at.photo,Sex,width,height,fHWR,Notes,A,B,C,D,E,F,G,,
103,Edinburgh,Lucy,Roslyn photos,Lucy 06.2012.JPG,N,2012,11/11/1976,36,0,612,386,1.585492228,,"1218.7,562.0","1216.0,1186.0",,,,,"1230.0,1031.3",,
104,Edinburgh,Lyndsey,Roslyn photos,Lyndsey 09.2012.JPG,Y,2011,12/24/1983,28,0,586,322,1.819875776,,"1198.0,1206.7","1176.7,1738.0",,,,,"1186.0,1609.3",,
105,Edinburgh,Lyndsey,Roslyn photos,Lyndsey face id 2012.JPG,Y,2011,12/24/1983,28,0,596,331,1.80060423,,"446.0,408.0","420.7,931.3",,,,,"425.3,808.7",,
106,Edinburgh,Paul,Edinburgh New,Holland - Paul (left) and Edith (right).JPG,N,2010,5/8/1993,17,1,351,228,1.539473684,,"1596, 689","1570, 1035","1532, 723","1658, 735","1445, 733","1730, 756","1579, 963",,
107,Edinburgh,Paul,Edinburgh New,Holland - Paul (left) and Rene (right).JPG,N,2010,5/8/1993,17,1,381,245,1.555102041,,"1391.5,570.5","1428.5,942.5",,,,,"1416.5,864.5",,
108,Edinburgh,Paul,Edinburgh New,Holland - Paul 1.JPG,N,2010,5/8/1993,17,1,254,160,1.5875,,"1562.8,482.8","1537.2,771.2",,,,,"1540.4,685.6",,
109,Edinburgh,Paul,Roslyn photos,Paul 04.2012.JPG,N,2012,5/8/1993,19,1,850,588,1.445578231,,"1526.0,1348.0","1561.0,2348.0",,,,,"1532.0,2055.0",,
110,Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.11.59,N,2013,5/8/1993,20,1,483,358,1.349162011,,"1233.3,643.3","1320.0,1176.0",,,,,"1294.0,1048.0",,
111,Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.02,N,2013,5/8/1993,20,1,564,413,1.365617433,,"1231.0,507.0","1258.0,1172.0",,,,,"1265.0,1013.0",,
112,Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.06,N,2013,5/8/1993,20,1,575,420,1.369047619,,"1194.0,664.0","1298.0,1317.0",,,,,"1278.0,1152.0",,
113,Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.13,N,2013,5/8/1993,20,1,572,414,1.381642512,,"1106, 496","1090, 1164","984, 570","1242, 576","842, 604","1348, 602","1068, 998",,
114,Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.14,N,2013,5/8/1993,20,1,634,416,1.524038462,,"1152.0,524.0","1131.0,1199.0",,,,,"1136.0,1023.0",,
115,Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.15,N,2013,5/8/1993,20,1,622,427,1.456674473,,"1257.0,563.0","1292.0,1249.0",,,,,"1284.0,1073.0",,
116,Edinburgh,Pearl,Edinburgh New,Pearl2010.jpg,N,2010,3/13/1969,41,0,68,36,1.888888889,,"326.6,130.0","345.6,199.6",,,,,"336.0,177.5",,
117,Edinburgh,Pearl,Edinburgh New,Holland - Pearl 2.JPG,N,2012,3/13/1969,43,0,488,274,1.781021898,,"1034.7,1206.7","1144.0,1663.3",,,,,"1079.3,1546.0",,
118,Edinburgh,Pearl,Roslyn photos,Pearl 06.2012.JPG,N,2012,3/13/1969,43,0,230,130,1.769230769,,"200.8,206.8","212.8,431.2",,,,,"207.2,372.0",,
119,Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.07.23,N,2013,3/13/1969,44,0,1033,466,2.216738197,,"794.0,586.0","1556.0,1266.0",,,,,"1250.0,1058.0",,
120,Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.07.32,N,2013,3/13/1969,44,0,1010,469,2.153518124,,"1120.0,462.0","1568.0,1366.0",,,,,"1390.0,1074.0",,
121,Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.07.53-2,N,2013,3/13/1969,44,0,870,421,2.066508314,,"1219.0,506.0","1460.0,1355.0",,,,,"1362.0,1070.0",,
122,Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.11.34-1 (dragged),N,2013,3/13/1969,44,0,N/A,N/A,N/A,,"1102.0,535.0","1147.0,1492.0",,,,,"1106.0,1145.0",,
123,Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.11.40-1-1 (dragged),N,2013,3/13/1969,44,0,N/A,N/A,N/A,,"1067.0,512.0","1145.0,1470.0",,,,,"1071.0,1102.0",,
124,Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.11.42-1 (dragged),N,2013,3/13/1969,44,0,N/A,N/A,N/A,,"1015.0,539.0","994.0,1467.0",,,,,"946.0,1086.0",,
125,Edinburgh,Qafzeh,Edinburgh New,Qafzeh 1 DSCF1532.JPG,N,2008,3/31/1992,16,1,813,570,1.426315789,,"1084.0,576.0","1113.0,1367.0",,,,,"1096.0,1237.0",,
126,Edinburgh,Qafzeh,Edinburgh New,Qafzeh - face (with food).JPG,N,2009,3/31/1992,17,1,388,239,1.623430962,,"2252.0,458.0","2295.0,808.0",,,,,"2293.0,734.0",,
127,Edinburgh,Qafzeh,Edinburgh New,Qafzeh P1000246.JPG,N,2009,3/31/1992,17,1,812,531,1.529190207,,"2526.0,371.0","2632.0,1180.0",,,,,"2628.0,1009.0",,
128,Edinburgh,Qafzeh,Edinburgh New,Edinburgh - Kinda (left) and Qafzeh (middle).tem,N,2010,3/31/1992,18,1,292,226,1.292035398,,"2171.0,652.0","2218.0,981.0",,,,,"2215.0,918.0",,
129,Edinburgh,Qafzeh,Edinburgh New,Edinburgh - Qafzeh 3.JPG,N,2010,3/31/1992,18,1,358,260,1.376923077,,"1807.0,468.0","1849.0,851.0",,,,,"1844.0,772.0",,
130,Edinburgh,Qafzeh,Edinburgh New,Qafzeh face P1120507.JPG,N,2010,3/31/1992,18,1,623,441,1.412698413,,"1939.0,600.0","1985.0,1312.0",,,,,"1954.0,1148.0",,
131,Edinburgh,Qafzeh,Edinburgh New,Qafzeh.JPG,N,2010,3/31/1992,18,1,168,116,1.448275862,,"1492.0,1452.0 ","1539.0,2443.0",,,,,"1525.0,2218.0",,
132,Edinburgh,Qafzeh,Roslyn photos,Qafzeh 04.2012.JPG,N,2012,3/31/1992,20,1,990,610,1.62295082,,"1484.0,1471.0","1532.0,2423.0",,,,,"1518.0,2217.0",,
133,Edinburgh,Rene,Edinburgh New,Holland - Paul (left) and Rene (right).JPG,N,2010,2/21/1993,17,1,408,260,1.569230769,,"2003.0,736.0","2000.0,1133.0",,,,,"2006.0,1047.0",,
134,Edinburgh,Rene,Edinburgh New,Holland - Rene 1.JPG,N,2010,2/21/1993,17,1,428,254,1.68503937,,"2054.0,719.0","2042.0,1125.0",,,,,"2044.0,1026.0",,
