Name,Subspecies,DOB,Birthsite,Field ,GAIN ID
Tulik,verus,05/01/1980,captive born,,
Kakaichu,verus,12/11/1980,captive born,,
Shohshon,verus,03/26/81,captive born,,
Muffin,troglodytes,03/31/81,captive born,,
Kalioni   ,troglodytes,10/04/1981,captive born,,
Lulu,troglodytes,01/16/82,captive born,,
Maishpa,troglodytes,02/25/82,captive born,,
Bahn,verus,03/02/1982,captive born,,
Nahagio,schweinfurthii,03/27/82,captive born,,
Kehg      ,verus,04/30/82,captive born,,
Chechekul,unknown,05/03/1982,captive born,,
Kudzu     ,troglodytes,12/07/1982,captive born,,
Punch,troglodytes,12/28/82,captive born,,
Michon,troglodytes,12/29/82,captive born,,
Nowi,verus,05/12/1983,captive born,,
Doyle,troglodytes,05/22/83,captive born,,
Gisoki,verus,10/18/83,captive born,,
Nina,troglodytes,12/04/1983,captive born,,
Kukui     ,verus,04/24/84,captive born,,
Staun,verus,05/27/84,captive born,,
Misty,troglodytes,06/17/84,captive born,,
Coco,troglodytes,08/20/84,captive born,,
Mandy,troglodytes,09/08/1984,captive born,,
Samson    ,troglodytes,09/14/84,captive born,,
Alpha,troglodytes,11/08/1984,captive born,,
Oki,verus,11/13/84,captive born,,
Emily,schweinfurthii,11/20/84,captive born,,
Eniga,troglodytes,04/30/85,captive born,,
Dahpi,verus,08/03/1985,captive born,,
Bischk,troglodytes,12/07/1985,captive born,,
Alex,troglodytes,12/31/85,captive born,,
Tina,troglodytes,01/24/86,captive born,,
Pahstihl,verus,02/24/86,captive born,,
Eesha,troglodytes,03/21/86,captive born,,
Reeuh,verus,10/29/86,captive born,,
Armond,troglodytes,11/04/1986,captive born,,
Nahko,verus,11/15/86,captive born,,
Oreo,troglodytes,01/27/87,captive born,,
Maxi,troglodytes,07/20/87,captive born,,
Cesar,troglodytes,10/14/87,captive born,,
Pecos,troglodytes,02/28/88,captive born,,
Jana,troglodytes,03/16/88,captive born,,
Nick,troglodytes,04/07/1988,captive born,,
Sophie2,troglodytes,05/26/88,captive born,,
Kiht,unknown,08/06/1988,captive born,,
Chinook,troglodytes,08/25/88,captive born,,
Mahsho,verus,10/26/88,captive born,,
Sparky,troglodytes,12/02/1988,captive born,,
Kareem    ,troglodytes,01/04/1989,captive born,,
Allie,troglodytes,04/24/89,captive born,,
Cassie,troglodytes,06/03/1989,captive born,,
Tohbi,verus,06/14/89,captive born,,
Oscar,troglodytes,07/13/89,captive born,,
Radar,troglodytes,01/14/90,captive born,,
Cody,troglodytes,02/05/1990,captive born,,
Josie,troglodytes,03/04/1990,captive born,,
Bart,troglodytes,03/23/90,captive born,,
Shahee,schweinfurthii,05/23/90,captive born,,
Suhna,troglodytes,06/04/1990,captive born,,
Mahi      ,verus,06/10/1990,captive born,,
Jake,troglodytes,06/21/90,captive born,,
Nahja,verus,07/04/1990,captive born,,
Hobber,troglodytes,07/17/90,captive born,,
Judumi,unknown,08/26/90,captive born,,
Kaya      ,troglodytes,09/21/90,captive born,,
Huey,troglodytes,11/12/1990,captive born,,
Cheopi,verus,12/09/1990,captive born,,
Hannah,troglodytes,12/12/1990,captive born,,
Tamblo,verus,12/23/90,captive born,,
Shakal,verus,01/21/91,captive born,,
Kampani,troglodytes,01/28/91,captive born,,
Becca,troglodytes,02/11/1991,captive born,,
Cecelia,troglodytes,02/24/91,captive born,,
Keno      ,troglodytes,06/13/91,captive born,,
Tabu,troglodytes,08/25/91,captive born,,
Monique,troglodytes,08/30/91,captive born,,
Marcus,troglodytes,11/18/91,captive born,,
HA'AKID   ,verus,12/30/91,captive born,,
Austin,troglodytes,01/05/1992,captive born,,
Krog      ,troglodytes,03/08/1992,captive born,,
Magic     ,troglodytes,07/24/92,captive born,,
Gracie,troglodytes,09/04/1992,captive born,,
Tasha,troglodytes,11/18/92,captive born,,
Pimach,troglodytes,11/28/92,captive born,,
Martin,troglodytes,12/21/92,captive born,,
Jessie,troglodytes,01/19/93,captive born,,
Hodari,troglodytes,04/02/1993,captive born,,
Bo2,troglodytes,05/16/93,captive born,,
Billy,troglodytes,06/16/93,captive born,,
Totoni,unknown,01/29/94,captive born,,
Piplin,verus,05/30/94,captive born,,
Beta,troglodytes,06/23/94,captive born,,
Huhni,troglodytes,08/16/94,captive born,,
Ahni      ,verus,01/22/95,captive born,,
Bria,troglodytes,08/31/95,captive born,,
Ehsto,verus,10/06/1995,captive born,,
Rusty,troglodytes,10/17/95,captive born,,
Cybill,troglodytes,11/27/95,captive born,,
Chester ,troglodytes,02/02/1996,captive born,,
Melissa,troglodytes,04/15/96,captive born,,
Lexus     ,troglodytes,02/23/98,captive born,,
Lyle      ,troglodytes,11/07/1998,captive born,,
Xena,troglodytes,03/10/1999,captive born,,
Sindee,troglodytes,06/19/99,captive born,,
Taffy,troglodytes,08/24/99,captive born,,
Gage,troglodytes,02/28/01,captive born,,
Zoe,troglodytes,04/13/02,captive born,,
David,hybrid,,,,
Louis,verus,,,,
Qafzeh,hybrid,,,,
Kindia,hybrid,,,,
Liberius,hybrid,,,,
Rene,verus,,,,
Paul,verus,,,,
Frek,verus,,,,
Cindy,troglodytes,,,,
Lucy,hybrid,,,,
Emma,ellioti,,,,
Kilimi,hybrid,,,,
Pearl,verus,,,,
Sophie,verus,,,,
Lianne,verus,,,,
Heleen,verus,,,,
Eva,hybrid,,,,
Edith,hybrid,,,,
Velu,verus,,,,
Bram,verus,,,,
Lyndsey,hybrid,,,,
Claus,hybrid,,,,
Ricky,verus,,,,
Akira,verus,01/01/1980,,JMC,306
Aruku,verus,12/07/1989,,Sanwa,358
Ayumu,verus,4/24/2000,,PRI,608
Black,verus,2/21/1971,,Sanwa,110
Chiko,verus,6/26/1989,,Sanwa,340
Chloe,verus,12/12/1980,,PRI,441
Cleo,verus,6/19/2000,,PRI,609
Conan,hybrid,03/12/1997,,Sanwa,567
Cookie,verus,02/12/1991,,Sanwa,392 Cooky
Daio,verus,5/17/1986,,Sanwa,262Daiou
Gon,verus,01/01/1966,,PRI,437
Hope,verus,06/04/1990,,Sanwa,372
Ichigo,verus,01/01/1980,,Itouzu,214
James,verus, 05/09/1993,,Sanwa,499
Kanae,verus,2/21/1979,,Sanwa,204
Kanao,verus,6/13/1990,,Sanwa,375
Kazuma,verus,7/21/1999,,Sanwa,608
Kazumi,verus,12/19/1986,,Sanwa,287
Kazuya,verus,9/18/1987,,Sanwa,309
Koiko,verus,2/21/1977,,Sanwa,281
Konatsu,schweinfurthii,2/21/1977,,Sanwa,282
Kotaro,verus,5/15/1993,,Sanwa,500Kohtaroh
Kotetsu,hybrid,1/31/1990,,Sanwa,365
Lennon,verus,2/21/1970,,Sanwa,132
Maruku,verus,2/21/1980,,Kumamoto City Zoo,206
Miki,verus,2/21/1976,,Sanwa,158
Mimi,verus,01/01/1956,,Tama Zoo,7 Mimie
Miro,verus,2/21/1973,,Sanwa,303
Misaki,verus,1/14/1999,,GARI,593
Mizuki,verus,12/16/1996,,GARI,559
Mizuo,verus,11/02/1989,,Sanwa,351
Naoko,troglodytes,9/15/1981,,JMC,272
Naoya,verus,01/01/1981,,Sanwa,455
Nicky,verus,8/30/1988,,Sanwa,321
Niko,verus,2/21/1974,,Sanwa,131
Nono,verus,5/25/1992,,Sanwa,479
Nozomi,verus,2/21/1978,,Sanwa,211
Pal,verus,08/09/2000,,PRI,611
Pan,verus,12/07/1983,,PRI,440
Pendesa,hybrid,02/02/1977,,PRI,95 Pendensa
Puchi,verus,01/01/1966,,PRI,436
Reiko,verus,01/01/1966,,PRI,432
Reo,verus,5/18/1982,,PRI,439
Ryu,verus,2/20/1997,,Higashiyama Zoo,561
Sachi,verus,2/21/1977,,Sanwa,146
Sakura,verus,4/26/1991,,Sanwa,402
Sanzo,verus,2/21/1974,,Sanwa,276Sanzou
Satoru,verus,1/24/1995,,Sanwa,530
Shiomi,verus,01/01/1980,,Sanwa,454
Susumu,verus,2/21/1978,,Sanwa,159
Suzumi,verus,8/25/1996,,Sanwa,556
Takashi,verus,4/30/1988,,Sanwa,316
Tamae,verus,2/21/1979,,Sanwa,205
Tom,hybrid,8/26/1996,,Ikeda Zoo,557
Tsubaki,verus,2/17/1996,,GARI,551
Tsutomu,verus,01/01/1985,,JMC,238
Yamato,hybrid,06/02/1999,,Kouchi Zoo,596
Yoshizu,verus,8/29/1990,,Sanwa,381
Yotaro,verus,01/01/1963,,Kouchi Zoo,20
Yuko,verus,01/01/1978,,Sanwa,449
Yuri,verus,01/01/1971,,Higashiyama Zoo,74
Yukio,verus,,,,
Chester,unknown,,,,
Agatha,unknown,,,,
Barbie,unknown,,,,
Barney,unknown,,,,
Bjorn,unknown,,,,
Callie,unknown,,,,
Conan_yk,unknown,,,,
Cynthia,unknown,,,,
Duff,unknown,,,,
Fiona,unknown,,,,
Fritz,unknown,,,,
Georgia,unknown,,,,
Jimmy,unknown,,,,
Kengee,unknown,,,,
Lee,unknown,,,,
Les,unknown,,,,
Mason,unknown,,,,
Merv,unknown,,,,
Phineus,unknown,,,,
Rhett,unknown,,,,
Rowena,unknown,,,,
Sheila,unknown,,,,
