location,ID,Folder,Image_name,Repeat measure?,Year taken,DOB,Age at photo,Sex,width,height,fHWR,Notes,A,B,C,D,E,F,G,lower.face,face.height,lffh
Edinburgh,Emma,Edinburgh New,Edinburgh - Emma 1.tem,Y,2008,15/08/1981,27,0,102,65,1.569230769,,"210, 47.3","215.3, 160.7",,,,,,31.54171841,110.5739572,0.285254496
Edinburgh,Emma,Edinburgh New,Emma P1010080.JPG,Y,2008,15/08/1981,27,0,330,222,1.486486486,,"1593, 351","1604, 721",,,,,,102.4890238,363.0881436,0.282270368
Edinburgh,Emma,Edinburgh New,Edinburgh - Emma 2.tem,Y,2010,15/08/1981,29,0,348,251,1.386454183,,"2011, 487","2006, 858",,,,,,61.67860245,364.2502574,0.169330292
Edinburgh,Emma,Edinburgh New,Emma.JPG,Y,2010,15/08/1981,29,0,152,123,1.235772358,,"137, 100","133, 282",,,,,,30.99193443,176.6592766,0.175433382
Edinburgh,Emma,Edinburgh New,Emma Sept 2013JN.jpg,N,2013,15/08/1981,32,0,N/A,N/A,N/A,,,,,,,,,143.0873859,855.5325827,0.167249487
Edinburgh,Eva,Edinburgh New,Holland - Eva 1.JPG,N,2010,09/12/1980,30,0,165,117,1.41025641,,"1478, 621","1518, 826",,,,,,52.477519,189.6036128,0.27677489
Edinburgh,Eva,Edinburgh New,Holland - Eva 2.JPG,N,2010,09/12/1980,30,0,198,130,1.523076923,,"1176, 550","1203, 745",,,,,,39.47822184,192.3973493,0.20519109
Edinburgh,Eva,Edinburgh New,Evaapril2011.jpg,N,2011,09/12/1980,31,0,81,49,1.653061224,,"266, 96.7","266.7, 185.3",,,,,,26.20305326,86.06718306,0.304448831
Edinburgh,Eva,Roslyn photos,Eva 04.2012.JPG,N,2012,09/12/1980,32,0,544,353,1.541076487,,"1272, 440","1304, 1086",,,,,,181.0529757,11379.22522,0.015910835
Edinburgh,Eva,Edinburgh New,Eva Sept2013JN.jpg,N,2013,09/12/1980,33,0,180,124,1.451612903,,"1027, 679","1048, 901",,,,,,73.88294797,225.6641088,0.327402299
Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.41,N,2013,09/12/1980,33,0,N/A,N/A,N/A,,,,,,,,,203.9468558,617.184867,0.330446948
Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.42,N,2013,09/12/1980,33,0,N/A,N/A,N/A,,,,,,,,,168.0633512,619.478563,0.27129809
Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.43,N,2013,09/12/1980,33,0,N/A,N/A,N/A,,,,,,,,,178.2427839,623.9277041,0.285678585
Edinburgh,Frek,Edinburgh New,Frek2010.jpg,N,2010,21/10/1993,17,1,N/A,N/A,N/A,,,,,,,,,11.81058847,56.0650515,0.210658657
Edinburgh,Frek,Edinburgh New,Holland - Frek 1.JPG,N,2010,21/10/1993,17,1,271,197,1.375634518,,"1167, 1003","1114, 1321","1110, 1031","1232, 1048","1044, 1039","1301, 1074","1115, 1251",70.00714249,322.3864141,0.217152893
Edinburgh,Frek,Edinburgh New,Holland - Frek 2.JPG,N,2010,21/10/1993,17,1,377,258,1.46124031,,"2186, 568","2204, 1035",,,,,,147.4923727,458.4157502,0.321743685
Edinburgh,Frek,Edinburgh New,Frek June 2012RT.JPG,N,2012,21/10/1993,19,1,469,325,1.443076923,,"394, 314","392, 818",,,,,,121,493,0.245436105
Edinburgh,Frek,Vanessa photos 27.11.13 -Frek,2013-11-27 14.30.04,N,2013,21/10/1993,20,1,N/A,N/A,N/A,,,,,,,,,297.0189388,868.5142486,0.341985108
Edinburgh,Frek,Vanessa photos 27.11.13 -Frek,2013-11-27 14.30.33,N,2013,21/10/1993,20,1,678,532,1.27443609,,X,,,,,,,220.5810509,822.4110894,0.268212642
Edinburgh,Frek,Vanessa photos 27.11.13 -Frek,2013-11-27 14.30.59,N,2013,21/10/1993,20,1,650,518,1.254826255,,"1173, 588","1257, 1350",,,,,,151.7432041,731.0218875,0.207576827
Edinburgh,Heleen,Edinburgh New,Heleen2010.jpg,N,2010,16/04/1991,19,0,94,70,1.342857143,,"200, 122","208, 236",,,,,,28.44292531,114.629839,0.248128459
Edinburgh,Heleen,Edinburgh New,Holland - Heleen 1.JPG,N,2010,16/04/1991,19,0,231,151,1.529801325,,"1150, 248","1152, 518",,,,,,81.0246876,267.0018727,0.303461121
Edinburgh,Heleen,Vanessa photos 27.11.14,Heleen,N,2013,16/04/1991,22,0,468,276,1.695652174,,"900, 717","1296, 1083",,,,,,152.7416119,505.2613185,0.302302207
Edinburgh,Kilimi,Edinburgh New,Edinburgh - Kilimi 1 2.tem,Y,2009,20/02/1993,16,0,243,156,1.557692308,what is this image (name)?,X,,,,,,,66.2721661,262.5509474,0.252416404
Edinburgh,Kilimi,Edinburgh New,Edinburgh - Kilimi 2.tem,N,2009,20/02/1993,16,0,267,148,1.804054054,,"558, 159","597, 444",,,,,,90.7964757,274.5050091,0.330764368
Edinburgh,Kilimi,Edinburgh New,Kilimi (small).JPG,Y,2009,20/02/1993,16,0,125,77,1.623376623,,"117, 77","106, 210",,,,,,33.06055051,128.3900308,0.257500916
Edinburgh,Kilimi,Edinburgh New,Edinburgh - Kilimi 3.tem,N,2010,20/02/1993,17,0,599,373,1.605898123,,"1964, 612","1968, 1252",,,,,,138.2931669,574.6346665,0.240662764
Edinburgh,Kilimi,Edinburgh New,Kilimi face P1120510.JPG,N,2010,20/02/1993,17,0,548,365,1.501369863,,"1760, 716","1804, 1332",,,,,,144.8378404,565.0238933,0.25633932
Edinburgh,Kilimi,Edinburgh New,kilimi oct2013b.JPG,N,2013,20/02/1993,20,0,329,193,1.704663212,,"412.7, 354","488, 707.3","343.3, 390.7","493.3, 369.3","302, 416","534, 375.3","459.3, 596.7",114.2630737,361.2353526,0.316311991
Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.19,N,2013,20/02/1993,20,0,648,347,1.867435159,,"1506, 453","1551, 1236",,,,,,297.1396978,779.6986597,0.381095561
Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.22-1,N,2013,20/02/1993,20,0,623,325,1.916923077,,"1521, 477","1563, 1260",,,,,,316.9384798,767.4281725,0.412987809
Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.22-2,N,2013,20/02/1993,20,0,659,351,1.877492877,,"1551, 504","1605, 1275",,,,,,316.6212248,777.3622064,0.407302056
Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.24,N,2013,20/02/1993,20,0,632,333,1.897897898,,"1413, 450","1506, 1254",,,,,,330.8005441,815.321409,0.405730232
Edinburgh,Kindia,Edinburgh New,Edinburgh - Kindia 2.jpg,Y,2009,05/02/1997,12,1,612,420,1.457142857,,"1522, 358","1532, 1062",,,,,,201.159141,665.0270671,0.302482637
Edinburgh,Kindia,Edinburgh New,Kindia (small).JPG,N,2009,05/02/1997,12,1,597,408,1.463235294,,"582, 354","592, 1062",,,,,,201.0024875,669.0067264,0.300449128
Edinburgh,Kindia,Edinburgh New,Kindia1.JPG,Y,2009,05/02/1997,12,1,607,401,1.513715711,,"1524, 358","1534, 1060",,,,,,201.1218536,655.0374035,0.307038732
Edinburgh,Kindia,Edinburgh New,Edinburgh - Kinda (left) and Qafzeh (middle).tem,N,2010,05/02/1997,13,1,325,239,1.359832636,,"766, 534","758, 912",,,,,,81.81228514,359.8558739,0.227347366
Edinburgh,Kindia,Edinburgh New,Kindia OK.JPG,N,2010,05/02/1997,13,1,160,118,1.355932203,,"121, 95","118, 284",,,,,,41.77487283,179.0446872,0.23332093
Edinburgh,Kindia,Edinburgh New,Kindia Feb 2013RT.JPG,N,2013,05/02/1997,16,1,N/A,N/A,N/A,,,,,,,,,195.6553092,674.0474761,0.29026933
Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.27.38-1,N,2013,05/02/1997,16,1,513,388,1.322164948,,"922, 492","1222, 1058",,,,,,145.6468331,558.1442466,0.260948373
Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.27.38-3,N,2013,05/02/1997,16,1,524,366,1.431693989,,"846, 510","1096, 1096",,,,,,144.9310181,560.3936117,0.258623609
Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.28.00,N,2013,05/02/1997,16,1,661,641,1.031201248,,"1065, 513","1254, 1317",,,,,,143.6105846,718.9617514,0.199747183
Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.28.03,N,2013,05/02/1997,16,1,686,503,1.363817097,,"1029, 414","1263, 1239",,,,,,179.270745,760.1815573,0.235826222
Edinburgh,Lianne,Edinburgh New,Holland - Lianne 1.JPG,N,2010,14/02/1989,21,0,680,414,1.642512077,,"2230, 816","2212, 1470",,,,,,101.0049504,595.0840277,0.169732249
Edinburgh,Lianne,Edinburgh New,Holland - Lianne 2.JPG,N,2012,14/02/1989,23,0,309,203,1.522167488,,"1136, 1206","1034, 1530",,,,,,72.56721023,311.0064308,0.233330256
Edinburgh,Lianne,Roslyn photos,Lianne 06.2012.JPG,N,2012,14/02/1989,23,0,816,549,1.486338798,,"1067, 605","1171.5, 1490.5",,,,,,161.3722405,810.6984643,0.199053344
Edinburgh,Lianne,Edinburgh New,Lianne.jpg,N,2013,14/02/1989,24,0,N/A,N/A,N/A,,,,,,,,,NA,61.18823416,NA
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.23-2,N,2013,14/02/1989,24,0,544,414,1.314009662,,"960, 516","942, 1197",,,,,,107.1167587,623.2318991,0.171873036
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.23-3,N,2013,14/02/1989,24,0,564,420,1.342857143,,"900, 498","897, 1176",,,,,,113.2828319,632.0387646,0.179233994
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.24-1,N,2013,14/02/1989,24,0,538,395,1.362025316,,"990, 366","1021.5, 1033.5","870, 450","1108.5, 450","736.5, 501","1216.5, 486","1017, 874.5",159.0636665,668.2428451,0.238032727
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.24-2,N,2013,14/02/1989,24,0,N/A,N/A,N/A,,,,,,,,,196.4993639,646.2236455,0.304073312
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.56.34,N,2013,14/02/1989,24,0,454,245,1.853061224,,"1145, 424","1148, 940","1059, 504","1251, 500","952, 526","1337, 525","1158, 767",173.2887763,516.0087209,0.335825286
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.56.41-1,N,2013,14/02/1989,24,0,N/A,N/A,N/A,,,,,,,,,146.4137972,10172.1976,0.014393527
Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.56.41-2,N,2013,14/02/1989,24,0,N/A,N/A,N/A,,,,,,,,,171.8284028,509.8254603,0.337033781
Edinburgh,Liberius,Edinburgh New,Liberius P1000774.JPG,N,2008,20/01/1999,9,1,386,241,1.601659751,,"1796, 576","1804, 980",,,,,,89.34304674,390.4480631,0.228821846
Edinburgh,Liberius,Edinburgh New,Liberius P1050438.JPG,N,2009,20/01/1999,10,1,927,661,1.402420575,,"1104, 342","978, 1413",,,,,,206.6494616,1024.03125,0.201799957
Edinburgh,Liberius,Edinburgh New,Liberius P1050439.JPG,N,2009,20/01/1999,10,1,889,681,1.305433186,,"987, 432","1056, 1506",,,,,,193.5458602,1034.108312,0.187162078
Edinburgh,Liberius,Edinburgh New,Liberius P1050441.JPG,N,2009,20/01/1999,10,1,941,709,1.327221439,,"1080, 447","1155, 1509",,,,,,194.257561,1011.661999,0.192018244
Edinburgh,Liberius,Edinburgh New,Liberius P1050446.JPG,N,2009,20/01/1999,10,1,918,697,1.317073171,,"1257, 447","1305, 1500",,,,,,172.4180965,1002.045907,0.172066065
Edinburgh,Liberius,Edinburgh New,Liberius P1050449.JPG,N,2009,20/01/1999,10,1,962,632,1.522151899,,"1242, 258","1169, 1386",,,,,,309.2701085,1115.614629,0.277219481
Edinburgh,Liberius,Edinburgh New,Edinburgh - Liberius 4.JPG,N,2010,20/01/1999,11,1,399,283,1.409893993,,"2362, 298","2406, 712",,,,,,70.75153709,390.9073803,0.180993096
Edinburgh,Liberius,Edinburgh New,Liberius.JPG,N,2010,20/01/1999,11,1,173,116,1.49137931,,"138.5, 114","156, 281.5","107, 137","174, 131.5","81.5, 144","201, 133.5","155.5, 252.5",29.00431002,168.4116979,0.172222657
Edinburgh,Liberius,Katie photos,Liberius 1.jpg,N,2012,20/01/1999,13,1,479,350,1.368571429,,"396, 380","394, 920",,,,,,94.45893288,520.0004712,0.181651629
Edinburgh,Liberius,Roslyn photos,Liberius 01.2012.jpg,N,2012,20/01/1999,13,1,517,357,1.448179272,,"1312, 1110","1286, 1662",,,,,,107.2986486,543.4868904,0.197426379
Edinburgh,Louis,Edinburgh New,Edinburgh - Louis 2.JPG,N,2008,01/01/1973,35,1,345,231,1.493506494,,"1990, 450","2042, 2806",,,,,,79.48949616,342.0293116,0.232405509
Edinburgh,Louis,Edinburgh New,Edinburgh - Louis 1 (a bit fuzzy).JPG,N,2008,01/01/1973,35,1,400,220,1.818181818,,"1790, 514","1764, 916",,,,,,147.4247266,418.4721974,0.352292763
Edinburgh,Louis,Edinburgh New,Louis (small).JPG,N,2009,01/01/1973,36,1,310,198,1.565656566,,"217.5, 199.5","262.5, 523.5",,,,,,71.78091668,304.0764706,0.236062055
Edinburgh,Louis,Edinburgh New,Louis P1020290.JPG,N,2009,01/01/1973,36,1,470,247,1.902834008,,"1977, 302","1739, 752","1889, 354","2058, 367","1813, 374","2157, 398","1935, 615",239.1338537,509.0618823,0.469753997
Edinburgh,Louis,Edinburgh New,Louis2.JPG,N,2009,01/01/1973,36,1,458,309,1.482200647,,"1596, 444","1660, 942",,,,,,113.0034513,471.9533028,0.23943778
Edinburgh,Louis,Edinburgh New,Louis (from Alaina).JPG,N,2010,01/01/1973,37,1,191,96,1.989583333,,"136, 84","174, 265",,,,,,59.79782605,180.6910346,0.330939641
Edinburgh,Louis,Roslyn photos,Louis body id 2012.JPG,N,2012,01/01/1973,39,1,362,229,1.580786026,,"716, 296","730, 700",,,,,,123.7048503,397.9422697,0.310861298
Edinburgh,Louis,Vanessa photos 27.11.13 -Louis,2013-11-27 14.18.48,N,2013,01/01/1973,40,1,816,534,1.528089888,,"1407, 213","1593, 1137",,,,,,228.7050502,850.7955101,0.268813184
Edinburgh,Louis,Vanessa photos 27.11.13 -Louis,Louis,N,2013,01/01/1973,40,1,242,172,1.406976744,,"1256, 632","1288, 960",,,,,,93.26306879,311.2017031,0.299686884
Edinburgh,Lucy,Edinburgh New,Lucy P1000312.JPG,N,2008,11/11/1976,32,0,363,240,1.5125,,"1610, 530","1602, 922",,,,,,100.0364434,383.4088158,0.260913258
Edinburgh,Lucy,Edinburgh New,Edinburgh - Lucy 2.JPG,N,2009,11/11/1976,33,0,379,234,1.61965812,,"2218, 658","2300, 1066","2148, 713","2303, 691","2058, 752","2391, 706","2278, 936",131.8483978,416.1586236,0.316822457
Edinburgh,Lucy,Edinburgh New,Edinburgh - Lucy 1.JPG,N,2010,11/11/1976,34,0,89,58,1.534482759,,"160, 74","158, 172",,,,,,25.71575393,96.00130207,0.267868804
Edinburgh,Lucy,Edinburgh New,Lucy 2010 (pic by Sarah Romer).JPG,N,2010,11/11/1976,34,0,1714,1185,1.446413502,,"1232, 1440","1072, 3440",,,,,,576.0312492,1951.268818,0.295208556
Edinburgh,Lucy,Roslyn photos,Lucy 04.2012.JPG,N,2012,11/11/1976,36,0,434,262,1.65648855,,"454, 372","538, 828",,,,,,140.0714104,446.4437255,0.313749309
Edinburgh,Lucy,Roslyn photos,Lucy 06.2012.JPG,N,2012,11/11/1976,36,0,612,386,1.585492228,,X,,,,,,,155.3321924,624.0058413,0.248927465
Edinburgh,Lyndsey,Roslyn photos,Lyndsey 09.2012.JPG,Y,2011,24/12/1983,28,0,586,322,1.819875776,,"1206, 1180","1176, 1726",,,,,,129.0355765,531.7267907,0.242672701
Edinburgh,Lyndsey,Roslyn photos,Lyndsey face id 2012.JPG,Y,2011,24/12/1983,28,0,596,331,1.80060423,,"446, 380","426, 920",,,,,,122.6862666,523.9112329,0.234173766
Edinburgh,Paul,Edinburgh New,Holland - Paul (left) and Edith (right).JPG,N,2010,08/05/1993,17,1,351,228,1.539473684,,"1596, 689","1570, 1035","1532, 723","1658, 735","1445, 733","1730, 756","1579, 963",72.56031973,346.9755035,0.209122313
Edinburgh,Paul,Edinburgh New,Holland - Paul (left) and Rene (right).JPG,N,2010,08/05/1993,17,1,381,245,1.555102041,,"1396, 558","1418, 946",,,,,,78.91767863,373.8355253,0.211102673
Edinburgh,Paul,Edinburgh New,Holland - Paul 1.JPG,N,2010,08/05/1993,17,1,254,160,1.5875,,"1566, 488","1532, 758",,,,,,85.6597922,289.5339704,0.295854031
Edinburgh,Paul,Roslyn photos,Paul 04.2012.JPG,N,2012,08/05/1993,19,1,850,588,1.445578231,,"1520, 1328","1560, 2348",,,,,,294.4316559,1000.612313,0.294251482
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.11.59,N,2013,08/05/1993,20,1,483,358,1.349162011,,"1227, 618","1308, 1176",,,,,,130.6139349,539.7093477,0.242007917
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.02,N,2013,08/05/1993,20,1,564,413,1.365617433,,"1236, 474","1293, 1170",,,,,,159.1540135,665.5478946,0.239132322
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.06,N,2013,08/05/1993,20,1,575,420,1.369047619,,"1191, 633","1287, 1314",,,,,,166.2077014,661.2299146,0.251361437
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.13,N,2013,08/05/1993,20,1,572,414,1.381642512,,"1106, 496","1090, 1164","984, 570","1242, 576","842, 604","1348, 602","1068, 998",167.4514855,668.1915893,0.250604001
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.14,N,2013,08/05/1993,20,1,634,416,1.524038462,,"1152, 492","1119, 1200",,,,,,176.0710084,675.3265877,0.260719793
Edinburgh,Paul,Vanessa photos 27.11.13 -Paul,2013-11-27 14.12.15,N,2013,08/05/1993,20,1,622,427,1.456674473,,"1260, 531","1290, 1248",,,,,,176.1817244,686.8922769,0.256491054
Edinburgh,Pearl,Edinburgh New,Pearl2010.jpg,N,2010,13/03/1969,41,0,68,36,1.888888889,,"326, 128","343.3, 195.3",,,,,,24.09502023,72.1467948,0.333972151
Edinburgh,Pearl,Edinburgh New,Holland - Pearl 2.JPG,N,2012,13/03/1969,43,0,488,274,1.781021898,,"1034, 1186","1128, 1650",,,,,,133.9603673,469.499787,0.285325725
Edinburgh,Pearl,Roslyn photos,Pearl 06.2012.JPG,N,2012,13/03/1969,43,0,230,130,1.769230769,,"200, 199","210, 428",,,,,,59.46427499,224.7206266,0.264614227
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.07.23,N,2013,13/03/1969,44,0,1033,466,2.216738197,,"783, 567","1587, 1233",,,,,,370,1021.295256,0.362285047
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.07.32,N,2013,13/03/1969,44,0,1010,469,2.153518124,,"1116, 447","1659, 1332",,,,,,341.9766074,1008.920215,0.338953073
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.07.53-2,N,2013,13/03/1969,44,0,870,421,2.066508314,,"1203, 486","1524, 1341",,,,,,301.3784996,882.5429168,0.341488775
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.11.34-1 (dragged),N,2013,13/03/1969,44,0,N/A,N/A,N/A,,,,,,,,,349.4137948,958.0574096,0.364710707
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.11.40-1-1 (dragged),N,2013,13/03/1969,44,0,N/A,N/A,N/A,,,,,,,,,375.3664876,961.1701202,0.39053075
Edinburgh,Pearl,Vanessa photos 27.11.13 -Pearl,2013-11-27 14.11.42-1 (dragged),N,2013,13/03/1969,44,0,N/A,N/A,N/A,,,,,,,,,384.0117186,928.2375773,0.41369982
Edinburgh,Qafzeh,Edinburgh New,Qafzeh 1 DSCF1532.JPG,N,2008,31/03/1992,16,1,813,570,1.426315789,,"1077, 510","1113, 1356",,,,,,131.1068267,791.531427,0.165636919
Edinburgh,Qafzeh,Edinburgh New,Qafzeh - face (with food).JPG,N,2009,31/03/1992,17,1,388,239,1.623430962,,X,,,,,,,74.02702209,352.6315357,0.209927402
Edinburgh,Qafzeh,Edinburgh New,Qafzeh P1000246.JPG,N,2009,31/03/1992,17,1,812,531,1.529190207,,"2512, 340","2644, 1164",,,,,,171.0467772,815.914824,0.209638031
Edinburgh,Qafzeh,Edinburgh New,Edinburgh - Kinda (left) and Qafzeh (middle).tem,N,2010,31/03/1992,18,1,292,226,1.292035398,,"2168, 640","2226, 986",,,,,,63.07138812,332.3401872,0.189779601
Edinburgh,Qafzeh,Edinburgh New,Edinburgh - Qafzeh 3.JPG,N,2010,31/03/1992,18,1,358,260,1.376923077,,"1810, 456","1858, 854",,,,,,79.15806971,385.2959901,0.205447427
Edinburgh,Qafzeh,Edinburgh New,Qafzeh face P1120507.JPG,N,2010,31/03/1992,18,1,623,441,1.412698413,,"1932, 568","1968, 1300",,,,,,166.9041641,713.4844077,0.233928257
Edinburgh,Qafzeh,Edinburgh New,Qafzeh.JPG,N,2010,31/03/1992,18,1,168,116,1.448275862,,"149, 95","184, 271",,,,,,225.4351348,992.1139048,0.227227069
Edinburgh,Qafzeh,Roslyn photos,Qafzeh 04.2012.JPG,N,2012,31/03/1992,20,1,990,610,1.62295082,,"1480, 1424","1540, 2420",,,,,,206.4751801,953.2093159,0.216610535
Edinburgh,Rene,Edinburgh New,Holland - Paul (left) and Rene (right).JPG,N,2010,21/02/1993,17,1,408,260,1.569230769,,"2000, 718","2008, 1126",,,,,,86.20904825,397.0113349,0.217145055
Edinburgh,Rene,Edinburgh New,Holland - Rene 1.JPG,N,2010,21/02/1993,17,1,428,254,1.68503937,,"2054, 702","2040, 1132",,,,,,99.02019996,406.1773012,0.243785656
Edinburgh,Rene,Edinburgh New,Rene Nov 2011RT.JPG,N,2011,21/02/1993,18,1,280,194,1.443298969,,"301.5, 276","388.5, 574.5",,,,,,68.00735254,307.1042168,0.221447147
