Animal,Rater,Date,Facility,Fearful,Dominant,Persistent,Cautious,Stable,Autistic,Curious,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Innovative,Active,Helpful,Bullying,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Submissive,Cool,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Depressed,Conventional,Sensitive,Defiant,Intelligent,Protective,Quitting,Inventive,Clumsy,Erratic,Friendly,Anxious,Lazy,Disorganized,Unemotional,Imitative,Independent
WB866370,KB1,04/05/2016,ZX6012,5,2,2,7,2,7,1,2,2,1,3,1,2,5,7,6,1,3,7,4,5,6,1,1,2,7,6,5,6,1,7,1,7,1,5,2,2,6,2,2,1,2,5,6,3,6,6,5,7,4,6,1,3,1
WB866370,CF2,04/05/2016,ZX6012,5,1,1,6,6,6,5,6,1,2,5,2,2,5,6,6,4,6,6,5,4,6,1,1,1,7,2,2,2,5,7,6,6,1,3,6,2,5,6,5,1,5,2,5,5,5,2,2,6,4,6,6,5,2
RN646928,KB1,04/05/2016,ZX6012,5,4,4,5,3,2,3,5,3,4,4,5,3,3,5,4,3,5,5,4,5,4,4,3,3,4,4,5,5,5,5,3,4,4,6,3,3,5,3,4,6,5,4,3,4,4,6,5,5,4,5,2,5,5
RN646928,CF2,04/05/2016,ZX6012,6,2,4,5,5,2,5,5,2,4,5,3,6,4,5,6,4,2,4,4,5,6,3,3,4,5,6,3,4,5,6,5,5,3,2,4,3,3,4,6,3,6,3,4,4,2,4,6,4,3,5,5,5,3
FC945755,KB1,04/05/2016,ZX6012,4,3,3,6,2,6,2,3,3,3,4,2,6,3,6,6,5,2,5,3,4,6,2,2,5,6,6,3,3,3,5,5,5,3,5,4,4,3,5,6,2,6,5,5,3,3,4,5,5,5,3,6,3,3
FC945755,CF2,04/05/2016,ZX6012,6,1,3,6,3,6,2,5,2,3,4,3,2,5,6,3,1,6,6,2,3,3,2,2,2,5,2,5,5,2,7,3,5,2,5,3,2,5,3,3,2,3,2,5,2,5,5,2,5,5,5,3,5,3
JB407258,KB1,04/05/2016,ZX6012,6,3,3,5,4,1,4,4,2,4,4,4,4,5,3,4,6,2,4,4,6,5,4,3,4,5,5,5,4,5,5,4,5,3,4,3,3,3,3,4,5,4,3,5,4,5,5,5,3,3,5,3,6,5
JB407258,CF2,04/05/2016,ZX6012,5,1,3,5,4,2,4,4,3,3,2,3,4,4,5,4,4,4,5,3,4,4,3,3,3,5,4,4,4,4,7,4,4,3,4,4,3,3,4,4,3,4,4,4,3,2,4,4,4,4,4,4,4,4
XT163656,KB1,04/05/2016,ZX6012,4,2,2,5,2,3,1,2,2,2,2,2,2,5,6,5,2,5,5,2,2,4,1,1,3,4,4,4,4,3,5,3,4,3,5,4,3,6,4,5,2,4,3,6,3,6,3,5,6,3,5,2,5,2
XT163656,CF2,04/05/2016,ZX6012,7,2,3,4,3,1,5,5,3,4,3,4,4,5,5,4,3,4,6,4,4,4,3,3,4,5,4,5,5,5,6,3,5,3,5,3,3,4,3,3,3,3,3,5,4,2,5,4,4,4,5,3,5,3
EQ343855,KB1,04/05/2016,ZX6012,6,5,6,3,2,4,6,6,4,7,6,6,2,5,2,2,4,5,6,3,4,3,6,6,3,2,4,6,5,5,4,2,3,6,6,2,4,4,2,3,6,3,2,4,4,4,6,4,5,4,7,3,4,5
EQ343855,CF2,04/05/2016,ZX6012,4,5,6,3,1,5,5,5,5,5,6,5,5,5,3,3,4,3,4,6,5,3,6,6,6,2,4,7,6,5,3,1,4,6,5,1,5,2,1,3,6,3,4,5,6,3,7,4,5,3,5,1,6,4
EE297164,KB1,04/05/2016,ZX6012,2,6,5,2,5,2,3,2,6,5,4,2,6,2,2,5,4,4,2,3,3,4,5,5,7,3,5,3,3,3,2,5,2,5,2,6,6,4,6,5,2,6,4,2,3,2,2,6,2,5,2,6,4,6
EE297164,CF2,04/05/2016,ZX6012,2,6,6,2,3,1,7,3,7,7,5,6,5,4,2,3,5,3,2,6,4,3,6,6,6,2,4,5,5,7,2,3,2,6,5,3,7,2,3,3,6,4,6,4,6,5,5,4,2,4,3,3,4,6
NM268979,KB1,04/05/2016,ZX6012,4,3,4,3,4,2,6,5,3,4,5,5,6,7,3,4,7,2,4,5,7,4,4,3,4,5,5,6,6,7,3,5,4,2,3,3,5,1,3,4,4,5,4,7,6,6,6,5,3,1,6,4,6,6
NM268979,CF2,04/05/2016,ZX6012,4,5,5,3,3,1,6,5,4,4,5,5,6,6,3,4,6,2,3,5,6,4,4,4,5,4,6,5,5,6,3,3,4,4,3,3,5,1,3,3,5,3,4,6,5,3,5,6,3,2,5,3,6,4
OQ814451,KB1,04/05/2016,ZX6012,1,7,4,1,7,1,6,1,7,6,7,5,5,2,1,2,3,4,1,1,4,2,6,6,7,1,4,2,4,6,1,6,1,6,3,5,7,2,6,4,1,7,3,2,4,1,2,3,1,3,2,6,2,7
OQ814451,CF2,04/05/2016,ZX6012,1,7,7,1,5,2,4,1,6,6,5,7,3,3,1,3,1,5,1,5,3,3,6,5,5,2,3,3,4,4,1,5,1,6,3,6,7,2,6,5,7,5,5,3,5,4,2,3,2,5,1,5,4,7
OT229421,KB1,04/05/2016,ZX6012,7,1,4,7,1,7,1,1,1,1,4,1,3,4,7,6,2,3,6,1,5,4,1,1,1,5,5,5,5,1,7,1,7,1,2,3,2,5,2,4,1,2,3,5,1,5,6,6,7,2,5,1,5,1
OT229421,CF2,04/05/2016,ZX6012,6,1,1,7,7,6,3,5,1,1,5,1,1,4,7,6,3,7,6,5,3,7,1,1,1,7,1,1,1,3,7,7,7,1,5,7,1,6,7,3,1,2,1,4,5,4,1,1,6,5,5,7,3,1
AW318767,KB1,04/05/2016,ZX6012,6,2,2,6,2,7,2,1,1,1,2,2,1,5,6,4,2,2,4,1,5,4,1,2,1,5,4,5,5,4,6,2,6,2,4,2,2,5,1,3,1,2,3,5,2,5,5,3,6,3,5,2,4,3
AW318767,CF2,04/05/2016,ZX6012,4,1,1,7,7,6,2,5,1,1,4,1,2,4,6,6,2,6,5,3,2,6,1,1,1,7,2,1,1,2,7,7,6,1,5,7,2,5,7,3,1,3,2,4,3,6,1,2,6,6,5,7,2,2
JZ968874,KB1,04/05/2016,ZX6012,2,6,5,1,6,1,7,4,7,7,7,6,5,4,1,3,4,6,1,1,5,2,7,7,6,1,5,5,5,6,2,3,1,7,5,3,7,2,4,3,2,6,3,2,5,2,5,5,1,3,3,4,3,7
JZ968874,CF2,04/05/2016,ZX6012,1,7,7,1,3,1,6,1,6,6,6,7,5,1,1,4,5,3,1,5,6,3,6,5,7,2,4,5,6,6,1,3,1,5,3,5,7,1,5,5,7,6,6,1,5,1,3,4,1,2,1,3,4,7
SO354996,KB1,04/05/2016,ZX6012,5,2,4,5,2,7,3,3,2,1,4,3,3,4,5,4,3,3,3,3,5,4,2,2,4,6,4,5,6,3,5,4,4,3,5,5,4,5,5,4,1,4,3,4,4,4,5,3,5,2,5,3,3,5
SO354996,CF2,04/05/2016,ZX6012,6,3,2,7,6,7,1,5,1,2,6,2,2,5,7,3,1,6,6,1,4,6,2,2,2,6,2,2,2,1,5,6,6,2,6,6,2,6,6,2,2,2,2,5,1,5,2,2,7,4,5,6,2,2
DA731191,KB1,04/05/2016,ZX6012,4,4,4,6,3,4,4,4,4,3,2,3,5,4,5,5,6,4,5,5,6,6,3,1,6,6,6,3,4,4,5,4,5,2,3,5,4,4,4,5,2,6,5,5,5,4,4,6,5,3,4,4,5,4
DA731191,CF2,04/05/2016,ZX6012,6,3,4,5,3,3,5,4,3,5,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,5,5,5,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,3,5,4
TX323478,KB1,04/05/2016,ZX6012,3,6,5,3,4,2,4,4,4,5,4,4,4,4,3,4,2,4,4,3,4,4,6,5,6,3,3,3,3,4,3,6,4,6,3,6,6,4,6,6,5,7,6,4,3,4,1,3,3,5,2,7,6,5
TX323478,CF2,04/05/2016,ZX6012,4,5,5,3,4,2,4,4,5,4,3,5,4,4,3,4,3,4,3,4,4,4,5,5,4,4,4,4,4,4,3,4,4,5,4,4,4,2,4,4,4,4,5,4,4,3,4,4,3,4,4,4,4,4
HD776594,KB1,04/05/2016,ZX6012,5,5,5,3,5,1,6,6,5,6,6,5,6,6,2,3,7,2,4,5,7,3,5,5,4,4,5,6,6,7,4,3,4,4,3,3,3,3,2,3,6,3,3,2,6,6,6,6,2,1,6,2,4,6
HD776594,CF2,04/05/2016,ZX6012,3,5,5,4,3,1,6,4,5,5,6,4,5,5,4,4,6,3,4,5,5,4,5,4,5,3,5,5,5,6,3,3,4,4,4,3,4,1,3,4,5,4,4,5,5,3,5,5,3,3,4,3,5,4
MK955933,KB1,04/05/2016,ZX6012,4,5,5,4,5,2,5,4,3,4,4,3,4,3,4,5,3,5,4,4,5,4,4,4,5,4,3,3,3,5,3,5,4,5,6,5,6,5,5,5,4,4,5,4,4,3,2,5,4,4,3,6,5,5
MK955933,CF2,04/05/2016,ZX6012,4,4,5,4,3,3,5,4,4,4,5,4,6,4,4,4,5,2,4,6,5,5,4,4,4,4,6,5,5,5,4,3,4,4,3,3,4,2,3,5,5,5,5,4,6,2,5,6,4,3,4,3,5,4
SO254787,KB1,04/05/2016,ZX6012,4,5,4,4,5,3,3,4,4,4,4,3,4,2,3,4,3,4,3,4,4,5,4,4,5,5,5,2,4,3,4,5,4,4,5,6,5,4,6,6,4,6,5,4,4,3,2,5,4,5,2,6,5,5
SO254787,CF2,04/05/2016,ZX6012,2,6,5,2,3,2,4,2,5,5,4,6,4,4,2,4,3,4,2,4,4,3,5,5,5,3,4,5,5,4,2,3,3,5,4,3,6,3,3,4,5,4,5,4,4,2,5,4,2,4,2,3,4,5
KD597894,KB1,04/05/2016,ZX6012,4,3,3,5,3,4,3,4,3,5,3,4,5,5,6,5,5,2,5,3,4,5,2,2,3,4,4,5,5,3,6,3,6,5,5,3,3,5,4,4,3,4,5,5,4,5,5,3,5,3,5,3,5,3
KD597894,CF2,04/05/2016,ZX6012,4,2,3,5,5,2,4,4,3,4,3,3,5,4,5,4,3,3,5,3,4,5,3,3,3,5,5,3,4,4,6,5,5,3,4,4,3,3,4,4,3,4,3,4,3,2,4,5,5,4,4,5,5,3
OZ411129,KB1,04/05/2016,ZX6012,4,6,5,2,6,1,7,7,4,6,6,6,5,6,1,2,7,2,3,6,7,4,6,5,5,3,5,6,6,7,2,5,4,4,5,2,5,3,1,3,5,3,2,2,7,6,6,6,2,1,5,3,2,6
OZ411129,CF2,04/05/2016,ZX6012,2,5,5,3,5,1,6,4,5,5,5,5,6,5,3,4,7,2,2,5,7,4,5,4,5,3,6,3,3,6,3,5,3,4,3,5,5,1,5,4,5,4,5,5,5,3,3,6,2,1,4,5,5,5
WN662952,KB1,04/05/2016,ZX6012,6,4,4,4,5,2,4,5,4,5,5,5,5,5,4,3,6,2,5,4,5,5,5,5,3,3,4,5,5,5,5,3,5,5,4,3,3,4,3,4,5,3,3,3,5,5,5,6,4,2,5,3,5,3
WN662952,CF2,04/05/2016,ZX6012,4,4,4,5,4,1,4,2,3,3,5,3,6,3,5,7,5,2,5,4,5,7,3,3,4,5,6,4,3,4,4,4,5,3,1,5,3,2,5,7,4,6,7,3,4,3,4,6,4,3,2,4,4,3
CM365266,KB1,04/05/2016,ZX6012,3,4,3,5,4,5,4,3,4,3,4,3,3,3,5,5,4,4,5,3,3,6,3,4,4,7,6,4,3,4,6,5,5,4,3,5,5,5,5,5,3,5,5,6,3,5,2,5,6,6,4,5,5,3
CM365266,CF2,04/05/2016,ZX6012,3,4,4,4,5,5,3,4,2,3,4,4,3,4,4,4,2,5,4,3,2,4,3,3,3,5,3,3,4,3,4,5,4,3,4,4,4,4,4,4,3,4,4,4,3,5,4,3,4,6,4,5,2,4
SR603268,KB1,04/05/2016,ZX6012,3,5,6,2,6,1,7,6,3,5,6,6,6,6,2,3,7,4,4,6,7,3,5,3,3,5,5,5,6,6,5,3,5,3,3,2,4,5,2,3,5,4,4,4,5,6,6,6,2,1,5,4,3,6
SR603268,CF2,04/05/2016,ZX6012,5,3,5,3,2,1,5,5,4,5,5,5,5,5,3,4,6,3,4,5,6,4,5,5,5,3,5,6,6,5,5,2,4,4,5,2,3,1,2,3,5,3,4,5,5,3,6,5,4,2,5,2,5,4
BT907059,KB1,04/05/2016,ZX6012,4,4,2,4,4,5,4,3,6,4,2,3,5,3,3,5,2,6,3,1,1,4,3,2,2,4,5,2,2,3,3,6,4,4,4,6,5,3,6,5,2,4,5,4,2,5,2,5,3,7,2,4,5,3
BT907059,CF2,04/05/2016,ZX6012,2,5,4,3,6,5,3,5,2,3,5,4,4,3,3,4,2,4,2,3,1,4,4,3,4,4,4,2,3,3,3,6,3,3,5,6,4,2,6,3,4,3,3,3,3,7,2,4,4,7,5,6,4,5
KB618623,KB1,04/05/2016,ZX6012,5,2,1,5,2,4,1,1,1,1,2,1,2,3,5,4,2,3,4,1,4,5,2,1,1,5,4,3,2,2,5,6,4,2,4,6,5,6,6,5,1,4,4,4,1,4,2,4,4,4,3,4,4,4
KB618623,CF2,04/05/2016,ZX6012,5,3,4,4,3,6,3,4,4,4,4,4,3,5,4,4,2,5,5,3,3,4,4,4,3,4,3,5,5,3,5,3,5,5,5,3,3,5,3,3,4,3,4,5,3,4,5,3,6,5,4,3,4,3
KB618623,KB1,04/05/2016,ZX6012,5,2,2,5,2,6,2,2,2,1,2,1,2,5,6,4,2,3,5,2,5,3,2,2,2,4,5,4,4,3,6,4,5,3,4,4,3,4,3,4,1,3,4,5,3,4,4,4,6,2,4,4,4,3
KB618623,CF2,04/05/2016,ZX6012,7,2,2,6,5,6,4,5,1,2,5,2,3,5,5,5,3,5,7,4,4,5,2,2,2,6,3,3,3,4,6,5,6,2,5,5,3,3,5,3,2,3,2,5,4,4,3,3,6,4,5,5,3,2
KH988531,KB1,04/05/2016,ZX6012,2,5,5,2,5,1,5,4,4,6,6,6,5,6,2,2,7,5,2,5,7,5,5,5,5,2,5,5,5,6,2,3,2,6,5,2,4,2,2,3,3,4,4,4,7,4,6,3,2,1,6,1,5,6
KH988531,CF2,04/05/2016,ZX6012,3,4,6,2,1,1,7,5,6,7,6,6,5,6,2,2,6,2,3,6,6,2,7,6,7,2,5,7,7,7,4,1,2,6,4,1,6,1,1,4,6,4,6,6,6,2,7,4,3,2,5,1,7,6
OM474365,KB1,04/05/2016,ZX6012,4,3,2,4,3,4,3,2,2,2,3,1,3,5,5,4,2,4,4,1,4,5,2,1,4,5,5,3,3,4,5,3,5,2,4,5,4,5,5,6,1,4,4,5,3,5,5,3,5,2,5,5,5,2
OM474365,CF2,04/05/2016,ZX6012,4,4,5,3,3,4,5,4,4,4,4,5,5,4,3,4,4,3,4,4,4,4,4,4,5,4,5,5,5,5,4,3,4,4,3,4,4,2,4,5,5,5,4,4,4,5,4,5,4,4,4,3,5,4
ZL607999,KB1,04/05/2016,ZX6012,2,6,3,1,7,3,4,3,4,4,3,3,3,3,1,5,5,4,1,4,5,5,4,5,5,4,5,2,2,5,2,6,2,3,3,6,6,4,6,4,2,5,4,3,4,1,2,5,2,2,2,5,4,7
ZL607999,CF2,04/05/2016,ZX6012,2,6,5,3,3,2,4,3,5,5,5,5,5,3,3,4,4,3,3,4,5,5,5,5,5,3,5,5,5,4,2,3,3,4,3,3,5,2,3,5,5,5,6,3,4,3,5,5,3,3,3,3,5,5
GP692024,KB1,04/05/2016,ZX6012,4,4,4,4,4,3,5,3,6,5,3,3,5,3,3,5,2,6,3,3,2,3,4,3,4,3,5,3,2,5,3,5,3,4,4,6,5,3,6,5,3,5,5,4,3,5,2,5,3,7,2,4,5,3
GP692024,CF2,04/05/2016,ZX6012,2,5,5,2,5,1,6,4,3,4,6,5,6,3,2,5,5,2,2,6,5,5,4,4,5,4,6,3,3,6,3,5,3,4,2,4,5,1,4,6,5,6,6,3,6,5,4,6,2,3,4,5,5,5
MP193564,KB1,04/05/2016,ZX6012,2,5,3,3,4,2,4,2,5,5,5,3,3,2,3,3,2,3,2,6,4,5,5,4,5,4,4,3,3,3,3,6,3,4,3,6,6,4,6,5,4,6,4,3,6,2,2,3,2,2,3,6,2,5
MP193564,CF2,04/05/2016,ZX6012,3,5,5,4,4,3,7,2,4,5,7,5,5,2,4,5,4,3,3,7,5,5,5,5,6,3,5,4,5,7,3,4,3,5,2,3,6,1,3,6,5,7,6,2,7,3,5,5,2,3,2,4,5,5
KD912085,KB1,04/05/2016,ZX6012,3,5,3,3,5,1,5,3,3,5,5,5,5,5,2,3,7,6,2,5,7,5,4,5,6,2,5,6,5,6,3,4,3,5,4,2,5,2,2,3,4,4,2,2,7,4,5,4,2,1,6,2,5,6
KD912085,CF2,04/05/2016,ZX6012,3,4,5,2,3,1,6,5,5,6,6,6,6,6,2,3,7,2,2,5,7,3,6,5,6,2,6,5,5,6,4,3,3,3,4,2,6,1,2,4,5,4,5,6,5,2,5,6,1,1,5,3,6,5
UC666576,KB1,04/05/2016,ZX6012,6,3,4,5,2,3,5,6,5,7,5,5,4,5,5,4,3,5,6,3,4,3,5,5,2,2,4,6,5,3,5,1,4,5,6,3,3,4,2,2,6,3,2,6,2,5,6,3,5,4,6,2,4,4
UC666576,CF2,04/05/2016,ZX6012,5,4,5,4,3,2,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,5,4,3,4,3,4,4,4,4,4,3,4,4,5,4,4,3,3,2,4,4,4,4,4,3,4,4
US292134,KB1,04/05/2016,ZX6012,4,4,5,3,4,2,6,5,3,4,5,5,6,7,3,3,7,2,4,5,7,4,4,3,4,5,5,6,6,6,4,3,5,2,5,3,5,2,3,3,5,2,3,7,5,6,6,5,3,2,6,4,6,5
US292134,CF2,04/05/2016,ZX6012,4,4,4,3,5,1,6,5,4,2,6,5,7,5,3,5,7,1,2,5,7,4,2,2,4,6,6,3,4,6,4,5,3,3,4,5,5,1,5,4,4,4,3,5,5,3,3,7,2,1,5,5,5,5
GT684998,KB1,04/05/2016,ZX6012,1,7,5,1,7,4,3,3,6,3,2,1,3,1,1,4,3,5,1,1,1,3,5,5,5,2,3,1,1,1,1,7,1,6,4,7,7,2,7,2,1,3,5,1,1,1,1,3,1,6,1,7,1,7
GT684998,CF2,04/05/2016,ZX6012,1,7,7,1,6,1,3,2,6,6,4,5,3,4,1,3,2,5,1,2,2,3,5,4,4,3,3,2,3,3,1,6,1,6,5,6,7,3,6,3,7,3,5,4,2,5,2,3,1,6,2,6,2,7
WU691823,KB1,04/05/2016,ZX6012,1,7,5,1,7,2,4,5,6,4,5,4,5,2,1,2,4,4,1,4,4,4,5,4,5,4,4,2,2,3,1,7,1,3,4,7,7,4,7,4,2,4,2,4,2,1,1,4,1,5,1,6,2,7
WU691823,CF2,04/05/2016,ZX6012,1,7,6,1,5,1,5,2,4,5,5,5,4,3,1,5,4,4,1,4,6,4,4,3,5,4,4,3,4,5,1,5,1,3,3,5,6,1,5,5,6,5,5,3,4,1,3,4,2,2,2,5,4,7
NU135354,KB1,04/05/2016,ZX6012,1,6,7,1,5,1,6,7,6,6,6,7,4,6,1,1,7,2,1,5,7,1,7,6,5,2,3,5,5,6,2,4,1,6,4,1,5,3,1,2,5,3,1,5,4,5,7,3,2,1,6,1,4,7
NU135354,CF2,04/05/2016,ZX6012,2,6,7,1,2,1,7,5,7,7,7,7,4,7,1,1,6,3,2,6,7,2,7,7,7,1,4,6,7,7,2,2,1,7,5,1,7,1,1,3,7,3,5,7,6,3,7,4,1,1,5,2,6,7
YA844190,KB1,04/05/2016,ZX6012,5,2,2,5,4,4,2,4,2,4,4,4,4,5,6,4,5,4,6,5,5,5,3,2,2,4,3,5,6,3,6,3,5,4,5,2,3,5,4,4,5,3,4,5,5,5,6,4,5,3,5,3,5,3
YA844190,CF2,04/05/2016,ZX6012,5,2,3,6,3,3,4,5,2,3,5,3,5,4,6,5,3,3,5,3,3,6,4,3,3,5,5,5,4,4,6,3,5,3,3,3,3,4,3,5,3,4,2,4,3,2,5,5,5,5,5,3,5,3
GM527322,KB1,04/05/2016,ZX6012,4,1,2,7,2,5,1,4,1,4,2,2,3,5,7,6,3,2,7,2,4,6,1,1,1,6,6,6,4,1,7,1,7,2,2,2,2,6,3,6,2,4,6,6,3,6,5,6,7,4,6,2,6,1
GM527322,CF2,04/05/2016,ZX6012,6,1,1,7,7,4,5,4,1,1,6,1,4,3,7,7,2,4,7,3,3,7,1,1,1,7,5,1,1,5,7,7,7,1,2,7,1,5,7,6,1,6,1,3,3,2,1,5,6,5,4,7,3,1
